AnimID	Name	AinmName	Layer	WrapMode	PlayMode	QueueMode	SPEED	TransitTime	LoopTime	LoopOverAnimId	IsCanBreak	StartEffect01	IsStartEffectAutoEnd01	StartEffect02	IsStartEffectAutoEnd02	StartEffect03	IsStartEffectAutoEnd03	StartEffect04	IsStartEffectAutoEnd04	StartEffect05	IsStartEffectAutoEnd05	EndEffect	IsCallEnd	NextAnimId	SoundID	SoundBreakKeep	DelayFrameSpeed	DelayFrameTime	DelaySpeedTime
34	八荒六合起手	Skill_Xp_Bahuangliuhe_Start	2	1	4	0	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	35	88	1	0	0	0
35	八荒六合循环	Skill_Xp_Bahuangliuhe_Loop	2	2	4	0	1	0.2	1	36	0	25	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	89	1	0	0	0
36	八荒六合结束	Skill_Xp_Bahuangliuhe_End	2	1	4	0	1	0.1	-1	-1	0	26	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	91	1	0	0	0
37	天山折梅手	Skill_Tianshanzhemeishou	2	1	4	0	1	0.1	-1	-1	0	27	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	73	1	0	0	0
38	移花接木	Skill_Yihuajiemu	2	1	4	0	1	0.1	-1	-1	0	30	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	83	1	0	0	0
39	天山六阳掌	Skill_Tianshanliuyangzhang	2	1	4	0	1	0.1	-1	-1	0	28	1	29	1	-1	0	-1	0	-1	0	-1	1	-1	66	1	0	0	0
40	大理普攻1	Attack_01	2	1	4	0	1	0.1	-1	-1	0	31	1	-1	0	-1	0	-1	0	-1	0	-1	1	41	54	1	0	0	0
41	大理普攻2	Attack_02	2	1	4	0	1	0.1	-1	-1	0	32	1	-1	0	-1	0	-1	0	-1	0	-1	1	42	55	1	0	0	0
42	大理普攻3	Attack_03	2	1	4	0	1	0.1	-1	-1	0	33	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	56	1	0	0	0
43	暴雨梨花起始	Skill_Xp_Loop	2	2	4	0	1	0.2	2	44	0	34	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	87	1	0	0	0
44	暴雨梨花终止	Skill_Xp_End	2	1	4	0	1	0.1	-1	-1	0	35	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	90	1	0	0	0
45	一阳指	Skill_Yiyangzhi	2	1	4	0	1	0.2	-1	-1	0	36	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	69	1	0	0	0
46	流星赶月	Skill_Liuxingganyue	2	1	4	0	1	0.2	-1	-1	0	38	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	102	1	0	0	0
47	六脉神剑开始	Skill_Liumaishenjian_Start	2	1	4	0	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	170	75	1	0	0	0
48	少林迦叶功	Skill_Jiayegong	2	1	4	0	1	0.2	-1	-1	0	39	1	40	1	-1	0	-1	0	-1	0	-1	1	-1	92	1	0	0	0
49	雁门关末尾剧情-乔峰1(废弃)	Skill_Xp_Loop	2	1	4	0	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	50	89	1	0	0	0
50	雁门关末尾剧情-乔峰2(废弃)	Skill_Yituiweijin	2	1	4	0	1	0.1	-1	-1	0	12	1	-1	0	-1	0	-1	0	-1	0	-1	1	54	60	1	0	0	0
51	少林冲锋动作	Dash	2	2	4	0	1	0	3	48	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	93	1	0	0	0
52	天山冲锋动作	Dash	2	2	4	0	1	0	3	38	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
53	尸体	Dead	2	2	4	2	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
54	雁门关末尾剧情-乔峰3(废弃)	Skill_Liuxingganyue	2	1	4	0	1	0.1	-1	-1	0	13	1	-1	0	-1	0	-1	0	-1	0	-1	1	55	61	1	0	0	0
55	雁门关末尾剧情-乔峰4(废弃)	Skill_Xp_End	2	1	4	0	1	0.1	-1	-1	0	45	0	-1	-1	-1	0	-1	0	-1	0	-1	1	-1	80	1	0	0	0
56	雁门关末尾剧情-黑衣人1(废弃)	Skill_Xp_Loop	2	1	4	0	1	0.2	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	57	-1	1	0	0	0
57	雁门关末尾剧情-黑衣人2(废弃)	Skill_Liumaishenjian	2	1	4	0	1	0.1	-1	-1	0	12	1	-1	0	-1	0	-1	0	-1	0	-1	1	58	62	1	0	0	0
58	雁门关末尾剧情-黑衣人3(废弃)	Skill_Huadiweilao	2	1	4	0	1	0.2	-1	-1	0	14	1	-1	0	-1	0	-1	0	-1	0	-1	1	59	60	1	0	0	0
59	雁门关末尾剧情-黑衣人4(废弃)	Skill_Liumaishenjian	2	1	4	0	1	0.1	-1	-1	0	13	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	61	1	0	0	0
60	少林跳跃01	Jump_01	2	1	4	0	1	0.1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	62	-1	1	0	0	0
61	少林跳跃01_循环	Jump_01_Loop	2	1	4	0	1	0.1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
62	少林跳跃02	Jump_02	2	1	4	0	1	0.1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	64	-1	1	0	0	0
63	少林跳跃02_循环	Jump_02_Loop	2	1	4	0	1	0.1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
64	少林跳跃03	Jump_03	2	1	4	0	1	0.1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	67	-1	1	0	0	0
65	少林跳跃03_循环	Jump_03_Loop	2	1	4	0	1	0.1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
66	少林跳跃落地接跑步	Jump_End_Run	2	1	4	0	1	0.1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
67	少林跳跃落地接站立	Jump_End_Stand	2	1	4	0	1	0.1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	0	-1	1	0	0	0
68	少林跳跃左斜	Fastrun_Left	2	2	4	0	1	0.1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
69	少林跳跃右斜	Fastrun_Right	2	2	4	0	1	0.1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
70	少林韦陀杵	Skill_WeiTuoChu	2	1	4	2	1	0.2	-1	-1	0	74	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	74	1	0	0	0
71	少林狮吼功	Skill_ShiHouGong	2	1	4	2	1	0.2	-1	-1	0	75	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	95	1	0	0	0
72	少林金钟罩	Skill_Jinzhongzhao	2	1	4	2	1	0.2	-1	-1	0	76	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	99	1	0	0	0
73	天山生死符	Skill_Shengsifu	2	1	4	2	1	0.2	-1	-1	0	78	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	86	1	0	0	0
74	天山雪花六出	Skill_Xuehualiuchu	2	1	4	2	1	0.2	-1	-1	0	70	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	96	1	0	0	0
75	天山隐遁	Skill_Yingdun	2	1	4	2	1	0.2	-1	-1	0	79	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	101	1	0	0	0
76	大理画地为牢	Skill_Huadiweilao	2	1	4	2	1	0.2	-1	-1	0	83	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	98	1	0	0	0
77	大理无所遁形	Skill_Wusuodunxing	2	1	4	2	1	0.2	-1	-1	0	80	1	81	1	-1	0	-1	0	-1	0	-1	1	-1	72	1	0	0	0
78	大理以退为进	Skill_Yituiweijin	2	1	4	2	1	0.2	-1	-1	0	71	1	72	1	-1	0	-1	0	-1	0	-1	1	-1	97	1	0	0	0
79	逍遥寒霜怒血_起手	Skill_Hanshuangnuxue_Start	2	1	4	2	1	0.2	-1	-1	0	68	1	-1	0	-1	0	-1	0	-1	0	-1	1	83	84	1	0	0	0
80	逍遥寒冰镜	Skill_Hanbingjing	2	1	4	2	1	0.2	-1	-1	0	88	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	94	1	0	0	0
81	逍遥凌波微步_起手	Skill_lingboweibu_Start	2	1	4	2	1	0.2	-1	-1	0	84	0	-1	0	-1	0	-1	0	-1	0	-1	1	82	100	1	0	0	0
82	逍遥凌波微步_结束	Skill_lingboweibu_End	2	1	4	2	1	0.2	-1	-1	0	85	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
83	逍遥寒霜怒血_循环	Skill_Hanshuangnuxue_Loop	2	2	4	2	1	0.1	5	84	0	69	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	85	1	0	0	0
84	逍遥寒霜怒血_结束	Skill_Hanshuangnuxue_End	2	1	4	2	1	0.1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
85	雁门关末尾剧情-黑衣人瘦	Yanmenguan_Fight	2	1	4	0	1	0.2	-1	-1	0	129	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
86	雁门关末尾剧情-黑衣人胖	Yanmenguan_Fight	2	1	4	0	1	0.2	-1	-1	0	127	1	128	1	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
87	怪物普攻-豪华版	Attack	2	1	4	2	1	0.2	-1	-1	1	138	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
88	怪物普攻	Attack	2	1	4	2	1	0.2	-1	-1	1	67	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
89	boss技能降龙十八掌	Attack	2	1	4	2	1	0.2	-1	-1	1	124	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
90	boss技能奉天承运	Attack	2	1	4	2	1	0.2	-1	-1	1	125	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
91	boss技能小人之心	Attack	2	1	4	2	1	0.2	-1	-1	1	126	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
92	逍遥寒霜怒血_起手6级	Skill_Hanshuangnuxue_Start	2	1	4	2	1	0.2	-1	-1	0	68	1	-1	0	-1	0	-1	0	-1	0	-1	1	93	84	1	0	0	0
93	逍遥寒霜怒血_循环6级	Skill_Hanshuangnuxue_Loop	2	2	4	2	1	0.1	6	84	0	69	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	85	1	0	0	0
94	逍遥寒霜怒血_起手7级	Skill_Hanshuangnuxue_Start	2	1	4	2	1	0.2	-1	-1	0	68	1	-1	0	-1	0	-1	0	-1	0	-1	1	95	84	1	0	0	0
95	逍遥寒霜怒血_循环7级	Skill_Hanshuangnuxue_Loop	2	2	4	2	1	0.1	7	84	0	69	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	85	1	0	0	0
96	逍遥寒霜怒血_起手8级	Skill_Hanshuangnuxue_Start	2	1	4	2	1	0.2	-1	-1	0	68	1	-1	0	-1	0	-1	0	-1	0	-1	1	97	84	1	0	0	0
97	逍遥寒霜怒血_循环8级	Skill_Hanshuangnuxue_Loop	2	2	4	2	1	0.1	8	84	0	69	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	85	1	0	0	0
98	逍遥寒霜怒血_起手9级	Skill_Hanshuangnuxue_Start	2	1	4	2	1	0.2	-1	-1	0	68	1	-1	0	-1	0	-1	0	-1	0	-1	1	99	84	1	0	0	0
99	逍遥寒霜怒血_循环9级	Skill_Hanshuangnuxue_Loop	2	2	1	2	1	0.1	9	84	0	69	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	85	1	0	0	0
100	逍遥寒霜怒血_起手10级	Skill_Hanshuangnuxue_Start	2	1	4	2	1	0.2	-1	-1	0	68	1	-1	0	-1	0	-1	0	-1	0	-1	1	101	84	1	0	0	0
101	逍遥寒霜怒血_循环10级	Skill_Hanshuangnuxue_Loop	2	2	4	2	1	0.1	10	84	0	69	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	85	1	0	0	0
102	战斗站立	Attack_Stand	1	2	4	0	1	0.3	-1	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
103	聚贤庄BOSS2技能-盾击	Skill_Dunji	2	1	4	2	1	0.2	-1	-1	1	140	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
104	聚贤庄BOSS2技能-盾旋	Skill_Dunxuan	2	1	4	2	1	0.2	-1	-1	1	141	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
105	击退动作	Hit	2	1	4	2	1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
106	少室山丁春秋-三笑逍遥	Skill_Sanxiaoxiaoyao	2	1	4	2	1	0.1	-1	-1	0	155	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
107	少室山丁春秋-腐尸无边	Skill_Fushiwubian	2	1	4	2	1	0.2	-1	-1	0	157	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
108	少室山萧远山-大海无量	Skill_Dahaiwuliang	2	1	4	2	1	0.1	-1	-1	0	192	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
109	少室山萧远山-袈裟伏魔	Skill_Jiashafumo	2	1	4	2	1	0.1	-1	-1	0	189	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
110	聚贤庄-金刚盾伤害	Attack	2	1	4	2	1	0.2	-1	-1	1	153	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
111	少室山游坦之-易筋经	Skill_Diwangzhixiang	2	1	4	2	1	0.1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
112	少室山鸠摩智-血祭	Skill_Huangtianhoutu	2	1	4	2	1	0.2	-1	-1	0	159	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
113	少室山鸠摩智-小无相功	Skill_Fengtianchengyun	2	1	4	2	1	0.2	-1	-1	0	161	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
114	少室山慕容博-以彼之道还施彼身	Skill_Douzhuanxingyi	2	1	4	2	1	0.2	-1	-1	0	162	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
115	少室山慕容博-复国大业	Skill_Quanqingtianxia	2	1	4	2	1	0.1	-1	-1	0	164	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
116	燕子坞慕容复-移花接木	Skill_Fengtianchengyun	2	1	4	2	1	0.2	-1	-1	0	161	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
117	燕子坞邓百川-石破惊天	Skill_Diwangzhixiang	2	1	4	2	1	0.1	-1	-1	0	178	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
118	燕子坞公冶乾-迷踪步	Skill_Huangtianhoutu	2	1	4	2	1	0.2	-1	-1	0	206	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
119	燕子坞公冶乾-排山倒海	Skill_Dahaiwuliang	2	1	4	2	1	0.1	-1	-1	0	165	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
120	燕子坞风波恶-吕洞宾咬狗	Skill_Quanqingtianxia	2	1	4	2	1	0.1	-1	-1	0	164	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
121	燕子坞包不同-影乱	Skill_Dunji	2	1	4	2	1	0.2	-1	-1	1	140	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
122	燕王古墓BOSS1-帝王之相	Skill_Diwangzhixiang	2	1	4	2	1	0.1	-1	-1	0	178	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
123	燕王古墓BOSS2-权倾天下	Skill_Quanqingtianxia	2	1	4	2	1	0.1	-1	-1	0	179	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
124	燕王古墓BOSS3-皇天厚土	Skill_Huangtianhoutu	2	1	4	2	1	0.1	-1	-1	0	180	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
125	燕王古墓BOSS4-奉天承运	Skill_Fengtianchengyun	2	1	4	2	1	0.1	-1	-1	0	181	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
126	燕王古墓BOSS5-斗转星移	Skill_Douzhuanxingyi	2	1	4	2	1	0.1	-1	-1	0	182	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
127	世界BOSS-生死符	Skill_Shengsifu	2	1	4	2	1	0.1	-1	-1	0	185	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
128	世界BOSS-八荒六合	Skill_Bahuangliuhe	2	1	4	2	1	0.1	-1	-1	0	186	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
129	结婚	Marry	2	1	4	2	1	0.1	-1	-1	0	-1	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
130	北冥神功	Skill_Beimingshengong	2	1	4	0	1	0.1	-1	-1	0	19	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	71	1	0	0	0
131	聚贤庄BOSS马夫人-千娇百媚	Skill_Qianjiaobaimei	2	1	4	2	1	0.1	-1	-1	0	198	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
132	聚贤庄BOSS马夫人-蛇蝎心肠	Skill_Shechangxiexin	2	1	4	2	1	0.1	-1	-1	0	196	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
133	聚贤庄BOSS玄难-袖里乾坤	Skill_Xiuliqiankun	2	1	4	2	1	0.1	-1	-1	0	199	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
134	聚贤庄BOSS玄难-天竺佛指	Skill_Tianzhufozhi	2	1	4	2	1	0.1	-1	-1	0	200	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
135	聚贤庄BOSS向望海-挑拨离间	Skill_Diwangzhixiang	2	1	4	2	1	0.1	-1	-1	0	204	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
136	聚贤庄BOSS向望海-小人之心	Skill_Fengtianchengyun	2	1	4	2	1	0.1	-1	-1	0	126	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
137	聚贤庄BOSS白世镜-缠丝擒拿手	Skill_Zhansiqingnashou	2	1	4	2	1	0.1	-1	-1	0	201	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
138	聚贤庄BOSS白世镜-降龙十八掌	Skill_Dahaiwuliang	2	1	4	2	1	0.1	-1	-1	0	124	1	203	1	-1	0	-1	0	-1	0	-1	0	-1	-1	1	0	0	0
139	雁门关BOSS	Skill_Douzhuanxingyi_1	2	1	4	2	1	0.1	-1	-1	0	210	1	211	1	-1	0	-1	0	-1	0	-1	0	-1	140	1	0	0	0
140	雁门关BOSS-普攻	Attack	2	1	4	2	1	0.2	-1	-1	0	215	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	139	1	0	0	0
141	动物型伙伴普攻（物攻）	Attack	2	1	4	2	1	0.2	-1	-1	1	216	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
142	动物型伙伴普攻（法攻）	Attack	2	1	4	2	1	0.2	-1	-1	1	216	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
143	人型伙伴普攻（物攻）	Attack	2	1	4	2	1	0.2	-1	-1	1	217	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
144	人型伙伴普攻（法攻）	Attack	2	1	4	2	1	0.2	-1	-1	1	218	1	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	1	0	0	0
