Index	Desc	TitleID	ZhanJi	ItemID1	IsBind1	ItemNum1	ItemID2	IsBind2	ItemNum2	ItemID3	IsBind3	ItemNum3	ItemID4	IsBind4	ItemNum4	ItemID5	IsBind5	ItemNum5	ItemID6	IsBind6	ItemNum6	ItemID7	IsBind7	ItemNum7	ItemID8	IsBind8	ItemNum8	ItemID9	IsBind9	ItemNum9	ItemID10	IsBind10	ItemNum10
14		26	24	50048	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
15		26	24	50049	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
16		26	24	50050	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
17		27	16	50051	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
18		27	16	50052	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
19		27	16	50053	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
20		27	16	50054	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
21		27	16	50055	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
22		27	16	50056	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
23		27	16	50057	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
24		27	16	50058	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
25		27	8	50059	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
26		27	8	50060	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
27		27	8	50061	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
28		27	8	50062	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
29		27	8	50063	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
30		27	8	50064	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
31		27	8	50065	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
32		27	8	50066	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
33		28	8	50059	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
34		28	8	50060	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
35		28	8	50061	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
36		28	8	50062	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
37		28	8	50063	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
38		28	8	50064	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
39		28	8	50065	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
40		28	8	50066	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
41		29	4	50067	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
42		29	4	50068	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
43		29	4	50069	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
44		29	4	50070	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
45		29	4	50071	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
46		29	4	50072	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
47		29	4	50073	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
48		29	4	50074	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
49		30	2	50075	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
50		30	2	50076	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
51		30	2	50077	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
52		30	2	50078	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
53		30	2	50079	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
54		30	2	50080	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
55		30	2	50081	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
56		30	2	50082	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
57		31	1	50083	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
58		31	1	50084	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
59		31	1	50085	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
60		31	1	50086	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
61		31	1	50087	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
62		31	1	50088	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
63		31	1	50089	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
64		31	1	50090	1	1	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0	-1	1	0
