EffectID	Name	Path	DelayTime	IsOnlyDeactive	Type	ParentName	IsFellowOwner	MaxOwnNum	IsCanHide	X	Y	Z	RotationX	RotationY	RotationZ	Duration	BindTargetType
20	北冥神功特效2	Prefab/Effect/loli_skill_bingshuangxinxing_002	0	1	0	EffectPoint	0	-1	1	0	0.1	0	0	0	0	1.22	0
21	祝融掌特效	Prefab/Effect/loli_zhurongzhang_001	0	1	0	EffectPoint	1	-1	1	0.3	1.3	3.6	0	0	0	0	0
22	天山普攻1特效	Prefab/Effect/tianshan_attack01_001	0.17	1	0	EffectPoint	0	-1	1	0	2	1	328	107	186	0.33	0
23	天山普攻2特效	Prefab/Effect/tianshan_attack02_001	0.1	1	0	EffectPoint	0	-1	1	0.3	1.2	0.3	277	54	117	0.33	0
24	天山普攻3特效	Prefab/Effect/tianshan_attack03_001	0.3	1	0	EffectPoint	0	-1	1	0.6	0	0.3	0	270	0	0.4	0
25	八荒六合特效1	Prefab/Effect/tianshan_xp_loop_001	0.17	0	0	EffectPoint	1	-1	1	0	2.6	0	0	0	0	0	0
26	八荒六合特效2	Prefab/Effect/tianshan_xp_end_001	0.17	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	1.3	0
27	天山折梅手特效	Prefab/Effect/tianshan_zhemeishou_000	0	1	0	EffectPoint	1	-1	1	0	0.6	0.7	0	-180	0	1.23	0
28	天山六阳掌特效1	Prefab/Effect/tianshan_liuyangzhang_001	0.48	1	0	EffectPoint	0	-1	1	0	0	0	0	0	0	3.5	0
29	天山六阳掌特效2	Prefab/Effect/tianshan_liuyangzhang_002	2.2	1	0	EffectPoint	1	-1	1	0	0	0	0	0	0	1.5	0
30	移花接木特效	Prefab/Effect/tianshan_yihuajiemu_001	0	1	0	EffectPoint	1	-1	1	0	1	0	0	0	0	1.6	0
31	大理普攻1特效	Prefab/Effect/dali_attack_001	0.12	1	0	EffectPoint	0	-1	1	0	0	-1	0	0	0	0.38	0
32	大理普攻2特效	Prefab/Effect/dali_attack_002	0.4	1	0	EffectPoint	0	-1	1	0	0.5	-0.7	0	0	0	0.36	0
33	大理普攻3特效	Prefab/Effect/dali_attack_003	0.2	1	0	EffectPoint	0	-1	1	0	0	0	0	0	0	0.47	0
34	暴雨梨花特效1	Prefab/Effect/dali_xp_loop_001	0	0	0	EffectPoint	1	-1	1	0	0.7	0	0	0	0	0	0
35	暴雨梨花特效2	Prefab/Effect/dali_xp_end_001	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	3.5	0
36	一阳指特效	Prefab/Effect/dali_yiyangzhi_001	0	1	0	EffectPoint	0	-1	1	0	0	0	0	0	0	1.15	0
37	六脉神剑特效	Prefab/Effect/loli_skill_huolong016	0	1	0	EffectPoint	0	-1	1	0	0	0	0	0	0	0.5	0
38	流星赶月特效	Prefab/Effect/dali_liuxingganyue_001	0	1	0	EffectPoint	1	-1	1	0	0	0	0	0	0	0.3	0
39	迦叶功特效1	Prefab/Effect/shaolin_jiayegong_000	0.07	1	0	EffectPoint	1	-1	1	0	1.3	0	0	0	0	0.4	0
40	迦叶功特效2	Prefab/Effect/shaolin_jiayegong_001	0.3	1	0	EffectPoint	0	-1	1	0	0	1.3	0	0	0	1.4	0
41	变身恢复	-1	0	0	1	0	1	-1	1	0	0	0	0	0	0	0	0
42	冰冻特效	Prefab/Effect/buff_bingdong001	0	0	0	EffectPoint	1	-1	1	0	-0.2	0	0	0	0	0	0
43	小无相功特效3	Prefab/Effect/loli_skill_shandian_lian001	0.4	1	0	CenterPoint	1	-1	1	0	0	0	0	0	0	1	0
44	少林XP切片特效	Prefab/Effect/dh_shaolin	1.15	0	0	EffectPoint	1	-1	1	0.8	0.5	7.5	0	180	0	1.3	0
45	雁门关乔峰特效	Prefab/Effect/shaolin_xp_End_002	2.25	0	0	EffectPoint	1	-1	1	0	0.2	0	0	0	0	2.2	0
46	天山XP切片特效	Prefab/Effect/dh_tianshan	1.15	0	0	EffectPoint	1	-1	1	0.8	0.3	7.5	0	180	0	1.3	0
47	逍遥XP切片特效	Prefab/Effect/dh_xiaoyao	1.3	0	0	EffectPoint	1	-1	1	0.8	0.5	7.5	0	180	0	1.3	0
48	逍遥普攻符特效	Prefab/Effect/loli_attack_fu001	0	1	0	EffectPoint	1	-1	1	0	0	0	0	0	0	2	0
49	残绕BUFF特效	Prefab/Effect/buff_chanrao_001	0	0	0	CenterPoint	1	-1	1	0	0	0	0	0	0	0	0
50	任务刷怪的特效	Prefab/Effect/SelectCircle	0	0	0	EffectPoint	1	-1	1	0	0	0	0	0	0	0	0
51	逍遥子弹1特效	Prefab/Effect/loli_zidan_001	0	1	0	EffectPoint	0	-1	1	0	0	0	0	0	0	0	0
52	通用升级特效	Prefab/Effect/cb_shengji_ty	0	1	0	EffectPoint	1	-1	1	0	0.1	0	0	0	0	2.5	0
53	逍遥子弹2特效	Prefab/Effect/loli_zidan_001	0.5	1	0	EffectPoint	0	-1	1	0	0	0	0	0	0	0	0
54	逍遥子弹3特效	Prefab/Effect/loli_zidan_001	1	1	0	EffectPoint	0	-1	1	0	0	0	0	0	0	0	0
55	怪物受击闪电链特效	Prefab/Effect/shouji_loli_shandian_001	0	1	0	CenterPoint	1	2	1	0	0	0	0	0	0	0.8	0
56	怪物受击闪电链特效	Prefab/Effect/shouji_loli_shandian_001	0	1	0	CenterPoint	1	2	1	0	0	0	0	0	0	0.8	0
57	逍遥符01	Prefab/Effect/loli_attack_fu001	0	1	0	EffectPoint	0	-1	1	0	0	0	0	0	0	3	0
58	逍遥符02	Prefab/Effect/loli_attack_fu002	0	1	0	EffectPoint	0	-1	1	0	0	0	0	0	0	3	0
59	逍遥符03	Prefab/Effect/loli_attack_fu003	0	1	0	EffectPoint	0	-1	1	0	0	0	0	0	0	3	0
60	学会新技能特效	Prefab/Effect/ui_dianxuan	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	5	0
61	美人亲密	Prefab/Effect/ui_meirenjiewen_001	0	0	0	EffectPoint	0	-1	1	-2.6	-3.5	4.8	0	0	0	3	0
62	轻功人物特效	Prefab/Effect/skill_qinggong_001	0	0	0	CenterPoint	1	-1	1	0	0	0	0	0	0	3	0
63	材质变蓝特效	Prefab/Effect/EmptyEffect	0	1	2	EffectPoint	1	1	1	0	0	0	0	0	0	0	0
64	XP技能激活特效	Prefab/Effect/ui_xpjinengjihuo_001	0	1	0	EffectPoint	0	1	1	0	0	0	0	0	0	0	0
65	开启新功能特效	Prefab/Effect/ui_dianxuan	0	0	0	EffectPoint	1	-1	1	0	0	0	0	0	0	5	0
66	测试宝石特效	Prefab/Effect/loli_attack_wuqi001	0	0	0	EffectPoint	1	1	1	0	0	0	0	0	0	0	0
67	蛤蟆攻击特效	Prefab/Effect/npc_hama_001	0.4	1	0	EffectPoint	1	-1	1	0	0.3	0	0	0	0	1	0
68	逍遥寒霜怒雪_起手	Prefab/Effect/loli_hanshuangnuxue_000	0	1	0	EffectPoint	1	-1	1	0	0.6	0	0	0	0	0.9	0
69	逍遥寒霜怒雪_循环	Prefab/Effect/loli_hanshuangnuxue_001	0.2	1	0	EffectPoint	0	-1	1	0	1.82	0	0	0	0	0	0
70	天山雪花六出	Prefab/Effect/tianshan_xuehualiuchu_001	0	1	0	EffectPoint	1	-1	1	0	0.1	0.2	0	0	0	1.3	0
71	大理以退为进	Prefab/Effect/dali_yituiweijin_001	0	1	0	EffectPoint	1	-1	1	0	0.4	0	0	0	0	1.4	0
72	大理以退为进	Prefab/Effect/dali_yituiweijin_002	0.7	1	0	EffectPoint	0	-1	1	-1	1.2	0	0	0	0	0.35	0
73	大理六脉神剑	Prefab/Effect/dali_liumaishenjian_001	0	1	0	EffectPoint	0	-1	1	0	0.7	0	0	0	0	2	0
74	少林韦陀杵	Prefab/Effect/shaolin_weituochu_001	0.5	1	0	EffectPoint	0	-1	1	0	0	2	0	0	0	1.3	0
75	少林狮吼功	Prefab/Effect/shaolin_chaofeng_001	0.4	1	0	EffectPoint	1	-1	1	0	0.25	0	0	0	0	1.5	0
76	少林金钟罩1	Prefab/Effect/shaolin_jingzhongzhao_000	0.1	1	0	EffectPoint	1	-1	1	0	0	0	0	0	0	0.7	0
77	少林金钟罩2	Prefab/Effect/shaolin_jingzhongzhao_001	0.75	1	0	CenterPoint	1	-1	1	0.85	-0.19	0.063	0	0	78	0	0
78	天山生死符	Prefab/Effect/tianshan_shengsifu_001	0.07	1	0	EffectPoint	1	-1	1	0	0.3	1	0	0	0	1.53	0
79	天山隐遁	Prefab/Effect/tianshan_yindun_001	0.47	1	0	EffectPoint	1	-1	1	0	0.1	0.2	0	0	0	0.8	0
80	大理无所遁形1	Prefab/Effect/dali_wusuodunxing_000	0.1	1	0	EffectPoint	1	-1	1	0	1	0	0	0	0	0.3	0
81	大理无所遁形2	Prefab/Effect/dali_wusuodunxing_001	0.5	1	0	EffectPoint	0	-1	1	0	0.8	0	0	0	0	0.45	0
82	大理画地为牢_Loop	Prefab/Effect/dali_huadiweilao_000	0	1	0	EffectPoint	0	-1	1	0	0	0	0	0	0	0	0
83	大理画地为牢	Prefab/Effect/dali_huadiweilao_001	0	1	0	EffectPoint	0	-1	1	0	0	0	0	0	0	1.4	0
84	逍遥凌波微步1	Prefab/Effect/loli_lingboweibu_start_001	0	1	0	EffectPoint	0	-1	1	0	0.2	0	0	0	0	1	0
85	逍遥凌波微步2	Prefab/Effect/loli_lingboweibu_end_002	0	1	0	EffectPoint	1	-1	1	0	1	0	0	0	0	0.5	0
86	技能CD结束特效	Prefab/Effect/ui_dianxuan_002	0	1	0	EffectPoint	1	-1	1	0	1	0	0	0	0	1	0
87	逍遥寒冰镜1	Prefab/Effect/loli_hanbingjing_001	0	1	0	CenterPoint	1	-1	1	0	0	0	0	0	0	0	0
88	逍遥寒冰镜2	Prefab/Effect/loli_hanbingjing_002	0	1	0	EffectPoint	1	-1	1	0	0.9	0	0	0	0	0.8	0
89	标记特效	Prefab/Effect/buff_biaoji_001	0	0	0	HeadPoint	1	-1	1	0	0	0	0	0	0	0	0
90	隐遁标记特效	Prefab/Effect/buff_yindun_001	0	1	0	EffectPoint	1	-1	1	0	0.8	0	0	0	0	0	0
91	大理陷阱标记	Prefab/Effect/dali_huadiweilao_003	0	0	0	EffectPoint	1	-1	1	0	0	0	0	0	0	0	0
92	大理XP切片特效	Prefab/Effect/dh_dali	2.8	0	0	EffectPoint	1	-1	1	0.8	0.5	7.5	0	180	0	1.3	0
93	大理子弹1特效	Prefab/Effect/dali_zidan_001	0.2	1	0	EffectPoint	0	-1	1	0	0.7	-0.7	0	0	0	0.35	0
94	大理子弹2特效	Prefab/Effect/dali_zidan_001	0.8	1	0	EffectPoint	0	-1	1	0	0.7	-0.7	0	0	0	0.35	0
95	大理子弹3特效	Prefab/Effect/dali_zidan_001	1.3	1	0	EffectPoint	0	-1	1	0	0.7	-0.7	0	0	0	0.35	0
96	摇钱树	Prefab/Effect/ui_yaoqianshu_001	0	0	0	EffectPoint	0	-1	1	-0.1456413	1.685679	3.089695	0	0	0	3	0
97	流星赶月爆炸特效	Prefab/Effect/dali_liuxingganyue_002	0	1	0	EffectPoint	0	-1	1	0	1	0	0	0	0	0.8	0
98	六脉神剑爆炸特效1	Prefab/Effect/dali_liumaishenjian_002	1.15	1	0	EffectPoint	0	-1	1	0	1	0	0	0	0	0.4	0
99	六脉神剑爆炸特效2	Prefab/Effect/dali_liumaishenjian_003	3.1	1	0	EffectPoint	0	-1	1	0	1	0	0	0	0	0.7	0
100	范围特效：环	Prefab/Effect/tongyong_huan_002	0	1	0	EffectPoint	1	-1	1	0	0.1	0	0	0	0	0	0
101	范围特效：圆	Prefab/Effect/cb_zj_yuanxing_01	0	1	0	EffectPoint	1	-1	1	0	0.1	0	270	0	0	0	0
102	范围特效：矩形	Prefab/Effect/cb_zj_changfangxing_01	0	1	0	EffectPoint	1	-1	1	0	0.1	0	90	0	0	0	0
103	范围特效：箭头	Prefab/Effect/tongyong_jiantou_001	0	1	0	EffectPoint	1	-1	1	0	0.1	1.5	0	180	0	0	0
104	致盲	Prefab/Effect/buff_zhimang_001	0	0	0	HeadPoint	1	-1	1	0	0	0	0	120	0	0	0
105	暴击1	Prefab/Effect/baoshi_wuqi_baoji_001	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
106	暴击2	Prefab/Effect/baoshi_wuqi_baoji_002	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
107	暴击3	Prefab/Effect/baoshi_wuqi_baoji_003	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
108	暴击4	Prefab/Effect/baoshi_wuqi_baoji_004	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
109	法攻1	Prefab/Effect/baoshi_wuqi_faxi_001	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
110	法攻2	Prefab/Effect/baoshi_wuqi_faxi_002	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
111	法攻3	Prefab/Effect/baoshi_wuqi_faxi_003	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
112	法攻4	Prefab/Effect/baoshi_wuqi_faxi_004	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
113	命中1	Prefab/Effect/baoshi_wuqi_mingzhong_001	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
114	命中2	Prefab/Effect/baoshi_wuqi_mingzhong_002	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
115	命中3	Prefab/Effect/baoshi_wuqi_mingzhong_003	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
116	命中4	Prefab/Effect/baoshi_wuqi_mingzhong_004	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
117	物攻1	Prefab/Effect/baoshi_wuqi_wuli_001	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
118	物攻2	Prefab/Effect/baoshi_wuqi_wuli_002	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
119	物攻3	Prefab/Effect/baoshi_wuqi_wuli_003	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
120	物攻4	Prefab/Effect/baoshi_wuqi_wuli_004	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
121	受击血特效	Prefab/Effect/cb_shouji_xue_001	0	1	0	EffectPoint	0	1	1	0	0	0	0	0	0	1.3	0
122	眩晕特效	Prefab/Effect/cb_buff_xuanyun_001	0	1	0	HeadPoint	1	1	1	-0.276	-0.039	0	0	0	276	0	0
123	流星赶月特效	Prefab/Effect/dali_liuxingganyue_003	0	1	0	EffectPoint	1	-1	1	0	0	0	0	0	0	1.3	0
124	boss技能降龙十八掌1	Prefab/Effect/boss_xianglongshibazhang_001	0.6	1	0	EffectPoint	1	-1	1	0	0	2	0	0	0	0.5	0
125	boss技能奉天承运	Prefab/Effect/boss_fengtianchengyun_001	0.5	1	0	EffectPoint	1	-1	1	0	0	0	0	0	0	1.3	0
126	boss技能小人之心	Prefab/Effect/boss_xiaorenzhixin_001	0.5	1	0	EffectPoint	1	-1	1	0	0	0	0	0	0	1.3	0
127	胖子黑衣人打斗特效1	Prefab/Effect/heiyiren_skill_000	0	0	0	EffectPoint	1	-1	1	0	0	0	0	0	0	0	0
128	胖子黑衣人打斗特效2	Prefab/Effect/heiyiren_skill03_003	1.65	0	0	EffectPoint	1	-1	1	-0.84	1.1	2.45	0	0	0	0	0
129	瘦子黑衣人打斗特效	Prefab/Effect/heiyiren_skill04_001	3	0	0	EffectPoint	1	-1	1	-2	1.3	3.2	0	0	0	0	0
130	锤子敲打特效1（装备强化）	Prefab/Effect/ui_chunzihuoghua_001	0	0	0	EffectPoint	0	1	1	0.24	-2.45	3.5	0	270	0	2.3	0
131	锤子敲打特效2（装备打星）	Prefab/Effect/ui_chunzihuoghua_001	0	0	0	EffectPoint	0	1	1	0.24	-2.45	3.5	0	270	0	2.3	0
132	锤子敲打特效3（伙伴打星）	Prefab/Effect/ui_chunzihuoghua_001	0	0	0	EffectPoint	0	1	1	0.24	-2.45	3.5	0	270	0	2.3	0
133	锤子敲打特效4（宝石镶嵌）	Prefab/Effect/ui_chunzihuoghua_001	0	0	0	EffectPoint	0	1	1	0.24	-2.45	3.5	0	270	0	2.3	0
134	宝箱特效	Prefab/Effect/ui_baoxiang_002	0	0	0	EffectPoint	0	-1	1	0.21	-0.22	3.14	0	0	0	2.3	0
135	锤子敲打特效4（美人强化）（废弃）	Prefab/Effect/ui_chunzihuoghua_001	0	0	0	EffectPoint	0	1	1	0.24	-2.45	3.5	0	270	0	2.3	0
136	六脉神剑爆炸特效3	Prefab/Effect/dali_liumaishenjian_004	0	1	0	EffectPoint	0	-1	1	0	0.7	0	0	0	0	3.5	0
137	宝箱特效(伙伴抽取)	Prefab/Effect/ui_baoxiang_002	0	0	0	EffectPoint	0	1	1	0.21	0.22	3.14	0	0	0	2.3	0
138	BOSS通用	Prefab/Effect/heiyiren_skill03_003	0	1	0	EffectPoint	1	-1	1	0	0.5	0	0	0	0	2	0
139	死亡特效	Prefab/Effect/tongyong_siwang_001	0.1	0	0	CenterPoint	1	-1	1	0	0	0	0	0	0	2	0
140	聚贤庄BOSS2技能-盾击	Prefab/Effect/boss_youji_dunji	0.5	1	0	EffectPoint	1	-1	1	0	0.7	0	0	0	0	1.7	0
141	聚贤庄BOSS2技能-盾旋	Prefab/Effect/boss_youju_dunxuan_001	0.7	1	0	EffectPoint	1	-1	1	0	0	0.3	0	0	0	0.6	0
142	聚贤庄BOSS2技能-盾旋-子弹	Prefab/Effect/boss_youju_dunxuan_002	0	1	0	EffectPoint	0	-1	1	0	0	0	0	0	0	0	0
143	锤子敲打特效1（侠客吞噬强化）（废弃）	Prefab/Effect/ui_chunzihuoghua_001	0	0	0	EffectPoint	0	1	1	0.24	-2.45	3.5	0	270	0	2.3	0
144	宝箱特效(侠客拜访)	Prefab/Effect/ui_baoxiang_002	0	0	0	EffectPoint	0	1	1	0.21	0.22	3.14	0	0	0	2.3	0
145	暴击5	Prefab/Effect/baoshi_wuqi_baoji_005	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
146	暴击6	Prefab/Effect/baoshi_wuqi_baoji_006	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
147	法攻5	Prefab/Effect/baoshi_wuqi_faxi_005	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
148	法攻6	Prefab/Effect/baoshi_wuqi_faxi_006	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
149	命中5	Prefab/Effect/baoshi_wuqi_mingzhong_005	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
150	命中6	Prefab/Effect/baoshi_wuqi_mingzhong_006	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
151	物攻5	Prefab/Effect/baoshi_wuqi_wuli_005	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
152	物攻6	Prefab/Effect/baoshi_wuqi_wuli_006	0	0	0	EffectPoint	1	1	1	0	0	0	0	271	0	0	0
153	聚贤庄-金刚盾伤害	Prefab/Effect/boss_youji_dunji_01	0.5	1	0	EffectPoint	1	-1	1	0	0.8	0	0	0	0	1.7	0
154	少室山-易筋经	Prefab/Effect/boss_diwangzhixiang_001	0.3	1	0	EffectPoint	1	-1	1	0	-0.2	0.5	0	0	0	1.3	0
155	少室山-三笑逍遥散	Prefab/Effect/boss_sanxiaoxiaoyaosan	0.5	1	0	EffectPoint	1	-1	1	0	0	0.3	0	0	0	1	0
156	少室山-三笑逍遥散-毒	Prefab/Effect/buff_sanxiaoxiaoyao_du	0	1	0	EffectPoint	1	-1	1	0	2.2	0	0	0	0	0	0
157	少室山-腐尸无边	Prefab/Effect/boss_fushiwubian	0	1	0	EffectPoint	1	-1	1	0	1	0	0	0	0	0.8	0
158	少室山-腐尸无边-陷阱	Prefab/Effect/boss_fushiwubian_xianjing	0.7	1	0	EffectPoint	1	-1	1	0	0.1	0	0	0	0	0	0
159	少室山-血祭	Prefab/Effect/boss_jiumozhi_xueji	0.8	1	0	EffectPoint	1	-1	1	0	0.1	1.7	0	0	0	1.05	0
160	少室山-血祭召唤	Prefab/Effect/boss_jiumozhi_xuejizhaohuan	0	1	0	EffectPoint	1	1	1	0	0	0	0	0	0	0	0
161	少室山-小无相功	Prefab/Effect/boss_fengtianchengyun_001	0.5	1	0	EffectPoint	1	-1	1	0	0	0	0	0	0	1.3	0
162	少室山-以彼之道还施彼身	Prefab/Effect/boss_douzhuanxingyi	0.55	1	0	EffectPoint	1	-1	1	0	0.2	0.5	0	0	0	2.05	0
163	少室山-以彼之道还施彼身-反弹	Prefab/Effect/buff_fantan	0	1	0	EffectPoint	1	-1	1	0	0.7	0	0	0	0	0	0
164	少室山-复国大业	Prefab/Effect/boss_quanqingtianxia	0.7	1	0	EffectPoint	1	-1	1	0	0.2	1	0	0	0	1	0
165	公冶乾-排山倒海	Prefab/Effect/boss_dahaiwuliang_001	0.8	1	0	EffectPoint	1	-1	1	0	0.3	1.6	0	0	0	0.5	0
166	少室山-袈裟伏魔功	Prefab/Effect/buff_fantan	0	1	0	CenterPoint	1	-1	1	0	0.2	0	0	0	0	0	0
167	少室山-袈裟伏魔功-爆炸	Prefab/Effect/boss_jiashafumogong	0.1	1	0	EffectPoint	1	-1	1	0	0	0	0	0	0	2	0
168	结婚结束绚丽特效（废弃）	Prefab/Effect/loli_hanshuangnuxue_001	0	0	0	EffectPoint	1	-1	1	0	1.82	0	0	0	0	0	0
169	战斗力低级	Prefab/Effect/vip01_001	0	0	0	CenterPoint	1	1	1	0	0	0	0	0	0	0	0
170	战斗力中级	Prefab/Effect/vip02_001	0	0	0	CenterPoint	1	1	1	0	0	0	0	0	0	0	0
171	战斗力高级	Prefab/Effect/vip03_001	0	0	0	CenterPoint	1	1	1	0	0	0	0	0	0	0	0
172	师门技能 - 加血	Prefab/Effect/buff_jiaxue	0	0	0	EffectPoint	1	-1	1	0	0	0	0	0	0	1.7	0
173	师门技能 - 布施	Prefab/Effect/buff_bushi	0	0	0	EffectPoint	1	-1	1	0	0	0	0	0	0	1.7	0
174	师门技能 - 复活	Prefab/Effect/shimen_fuhuo_001	0	0	0	EffectPoint	1	-1	1	0	0	0	0	0	0	1.7	0
175	掉落包掉落特效	Prefab/Effect/scene_jinbi_001	0	0	0	EffectPoint	0	1	1	0.21	0.22	3.14	0	0	0	0	0
176	掉落包吸取特效	Prefab/Effect/scene_jinbi_002	0	0	0	EffectPoint	0	1	1	0.21	0.22	3.14	0	0	0	0	0
177	侠客拜访	Prefab/Effect/ui_xiake_001	0	0	0	EffectPoint	0	1	1	0.21	0.21	6.2	270	0	0	4	0
178	燕王古墓BOSS1-帝王之相	Prefab/Effect/boss_diwangzhixiang_001	0.4	1	0	EffectPoint	1	-1	1	0	-0.2	0.5	0	0	0	1.3	0
179	燕王古墓BOSS2-权倾天下	Prefab/Effect/boss_quanqingtianxia	0.7	1	0	EffectPoint	1	-1	1	0	0.2	1	0	0	0	1.7	0
180	燕王古墓BOSS3-皇天厚土	Prefab/Effect/boss_huangtianhoutu	0	1	0	EffectPoint	1	-1	1	0	0	1	0	0	0	1.7	0
181	燕王古墓BOSS4-奉天承运	Prefab/Effect/boss_fengtianchengyun_001	0.5	1	0	EffectPoint	1	-1	1	0	0	0	0	0	0	1.7	0
182	燕王古墓BOSS5-斗转星移	Prefab/Effect/boss_douzhuanxingyi	0.55	1	0	EffectPoint	1	-1	1	0	0.2	0.5	0	0	0	1.7	0
