Id	Desc	FakeObjModel	AnimPath	XOffSet	YOffSet	ZOffset	XRotation	YRotation	ZRotation	IsPlayer	Effect	Bone
62	人物_丐帮	Sz_gaibang_xsz	Animation/Player/GaiBang_001	0.25	-2.7	0	4.46	321.8	357.41	1	0	
63	飘飘鸭	Npc_001_xiaohuangya_001		-0.18	-2.1	0.1	0	284.8	0	0	0	
64	玉狮子	Qicheng_001_shizi_002		0.9	-2.6	0	355	283	0	0	0	
65	红焰菱狼	Qicheng_001_heilang_001		0.9	-2.6	0	355	283	0	0	0	
66	滑板	Qc_huaban_001	Animation/Ride/HuaBan	0.49	-2.77	-0.24	359.1328	8.037382	355.0756	0	0	
67	摩托	Qc_bike_01	Animation/Ride/Bike	1.31	-2.88	-2.21	354.925	287.0024	0.092	0	451	EffectPoint
68	时装_狂战士	Zy_kuangzhanshi_002_001	Animation/Player/KuangZhanShi	0.43	-3	-0.73	4.46	328.7	357.4	1	0	
69	时装_双剑士	Zy_shuangjianshi_000_001	Animation/Player/ShuangJianShi	0.43	-2.88	-0.53	4.217	323.68	357.022	1	0	
70	时装_魔导士	Zy_modaoshi_002_001	Animation/Player/MoDaoShi	0.43	-2.98	-0.7	4.67	333.7	357.8	1	0	
71	时装_弓箭手	Zy_gongjianshou_001_001	Animation/Player/GongJianShou	0.48	-2.82	-0.2	4.67	333.7	357.8	1	0	
72	摩托	Qc_bike_01	Animation/Ride/Bike	1.13	-2.81	-0.79	354.925	287.0024	0.092	0	0	
73	猿猴	Pet_yuanhou_001	Animation/NPC/dongwu/houzi	-0.6	-1.76	1.43	0	343.67	0	0	0	
74	野猪	Npc_conglinyezhu_001	Animation/NPC/dongwu/dagou	0.15	-2.41	0.05	0	357.67	0	0	0	
75	白光虎	Pet_baiguanghu_001_001	Animation/NPC/pet/xiaogou	-0.39	-1.96	1.28	0	12.67	0	0	0	
76	变异白光虎	Pet_baiguanghu_002_001	Animation/NPC/pet/xiaogou	-0.39	-1.96	1.28	0	12.67	0	0	0	
77	挖煤工	Pet_wameigong_001_001	Animation/NPC/pet/xiaogou	-0.37	-1.99	1.29	0	7.67	0	0	0	
78	变异挖煤工	Pet_wameigong_002_001	Animation/NPC/pet/xiaogou	-0.37	-1.99	1.29	0	7.67	0	0	0	
79	机器人	Pet_mechanic_001	Animation/NPC/pet/renxingjiqiren	-0.66	-1.82	1.7	0	337.67	0	0	0	
80	变异机器人	Pet_mechanic_002_001	Animation/NPC/pet/renxingjiqiren	-0.66	-1.82	1.7	0	337.67	0	0	0	
81	高频机器人	Pet_mechanic_002_002	Animation/NPC/pet/renxingjiqiren	-0.66	-1.82	1.7	0	337.67	0	0	0	
82	德拉卡	Pet_dragon_001_001	Animation/NPC/pet/long	-0.51	-2.31	1.61	0	7.67	0	0	0	
83	变异德拉卡	Pet_dragon_001_002	Animation/NPC/pet/long	-0.51	-2.31	1.61	0	7.67	0	0	0	
84	变异野猪	Npc_conglinyezhu_gaoji_001	Animation/NPC/dongwu/dagou	0.15	-2.41	0.05	0	357.67	0	0	0	
85	嘻哈企鹅	Pet_penguin_001	Animation/NPC/pet/jiangbing	-0.66	-1.82	1.7	0	337.67	0	0	0	
86	变异嘻哈企鹅	Pet_penguin_002	Animation/NPC/pet/jiangbing	-0.66	-1.82	1.7	0	337.67	0	0	0	
87	紫糯米	Pet_purplecat_001	Animation/NPC/pet/jiangbing	-0.66	-1.82	1.7	0	337.67	0	0	0	
88	变异紫糯米	Pet_purplecat_002	Animation/NPC/pet/jiangbing	-0.66	-1.82	1.7	0	337.67	0	0	0	
89	骷髅小伙伴	Pet_kulou_001_001	Animation/NPC/pet/renxingdangshoujian	-0.66	-1.82	1.7	0	337.67	0	0	0	
90	变异骷髅小伙伴	Pet_kulou_002_001	Animation/NPC/pet/renxingdangshoujian	-0.66	-1.82	1.7	0	337.67	0	0	0	
91	哥斯拉	Pet_baigesila_001	Animation/NPC/pet/xiyi	-0.66	-1.82	1.7	0	337.67	0	0	0	
92	变异哥斯拉	Pet_langesila_001	Animation/NPC/pet/xiyi	-0.66	-1.82	1.7	0	337.67	0	0	0	
93	搬箱鼠	Pet_banxiangshu_001_001	Animation/NPC/pet/xiyi	-0.66	-1.82	1.7	0	337.67	0	0	0	
94	变异搬箱鼠	Pet_banxiangshu_002_001	Animation/NPC/pet/xiyi	-0.66	-1.82	1.7	0	337.67	0	0	0	
95	安吉拉	Pet_anjila_001_001	Animation/NPC/pet/xiaohai	-0.66	-1.82	1.7	0	337.67	0	0	0	
96	变异安吉拉	Pet_anjila_002_001	Animation/NPC/pet/xiaohai	-0.66	-1.82	1.7	0	337.67	0	0	0	
97	德比鲁	Pet_debilu_001_001	Animation/NPC/pet/xiaohai	-0.66	-1.82	1.7	0	337.67	0	0	0	
98	变异德比鲁	Pet_debilu_002_001	Animation/NPC/pet/xiaohai	-0.66	-1.82	1.7	0	337.67	0	0	0	
99	羊驼	Pet_alpaca_001	Animation/NPC/pet/yang	-0.66	-1.82	1.7	0	337.67	0	0	0	
100	飞车	Qc_feiche_001_001	Animation/Ride/HuaBan	0.86	-2.77	-0.43	359.1328	8.037382	355.0756	0	0	
101	摩托	Qc_motuo_001_001	Animation/Ride/Motuo	0.81	-2.63	-0.37	354.925	287.0024	3.2	0	451	Model/all/Bone11/Ride_Point01
102	毒蝎	Npc_judutianxie_001	Animation/NPC/dongwu/xiezi	-0.39	-1.96	1.28	0	12.67	0	0	0	
103	变异毒蝎	Npc_lagenvwang_001	Animation/NPC/dongwu/xiezi	-0.39	-1.96	1.28	0	12.67	0	0	0	
104	顶角兽	Npc_dingjiaobao_001	Animation/NPC/dongwu/dagou	0.15	-2.41	0.05	0	357.67	0	0	0	
105	变异顶角兽	Npc_leizhuadingjiaoshou_001	Animation/NPC/dongwu/dagou	0.15	-2.41	0.05	0	357.67	0	0	0	
106	修理工	Pet_airen_001_001	Animation/NPC/pet/renxingjiqiren	-0.66	-1.82	1.7	0	337.67	0	0	0	
107	变异修理工	Pet_airen_001_002	Animation/NPC/pet/renxingjiqiren	-0.66	-1.82	1.7	0	337.67	0	0	0	
108	机械战士	Pet_airen_002_001	Animation/NPC/pet/renxingjiqiren	-0.66	-1.82	1.7	0	337.67	0	0	0	
109	变异机械战士	Pet_pate_002_001	Animation/NPC/pet/renxingjiqiren	-0.66	-1.82	1.7	0	337.67	0	0	0	
110	路障	Pet_pate_001_002	Animation/NPC/pet/renxingjiqiren	-0.66	-1.82	1.7	0	337.67	0	0	0	
111	变异路障	Pet_pate_001_001	Animation/NPC/pet/renxingjiqiren	-0.66	-1.82	1.7	0	337.67	0	0	0	
112	座狼	Pet_zuolang_001_001	Animation/NPC/dongwu/dagou	-0.23	-2.2	0.9	0	22.67	0	0	0	
113	变异座狼	Pet_zuolang_002_001	Animation/NPC/dongwu/dagou	-0.23	-2.2	0.9	0	22.67	0	0	0	
114	翅膀界面_狂战士	Zy_kuangzhanshi_000_001	Animation/Player/KuangZhanShi	1.05	-3.21	-0.59	0.381	273.68	354.81	1	0	
115	翅膀界面_双剑士	Zy_shuangjianshi_000_001	Animation/Player/ShuangJianShi	0.96	-2.98	-0.15	4.416	280.53	354.45	1	0	
116	翅膀界面_魔导士	Zy_modaoshi_000_001	Animation/Player/MoDaoShi	1.16	-3.19	-0.55	1.435	290.5	358.5	1	0	
117	翅膀界面_弓箭手	Zy_gongjianshou_001_001	Animation/Player/GongJianShou	1.28	-3	-0.2	4.67	333.7	357.8	1	0	
118	翅膀界面_职业5	Zy_gongjianshou_001_001	Animation/Player/GongJianShou	1.28	-3	-0.2	4.67	333.7	357.8	1	0	
