Id	Desc	LimitID	BonusID	MissionType	LogicType	LogicID	ScriptID	NextMissionID	AcceptDataID	CompleteDataID	DalityMissionTabID	GuildMissionTabID
85	{0}【主】{1}伙伴失散	85	85	1	0	43	-1	87	41	41	-1	-1
86	{0}【主】{1}冰冻墓地	86	86	1	-1	-1	5005	157	1155	1155	-1	-1
87	{0}【主】{1}清除障碍	87	87	1	1	7	-1	88	41	41	-1	-1
88	{0}【主】{1}求助贤者	88	88	1	2	22	-1	89	41	39	-1	-1
89	{0}【主】{1}湖畔慨况	89	89	1	0	44	-1	310	39	39	-1	-1
90	{0}【主】{1}变装	90	90	1	0	97	-1	-1	-1	-1	-1	-1
91	{0}【主】{1}探查营地	91	91	2	10	6	-1	-1	39	39	-1	-1
92	{0}【主】{1}小队现状	92	92	1	0	45	-1	93	42	42	-1	-1
93	{0}【主】{1}报告情况	93	93	1	2	24	-1	94	42	39	-1	-1
94	{0}【主】{1}怀疑	94	94	1	0	46	-1	164	39	39	-1	-1
95	{0}【主】{1}魔力受限	95	95	1	0	47	-1	96	39	39	-1	-1
96	{0}【主】{1}求助女贼	96	96	1	2	25	-1	97	39	42	-1	-1
97	{0}【主】{1}清除守卫	97	97	1	1	8	-1	99	42	42	-1	-1
98	{0}【主】{1}调查遗迹	98	98	2	-1	-1	5020	180	212	212	-1	-1
99	{0}【主】{1}机械损坏	99	99	1	0	48	-1	100	42	42	-1	-1
100	{0}【主】{1}快去快回	100	100	1	2	26	-1	101	42	39	-1	-1
101	{0}【主】{1}不信任	101	101	1	0	49	-1	102	39	39	-1	-1
102	{0}【主】{1}避免起疑	102	102	1	2	27	-1	103	39	42	-1	-1
103	{0}【主】{1}前往湖泊	103	103	1	2	28	-1	105	42	52	-1	-1
104	{0}【主】{1}缺少工具	104	104	1	0	50	-1	-1	-1	-1	-1	-1
105	{0}【主】{1}兽人交流	105	105	1	0	51	-1	423	52	52	-1	-1
106	{0}【主】{1}兽人求助	106	106	1	2	29	-1	107	52	53	-1	-1
107	{0}【主】{1}兽人异变	107	107	1	0	52	-1	108	53	53	-1	-1
108	{0}【主】{1}事件重点	108	108	1	0	53	-1	109	53	53	-1	-1
109	{0}【主】{1}兽人斥候	109	109	1	1	9	-1	110	53	53	-1	-1
110	{0}【主】{1}人类女性	110	110	1	2	30	-1	111	53	54	-1	-1
111	{0}【主】{1}限制增强	111	111	1	0	54	-1	112	54	54	-1	-1
112	{0}【主】{1}采集魔药	112	112	1	3	4	-1	409	54	54	-1	-1
113	{0}【主】{1}护法	113	113	2	10	9	-1	-1	54	54	-1	-1
114	{0}【主】{1}魔力恢复	114	114	1	0	55	-1	115	54	54	-1	-1
115	{0}【主】{1}清除前锋	115	115	1	1	10	-1	116	54	54	-1	-1
116	{0}【主】{1}潜伏女贼	116	116	1	2	31	-1	117	54	55	-1	-1
117	{0}【主】{1}兽人军队	117	117	1	0	56	-1	118	55	55	-1	-1
118	{0}【主】{1}变装潜入	118	118	1	5	10	-1	120	55	55	-1	-1
119	{0}【主】{1}纸条	119	119	1	0	101	-1	-1	-1	-1	-1	-1
120	{0}【主】{1}故人	120	120	1	0	57	-1	121	55	55	-1	-1
121	{0}【主】{1}寻找银木	121	121	1	2	32	-1	122	55	56	-1	-1
122	{0}【主】{1}搜索小队	122	122	1	1	11	-1	398	56	56	-1	-1
123	{0}【主】{1}攻击信号	123	123	1	0	288	-1	37	14	14	-1	-1
124	{0}【主】{1}安慰	124	124	1	0	58	-1	193	60	60	-1	-1
125	{0}【主】{1}阴谋	125	125	1	0	277	-1	187	60	60	-1	-1
126	{0}【主】{1}又见贵妇	126	126	1	2	48	-1	145	33	172	-1	-1
127	{0}【主】{1}部落内情	127	127	1	2	33	-1	128	60	61	-1	-1
128	{0}【主】{1}理智失控	128	128	1	0	60	-1	129	61	61	-1	-1
129	{0}【主】{1}速速离去	129	129	1	2	34	-1	130	61	62	-1	-1
130	{0}【主】{1}水中遗迹	130	130	1	0	61	-1	131	62	62	-1	-1
131	{0}【主】{1}遗迹僵尸	131	131	1	10	12	-1	132	62	62	-1	-1
132	{0}【主】{1}回归重点	132	132	1	0	62	-1	133	62	62	-1	-1
133	{0}【主】{1}僵尸外游	133	133	1	1	13	-1	156	62	62	-1	-1
134	{0}【主】{1}接应	134	134	1	2	35	-1	135	62	63	-1	-1
135	{0}【主】{1}异变加剧	135	135	1	0	63	-1	136	63	63	-1	-1
136	{0}【主】{1}残暴兽人	136	136	1	1	14	-1	138	63	63	-1	-1
137	{0}【主】{1}兽人大营	137	137	1	2	90	-1	40	1154	14	-1	-1
138	{0}【主】{1}可疑人物	138	138	1	2	36	-1	139	63	64	-1	-1
139	{0}【主】{1}自辩	139	139	1	0	64	-1	140	64	64	-1	-1
140	{0}【主】{1}无可奈何	140	140	1	2	37	-1	148	64	66	-1	-1
141	{0}【主】{1}旁若无物	141	141	1	10	14	-1	142	65	65	-1	-1
142	{0}【主】{1}了然于心	142	142	1	0	65	-1	143	65	65	-1	-1
143	{0}【主】{1}争取时间	143	143	1	1	15	-1	144	65	65	-1	-1
144	{0}【主】{1}可疑机械	144	144	1	0	66	-1	167	65	65	-1	-1
145	{0}【主】{1}少女被挟	145	145	1	0	67	-1	183	172	172	-1	-1
146	{0}【主】{1}宽宏大量	146	146	1	0	68	-1	198	65	65	-1	-1
147	{0}【主】{1}第六贤者	147	147	1	2	38	-1	141	66	65	-1	-1
148	{0}【主】{1}报告事情	148	148	1	0	69	-1	149	66	66	-1	-1
149	{0}【主】{1}机械守卫	149	149	1	1	16	-1	150	66	66	-1	-1
150	{0}【主】{1}机械蜘蛛	150	150	1	1	17	-1	152	66	66	-1	-1
151	{0}【主】{1}探查要塞	151	151	1	0	106	-1	-1	-1	-1	-1	-1
152	{0}【主】{1}另一贤者	152	152	1	0	70	-1	147	66	66	-1	-1
153	{0}【主】{1}战场求生	153	153	1	-1	-1	2014	-1	-1	-1	-1	-1
154	{0}【主】{1}雪地生物	154	154	1	1	18	-1	155	157	157	-1	-1
155	{0}【主】{1}状况不明	155	155	1	0	71	-1	81	157	157	-1	-1
156	{0}【主】{1}巨魔宝物	156	156	1	-1	-1	5002	168	62	62	-1	-1
157	{0}【主】{1}魂器升级	157	157	1	-1	-1	5017	308	1155	1155	-1	-1
158	{0}【主】{1}贵妇	158	158	1	0	73	-1	159	158	158	-1	-1
159	{0}【主】{1}清理僵尸	159	159	1	1	19	-1	160	158	158	-1	-1
160	{0}【主】{1}珍贵资料	160	160	1	3	6	-1	161	158	158	-1	-1
161	{0}【主】{1}学者下落	161	161	1	0	74	-1	162	158	158	-1	-1
162	{0}【主】{1}僵尸围城	162	162	1	10	4	-1	163	158	158	-1	-1
163	{0}【主】{1}大门紧闭	163	163	1	0	129	-1	175	158	158	-1	-1
164	{0}【主】{1}机械古堡	164	175	1	-1	-1	5003	95	39	39	-1	-1
165	{0}【主】{1}奇妙空间	165	165	1	4	4	-1	23	165	1155	-1	-1
166	{0}【主】{1}报告	166	166	1	0	148	-1	69	36	36	-1	-1
167	{0}【主】{1}科技苑	167	167	1	-1	-1	5009	71	65	65	-1	-1
168	{0}【主】{1}宠物升星	168	168	1	-1	-1	5012	134	62	62	-1	-1
169	{0}【主】{1}回报成效	169	169	1	2	43	-1	-1	-1	-1	-1	-1
170	{0}【主】{1}提前出发	170	170	1	0	149	-1	171	37	37	-1	-1
171	{0}【主】{1}回程	171	171	1	2	44	-1	172	37	35	-1	-1
172	{0}【主】{1}再回冰封	172	172	1	2	45	-1	315	35	33	-1	-1
173	{0}【主】{1}中伏	173	173	1	10	5	-1	67	33	33	-1	-1
174	{0}【主】{1}幕后有人	174	174	1	0	153	-1	126	33	33	-1	-1
175	{0}【主】{1}秘密研究	175	164	1	-1	-1	5004	65	158	158	-1	-1
176	{0}【主】{1}接应	176	176	1	2	46	-1	177	172	166	-1	-1
177	{0}【主】{1}壮硕博士	177	177	1	0	155	-1	178	166	166	-1	-1
178	{0}【主】{1}重重守护	178	178	1	4	5	-1	179	166	166	-1	-1
179	{0}【主】{1}魔界傀儡	179	179	1	1	21	-1	181	166	166	-1	-1
180	{0}【主】{1}幕后黑手	180	180	2	-1	-1	-1	-1	212	212	-1	-1
181	{0}【主】{1}事情处理	181	181	1	0	157	-1	76	166	166	-1	-1
182	{0}【主】{1}请求支援	182	182	1	2	47	-1	72	166	36	-1	-1
183	{0}【主】{1}碍事生物	183	183	1	1	22	-1	184	172	172	-1	-1
184	{0}【主】{1}少女潜力	184	184	1	0	159	-1	176	172	172	-1	-1
185	{0}【主】{1}营地前哨	185	185	1	10	10	-1	186	56	56	-1	-1
186	{0}【主】{1}攻击计划	186	186	1	0	161	-1	188	56	56	-1	-1
187	{0}【主】{1}废弃都市	187	187	1	-1	-1	5006	245	60	60	-1	-1
188	{0}【主】{1}通知计划	188	188	1	2	49	-1	189	56	55	-1	-1
189	{0}【主】{1}质疑	189	189	1	0	163	-1	190	55	55	-1	-1
190	{0}【主】{1}修尔克	190	190	1	0	164	-1	191	55	55	-1	-1
191	{0}【主】{1}前往要塞	191	191	1	2	50	-1	124	55	60	-1	-1
192	{0}【主】{1}消除隐患	192	192	1	1	23	-1	64	32	32	-1	-1
193	{0}【主】{1}采集水样	193	193	1	3	17	-1	125	60	60	-1	-1
194	{0}【主】{1}追缉	194	194	1	2	51	-1	196	65	64	-1	-1
195	{0}【主】{1}绳之以法	195	195	1	0	165	-1	-1	-1	-1	-1	-1
196	{0}【主】{1}沉默不语	196	196	1	0	166	-1	197	64	64	-1	-1
197	{0}【主】{1}报告	197	197	1	2	52	-1	146	64	65	-1	-1
198	{0}【主】{1}批准帮忙	198	198	1	2	53	-1	199	65	36	-1	-1
199	{0}【主】{1}事情进展	199	199	1	0	206	-1	200	36	36	-1	-1
200	{0}【主】{1}出发之前	200	200	1	2	54	-1	203	36	37	-1	-1
201	{0}【主】{1}目击证人	201	201	1	2	55	-1	-1	-1	-1	-1	-1
202	{0}【主】{1}已经离去	202	202	1	0	207	-1	-1	-1	-1	-1	-1
203	{0}【主】{1}遗忘废墟	203	203	1	2	56	-1	204	37	206	-1	-1
204	{0}【主】{1}沙狼泛滥	204	204	1	1	24	-1	205	206	206	-1	-1
205	{0}【主】{1}咨询详情	205	205	1	0	208	-1	206	206	206	-1	-1
206	{0}【主】{1}再会佣兵	206	206	1	2	57	-1	207	206	208	-1	-1
207	{0}【主】{1}不慎中毒	207	207	1	0	209	-1	208	208	208	-1	-1
208	{0}【主】{1}解毒药草	208	208	1	3	18	-1	210	208	208	-1	-1
209	{0}【主】{1}清除毒蝎	209	209	2	-1	-1	-1	-1	-1	-1	-1	-1
210	{0}【主】{1}巨大魔力	210	210	1	0	210	-1	211	208	208	-1	-1
211	{0}【主】{1}少女长老	211	211	1	2	58	-1	212	208	210	-1	-1
212	{0}【主】{1}村落现状	212	212	1	0	211	-1	213	210	210	-1	-1
213	{0}【主】{1}询问旅人	213	213	1	2	59	-1	214	210	211	-1	-1
214	{0}【主】{1}意外之灾	214	214	1	0	212	-1	215	211	211	-1	-1
215	{0}【主】{1}求助长老	215	215	1	2	60	-1	216	211	210	-1	-1
216	{0}【主】{1}兽人祭司	216	216	1	4	8	-1	29	210	210	-1	-1
217	{0}【主】{1}召唤神器	217	217	1	0	86	-1	219	210	210	-1	-1
218	{0}【主】{1}破除诅咒	218	218	2	10	7	-1	-1	52	52	-1	-1
219	{0}【主】{1}询问诅咒	219	219	1	2	61	-1	303	210	212	-1	-1
220	{0}【主】{1}担心伙伴	220	220	1	2	62	-1	221	212	213	-1	-1
221	{0}【主】{1}触景生情	221	221	1	0	213	-1	222	213	213	-1	-1
222	{0}【主】{1}入侵者	222	222	1	1	26	-1	223	213	213	-1	-1
223	{0}【主】{1}鬼祟之人	223	223	1	2	63	-1	224	213	215	-1	-1
224	{0}【主】{1}魔物追杀	224	224	1	0	214	-1	225	215	215	-1	-1
225	{0}【主】{1}阴魂不散	225	225	1	1	27	-1	226	215	215	-1	-1
226	{0}【主】{1}一绝后患	226	226	1	10	16	-1	227	215	215	-1	-1
227	{0}【主】{1}疑惑	227	227	1	0	215	-1	314	215	215	-1	-1
228	{0}【主】{1}结伴而行	228	228	1	2	64	-1	229	215	217	-1	-1
229	{0}【主】{1}边缘现状	229	229	1	0	216	-1	230	217	217	-1	-1
230	{0}【主】{1}融合种	230	230	1	1	28	-1	231	217	217	-1	-1
231	{0}【主】{1}探查异常	231	231	1	4	9	-1	232	217	219	-1	-1
232	{0}【主】{1}暗中观察	232	232	1	0	217	-1	233	219	219	-1	-1
233	{0}【主】{1}缄口不言	233	233	1	2	65	-1	234	219	217	-1	-1
234	{0}【主】{1}发现甚少	234	234	1	0	218	-1	235	217	217	-1	-1
235	{0}【主】{1}护送	235	235	1	2	91	-1	236	217	219	-1	-1
236	{0}【主】{1}不加责备	236	236	1	0	220	-1	237	219	219	-1	-1
237	{0}【主】{1}巨猿军队	237	237	1	4	10	-1	238	219	219	-1	-1
238	{0}【主】{1}不懂机械	238	238	1	2	66	-1	239	219	220	-1	-1
239	{0}【主】{1}收集证据	239	239	1	5	8	-1	240	220	220	-1	-1
240	{0}【主】{1}有人操纵	240	240	1	0	221	-1	241	220	220	-1	-1
241	{0}【主】{1}请教盗贼	241	241	1	2	67	-1	242	220	221	-1	-1
242	{0}【主】{1}机关林立	242	242	1	0	222	-1	243	221	221	-1	-1
243	{0}【主】{1}求助长老	243	243	1	2	68	-1	244	221	222	-1	-1
244	{0}【主】{1}神圣禁地	244	244	1	0	223	-1	302	222	222	-1	-1
245	{0}【主】{1}符文	245	245	1	-1	-1	2001	127	60	60	-1	-1
246	{0}【主】{1}记忆丧失	246	246	1	0	224	-1	247	223	223	-1	-1
247	{0}【主】{1}雷纳堡	247	247	1	2	70	-1	248	223	317	-1	-1
248	{0}【主】{1}融合生物	248	248	1	1	29	-1	249	317	317	-1	-1
249	{0}【主】{1}邪恶实验	249	249	1	0	227	-1	250	317	317	-1	-1
250	{0}【主】{1}会合佣兵	250	250	1	2	71	-1	251	317	319	-1	-1
251	{0}【主】{1}高级融合	251	251	1	1	30	-1	252	319	319	-1	-1
252	{0}【主】{1}抓捕	252	252	1	10	18	-1	253	319	319	-1	-1
253	{0}【主】{1}滑稽身影	253	253	1	2	72	-1	254	319	321	-1	-1
254	{0}【主】{1}误打误撞	254	254	1	0	229	-1	304	321	321	-1	-1
255	{0}【主】{1}第七贤者	255	255	1	2	73	-1	256	321	322	-1	-1
256	{0}【主】{1}追捕受阻	256	256	1	0	230	-1	257	322	322	-1	-1
257	{0}【主】{1}机械反叛	257	257	1	4	11	-1	258	322	322	-1	-1
258	{0}【主】{1}于心不忍	258	258	1	1	31	-1	259	322	323	-1	-1
259	{0}【主】{1}机械控制	259	259	1	0	231	-1	260	323	323	-1	-1
260	{0}【主】{1}自首	260	260	1	2	74	-1	261	323	322	-1	-1
261	{0}【主】{1}疑惑	261	261	1	0	232	-1	262	322	322	-1	-1
262	{0}【主】{1}熟悉之人	262	262	1	2	75	-1	263	322	325	-1	-1
263	{0}【主】{1}进入理由	263	263	1	0	233	-1	264	325	325	-1	-1
264	{0}【主】{1}防御启动	264	264	1	1	32	-1	265	325	325	-1	-1
265	{0}【主】{1}守卫者	265	265	1	10	20	-1	266	325	325	-1	-1
266	{0}【主】{1}逃离	266	266	1	2	76	-1	267	325	222	-1	-1
267	{0}【主】{1}关闭入口	267	267	1	0	225	-1	268	222	222	-1	-1
268	{0}【主】{1}善后处理	268	268	1	2	71	-1	269	222	315	-1	-1
269	{0}【主】{1}有言相告	269	269	1	2	72	-1	321	315	316	-1	-1
270	{0}【主】{1}良心发现	270	270	1	0	226	-1	271	316	316	-1	-1
271	{0}【主】{1}通知长老	271	271	1	2	77	-1	272	316	222	-1	-1
272	{0}【主】{1}感谢贤者	272	272	1	2	78	-1	273	222	315	-1	-1
273	{0}【主】{1}交付任务	273	273	1	0	235	-1	274	315	315	-1	-1
274	{0}【主】{1}不安贤者	274	274	1	2	79	-1	322	315	327	-1	-1
275	{0}【主】{1}记忆	275	275	1	0	236	-1	276	327	327	-1	-1
276	{0}【主】{1}止痛草	276	276	1	3	19	-1	277	327	327	-1	-1
277	{0}【主】{1}神话种	277	277	1	10	25	-1	305	327	327	-1	-1
278	{0}【主】{1}亡灵冰塔	278	278	1	0	238	-1	279	327	327	-1	-1
279	{0}【主】{1}告别	279	279	1	2	80	-1	280	327	328	-1	-1
280	{0}【主】{1}继续追寻	280	280	1	0	239	-1	306	328	328	-1	-1
281	{0}【主】{1}出发冰塔	281	281	1	2	81	-1	282	328	1097	-1	-1
282	{0}【主】{1}时过境迁	282	282	1	0	240	-1	283	1097	1097	-1	-1
283	{0}【主】{1}询问守卫	283	283	1	2	82	-1	284	1097	1098	-1	-1
284	{0}【主】{1}冰塔现状	284	284	1	0	241	-1	285	1098	1098	-1	-1
285	{0}【主】{1}顶角怪狮	285	285	1	1	33	-1	286	1098	1098	-1	-1
286	{0}【主】{1}赏金猎人	286	286	1	2	83	-1	287	1098	1100	-1	-1
287	{0}【主】{1}试探	287	287	1	1	34	-1	288	1100	1100	-1	-1
288	{0}【主】{1}近期突变	288	288	1	0	242	-1	289	1100	1100	-1	-1
289	{0}【主】{1}再会博士	289	289	1	2	84	-1	290	1100	1102	-1	-1
290	{0}【主】{1}魔力矿石	290	290	1	0	243	-1	291	1102	1102	-1	-1
291	{0}【主】{1}收集矿石	291	291	1	5	9	-1	292	1102	1102	-1	-1
292	{0}【主】{1}新注魔力	292	292	1	10	26	-1	293	1102	1102	-1	-1
293	{0}【主】{1}少女状况	293	293	1	2	85	-1	294	1102	1104	-1	-1
294	{0}【主】{1}少女回忆	294	294	1	0	245	-1	295	1104	1104	-1	-1
295	{0}【主】{1}复仇	295	295	1	10	27	-1	296	1104	1104	-1	-1
296	{0}【主】{1}寻求盟友	296	296	1	2	86	-1	297	1104	1105	-1	-1
297	{0}【主】{1}来龙去脉	297	297	1	0	247	-1	298	1105	1105	-1	-1
298	{0}【主】{1}拦路恶犬	298	298	1	1	35	-1	299	1105	1105	-1	-1
299	{0}【主】{1}告诫	299	299	1	0	248	-1	300	1105	1105	-1	-1
300	{0}【主】{1}转达	300	300	1	2	87	-1	301	1105	1104	-1	-1
301	{0}【主】{1}秘密任务	301	301	1	0	249	-1	302	1104	1104	-1	-1
302	{0}【主】{1}神秘少女	302	302	1	2	69	-1	246	222	223	-1	-1
303	{0}【主】{1}一诅之仇	303	303	1	1	36	-1	220	212	212	-1	-1
304	{0}【主】{1}摔伤草药	304	304	1	3	17	-1	255	321	321	-1	-1
305	{0}【主】{1}魔石巨人	305	305	1	1	37	-1	278	327	327	-1	-1
306	{0}【主】{1}转换失控	306	306	1	1	38	-1	281	328	328	-1	-1
307	{0}【主】{1}冒险起航	307	307	1	-1	-1	5014	2	1152	1152	-1	-1
308	{0}【主】{1}精益求精	308	308	1	2	89	-1	26	1155	12	-1	-1
309	{0}【主】{1}七日狂欢	309	309	1	-1	-1	5015	45	12	12	-1	-1
310	{0}【主】{1}魔灵凝聚	310	310	1	-1	-1	5010	422	39	39	-1	-1
311	{0}【主】{1}魂力觉醒	311	311	1	0	278	-1	25	1155	1155	-1	-1
312	{0}【主】{1}竞技商城	312	312	1	0	104	-1	-1	-1	-1	-1	-1
313	{0}【主】{1}变身进阶	313	313	1	-1	-1	5013	27	1155	1155	-1	-1
314	{0}【主】{1}装备升星	314	314	1	-1	-1	5016	228	215	215	-1	-1
315	{0}【主】{1}僵尸追兵	315	315	1	1	39	-1	174	33	33	-1	-1
316	{0}【主】{1}雨林生活	316	316	1	0	287	-1	317	1153	1153	-1	-1
317	{0}【主】{1}饥肠辘辘	317	317	1	2	88	-1	13	1153	8	-1	-1
318	{0}【主】{1}仨魔灵	318	318	2	-1	-1	2022	319	62	62	-1	-1
