Id	Desc	TabIndex	ItemType	ItemID	Num	PriceWeek	SaleWeek	PriceMonth	SaleMonth	PriceForever	SaleForever	ShowPriority	SellTimeStart	SellTimeEnd	IsCanPresent
45	银钥匙	3	0	52197	1	45	-1	45	-1	45	-1	-1	-1	-1	1
46	金钥匙	3	0	52198	1	420	-1	420	-1	420	-1	-1	-1	-1	1
47	千里传音	3	0	4031	1	10	-1	10	-1	10	-1	-1	-1	-1	1
48	千里传音	3	0	4031	10	90	-1	90	-1	90	-1	-1	-1	-1	1
49	清心丹	3	0	4084	1	20	-1	20	-1	20	-1	-1	-1	-1	1
50	结婚戒指 - 一见倾心	3	0	48	1	1998	-1	1998	-1	1998	-1	-1	-1	-1	1
51	雾影寻踪	3	0	59	1	-1	-1	-1	-1	20	-1	-1	-1	-1	1
52	朱红灵珠	3	0	4001	1	-1	-1	-1	-1	60	-1	-1	-1	-1	1
53	赤红灵珠	3	0	4002	1	-1	-1	-1	-1	90	-1	-1	-1	-1	1
54	绯红灵珠	3	0	4003	1	-1	-1	-1	-1	120	-1	-1	-1	-1	1
55	湖蓝灵珠	3	0	4006	1	-1	-1	-1	-1	60	-1	-1	-1	-1	1
56	湛蓝灵珠	3	0	4007	1	-1	-1	-1	-1	90	-1	-1	-1	-1	1
57	碧蓝灵珠	3	0	4008	1	-1	-1	-1	-1	120	-1	-1	-1	-1	1
58	40级戒指打造图	3	0	2000	1	5	-1	5	-1	5	-1	-1	-1	-1	1
59	60级戒指打造图	3	0	2001	1	15	-1	15	-1	15	-1	-1	-1	-1	1
60	80级戒指打造图	3	0	2002	1	25	-1	25	-1	25	-1	-1	-1	-1	1
61	100级戒指打造图	3	0	2003	1	50	-1	50	-1	50	-1	-1	-1	-1	1
62	40级护符打造图	3	0	2006	1	5	-1	5	-1	5	-1	-1	-1	-1	1
63	60级护符打造图	3	0	2007	1	15	-1	15	-1	15	-1	-1	-1	-1	1
64	80级护符打造图	3	0	2008	1	25	-1	25	-1	25	-1	-1	-1	-1	1
65	100级护符打造图	3	0	2009	1	50	-1	50	-1	50	-1	-1	-1	-1	1
66	40级药品秘方	3	0	2039	1	2	-1	2	-1	2	-1	-1	-1	-1	1
67	60级药品秘方	3	0	2040	1	7	-1	7	-1	7	-1	-1	-1	-1	1
68	80级药品秘方	3	0	2041	1	12	-1	12	-1	12	-1	-1	-1	-1	1
69	100级药品秘方	3	0	2042	1	25	-1	25	-1	25	-1	-1	-1	-1	1
70	资质重洗丹	1	0	4601	1	10	-1	10	-1	10	-1	-1	-1	-1	1
71	红马（7日）	2	0	56517	1	-1	-1	-1	-1	150	-1	-1	-1	-1	1
72	红马（30日）	2	0	56518	1	-1	-1	-1	-1	350	-1	-1	-1	-1	1
73	红马（永久）	2	0	56519	1	-1	-1	-1	-1	1200	-1	-1	-1	-1	1
74	狮子7	2	0	59039	1	-1	-1	-1	-1	300	-1	-1	-1	-1	1
75	狮子30	2	0	59040	1	-1	-1	-1	-1	700	-1	-1	-1	-1	1
76	狮子永久	2	0	59041	1	-1	-1	-1	-1	2400	-1	-1	-1	-1	1
77	碧水麒麟7	2	0	59042	1	-1	-1	-1	-1	450	-1	-1	-1	-1	1
78	碧水麒麟30	2	0	59043	1	-1	-1	-1	-1	1050	-1	-1	-1	-1	1
79	碧水麒麟永久	2	0	59044	1	-1	-1	-1	-1	3600	-1	-1	-1	-1	1
80	栖霞彩凤（永久）	4	0	59163	1	-1	-1	-1	-1	88888	-1	1	-1	-1	0
81	9级生命宝石	4	0	8009	1	52380	-1	52380	-1	52380	-1	7	-1	-1	0
82	9级法力宝石	4	0	8209	1	52380	-1	52380	-1	52380	-1	10	-1	-1	0
83	9级物攻宝石	4	0	8309	1	52380	-1	52380	-1	52380	-1	8	-1	-1	0
84	9级法攻宝石	4	0	8409	1	52380	-1	52380	-1	52380	-1	9	-1	-1	0
85	9级物防宝石	4	0	8509	1	52380	-1	52380	-1	52380	-1	11	-1	-1	0
86	9级法防宝石	4	0	8609	1	52380	-1	52380	-1	52380	-1	12	-1	-1	0
87	9级命中宝石	4	0	8709	1	52380	-1	52380	-1	52380	-1	13	-1	-1	0
88	9级闪避宝石	4	0	8809	1	52380	-1	52380	-1	52380	-1	14	-1	-1	0
89	9级暴击宝石	4	0	8909	1	52380	-1	52380	-1	52380	-1	15	-1	-1	0
90	9级暴抗宝石	4	0	9009	1	52380	-1	52380	-1	52380	-1	16	-1	-1	0
91	10级生命宝石	4	0	8010	1	157140	-1	157140	-1	157140	-1	21	-1	-1	0
92	10级法力宝石	4	0	8210	1	157140	-1	157140	-1	157140	-1	24	-1	-1	0
93	10级物攻宝石	4	0	8310	1	157140	-1	157140	-1	157140	-1	22	-1	-1	0
94	10级法攻宝石	4	0	8410	1	157140	-1	157140	-1	157140	-1	23	-1	-1	0
95	10级物防宝石	4	0	8510	1	157140	-1	157140	-1	157140	-1	25	-1	-1	0
96	10级法防宝石	4	0	8610	1	157140	-1	157140	-1	157140	-1	26	-1	-1	0
97	10级命中宝石	4	0	8710	1	157140	-1	157140	-1	157140	-1	27	-1	-1	0
98	10级闪避宝石	4	0	8810	1	157140	-1	157140	-1	157140	-1	28	-1	-1	0
99	10级暴击宝石	4	0	8910	1	157140	-1	157140	-1	157140	-1	29	-1	-1	0
100	10级暴抗宝石	4	0	9010	1	157140	-1	157140	-1	157140	-1	30	-1	-1	0
101	11级生命宝石	4	0	8011	1	471420	-1	471420	-1	471420	-1	35	-1	-1	0
102	11级法力宝石	4	0	8211	1	471420	-1	471420	-1	471420	-1	38	-1	-1	0
103	11级物攻宝石	4	0	8311	1	471420	-1	471420	-1	471420	-1	36	-1	-1	0
104	11级法攻宝石	4	0	8411	1	471420	-1	471420	-1	471420	-1	37	-1	-1	0
105	11级物防宝石	4	0	8511	1	471420	-1	471420	-1	471420	-1	39	-1	-1	0
106	11级法防宝石	4	0	8611	1	471420	-1	471420	-1	471420	-1	40	-1	-1	0
107	11级命中宝石	4	0	8711	1	471420	-1	471420	-1	471420	-1	41	-1	-1	0
108	11级闪避宝石	4	0	8811	1	471420	-1	471420	-1	471420	-1	42	-1	-1	0
109	11级暴击宝石	4	0	8911	1	471420	-1	471420	-1	471420	-1	43	-1	-1	0
110	11级暴抗宝石	4	0	9011	1	471420	-1	471420	-1	471420	-1	44	-1	-1	0
111	12级生命宝石	4	0	8012	1	1414260	-1	1414260	-1	1414260	-1	49	-1	-1	0
112	12级法力宝石	4	0	8212	1	1414260	-1	1414260	-1	1414260	-1	52	-1	-1	0
113	12级物攻宝石	4	0	8312	1	1414260	-1	1414260	-1	1414260	-1	50	-1	-1	0
114	12级法攻宝石	4	0	8412	1	1414260	-1	1414260	-1	1414260	-1	51	-1	-1	0
115	12级物防宝石	4	0	8512	1	1414260	-1	1414260	-1	1414260	-1	53	-1	-1	0
116	12级法防宝石	4	0	8612	1	1414260	-1	1414260	-1	1414260	-1	54	-1	-1	0
117	12级命中宝石	4	0	8712	1	1414260	-1	1414260	-1	1414260	-1	55	-1	-1	0
118	12级闪避宝石	4	0	8812	1	1414260	-1	1414260	-1	1414260	-1	56	-1	-1	0
119	12级暴击宝石	4	0	8912	1	1414260	-1	1414260	-1	1414260	-1	57	-1	-1	0
120	12级暴抗宝石	4	0	9012	1	1414260	-1	1414260	-1	1414260	-1	58	-1	-1	0
121	小烟花	3	0	59077	1	-1	-1	-1	-1	8	-1	-1	-1	-1	1
122	小烟花	3	0	59078	1	-1	-1	-1	-1	8	-1	-1	-1	-1	1
123	小烟花	3	0	59079	1	-1	-1	-1	-1	8	-1	-1	-1	-1	1
124	中烟花	3	0	59080	1	-1	-1	-1	-1	88	-1	-1	-1	-1	1
125	中烟花	3	0	59081	1	-1	-1	-1	-1	88	-1	-1	-1	-1	1
126	大烟花	3	0	59082	1	-1	-1	-1	-1	888	-1	-1	-1	-1	1
127	人物改名书	3	0	59048	1	-1	-1	-1	-1	880	-1	-1	-1	-1	1
128	帮会改名书	3	0	59049	1	-1	-1	-1	-1	1880	-1	-1	-1	-1	1
129	师门改名书	3	0	59050	1	-1	-1	-1	-1	1880	-1	-1	-1	-1	1
130	凤凰福袋	5	0	59202	1	-1	-1	-1	-1	1200	-1	-1	-1	-1	1
131	乌金	4	0	61	1	-1	-1	-1	-1	600	-1	2	-1	-1	0
132	圣诞彩铃	999	0	59173	1	25	-1	25	-1	25	-1	3	1412240000	1501040000	0
133	圣诞星	999	0	59170	1	12250	-1	12250	-1	12250	-1	5	1412240000	1501040000	0
134	圣诞彩铃	999	0	59173	20	490	-1	490	-1	490	-1	4	1412240000	1501040000	0
135	毛衣针	999	0	59168	1	28	-1	28	-1	28	-1	2	1412240000	1501040000	0
136	精致的圣诞袜	999	0	59169	1	88	-1	88	-1	88	-1	1	1412240000	1501040000	0
137	万圣节_普通礼包	999	0	59117	1	-1	-1	-1	-1	48	-1	6	1412040000	1412232359	0
138	万圣节_豪华礼包	999	0	59118	1	-1	-1	-1	-1	380	-1	7	1412040000	1412232359	0
139	金币宝箱-恭喜发财	999	0	59301	1	-1	-1	-1	-1	66	-1	8	1412170000	1412292359	0
140	金币宝箱2-财源广进	999	0	59302	1	-1	-1	-1	-1	310	-1	9	1412170000	1412292359	0
141	羊年礼包	999	0	59226	1	-1	-1	-1	-1	66	-1	10	1502170000	1503082359	0
142	三羊开泰大礼包	999	0	59227	1	-1	-1	-1	-1	666	-1	11	1502170000	1503082359	0
143	沁香巧克力	999	0	59239	1	-1	-1	-1	-1	80	-1	12	1502090000	1502162359	0
144	巧克力蛋糕	999	0	59231	1	-1	-1	-1	-1	280	-1	13	1502090000	1502162359	0
145	神器锁定属性-金刚砂	0	0	59253	1	-1	-1	-1	-1	100	-1	4	-1	-1	1
146	红玫瑰	999	0	59236	1	-1	-1	-1	-1	9	-1	-1	1502090000	1502162359	0
147	红玫瑰	999	0	59236	99	-1	-1	-1	-1	889	-1	-1	1502090000	1502162359	0
148	红玫瑰	999	0	59236	999	-1	-1	-1	-1	8889	-1	-1	1502090000	1502162359	0
149	V9羊年礼包	4	0	59354	1	-1	-1	-1	-1	1	-1	-1	1501220000	1503062359	0
150	V10羊年礼包	4	0	59355	1	-1	-1	-1	-1	1	-1	-1	1501220000	1503062359	0
151	V11羊年礼包	4	0	59356	1	-1	-1	-1	-1	1	-1	-1	1501220000	1503062359	0
152	V12羊年礼包	4	0	59357	1	-1	-1	-1	-1	1	-1	-1	1501220000	1503062359	0
153	V13羊年礼包	4	0	59358	1	-1	-1	-1	-1	1	-1	-1	1501220000	1503062359	0
154	V14羊年礼包	4	0	59359	1	-1	-1	-1	-1	1	-1	-1	1501220000	1503062359	0
155	V15羊年礼包	4	0	59360	1	-1	-1	-1	-1	1	-1	-1	1501220000	1503062359	0
156	3级穿透宝石	0	0	9103	1	270	-1	270	-1	270	-1	5	-1	-1	1
157	3级韧性宝石	0	0	9203	1	270	-1	270	-1	270	-1	6	-1	-1	1
158	3级暴伤宝石	0	0	9303	1	270	-1	270	-1	270	-1	7	-1	-1	1
159	3级暴减宝石	0	0	9403	1	270	-1	270	-1	270	-1	8	-1	-1	1
160	6级穿透宝石	0	0	9106	1	5820	-1	5820	-1	5820	-1	19	-1	-1	1
161	6级韧性宝石	0	0	9206	1	5820	-1	5820	-1	5820	-1	20	-1	-1	1
162	6级暴伤宝石	0	0	9306	1	5820	-1	5820	-1	5820	-1	21	-1	-1	1
163	6级暴减宝石	0	0	9406	1	5820	-1	5820	-1	5820	-1	22	-1	-1	1
164	9级穿透宝石	4	0	9109	1	157140	-1	157140	-1	157140	-1	3	-1	-1	0
165	9级韧性宝石	4	0	9209	1	157140	-1	157140	-1	157140	-1	4	-1	-1	0
166	9级暴伤宝石	4	0	9309	1	157140	-1	157140	-1	157140	-1	5	-1	-1	0
167	9级暴减宝石	4	0	9409	1	157140	-1	157140	-1	157140	-1	6	-1	-1	0
168	10级穿透宝石	4	0	9110	1	471420	-1	471420	-1	471420	-1	17	-1	-1	0
169	10级韧性宝石	4	0	9210	1	471420	-1	471420	-1	471420	-1	18	-1	-1	0
170	10级暴伤宝石	4	0	9310	1	471420	-1	471420	-1	471420	-1	19	-1	-1	0
171	10级暴减宝石	4	0	9410	1	471420	-1	471420	-1	471420	-1	20	-1	-1	0
172	11级穿透宝石	4	0	9111	1	1414260	-1	1414260	-1	1414260	-1	31	-1	-1	0
173	11级韧性宝石	4	0	9211	1	1414260	-1	1414260	-1	1414260	-1	32	-1	-1	0
174	11级暴伤宝石	4	0	9311	1	1414260	-1	1414260	-1	1414260	-1	33	-1	-1	0
175	11级暴减宝石	4	0	9411	1	1414260	-1	1414260	-1	1414260	-1	34	-1	-1	0
176	12级穿透宝石	4	0	9112	1	4242780	-1	4242780	-1	4242780	-1	45	-1	-1	0
177	12级韧性宝石	4	0	9212	1	4242780	-1	4242780	-1	4242780	-1	46	-1	-1	0
178	12级暴伤宝石	4	0	9312	1	4242780	-1	4242780	-1	4242780	-1	47	-1	-1	0
179	12级暴减宝石	4	0	9412	1	4242780	-1	4242780	-1	4242780	-1	48	-1	-1	0
180	一束鲜花	3	0	70001	1	5	-1	5	-1	5	-1	-1	-1	-1	1
181	小捧鲜花	3	0	70002	1	50	-1	50	-1	50	-1	-1	-1	-1	1
182	大捧鲜花	3	0	70003	1	500	-1	500	-1	500	-1	-1	-1	-1	1
183	一颗鸡蛋	3	0	70004	1	5	-1	5	-1	5	-1	-1	-1	-1	1
184	小筐鸡蛋	3	0	70005	1	50	-1	50	-1	50	-1	-1	-1	-1	1
185	大筐鸡蛋	3	0	70006	1	500	-1	500	-1	500	-1	-1	-1	-1	1
186	竹韵清雅福袋	999	0	59382	1	-1	-1	-1	-1	580	-1	-1	1503250000	1504092359	1
187	少林100级VIP橙色武器礼包	4	0	70067	1	-1	-1	-1	-1	34920	-1	-1	-1	-1	0
188	天山100级VIP橙色武器礼包	4	0	70068	1	-1	-1	-1	-1	34920	-1	-1	-1	-1	0
189	逍遥100级VIP橙色武器礼包	4	0	70069	1	-1	-1	-1	-1	34920	-1	-1	-1	-1	0
190	大理100级VIP橙色武器礼包	4	0	70070	1	-1	-1	-1	-1	34920	-1	-1	-1	-1	0
191	丐帮100级VIP橙色武器礼包	4	0	70071	1	-1	-1	-1	-1	34920	-1	-1	-1	-1	0
192	少林100级VIP橙色上衣礼包	4	0	70072	1	-1	-1	-1	-1	17460	-1	-1	-1	-1	0
193	天山100级VIP橙色上衣礼包	4	0	70073	1	-1	-1	-1	-1	17460	-1	-1	-1	-1	0
194	逍遥100级VIP橙色上衣礼包	4	0	70074	1	-1	-1	-1	-1	17460	-1	-1	-1	-1	0
195	大理100级VIP橙色上衣礼包	4	0	70075	1	-1	-1	-1	-1	17460	-1	-1	-1	-1	0
196	丐帮100级VIP橙色上衣礼包	4	0	70076	1	-1	-1	-1	-1	17460	-1	-1	-1	-1	0
197	少林100级VIP橙色裤子礼包	4	0	70077	1	-1	-1	-1	-1	5820	-1	-1	-1	-1	0
198	天山100级VIP橙色裤子礼包	4	0	70078	1	-1	-1	-1	-1	5820	-1	-1	-1	-1	0
199	逍遥100级VIP橙色裤子礼包	4	0	70079	1	-1	-1	-1	-1	5820	-1	-1	-1	-1	0
200	大理100级VIP橙色裤子礼包	4	0	70080	1	-1	-1	-1	-1	5820	-1	-1	-1	-1	0
201	丐帮100级VIP橙色裤子礼包	4	0	70081	1	-1	-1	-1	-1	5820	-1	-1	-1	-1	0
202	少林100级VIP橙色项链礼包	4	0	70082	1	-1	-1	-1	-1	11640	-1	-1	-1	-1	0
203	天山100级VIP橙色项链礼包	4	0	70083	1	-1	-1	-1	-1	11640	-1	-1	-1	-1	0
204	逍遥100级VIP橙色项链礼包	4	0	70084	1	-1	-1	-1	-1	11640	-1	-1	-1	-1	0
205	大理100级VIP橙色项链礼包	4	0	70085	1	-1	-1	-1	-1	11640	-1	-1	-1	-1	0
206	丐帮100级VIP橙色项链礼包	4	0	70086	1	-1	-1	-1	-1	11640	-1	-1	-1	-1	0
