Id	Name	Name	Title	ResPath	AnimPath	HeadPic	NPCSpriteName	HeadInfoHeight	Scale	DeadSound01	DeadSound02	DeadSound03	ModelType	EffectId01	EffectId02	EffectId03	EffectId04	EffectId05	SelectCircleSize	BornEffect1	BornEffect2
460	与459保持一致	主角：双剑士	主角	Zy_shuangjianshi_006	Animation/Player/ShuangJianShi	Shuangjianshi	ShuangJiNv	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
461	双剑3变模型	主角：双剑士3级变身	主角	Zy_shuangjianshi_003_BS	Animation/Player/ShuangJianShi	Shuangjianshi	ShuangJiNv	2	1	172	172	172	1	357	-1	-1	-1	-1	0.5	-1	-1
462	demo阶段BOSS	demo阶段BOSS	副本boss	Npc_mowang_001	Animation/NPC/zhuangnan/danshoujian	head-role	heiyiren	3.4	1.2	171	171	171	1	379	-1	-1	-1	-1	1	390	391
463	demo阶段小怪	demo阶段小怪	副本npc	Npc_xiaoguai_001	Animation/NPC/biaonan/danshoujianxiaoguai	head-role	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	389	-1
464	双剑士新手套装	双剑士套装-新手	主角	Zy_shuangjianshi_000_001	Animation/Player/ShuangJianShi	Shuangjianshi	TianShanHead	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
465	双剑士20级套装	双剑士套装2	主角	Zy_shuangjianshi_002_001	Animation/Player/ShuangJianShi	Shuangjianshi	TianShanHead	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
466	双剑士30级套装	双剑士套装3	主角	Zy_shuangjianshi_003_001	Animation/Player/ShuangJianShi	Shuangjianshi	TianShanHead	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
467	双剑士60级套装	双剑士套装6	主角	Zy_shuangjianshi_006_001	Animation/Player/ShuangJianShi	Shuangjianshi	TianShanHead	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
468	双剑士10级套装	双剑士套装1	主角	Zy_shuangjianshi_001_001	Animation/Player/ShuangJianShi	Shuangjianshi	TianShanHead	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
469	双剑士50级套装	双剑士套装5	主角	Zy_shuangjianshi_001_BS	Animation/Player/ShuangJianShi	Shuangjianshi	TianShanHead	2	1	172	172	172	1	433	-1	-1	-1	-1	0.5	-1	-1
400	狂战士新手	狂战士新手	主角	Zy_kuangzhanshi_000_001	Animation/Player/KuangZhanShi	Kuangzhanshi	KuangZhanNan	2	1	-1	-1	-1	1	-1	-1	-1	-1	-1	0.5	-1	-1
401	狂战士10级套装	狂战士套装1	主角	Zy_kuangzhanshi_001_001	Animation/Player/KuangZhanShi	Kuangzhanshi	KuangZhanNan	2	1	-1	-1	-1	1	-1	-1	-1	-1	-1	0.5	-1	-1
402	狂战士20级套装	狂战士套装2	主角	Zy_kuangzhanshi_002_001	Animation/Player/KuangZhanShi	Kuangzhanshi	KuangZhanNan	2	1	-1	-1	-1	1	-1	-1	-1	-1	-1	0.5	-1	-1
403	狂战士30级套装	狂战士套装3	主角	Zy_kuangzhanshi_003_001	Animation/Player/KuangZhanShi	Kuangzhanshi	KuangZhanNan	2	1	-1	-1	-1	1	-1	-1	-1	-1	-1	0.5	-1	-1
404	狂战士40级套装	狂战士套装4	主角	Zy_kuangzhanshi_004_001	Animation/Player/KuangZhanShi	Kuangzhanshi	KuangZhanNan	2	1	-1	-1	-1	1	-1	-1	-1	-1	-1	0.5	-1	-1
405	狂战士PVE表示套装05	狂战士套装1	主角	Zy_kuangzhanshi_001_BS	Animation/Player/KuangZhanShi	Kuangzhanshi	KuangZhanNan	2	1	-1	-1	-1	1	433	-1	-1	-1	-1	0.5	-1	-1
406	狂战士60级套装	狂战士套装6	主角	Zy_kuangzhanshi_006_001	Animation/Player/KuangZhanShi	Kuangzhanshi	KuangZhanNan	2	1	-1	-1	-1	1	-1	-1	-1	-1	-1	0.5	-1	-1
407	狂战士70级套装	狂战士套装7	主角	Zy_kuangzhanshi_007_001	Animation/Player/KuangZhanShi	Kuangzhanshi	KuangZhanNan	2	1	-1	-1	-1	1	-1	-1	-1	-1	-1	0.5	-1	-1
408	狂战士80级套装	狂战士套装8	主角	Zy_kuangzhanshi_008_001	Animation/Player/KuangZhanShi	Kuangzhanshi	KuangZhanNan	2	1	-1	-1	-1	1	-1	-1	-1	-1	-1	0.5	-1	-1
409	狂战士90套装	狂战士套装9	主角	Zy_kuangzhanshi_009_001	Animation/Player/KuangZhanShi	Kuangzhanshi	KuangZhanNan	2	1	-1	-1	-1	1	-1	-1	-1	-1	-1	0.5	-1	-1
410	狂战士100套装	狂战士套装10	主角	Zy_kuangzhanshi_010_001	Animation/Player/KuangZhanShi	Kuangzhanshi	KuangZhanNan	2	1	-1	-1	-1	1	-1	-1	-1	-1	-1	0.5	-1	-1
411	狂战PVP变身套装	主角：狂战士PVP	主角	Zy_kuangzhanshi_003_BS	Animation/Player/KuangZhanShi	Kuangzhanshi	KuangZhanNan	2	1	-1	-1	-1	1	357	-1	-1	-1	-1	0.5	-1	-1
415	魔导师新手	主角：魔导师	主角	Zy_modaoshi_000_001	Animation/Player/MoDaoShi	Modaoshi	MoDaoShi	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
416	魔导师10级套装	主角：魔导师	主角	Zy_modaoshi_001_001	Animation/Player/MoDaoShi	Modaoshi	MoDaoShi	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
417	魔导师20级套装	主角：魔导师	主角	Zy_modaoshi_002_001	Animation/Player/MoDaoShi	Modaoshi	MoDaoShi	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
418	魔导师30级套装	主角：魔导师	主角	Zy_modaoshi_003_001	Animation/Player/MoDaoShi	Modaoshi	MoDaoShi	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
419	魔导师40级套装	主角：魔导师	主角	Zy_modaoshi_004_001	Animation/Player/MoDaoShi	Modaoshi	MoDaoShi	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
420	魔导师50级套装	主角：魔导师	主角	Zy_modaoshi_001_BS	Animation/Player/MoDaoShi	Modaoshi	MoDaoShi	2	1	172	172	172	1	433	-1	-1	-1	-1	0.5	-1	-1
421	魔导师60级套装	主角：魔导师	主角	Zy_modaoshi_006_001	Animation/Player/MoDaoShi	Modaoshi	MoDaoShi	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
422	魔导师70级套装	主角：魔导师	主角	Zy_modaoshi_007_001	Animation/Player/MoDaoShi	Modaoshi	MoDaoShi	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
423	魔导师80级套装	主角：魔导师	主角	Zy_modaoshi_008_001	Animation/Player/MoDaoShi	Modaoshi	MoDaoShi	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
424	魔导师90级套装	主角：魔导师	主角	Zy_modaoshi_009_001	Animation/Player/MoDaoShi	Modaoshi	MoDaoShi	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
425	魔导师100级套装	主角：魔导师	主角	Zy_modaoshi_010_001	Animation/Player/MoDaoShi	Modaoshi	MoDaoShi	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
426	魔导师PVP	主角：魔导师	主角	Zy_modaoshi_003_BS	Animation/Player/MoDaoShi	Modaoshi	MoDaoShi	2	1	172	172	172	1	357	-1	-1	-1	-1	0.5	-1	-1
427	双剑士40级套装	双剑士套装-新手	主角	Zy_shuangjianshi_004_001	Animation/Player/ShuangJianShi	Shuangjianshi	TianShanHead	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
428	双剑士70级套装	双剑士套装2	主角	Zy_shuangjianshi_007_001	Animation/Player/ShuangJianShi	Shuangjianshi	TianShanHead	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
429	双剑士80级套装	双剑士套装3	主角	Zy_shuangjianshi_008_001	Animation/Player/ShuangJianShi	Shuangjianshi	TianShanHead	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
430	双剑士90级套装	双剑士套装6	主角	Zy_shuangjianshi_009_001	Animation/Player/ShuangJianShi	Shuangjianshi	TianShanHead	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
431	双剑士100套装	双剑士套装6	主角	Zy_shuangjianshi_010_001	Animation/Player/ShuangJianShi	Shuangjianshi	TianShanHead	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
432	双剑士50级套装	双剑士套装	主角	Zy_shuangjianshi_005_001	Animation/Player/ShuangJianShi	Shuangjianshi	TianShanHead	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
433	狂战士50级套装	狂战士套装	主角	Zy_kuangzhanshi_005_001	Animation/Player/KuangZhanShi	Kuangzhanshi	KuangZhanNan	2	1	-1	-1	-1	1	-1	-1	-1	-1	-1	0.5	-1	-1
434	魔导师50级套装	魔导师套装	主角	Zy_modaoshi_005_001	Animation/Player/MoDaoShi	Modaoshi	MoDaoShi	2	1	172	172	172	1	-1	-1	-1	-1	-1	0.5	-1	-1
6	看护人员-贝因	看护人员-贝因	副本npc	Npc_beiyin_001	Animation/NPC/biaonan/danshoujian		BeiYin	2	1	171	171	171	1	-1	-1	-1	-1	-1	1	-1	-1
7	斯卡伊德	斯卡伊德	副本npc	Npc_sikayide_001	Animation/NPC/biaonan/kongshou		JiCheShi	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
8	杰西卡	杰西卡	副本npc	Npc_jiexika_001	Animation/NPC/biaonv/kongshou		JieXiKa	2	1	171	171	171	1	-1	-1	-1	-1	-1	1	-1	-1
9	莉莉丝	莉莉丝	副本npc	Npc_lilisi_bulaike_001	Animation/NPC/biaonv/gongjianshou	Lilith	Lilith	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
15	丛林野猪	丛林野猪	副本boss	Npc_conglinyezhu_001	Animation/NPC/dongwu/dagou	head-role	heiyiren	2	1	20	20	20	3	-1	-1	-1	-1	-1	1	-1	-1
16	猿猴	猿猴	副本npc	Npc_dingjiaobao_001	Animation/NPC/dongwu/dagou	head-role	heiyiren	2	1	20	20	20	3	-1	-1	-1	-1	-1	1	-1	-1
17	提神草	提神草	副本npc	CaiJiDian				2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1
10	派特太太	派特太太	副本npc	Npc_botetaitai_001	Animation/NPC/biaonv/laoren	PaiTeTaiTai	PaiTeTaiTai	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
11	瑟克萨斯	瑟克萨斯	副本npc	Npc_sekesasi_001	Animation/NPC/biaonan/kongshou	Sekesasi	Sekesasi	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
12	莉莉丝	莉莉丝	副本npc	Npc_lilisi_bulaike_001	Animation/NPC/biaonv/gongjianshou	Lilith	Lilith	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
18	顶角豹	顶角豹	副本npc	Npc_huanghunshirenmo_001	Animation/NPC/shouren/danshoujian	head-role	heiyiren	2	0.7	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
138	混沌之地副本小怪	混沌者	副本npc	Npc_fengyinjuren_001	Animation/NPC/zhuangnan/changqiang	head-role	heiyiren	2	0.6	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
183	混沌之地BOSS	混沌守卫者	副本boss	Npc_fengyinshouling_001	Animation/NPC/zhuangnan/changqiang	head-role	heiyiren	2.5	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
184	混沌之地BOSS	混沌守卫者	副本boss	Npc_fengyinshouling_001	Animation/NPC/zhuangnan/changqiang	head-role	heiyiren	2.5	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
185	混沌之地BOSS	混沌守卫者	副本boss	Npc_fengyinshouling_001	Animation/NPC/zhuangnan/changqiang	head-role	heiyiren	2.5	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
186	混沌之地BOSS	混沌守卫者	副本boss	Npc_fengyinshouling_001	Animation/NPC/zhuangnan/changqiang	head-role	heiyiren	2.5	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
187	混沌之地BOSS	混沌守卫者	副本boss	Npc_fengyinshouling_001	Animation/NPC/zhuangnan/changqiang	head-role	heiyiren	2.5	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
188	混沌之地BOSS	混沌守卫者	副本boss	Npc_fengyinshouling_001	Animation/NPC/zhuangnan/changqiang	head-role	heiyiren	2.5	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
189	混沌之地BOSS	混沌守卫者	副本boss	Npc_fengyinshouling_001	Animation/NPC/zhuangnan/changqiang	head-role	heiyiren	2.5	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
190	混沌之地BOSS	混沌守卫者	副本boss	Npc_fengyinshouling_001	Animation/NPC/zhuangnan/changqiang	head-role	heiyiren	2.5	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
191	混沌之地BOSS	混沌守卫者	副本boss	Npc_fengyinshouling_001	Animation/NPC/zhuangnan/changqiang	head-role	heiyiren	2.5	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
192	混沌之地BOSS	混沌守卫者	副本boss	Npc_fengyinshouling_001	Animation/NPC/zhuangnan/changqiang	head-role	heiyiren	2.5	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
193	混沌之地BOSS	混沌守卫者	副本boss	Npc_fengyinshouling_001	Animation/NPC/zhuangnan/changqiang	head-role	heiyiren	2.5	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
194	混沌之地BOSS	混沌守卫者	副本boss	Npc_fengyinshouling_001	Animation/NPC/zhuangnan/changqiang	head-role	heiyiren	2.5	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
195	混沌之地BOSS	混沌守卫者	副本boss	Npc_fengyinshouling_001	Animation/NPC/zhuangnan/changqiang	head-role	heiyiren	2.5	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
196	混沌之地BOSS	混沌守卫者	副本boss	Npc_fengyinshouling_001	Animation/NPC/zhuangnan/changqiang	head-role	heiyiren	2.5	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
19	蚊子	蚊子	副本npc	Npc_xixuewen_001	Animation/NPC/dongwu/wenzi	head-role	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
20	沙漠狐	沙漠狐	遗忘废墟小怪	Npc_shamozhihu_001	Animation/NPC/dongwu/dagou	head-role	heiyiren	2	1	20	20	20	3	-1	-1	-1	-1	-1	1	-1	-1
21	骷髅小兵	骷髅小兵	副本npc	Npc_mudixiaobing_001	Animation/NPC/biaonan/danshoujianxiaoguai	head-role	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
22	狗	小猎犬	宠物	Npc_petgou_001	Animation/NPC/dongwu/dagou	head-role	heiyiren	1	0.8	20	20	20	3	-1	-1	-1	-1	-1	1	-1	-1
23	狗-变异	变异小猎犬	宠物	Npc_petgou_002	Animation/NPC/dongwu/dagou	head-role	heiyiren	1	0.8	20	20	20	3	-1	-1	-1	-1	-1	1	-1	-1
24	顶角兽	顶角兽	副本npc	Npc_dingjiaoshou_001	Animation/NPC/dongwu/dagou	head-role	heiyiren	2	1	20	20	20	3	-1	-1	-1	-1	-1	1	-1	-1
25	猫又	猫又	副本npc	Npc_maoyou_001	Animation/NPC/dongwu/dagou	head-role	heiyiren	2	1	20	20	20	3	-1	-1	-1	-1	-1	1	-1	-1
26	巨石怪	巨石怪	副本boss	Npc_jushiguai_001	Animation/NPC/juren/kongshou	head-role	heiyiren	2.5	1.2	20	20	20	2	-1	-1	-1	-1	-1	1	-1	-1
27	黄昏半兽人	黄昏半兽人	副本npc	Npc_huanghunbanshourenzhanshi_001	Animation/NPC/niaoren/danshoujian	head-role	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
28	黄昏兽人	黄昏兽人	副本npc	Npc_xiaoguai_001	Animation/NPC/biaonan/danshoujianxiaoguai	head-role	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
29	女王蜂	女王蜂	副本boss	Npc_nvwangfengBOSS_001	Animation/NPC/biaonv/kongshou	head-role	NvWangFeng	2.5	1.5	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
30	黄昏半兽人	黄昏半兽人	副本npc	Npc_xiaoguai_001	Animation/NPC/biaonan/danshoujianxiaoguai	head-role	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
31	偷金贼	偷金贼	副本npc	Npc_conglinyezhu_gaoji_001	Animation/NPC/dongwu/dagou	head-role	heiyiren	2	1	20	20	20	3	-1	-1	-1	-1	-1	1	-1	-1
32	赤炼影魔	赤炼影魔	副本boss	Boss_chiyanyingmo_001	Animation/NPC/guihun/kongshou	head-role	ChiYanMoYing	3	1.2	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
33	瑟克萨斯	瑟克萨斯	副本boss	Npc_sekesasi_001	Animation/NPC/biaonan/kongshou	Sekesasi	Sekesasi	2.5	1.2	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
14	瑟克萨斯	瑟克萨斯	副本npc	Npc_sekesasi_001	Animation/NPC/biaonan/kongshou	Sekesasi	Sekesasi	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
13	看护人员-贝因	看护人员-贝因	副本npc	Npc_beiyin_001	Animation/NPC/biaonan/danshoujian	BeiYin	BeiYin	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
34	特斯基	特斯基	副本boss	Npc_teski_001	Animation/NPC/biaonan/kongshou	Tyski	Tyski	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
35	阿里奥奈尔	阿里奥奈尔	副本boss	Npc_aliaonaier_001	Animation/NPC/biaonv/kongshou	ALiAoNaiEr	ALiAoNaiEr	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
36	黑伊尔	黑伊尔	副本boss	Npc_heiyier_001	Animation/NPC/biaonan/kongshou	HeiYiEr	HeiYiEr	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
37	失控机器人	失控机器人	副本npc	Npc_cishajinhuazhe_001	Animation/NPC/jixie/renxing	head-role	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
199	金刚葫芦大蛇精	金刚葫芦大蛇精	副本npc	Npc_xiaoguai_001	Animation/NPC/biaonan/danshoujianxiaoguai	head-role	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
290	金刚葫芦大蛇精	金刚葫芦大蛇精	副本npc	Npc_xiaoguai_001	Animation/NPC/biaonan/danshoujianxiaoguai	head-role	heiyiren	3	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
38	黑伊尔	黑伊尔	副本boss	Npc_heiyier_001	Animation/NPC/biaonan/kongshou	HeiYiEr	HeiYiEr	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
39	霍姆斯	霍姆斯	副本boss	Npc_huomusi_001	Animation/NPC/biaonan/kongshou	HuoMuSi	HuoMuSi	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
40	杰西卡	杰西卡	副本npc	Npc_jiexika_001	Animation/NPC/biaonv/kongshou	JieXiKa	JieXiKa	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
5	李狗蛋	李狗蛋	副本npc	Npc_xiaonanhai_001	Animation/NPC/ertong	heiyiren	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
41	皮亚索拉	皮亚索拉	副本npc	Npc_piyasuola_001	Animation/NPC/zhuru/kongshou	Sekesasi	PiYaSuoLa	2	1	20	20	20	2	-1	-1	-1	-1	-1	1	-1	-1
42	莉莉丝	莉莉丝	副本npc	Npc_lilisi_bulaike_001	Animation/NPC/biaonv/gongjianshou	Lilith	Lilith	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
43	卡娜	卡娜	副本npc	Npc_kana_001	Animation/NPC/biaonv/kongshou	Karna	Karna	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
44	佛里德	佛里德	副本npc	Npc_folide_001	Animation/NPC/biaonan/kongshou	Fread	Fread	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
45	琳	琳	副本npc	NPC_lin_001	Animation/NPC/biaonv/kongshou	Lin	Lin	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
46	石锤兽	石锤兽	副本npc	Npc_shichuishou_001	Animation/NPC/niaoren/danshoujian	head-role	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
47	狗头人	狗头人	副本npc	Npc_goutouren_001	Animation/NPC/niaoren/danshoujian	head-role	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
48	杰西卡	杰西卡	副本npc	Npc_lilisi_bulaike_001	Animation/NPC/biaonv/kongshou	JieXiKa	JieXiKa	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
49	枯树精	枯树精	副本npc	Npc_kushujing_001	Animation/NPC/juren/kongshou	head-role	heiyiren	2	0.7	20	20	20	2	-1	-1	-1	-1	-1	1	-1	-1
50	大枯树精	大枯树精	副本npc	Npc_laoshuyao_Boss_001	Animation/NPC/juren/kongshou	head-role	heiyiren	3	1	20	20	20	2	-1	-1	-1	-1	-1	1	-1	-1
51	佩特伦	佩特伦	副本npc	Npc_peitelun_001	Animation/NPC/biaonan/danshoujian	Pellant	Pellant	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
52	土著祭祀	土著祭祀	副本npc	Npc_yaosaijunshi_001	Animation/NPC/shouren/shuangshoujian	TuZhuJiSi	TuZhuJiSi	2.2	0.7	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
53	银木	银木	副本npc	Npc_yinmu_001	Animation/NPC/biaonan/kongshou	YinMu	YinMu	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
54	鸟兽	鸟兽	副本npc	Npc_shufuyingtoumu_001	Animation/NPC/niaoren/kongshou	head-role	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
55	酒翁土人	酒翁土人	副本npc	Npc_jiuwengturen_001	Animation/NPC/shouren/danshoujian	head-role	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
56	半兽人	半兽人	副本npc	Npc_huanghunbanshourenzhanshi_001	Animation/NPC/niaoren/danshoujian	head-role	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
57	阿尔得巴兰	阿尔德巴兰	副本npc	Npc_aerdebalan_001	Animation/NPC/biaonan/kongshou	AerDeBaLan	AerDeBaLan	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
58	黄昏食人魔	黄昏食人魔	副本npc	Npc_huanghunshirenmo_001	Animation/NPC/shouren/danshoujian	head-role	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
59	僵尸囚犯	僵尸囚犯	副本npc	Npc_jiangshiqiufan_001	Animation/NPC/biaonan/kongshou	head-role	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
60	残暴食人魔	残暴食人魔	副本npc	Npc_canbaoshirenmo_001	Animation/NPC/shouren/danshoujian	head-role	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
61	双斧巨魔	双斧巨魔	副本npc	Npc_shuangfujumo_001	Animation/NPC/shouren/shuangshoujian	head-role	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
62	改装型X02	改装型X02	副本npc	Npc_gaizaoxingX05_001	Animation/NPC/jixie/sizu	head-role	heiyiren	2	1	20	20	20	3	-1	-1	-1	-1	-1	1	-1	-1
63	机械蜘蛛	机械蜘蛛	副本npc	Npc_gaizhuangxingX04_001	Animation/NPC/jixie/sizu	head-role	heiyiren	2	0.5	20	20	20	3	-1	-1	-1	-1	-1	1	-1	-1
64	基础型X02	基础型X02	副本npc	Npc_xiaoguai_001	Animation/NPC/biaonan/danshoujianxiaoguai	head-role	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
65	基础型X03	基础型X03	副本npc	Npc_kushujing_001	Animation/NPC/juren/kongshou	head-role	heiyiren	2	1	20	20	20	2	-1	-1	-1	-1	-1	1	-1	-1
66	僵尸囚犯	僵尸囚犯	副本npc	Npc_jiangshiqiufan_001	Animation/NPC/biaonan/kongshou	head-role	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
67	木乃伊	木乃伊	副本npc	Npc_munaiyi_001_1	Animation/NPC/biaonan/kongshou	head-role	heiyiren	2	1	20	20	20	1	-1	-1	-1	-1	-1	1	-1	-1
