Id	Desc	Name	Branch	LimitLevel	Cost	MaxHP	MaxMP	MaxXP	PysAttack	MagAttack	PysDef	MagDef	Hit	Dodge	Critical	Decritical	Strike	Ductical	CritiAdd	CritiMis	MoveSpeed	AttackSpeed
100		青灵	10100	94	6060000	4100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101		少海	-1	94	6200000	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0
102		灵道	-1	94	6200000	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0
103		通里	-1	94	6310000	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0
104		神门	-1	94	6340000	0	0	0	210	210	0	0	0	0	0	0	0	0	0	0	0	0
105		少府	10105	94	6340000	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0
106		少冲	-1	94	6430000	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0
107		隐白	-1	94	6430000	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108		大都	-1	94	6680000	0	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109		太白	-1	94	6680000	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0
110		公孙	10110	94	6680000	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0
111		商丘	-1	94	6750000	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0
112		漏谷	-1	94	6750000	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0
113		地机	-1	94	6860000	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0
114		血海	-1	94	6860000	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0
115		箕门	10115	94	6860000	0	0	0	0	0	300	300	0	0	0	0	0	0	0	0	0	0
116		冲门	-1	94	7030000	0	0	0	0	0	0	0	0	0	0	550	0	0	0	0	0	0
117		府舍	-1	94	7030000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0
118		腹结	-1	94	7140000	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0
119		大横	-1	94	7160000	0	0	0	220	220	0	0	0	0	0	0	0	0	0	0	0	0
120		腹哀	10120	94	7160000	0	0	0	190	190	0	0	0	0	0	0	0	0	0	0	0	0
121		食窦	-1	95	7260000	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0
122		天溪	-1	95	7260000	4300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123		胸乡	-1	95	7520000	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0
124		周荣	-1	95	7520000	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0
125		大包	10125	95	7520000	0	0	0	210	210	0	0	0	0	0	0	0	0	0	0	0	0
126		商阳	-1	95	7590000	0	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127		二间	-1	95	7590000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0
128		三间	-1	95	7700000	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0
129		合谷	-1	95	7720000	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0
130		阳溪	10130	95	7720000	4600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131		偏历	-1	95	7870000	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0
132		温溜	-1	95	7870000	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0
133		下廉	-1	95	7980000	0	0	0	0	0	0	0	0	0	0	580	0	0	0	0	0	0
134		上廉	-1	95	8010000	0	0	0	230	230	0	0	0	0	0	0	0	0	0	0	0	0
135		曲池	10135	95	8010000	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0
136		巨骨	-1	95	8100000	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0
137		天鼎	-1	95	8100000	4600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138		扶突	-1	95	8410000	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0
139		迎香	-1	95	8410000	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0
140		少泽	10140	95	8410000	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0
141		前谷	-1	95	8440000	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0
142		后溪	-1	95	8440000	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0
143		腕骨	-1	95	8550000	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0
144		阳谷	-1	95	8550000	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0
145		养老	10145	95	8550000	0	0	0	0	0	340	340	0	0	0	0	0	0	0	0	0	0
146		支正	-1	95	8720000	0	0	0	0	0	0	0	0	0	0	620	0	0	0	0	0	0
147		小海	-1	95	8720000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0
148		肩贞	-1	95	8840000	0	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149		天宗	-1	95	8850000	0	0	0	250	250	0	0	0	0	0	0	0	0	0	0	0	0
150		秉风	10150	95	8850000	0	0	0	210	210	0	0	0	0	0	0	0	0	0	0	0	0
151		曲垣	-1	96	8940000	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0
152		天窗	-1	96	8940000	4900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153		天容	-1	96	9280000	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0
154		听宫	-1	96	9280000	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0
155		中府	10155	96	9280000	0	0	0	240	240	0	0	0	0	0	0	0	0	0	0	0	0
156		云门	-1	96	9310000	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0
157		天府	-1	96	9310000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0
158		侠白	-1	96	9420000	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159		尺泽	-1	96	9430000	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
160		孔最	10160	96	9430000	5300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
161		列缺	-1	96	9600000	0	0	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0
162		经渠	-1	96	9600000	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0
163		太渊	-1	96	9700000	0	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0
164		鱼际	-1	96	9740000	0	0	0	260	260	0	0	0	0	0	0	0	0	0	0	0	0
165		少商	10165	96	9740000	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0
166		承泣	-1	96	9800000	0	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
167		四白	-1	96	9800000	5200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
168		地仓	-1	96	10190000	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0
169		大迎	-1	96	10190000	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0
170		颊车	10170	96	10190000	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0
171		下关	-1	96	10190000	0	0	0	0	0	340	0	0	0	0	0	0	0	0	0	0	0
172		头维	-1	96	10190000	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0
173		人迎	-1	96	10290000	0	0	0	0	0	0	0	0	0	0	710	0	0	0	0	0	0
174		水突	-1	96	10290000	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0
175		气舍	10175	96	10290000	0	0	0	0	0	390	390	0	0	0	0	0	0	0	0	0	0
176		缺盆	-1	96	10470000	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0
177		气户	-1	96	10470000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0
178		库房	-1	96	10580000	0	0	0	0	0	0	340	0	0	0	0	0	0	0	0	0	0
179		膺窗	-1	96	10590000	0	0	0	280	280	0	0	0	0	0	0	0	0	0	0	0	0
180		乳中	10180	96	10590000	0	0	0	240	240	0	0	0	0	0	0	0	0	0	0	0	0
181		乳根	-1	97	10680000	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0
182		不容	-1	97	10680000	5600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183		承满	-1	97	11110000	0	570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184		梁门	-1	97	11110000	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0
185		关门	10185	97	11110000	0	0	0	280	280	0	0	0	0	0	0	0	0	0	0	0	0
186		太乙	-1	97	11110000	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0
187		天枢	-1	97	11110000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0
188		外陵	-1	97	11180000	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0
189		大巨	-1	97	11190000	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0
190		水道	10190	97	11190000	6100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
191		归来	-1	97	11370000	0	0	0	0	0	0	0	0	0	0	760	0	0	0	0	0	0
192		气冲	-1	97	11370000	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0
193		髀关	-1	97	11480000	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0
194		伏兔	-1	97	11500000	0	0	0	300	300	0	0	0	0	0	0	0	0	0	0	0	0
195		海泉	10195	97	11500000	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0
196		梁丘	-1	97	11560000	0	0	0	0	0	0	380	0	0	0	0	0	0	0	0	0	0
197		犊鼻	-1	97	11560000	6000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
198		金津	-1	97	12040000	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0
199		丰隆	-1	97	12040000	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0
200		解溪	10200	97	12040000	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0
201		冲阳	-1	97	12040000	0	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
202		陷谷	-1	97	12040000	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0
203		内庭	-1	97	12100000	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0
204		厉兑	-1	97	12100000	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0
205		天池	10205	97	12100000	0	0	0	0	0	450	450	0	0	0	0	0	0	0	0	0	0
206		天泉	-1	97	12260000	0	0	0	0	0	380	0	0	0	0	0	0	0	0	0	0	0
207		曲泽	-1	97	12260000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0
208		间使	-1	97	12380000	0	0	0	0	0	0	0	0	0	0	810	0	0	0	0	0	0
209		内关	-1	97	12380000	0	0	0	320	320	0	0	0	0	0	0	0	0	0	0	0	0
210		大陵	10210	97	12380000	0	0	0	280	280	0	0	0	0	0	0	0	0	0	0	0	0
211		劳宫	-1	98	12450000	0	0	0	0	0	410	0	0	0	0	0	0	0	0	0	0	0
212		中冲	-1	98	12450000	6400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
213		涌泉	-1	98	12990000	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0
214		然谷	-1	98	12990000	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0
215		太溪	10215	98	12990000	0	0	0	320	320	0	0	0	0	0	0	0	0	0	0	0	0
216		大钟	-1	98	12990000	0	0	0	0	0	0	410	0	0	0	0	0	0	0	0	0	0
217		水泉	-1	98	12990000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0
218		照海	-1	98	13000000	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0
219		复溜	-1	98	13000000	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0
220		交信	10220	98	13000000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
221		筑宾	-1	98	13190000	0	0	0	0	0	0	0	0	0	0	860	0	0	0	0	0	0
222		定喘	-1	98	13190000	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0
223		横骨	-1	98	13300000	0	650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
224		大赫	-1	98	13330000	0	0	0	340	340	0	0	0	0	0	0	0	0	0	0	0	0
225		四满	10225	98	13330000	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0
226		中注	-1	98	13350000	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0
227		肓俞	-1	98	13350000	6800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
228		商曲	-1	98	13950000	0	0	0	0	0	440	0	0	0	0	0	0	0	0	0	0	0
229		石关	-1	98	13950000	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0
230		夹脊	10230	98	13950000	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0
231		幽门	-1	98	13950000	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0
232		步廊	-1	98	13950000	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0
233		神封	-1	98	13950000	0	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
234		灵墟	-1	98	13950000	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0
235		神藏	10235	98	13950000	0	0	0	0	0	520	520	0	0	0	0	0	0	0	0	0	0
236		彧中	-1	98	14120000	0	0	0	0	0	0	0	0	0	0	920	0	0	0	0	0	0
237		俞府	-1	98	14120000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0
238		关冲	-1	98	14240000	0	0	0	0	0	0	440	0	0	0	0	0	0	0	0	0	0
239		鹤顶	-1	98	14240000	0	0	0	370	370	0	0	0	0	0	0	0	0	0	0	0	0
240		中渚	10240	98	14240000	0	0	0	320	320	0	0	0	0	0	0	0	0	0	0	0	0
241		阳池	-1	99	14260000	0	740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
242		外关	-1	99	14260000	7200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243		支沟	-1	99	14920000	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0
244		会宗	-1	99	14920000	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0
245		四渎	10245	99	14920000	0	0	0	370	370	0	0	0	0	0	0	0	0	0	0	0	0
246		天井	-1	99	14920000	0	0	0	0	0	470	0	0	0	0	0	0	0	0	0	0	0
247		二白	-1	99	14920000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0
248		颅息	-1	99	14920000	0	0	0	0	0	0	0	0	0	0	980	0	0	0	0	0	0
249		角孙	-1	99	14920000	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0
250		耳门	10250	99	14920000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
251		长强	-1	99	15040000	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0
252		腰俞	-1	99	15040000	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0
253		命门	-1	99	15170000	0	0	0	0	0	0	470	0	0	0	0	0	0	0	0	0	0
254		悬枢	-1	99	15200000	0	0	0	390	390	0	0	0	0	0	0	0	0	0	0	0	0
255		脊中	10255	99	15200000	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0
256		中枢	-1	99	15200000	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0
257		筋缩	-1	99	15200000	7700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
258		至阳	-1	99	15900000	0	790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
259		灵台	-1	99	15900000	0	0	0	0	0	0	0	0	0	0	0	0	380	0	0	0	0
260		神道	10260	99	15900000	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0
261		身柱	-1	99	15900000	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0
262		陶道	-1	99	15900000	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0
263		大椎	-1	99	15900000	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0
264		哑门	-1	99	15900000	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0
265		风府	10265	99	15900000	0	0	0	0	0	590	590	0	0	0	0	0	0	0	0	0	0
266		脑户	-1	99	15990000	0	0	0	0	0	0	0	0	0	0	1040	0	0	0	0	0	0
267		强间	-1	99	15990000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0
268		后顶	-1	99	16120000	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0
269		百会	-1	99	16120000	0	0	0	410	410	0	0	0	0	0	0	0	0	0	0	0	0
270		前顶	10270	99	16120000	0	0	0	370	370	0	0	0	0	0	0	0	0	0	0	0	0
271		囟会	-1	100	16120000	0	0	0	0	0	0	530	0	0	0	0	0	0	0	0	0	0
272		上星	-1	100	16120000	8200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
273		神庭	-1	100	16900000	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0
274		水沟	-1	100	16900000	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0
