Index	Desc	SkillId	Profession	Level	SKillIndex	AttachSkillId	IsXpAattch	IsXpIndex	PreSkillId	IntroStage	SkillItemID
22	双剑2阶变身普通攻击4	-1	1	1	27	-1	0	-1	-1	0	-1
23	双刀2变特殊技1段	118001	1	23	11	-1	0	-1	-1	3	-1
24	双刀2变特殊技2段	119001	1	23	29	-1	0	-1	-1	0	-1
25	狂战士普通攻击1	201001	0	1	0	-1	0	-1	-1	0	-1
26	狂战士普通攻击2	202001	0	1	21	-1	0	-1	-1	0	-1
27	狂战士普通攻击3	203001	0	1	22	-1	0	-1	-1	0	-1
28	狂战士普通攻击4	204001	0	1	23	-1	0	-1	-1	0	-1
29	狂战士连续斩1	205001	0	3	1	-1	0	-1	-1	1	-1
30	狂战士连续斩2	206001	0	3	24	-1	0	-1	-1	0	-1
31	狂战士狂暴旋风	207001	0	7	2	-1	0	-1	-1	3	-1
32	狂战士裂地斩	208001	0	15	3	-1	0	-1	-1	3	-1
33	夺魂之镰1	209001	0	23	4	-1	0	-1	-1	3	-1
34	夺魂之镰2	210001	0	23	25	-1	0	-1	-1	0	-1
35	狂战1阶变身	211001	0	11	5	-1	0	1	-1	0	-1
36	狂战士1阶变身血之盾1段	212001	0	-1	6	-1	0	-1	-1	0	130004
37	狂战士1阶变身血之盾2段	213001	0	-1	26	-1	0	-1	-1	0	-1
38	狂战2阶变身	214001	0	30	7	-1	0	2	-1	2	-1
39	狂战士2阶普攻1段	215001	0	1	8	-1	0	-1	214001	0	-1
40	狂战士2阶普攻2段	215002	0	1	27	-1	0	-1	-1	0	-1
41	狂战士2阶开山憾地	216001	0	30	9	-1	1	-1	-1	0	140001
42	魔导师普通攻击1	301001	3	1	0	-1	0	-1	-1	0	-1
43	魔导师普通攻击2	301002	3	1	21	-1	0	-1	-1	0	-1
44	魔导师普通攻击3	301003	3	1	22	-1	0	-1	-1	0	-1
45	魔导师普通攻击4	301004	3	1	23	-1	0	-1	-1	0	-1
46	火凤燎原1段	302001	3	3	1	-1	0	-1	-1	1	-1
47	火凤燎原2段	303001	3	3	24	-1	0	-1	-1	0	-1
48	冰霜吐息	304001	3	7	2	-1	0	-1	-1	3	-1
49	雷暴闪烁	305001	3	15	3	-1	0	-1	-1	3	-1
50	冰冻世界1段	306001	3	23	4	-1	0	-1	-1	3	-1
51	冰冻世界2段	307001	3	23	25	-1	0	-1	-1	0	-1
52	魔导1阶变身	308001	3	11	5	-1	0	1	-1	0	-1
53	魔导师1阶变身熔岩巨龙	309001	3	-1	6	-1	0	-1	-1	0	150003
54	魔导2阶变身	310001	3	30	7	-1	0	2	-1	2	-1
55	魔导师2变普攻1	311001	3	1	8	-1	0	-1	310001	0	-1
56	魔导师2变普攻2	311002	3	1	26	-1	0	-1	-1	0	-1
57	魔导师2变普攻3	311003	3	1	27	-1	0	-1	-1	0	-1
58	魔导师2变静默立场	312001	3	30	9	-1	1	-1	-1	0	160001
59	双剑士1阶双剑乱舞	126001	1	11	14	-1	1	-1	-1	0	110002
60	双剑士1阶龙卷风暴	127001	1	-1	15	-1	0	-1	-1	0	110003
61	狂战士1阶狂怒	217001	0	11	10	-1	1	-1	-1	0	130001
62	狂战士1阶旋风斩	218001	0	-1	11	-1	0	-1	-1	0	130003
63	狂战士2阶天崩地裂	219001	0	-1	12	-1	0	-1	-1	0	140003
64	狂战士2阶开山憾地	220001	0	-1	13	-1	0	-1	-1	2	140004
65	魔导师1阶暴风龙卷	313001	3	11	10	-1	1	-1	-1	0	150001
66	魔导师1阶流星风暴	314001	3	-1	11	-1	0	-1	-1	0	150004
67	魔导师2阶冰霜轰爆	315001	3	-1	12	-1	0	-1	-1	0	160002
68	魔导师2阶制裁之雷	316001	3	-1	13	-1	0	-1	-1	2	160003
