Id	Desc	Calculat	Monster1	Monster2	Monster3	Drop1	Drop2	Drop3	Drop4	Reward1	Reward2	Reward3	Level
23	23层	4390	怪物1	怪物2	怪物3	50092	50108	-1	-1	-1	-1	-1	33
24	24层	4513	怪物1	怪物2	怪物3	50092	50108	-1	-1	-1	-1	-1	34
25	25层	13273	怪物1	怪物2	怪物3	50092	50108	50100	50116	-1	-1	-1	35
26	26层	4895	怪物1	怪物2	怪物3	50092	50108	-1	-1	-1	-1	-1	36
27	27层	5023	怪物1	怪物2	怪物3	50092	50108	-1	-1	-1	-1	-1	37
28	28层	5163	怪物1	怪物2	怪物3	50092	50108	-1	-1	-1	-1	-1	38
29	29层	5315	怪物1	怪物2	怪物3	50092	50108	-1	-1	-1	-1	-1	39
30	30层	20449	怪物1	怪物2	怪物3	50093	50109	50101	50117	-1	-1	-1	40
31	31层	7288	怪物1	怪物2	怪物3	50093	50109	-1	-1	-1	-1	-1	41
32	32层	7516	怪物1	怪物2	怪物3	50093	50109	-1	-1	-1	-1	-1	42
33	33层	7756	怪物1	怪物2	怪物3	50093	50109	-1	-1	-1	-1	-1	43
34	34层	8203	怪物1	怪物2	怪物3	50093	50109	-1	-1	-1	-1	-1	44
35	35层	28252	怪物1	怪物2	怪物3	50093	50109	50101	50117	-1	-1	-1	45
36	36层	9113	怪物1	怪物2	怪物3	50093	50109	-1	-1	-1	-1	-1	46
37	37层	9378	怪物1	怪物2	怪物3	50093	50109	-1	-1	-1	-1	-1	47
38	38层	9725	怪物1	怪物2	怪物3	50093	50109	-1	-1	-1	-1	-1	48
39	39层	11727	怪物1	怪物2	怪物3	50093	50109	-1	-1	-1	-1	-1	49
40	40层	50375	怪物1	怪物2	怪物3	50094	50110	50102	50118	-1	-1	-1	50
41	41层	16554	怪物1	怪物2	怪物3	50094	50110	-1	-1	-1	-1	-1	51
42	42层	17211	怪物1	怪物2	怪物3	50094	50110	-1	-1	-1	-1	-1	52
43	43层	17893	怪物1	怪物2	怪物3	50094	50110	-1	-1	-1	-1	-1	53
44	44层	19656	怪物1	怪物2	怪物3	50094	50110	-1	-1	-1	-1	-1	54
45	45层	73251	怪物1	怪物2	怪物3	50094	50110	50102	50118	-1	-1	-1	55
46	46层	22719	怪物1	怪物2	怪物3	50094	50110	-1	-1	-1	-1	-1	56
47	47层	23807	怪物1	怪物2	怪物3	50094	50110	-1	-1	-1	-1	-1	57
48	48层	24526	怪物1	怪物2	怪物3	50094	50110	-1	-1	-1	-1	-1	58
49	49层	26218	怪物1	怪物2	怪物3	50094	50110	-1	-1	-1	-1	-1	59
50	50层	98627	怪物1	怪物2	怪物3	50095	50111	50103	50119	-1	-1	-1	60
51	51层	32206	怪物1	怪物2	怪物3	50095	50111	-1	-1	-1	-1	-1	61
52	52层	33042	怪物1	怪物2	怪物3	50095	50111	-1	-1	-1	-1	-1	62
53	53层	37096	怪物1	怪物2	怪物3	50095	50111	-1	-1	-1	-1	-1	63
54	54层	40200	怪物1	怪物2	怪物3	50095	50111	-1	-1	-1	-1	-1	64
55	55层	140621	怪物1	怪物2	怪物3	50095	50111	50103	50119	-1	-1	-1	65
56	56层	45687	怪物1	怪物2	怪物3	50095	50111	-1	-1	-1	-1	-1	66
57	57层	47170	怪物1	怪物2	怪物3	50095	50111	-1	-1	-1	-1	-1	67
58	58层	48772	怪物1	怪物2	怪物3	50095	50111	-1	-1	-1	-1	-1	68
59	59层	52259	怪物1	怪物2	怪物3	50095	50111	-1	-1	-1	-1	-1	69
60	60层	206926	怪物1	怪物2	怪物3	50096	50112	50104	50120	-1	-1	-1	70
61	61层	68631	怪物1	怪物2	怪物3	50096	50112	-1	-1	-1	-1	-1	71
62	62层	72710	怪物1	怪物2	怪物3	50096	50112	-1	-1	-1	-1	-1	72
63	63层	76563	怪物1	怪物2	怪物3	50096	50112	-1	-1	-1	-1	-1	73
64	64层	83646	怪物1	怪物2	怪物3	50096	50112	-1	-1	-1	-1	-1	74
65	65层	296232	怪物1	怪物2	怪物3	50096	50112	50104	50120	-1	-1	-1	75
66	66层	92062	怪物1	怪物2	怪物3	50096	50112	-1	-1	-1	-1	-1	76
67	67层	98217	怪物1	怪物2	怪物3	50096	50112	-1	-1	-1	-1	-1	77
68	68层	103352	怪物1	怪物2	怪物3	50096	50112	-1	-1	-1	-1	-1	78
69	69层	109221	怪物1	怪物2	怪物3	50096	50112	-1	-1	-1	-1	-1	79
70	70层	368737	怪物1	怪物2	怪物3	50097	50113	50105	50121	-1	-1	-1	80
71	71层	122378	怪物1	怪物2	怪物3	50097	50113	-1	-1	-1	-1	-1	81
72	72层	128228	怪物1	怪物2	怪物3	50097	50113	-1	-1	-1	-1	-1	82
73	73层	132661	怪物1	怪物2	怪物3	50097	50113	-1	-1	-1	-1	-1	83
74	74层	139517	怪物1	怪物2	怪物3	50097	50113	-1	-1	-1	-1	-1	84
75	75层	486601	怪物1	怪物2	怪物3	50097	50113	50105	50121	-1	-1	-1	85
76	76层	149169	怪物1	怪物2	怪物3	50097	50113	-1	-1	-1	-1	-1	86
77	77层	157560	怪物1	怪物2	怪物3	50097	50113	-1	-1	-1	-1	-1	87
78	78层	162839	怪物1	怪物2	怪物3	50097	50113	-1	-1	-1	-1	-1	88
79	79层	175634	怪物1	怪物2	怪物3	50097	50113	-1	-1	-1	-1	-1	89
80	80层	648141	怪物1	怪物2	怪物3	50098	50114	50106	50122	-1	-1	-1	90
81	81层	210491	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	91
82	82层	219237	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	92
83	83层	229568	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	93
84	84层	236387	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	94
85	85层	830003	怪物1	怪物2	怪物3	50098	50114	50106	50122	-1	-1	-1	95
86	86层	277805	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	96
87	87层	286676	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	97
88	88层	295470	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	98
89	89层	315250	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	99
90	90层	1176458	怪物1	怪物2	怪物3	50138	50139	50123	50124	-1	-1	-1	100
91	91层	396924	怪物1	怪物2	怪物3	50138	50139	-1	-1	-1	-1	-1	100
92	92层	415533	怪物1	怪物2	怪物3	50138	50139	-1	-1	-1	-1	-1	100
93	93层	429499	怪物1	怪物2	怪物3	50138	50139	-1	-1	-1	-1	-1	100
94	94层	443914	怪物1	怪物2	怪物3	50138	50139	-1	-1	-1	-1	-1	100
95	95层	1569074	怪物1	怪物2	怪物3	50138	50139	50123	50124	-1	-1	-1	100
96	96层	483897	怪物1	怪物2	怪物3	50138	50139	-1	-1	-1	-1	-1	100
97	97层	503946	怪物1	怪物2	怪物3	50138	50139	-1	-1	-1	-1	-1	100
98	98层	525544	怪物1	怪物2	怪物3	50138	50139	-1	-1	-1	-1	-1	100
99	99层	543649	怪物1	怪物2	怪物3	50138	50139	-1	-1	-1	-1	-1	100
100	100层	2136630	怪物1	怪物2	怪物3	50138	50139	50123	50124	-1	-1	-1	100
206	剑湖宫	100	怪物1	怪物2	怪物3	2000	2001	2002	2002	-1	-1	-1	-1
208	江湖名人录	102	怪物1	怪物2	怪物3	2000	2001	2002	2002	-1	-1	-1	-1
212	雁门关外	104	怪物1	怪物2	怪物3	2000	2001	2002	2002	-1	-1	-1	-1
213	废弃都市	101	怪物1	怪物2	怪物3	8003	8203	8303	8403	-1	-1	-1	-1
214	雷纳堡	100	怪物1	怪物2	怪物3	30	30	-1	-1	-1	-1	-1	-1
215	机械研究所	103	怪物1	怪物2	怪物3	4568	4570	-1	-1	-1	-1	-1	-1
216	黄昏要塞	109	怪物1	怪物2	怪物3	4574	4575	-1	-1	-1	-1	-1	-1
217	决斗副本	107	怪物1	怪物2	怪物3	2000	2001	2002	2002	-1	-1	-1	-1
218	忘忧谷	108	怪物1	怪物2	怪物3	2000	2001	2002	2002	-1	-1	-1	-1
219	华山论剑	106	怪物1	怪物2	怪物3	2000	2001	2002	2002	-1	-1	-1	-1
229	拜堂	112	怪物1	怪物2	怪物3	2000	2001	2002	2002	-1	-1	-1	-1
230	帮战	113	怪物1	怪物2	怪物3	2000	2001	2002	2002	-1	-1	-1	-1
231	少室山副本	114	怪物1	怪物2	怪物3	43609	42209	4600	56524	-1	-1	-1	-1
235	冰冻地下墓地	110	怪物1	怪物2	怪物3	56537	59060	59217	59216	-1	-1	-1	-1
241	守卫雁门关	100	怪物1	怪物2	怪物3	59376	42610	59219	59374	-1	-1	-1	-1
