Id	Desc	BelongToChapterID	LevelName	LevelInfo	SceneClassID	ObstaclesID	PreMission	CheckMission	TimesPerDay	ScriptID	StarCondition1	StarCondition2	StarCondition3	StarReward1	StarReward2	StarReward3	StarDescrib1	StarDescrib2	StarDescrib3	PassReward	SweepReward	LevelTexture	CombatValue	ExistTime	Buyback1	Buyback2
11	第三章第4关	3	兽人守卫	准备进攻兽人大营，但是大营前却有大批的兽人守卫，是时候除掉他们了。	48	59_60_61_62	-1	-1	10	8199	0	36	33	69	70	71	10301	11509	11505	82	86	shulin01	63000	210	20	100
12	第四章第1关	4	兽人大营	和银木先生约定好要杀进兽人大营，不知道在那里会发生什么……	49	63	-1	131	10	8199	0	36	35	90	91	92	10301	11509	11507	109	113	jixiedushi01	72900	150	10	50
13	第四章第二关	4	僵尸出游	在黄昏要塞的遗迹居然出现了僵尸，在它们还没有完全出来的时候先消灭它们！	19	21_22	-1	-1	10	8199	0	36	33	93	94	95	10301	11509	11505	110	114	shulin01	80700	210	10	50
14	第四章第三关	4	兽人首领	在黄昏要塞截到了要塞首领，这次一定要彻底打败他！	20	24_25_26_27_28	-1	141	10	8199	0	36	31	96	97	98	10301	11509	11503	111	115	jixiedushi01	104800	240	10	50
15	第四章第四关	4	守卫贤者	贤者阿尔德巴兰的身后出现了很多巨魔，一定要保护好阿尔得巴兰大人！	21	29	-1	-1	10	8199	0	36	31	99	100	101	10301	11509	11503	112	116	jixiedushi01	111400	240	20	100
16	第五章第一个副本	5	剿灭狼窝	遗忘废墟沙漠狼成灾，我必须剿灭这里的沙漠狼！	52	64_65_66_67	-1	226	10	8199	0	37	33	120	121	122	10301	11510	11505	139	143	shamo01	143100	210	20	100
17	第五章第2个副本	5	扫清毒蝎	遗忘废墟出现了很多毒蝎，他们居然来埋伏我，就一定要让它们付出代价。	53	67_68_69_70_71	-1	-1	10	8199	0	37	33	123	124	125	10301	11510	11505	140	144	shamo02	173400	210	20	100
18	第五章第3副本	5	解除诅咒	弗里德收到了守护神的诅咒，看来只有和海因达一起召唤守护神和她说明白这些事情了。	54	72_73	-1	252	10	8199	0	37	35	126	127	128	10301	11510	11507	141	145	shamo03	227100	150	10	50
19	第五章第4个副本	5	追兵在后	追捕里奇莱的追兵似乎还有几个，击败他们，彻底救下里奇莱先生吧！	55	74_75_76	-1	-1	10	8199	0	37	35	129	130	131	10301	11510	11507	142	146	shamo01	275700	150	10	50
20	第六章第1关	6	人心隔肚	陪同里奇莱先生去开启雷纳堡的大门，但是真的会这么顺利么……	56	77_78_79	-1	265	10	8199	0	37	31	150	151	152	10301	11510	11503	169	173	shamo01	296300	240	10	50
21	第六章第2关	6	入口开启	出现在雷纳堡边缘的神秘少女说自己也许有能力打开雷纳堡的入口，她究竟是什么人？	57	77_78_79	-1	-1	10	8199	0	37	33	153	154	155	10301	11510	11505	170	174	shamo02	330200	180	20	100
22	第六章第3关	6	诡计多端	追上了逃入雷纳堡的里奇莱，事情真的会这么简单么……	58	82_83	-1	321	10	8199	0	37	31	156	157	158	10301	11510	11503	171	175	jixiedushi01	358900	240	20	100
23	第六章第4关	6	仲裁铁锤	雷纳堡的终极防御程式——仲裁者被启动了，为了能逃出去只能冒险挑战它了！	59	84_85	-1	-1	10	8199	0	37	29	159	160	161	10301	11510	11501	172	176	jixiedushi01	413700	150	20	100
24	第七章第1关	7	神话生物	雷纳堡的边缘出现了神话中才存在的生物，希望它们和神话中的一样与人亲近……	60	80_81	-1	322	10	8199	0	37	35	180	181	182	10301	11510	11507	199	203	shamo01	487600	150	10	50
25	第七章第2关	7	僵尸盗贼	有一批僵尸被它们的首领带领着来劫掠城镇，在它们造成损失之前消灭它们！	61	86_87_88_89	-1	277	10	8199	0	37	33	183	184	185	10301	11510	11505	200	204	xueyuan01	535500	180	80	400
26	第七章第3关	7	回心转意	终于追上了艾莉娜，但是事情好像没那么顺利……	62	90_91_94	-1	292	10	8199	0	37	31	186	187	188	10301	11510	11503	201	205	xueyuan02	602700	240	80	400
27	第七章第4关	7	复仇怒火	阿里奥奈尔复仇心切，虽然这样不好但是还不能放着她不管……	63	90_92_93	-1	295	10	8199	0	37	31	189	190	191	10301	11510	11503	202	206	xueyuan03	703600	240	80	400
28	第八章第1关	8	契约成因	在贤者阿尔得巴兰的帮助下，我可以重新回到过去探寻之前发生过的事情，但是好像没那么简单……	67	95_96	-1	-1	10	8199	0	37	31	189	190	191	10301	11510	11503	202	206	shamo01	703600	240	80	400
29	第八章第2关	8	秘密谈话	这次的目的地看起来好像是黄昏湖畔……难道兽人的事件和艾莉娜也有关系？！	68	97_98	-1	-1	10	8199	0	37	31	189	190	191	10301	11510	11503	202	206	shulin01	703600	240	80	400
30	第八章第3关	8	灾祸人为	追溯到了之前的雷纳堡，看起来这边的事情也是艾莉娜一手谋划的！	69	99_100	-1	-1	10	8199	0	37	31	189	190	191	10301	11510	11503	202	206	jixiedushi01	703600	240	80	400
31	第八章第4关	8	恶魔本性	最后一步追溯到了雷纳堡边境，在这里到底发生了什么呢？	70	101_102_103	-1	-1	10	8199	0	37	31	189	190	191	10301	11510	11503	202	206	shamo02	703600	240	80	400
