Id	DESC	szString	type_1	type_2
174		.mt	1	1
175		.museum	1	1
176		.mv	1	1
177		.mw	1	1
178		.mx	1	1
179		.my	1	1
180		.mz	1	1
181		.na	1	1
182		.name	1	1
183		.nc	1	1
184		.ne	1	1
185		.net	1	1
186		.nf	1	1
187		.ng	1	1
188		.ni	1	1
189		.nl	1	1
190		.no	1	1
191		.np	1	1
192		.nr	1	1
193		.nt	1	1
194		.nu	1	1
195		.nz	1	1
196		.om	1	1
197		.org	1	1
198		.pa	1	1
199		.pe	1	1
200		.pf	1	1
201		.pg	1	1
202		.ph	1	1
203		.pk	1	1
204		.pl	1	1
205		.pm	1	1
206		.pn	1	1
207		.pr	1	1
208		.pro	1	1
209		.pt	1	1
210		.pw	1	1
211		.py	1	1
212		.qa	1	1
213		.re	1	1
214		.ro	1	1
215		.ru	1	1
216		.rw	1	1
217		.sa	1	1
218		.sb	1	1
219		.sc	1	1
220		.sd	1	1
221		.se	1	1
222		.sg	1	1
223		.sh	1	1
224		.si	1	1
225		.sj	1	1
226		.sk	1	1
227		.sl	1	1
228		.sm	1	1
229		.sn	1	1
230		.so	1	1
231		.sr	1	1
232		.st	1	1
233		.su	1	1
234		.sy	1	1
235		.sz	1	1
236		.tc	1	1
237		.td	1	1
238		.tf	1	1
239		.tg	1	1
240		.th	1	1
241		.tj	1	1
242		.tk	1	1
243		.tm	1	1
244		.tn	1	1
245		.to	1	1
246		.tp	1	1
247		.tr	1	1
248		.tt	1	1
249		.tv	1	1
250		.tw	1	1
251		.tz	1	1
252		.ua	1	1
253		.ug	1	1
254		.uk	1	1
255		.us	1	1
256		.uy	1	1
257		.va	1	1
258		.vc	1	1
259		.ve	1	1
260		.vg	1	1
261		.vn	1	1
262		.vu	1	1
263		.wf	1	1
264		.ws	1	1
265		.ye	1	1
266		.yu	1	1
267		.za	1	1
268		.zm	1	1
269		.zr	1	1
270		.zw	1	1
271		@sshole	1	1
272		@sshole靠	1	1
273		∪R	1	1
274		∪R靠	1	1
275		01gh.com	1	1
276		09city.com	1	1
277		1000scarf.com	1	1
278		1100y.com	1	1
279		11xp.1243.net.cn	1	1
280		1234chengren.1249.net.cn	1	1
281		131.com	1	1
282		13888wg.com	1	1
283		13点靠	1	1
284		158le.com	1	1
285		166578.cn	1	1
286		17173dl.net	1	1
287		17173yxdl.cn	1	1
288		17youle.com	1	1
289		18900.com	1	1
290		18摸 	1	1
291		1qmsj.com	1	1
292		1t1t.com	1	1
293		202333.com	1	1
294		208.43.198.56	1	1
295		21世纪中国基金会	1	1
296		2y7v.cnhwxvote.cn	1	1
297		2逼靠	1	1
298		365gn	1	1
299		365tttyx.com	1	1
300		37447.cn	1	1
301		3P	1	1
302		51jiafen.cn	1	1
303		52ppsa.cn	1	1
304		52sxhy.cn	1	1
305		54hero.com	1	1
306		567567aa.cn	1	1
307		58.253.67.74	1	1
308		597ft.com	1	1
309		5d6d.com	1	1
310		5m5m5m.com	1	1
311		610办公室靠	1	1
312		6-4tianwang	1	1
313		64靠	1	1
314		661661.com	1	1
315		6人被逮	1	1
316		7.5事件	1	1
317		71ka.com	1	1
318		7mmo.com	1	1
319		8 仙	1	1
320		8 仙靠	1	1
321		888895.com	1	1
322		88mysf.com	1	1
323		89-64cdjp	1	1
324		89靠	1	1
325		8仙	1	1
326		8仙靠	1	1
327		91bysd.cn	1	1
328		92klgh.cn	1	1
329		92wydl.com	1	1
330		a$$hole	1	1
331		a$shole	1	1
332		aa.yazhousetu.hi.9705.net.cn	1	1
333		aaac.s.51524.com	1	1
334		aaad.s.59764.com	1	1
335		ADMIN	1	1
336		admin靠	1	1
337		AIDS	1	1
338		Aiort墓地	1	1
339		ai滋	1	1
340		Arqus会议场	1	1
341		as$hole	1	1
342		asgardcn.com	1	1
343		ASS	1	1
344		asshole	1	1
345		Atan的移动石	1	1
346		A片	1	1
347		Baichi	1	1
348		baijie.1249.net.cn	1	1
349		Baopi	1	1
350		Bao皮	1	1
351		bastard	1	1
352		bbs.766.com	1	1
353		bbs.7gg.cn	1	1
354		bbs.butcn.com	1	1
355		bbs.pkmmo.whoyo.com	1	1
356		bbscity	1	1
357		bcd.s.59764.com	1	1
358		beijingspring	1	1
359		biaozi	1	1
360		Biao子	1	1
361		bignews	1	1
362		Bitch	1	1
363		Bi样	1	1
364		bjzc	1	1
365		bl62.com	1	1
366		blacksee.com.cn	1	1
367		BLOW	1	1
368		BLOWJOB	1	1
369		boxun	1	1
370		bt	1	1
371		bulaoge.com	1	1
372		butthead	1	1
373		butthole	1	1
374		bz176.com	1	1
375		B样	1	1
376		c a o	1	1
377		c a o靠	1	1
378		canyaa.com	1	1
379		cao	1	1
380		caoB	1	1
381		caobi	1	1
382		cao靠	1	1
383		cao你	1	1
384		cao你大爷	1	1
385		cao你妈	1	1
386		Carrefour	1	1
387		cdjp	1	1
388		cdream.com	1	1
389		cha你	1	1
390		chengmingmag	1	1
391		chengrenmanhua.1242.net.cn	1	1
392		chengrenwangzhi.1242.net.cn	1	1
393		chinaliberal	1	1
394		chinamz	1	1
395		chinavfx.net	1	1
396		chinesenewsnet	1	1
397		chinesenewsweek	1	1
398		Clockgemstone	1	1
399		cnaicheng.1174.net.cn	1	1
400		consignment5173	1	1
401		creaders	1	1
402		Crestbone	1	1
403		cunt	1	1
404		dadati.com	1	1
405		dafa	1	1
406		dajiyuan	1	1
407		damm	1	1
408		damn	1	1
409		dfdz	1	1
410		DICK	1	1
411		digitallongking.com	1	1
412		dingxiang.1243.net.cn	1	1
413		dingxiang.1249.net	1	1
414		dl.com	1	1
415		dolbbs.com	1	1
416		dpp	1	1
417		e7sw.cn	1	1
418		eee.xaoh.cn	1	1
419		eight仙	1	1
420		eight仙靠	1	1
421		ent365.com	1	1
422		epochtime	1	1
423		epochtimes	1	1
424		EVENT	1	1
425		E周刊	1	1
426		F.L.G	1	1
427		falu	1	1
428		falun	1	1
429		falundafa	1	1
430		fawanghuihui	1	1
431		FA轮	1	1
432		fa轮 	1	1
433		Feelmistone	1	1
434		feitengdl.com	1	1
435		fgmtv	1	1
436		Fku	1	1
437		flg	1	1
438		fofg	1	1
439		fosaon	1	1
440		freechina	1	1
441		freedom	1	1
442		freenet	1	1
443		fu(	1	1
444		fuc	1	1
445		FUCK	1	1
446		FUCKYOU	1	1
447		fuck靠	1	1
448		fuck氵去	1	1
449		fuck骚	1	1
450		fuck色情	1	1
451		fuck色情电影	1	1
452		fuck色情服务	1	1
453		fuck色情小电影	1	1
454		fuck杀人犯	1	1
455		fuck傻B	1	1
456		fuck傻屄	1	1
457		fuck傻逼	1	1
458		fuck傻比	1	1
459		fuck傻吊	1	1
460		fuck傻卵	1	1
461		fuck傻子	1	1
462		fuck煞逼	1	1
463		fuck商务部	1	1
464		fuck上你	1	1
465		fuck上妳	1	1
466		fuck社.会.正.义.力.量	1	1
467		fuck社保基金会	1	1
468		fuck社会主义	1	1
469		fuck社科院	1	1
470		fuck射精	1	1
471		fuck身份生成器	1	1
472		fuck神经病	1	1
473		fuck神通加持法	1	1
474		fuck审计署	1	1
475		fuck升达毕业证	1	1
476		fuck生春袋	1	1
477		fuck生孩子没屁眼	1	1
478		fuck生鸦片	1	1
479		fuck圣女峰	1	1
480		fuck湿透的内裤	1	1
481		fuck十八摸	1	1
482		fuck十年动乱	1	1
483		fuck十五周年	1	1
484		fuck石进	1	1
485		fuck食捻屎	1	1
486		fuck食屎	1	1
487		fuck驶你爸	1	1
488		fuck驶你公	1	1
489		fuck驶你老母	1	1
490		fuck驶你老师	1	1
491		fuck驶你母	1	1
492		fuck驶你娘	1	1
493		fuck世界日报	1	1
494		fuck是鸡	1	1
495		fuck手机复制	1	1
496		fuck手淫	1	1
497		fuck受虐狂	1	1
498		fuck售ID	1	1
499		fuck售号	1	1
500		fuck售软件	1	1
501		fuck双峰微颤	1	1
502		fuck水利部	1	1
503		fuck水去车仑	1	1
504		fuck税务总局	1	1
505		fuck司法部	1	1
506		fuck私/服	1	1
507		fuck私\\服	1	1
508		fuck私服	1	1
509		fuck私-服	1	1
510		fuck私—服	1	1
511		fuck斯大林	1	1
512		fuck死gd	1	1
513		fuck死gm	1	1
514		fuck死全家	1	1
515		fuck四川独立	1	1
516		fuck四人帮	1	1
517		fuck宋楚瑜	1	1
518		fuck宋祖英	1	1
519		fuck孙文	1	1
520		fuck孙逸仙	1	1
521		fuck孙中山	1	1
522		fuck他爹	1	1
523		fuck他妈	1	1
524		fuck他妈的	1	1
525		fuck他马的	1	1
526		fuck他母亲	1	1
527		fuck他祖宗	1	1
528		fuck台办	1	1
529		fuck台独	1	1
530		fuck台联	1	1
531		fuck台湾党	1	1
532		fuck台湾帝国	1	1
533		fuck台湾独立	1	1
534		fuck台湾共产党	1	1
535		fuck台湾共和国	1	1
536		fuck台湾狗	1	1
537		fuck台湾国	1	1
538		fuck台湾民国	1	1
539		fuck太监	1	1
540		fuck太子党	1	1
541		fuck唐家璇	1	1
542		fuck特别公告	1	1
543		fuck特码	1	1
544		fuck体育总局	1	1
545		fuck天安门	1	1
546		fuck天安门档案	1	1
547		fuck天安门录像带	1	1
548		fuck天安门事件	1	1
549		fuck天安门屠杀	1	1
550		fuck天安门一代	1	1
551		fuck天鹅之旅	1	1
552		fuck天皇	1	1
553		fuck天皇陛下	1	1
554		fuck田纪云	1	1
555		fuck舔西	1	1
556		fuck铁道部	1	1
557		fuck统计局	1	1
558		fuck投毒杀人	1	1
559		fuck透视软件	1	1
560		fuck透视眼镜	1	1
561		fuck推油	1	1
562		fuck退党	1	1
563		fuck托管理事会	1	1
564		fuck外　挂	1	1
565		fuck外/挂	1	1
566		fuck外\\挂	1	1
567		fuck外_挂	1	1
568		fuck外挂	1	1
569		fuck外-挂	1	1
570		fuck外—挂	1	1
571		fuck外汇局	1	1
572		fuck外交部	1	1
573		fuck外专局	1	1
574		fuck晚年周恩来	1	1
575		fuck万税	1	1
576		fuck王八蛋	1	1
577		fuck王宝森	1	1
578		fuck王刚	1	1
579		fuck王昊	1	1
580		fuck王乐泉	1	1
581		fuck王岐山	1	1
582		fuck王太华	1	1
583		fuck王兆国	1	1
584		fuck王震	1	1
585		fuck网管	1	1
586		fuck威而钢	1	1
587		fuck威而柔	1	1
588		fuck卫生部	1	1
589		fuck尉健行	1	1
590		fuck温加宝	1	1
591		fuck温家宝	1	1
592		fuck温家保	1	1
593		fuck温馨	1	1
594		fuck温总理	1	1
595		fuck文化部	1	1
596		fuck文物局	1	1
597		fuck倭国	1	1
598		fuck倭寇	1	1
599		fuck我操	1	1
600		fuck我操你	1	1
601		fuck我干	1	1
602		fuck我妳老爸	1	1
603		fuck我日	1	1
604		fuck我日你	1	1
605		fuck无界浏览器	1	1
606		fuck吴　仪	1	1
607		fuck吴邦国	1	1
608		fuck吴官正	1	1
609		fuck吴仪	1	1
610		fuck五星红旗	1	1
611		fuck西藏独立	1	1
612		fuck西藏天葬	1	1
613		fuck希拉克	1	1
614		fuck希特勒	1	1
615		fuck希望之声	1	1
616		fuck洗脑班	1	1
617		fuck系统	1	1
618		fuck系统公告	1	1
619		fuck系统讯息	1	1
620		fuck鲜族	1	1
621		fuck乡巴佬	1	1
622		fuck想上你	1	1
623		fuck小鸡鸡	1	1
624		fuck小泉	1	1
625		fuck小泉纯一郎	1	1
626		fuck小日本	1	1
627		fuck小肉粒	1	1
628		fuck小乳头	1	1
629		fuck小穴	1	1
630		fuck邪教	1	1
631		fuck新党	1	1
632		fuck新光明	1	1
633		fuck新华内情	1	1
634		fuck新华社	1	1
635		fuck新疆独立	1	1
636		fuck新生网	1	1
637		fuck新手指导员	1	1
638		fuck新唐人	1	1
639		fuck新闻办	1	1
640		fuck新闻出版	1	1
641		fuck新闻出版署	1	1
642		fuck新闻出版总署	1	1
643		fuck新闻管制	1	1
644		fuck新义安	1	1
645		fuck信访局	1	1
646		fuck信息产业部	1	1
647		fuck兴奋剂	1	1
648		fuck性爱	1	1
649		fuck性交	1	1
650		fuk	1	1
651		fv(	1	1
652		fvc	1	1
653		fy371.com	1	1
654		g365.net	1	1
655		ＧＡＭＥ　ｍａｓｔｅｒ	1	1
656		GameMaste	1	1
657		GAMEMASTER	1	1
658		gan你	1	1
659		g-bits	1	1
660		gc365	1	1
661		GCD	1	1
662		geocities.com	1	1
663		gigabyte.cn	1	1
664		globalrescue	1	1
665		Gm	1	1
666		ＧＭ	1	1
667		gogo.net	1	1
668		Gruepin	1	1
669		gssmtt.com	1	1
670		HACKING	1	1
671		haosilu.com	1	1
672		haouse.cn	1	1
673		hongzhi	1	1
674		host800.com	1	1
675		hrichina	1	1
676		huanet	1	1
677		huangsexiaoshuo.1242.net.cn	1	1
678		hypermart.net	1	1
679		h站	1	1
680		h站靠	1	1
681		i9game.com	1	1
682		icpcn.com	1	1
683		id666.uqc.cn	1	1
684		ieboy.cn	1	1
685		incest	1	1
686		ising99.com	1	1
687		item	1	1
688		itnongzhuang.com	1	1
689		J8	1	1
690		j8靠	1	1
691		JB	1	1
692		JB靠	1	1
693		jiangdongriji	1	1
694		jian你	1	1
695		jiaochuang	1	1
696		jiaochun	1	1
697		jiayyou.cn	1	1
698		jiba	1	1
699		jinpaopao.com	1	1
700		jinv	1	1
701		Ji女	1	1
702		jj.pangfangwuyuetian.hi.9705.net.cn	1	1
703		jooplay.com	1	1
704		kao	1	1
705		KISSMYASS	1	1
706		kkk.xaoh.cn	1	1
707		ko180	1	1
708		kyohwangmark	1	1
709		K他命	1	1
710		l2jsom.cn	1	1
711		Lhakar	1	1
712		lihongzhi	1	1
713		likeko.com	1	1
714		lll.xaoh.cn	1	1
715		lordren.com	1	1
716		lunlidianying.1274.net.cn	1	1
717		lunlidianyingxiazai.1174.net.cn	1	1
718		luosisa.cn	1	1
719		luoxialu.cn	1	1
720		lxsm888.com	1	1
721		lybbs.info	1	1
722		Mai骚	1	1
723		making	1	1
724		meiguiqingren.1274.net.cn	1	1
725		minghui	1	1
726		minghuinews	1	1
727		mingpaonews	1	1
728		minhui	1	1
729		nacb	1	1
730		naive	1	1
731		nbfib.cn	1	1
732		ncyh.cn	1	1
733		Neckromancer	1	1
734		newsmth.net	1	1
735		niuniujidi.1174.net.cn	1	1
736		NMD	1	1
737		nmis	1	1
738		NND	1	1
739		NPC靠	1	1
740		okaygood.cn	1	1
741		on9	1	1
742		ooo.xaoh.cn	1	1
743		orgasmus	1	1
744		paper64	1	1
745		parke888.com	1	1
746		pcikcatv.2om	1	1
747		pcikchina.com	1	1
748		peacehall	1	1
749		penis	1	1
750		phuc	1	1
751		piss	1	1
752		pkmmo.com	1	1
753		playboy	1	1
754		ppt.cc	1	1
755		prettyirene.net	1	1
756		pussy	1	1
757		qgqm.org	1	1
758		qiangjian	1	1
759		qingsewuyuetian.1174.net.cn	1	1
760		qtoy.com	1	1
761		Rape	1	1
762		reddidi.com.cn	1	1
763		renminbao	1	1
764		renmingbao	1	1
765		rfa	1	1
766		ri	1	1
767		rivals	1	1
768		rivals靠	1	1
769		rrr.xaoh.cn	1	1
770		safeweb	1	1
771		saobi	1	1
772		SB	1	1
773		screw	1	1
774		secretchina	1	1
775		sega	1	1
776		sewuyuetian.1174.net.cn	1	1
777		sewuyuetian.1274.net.cn	1	1
778		sex	1	1
779		sf	1	1
780		sh!t	1	1
781		shengda	1	1
782		shit	1	1
783		showka8.com	1	1
784		shyt	1	1
785		simple	1	1
786		siwameitui.1274.net.cn	1	1
787		sjlike.com	1	1
788		SM	1	1
789		snatch	1	1
790		soundofhope	1	1
791		stlmbbs.cn	1	1
792		SUCK	1	1
793		sucker	1	1
794		svdc	1	1
795		System	1	1
796		szlmgh.cn	1	1
797		T.M.D	1	1
798		T.M.D靠	1	1
799		taip	1	1
800		taobao	1	1
801		taobao靠	1	1
802		tb.hi.4024.net.cn	1	1
803		tibetalk	1	1
804		tlyx-game.cn	1	1
805		tmd	1	1
806		TMD靠	1	1
807		tnnd	1	1
808		tont.cn	1	1
809		triangle	1	1
810		triangleboy	1	1
811		Tringel	1	1
812		u   r靠	1	1
813		U  R靠	1	1
814		u r	1	1
815		u r靠	1	1
816		U/R	1	1
817		U/R靠	1	1
818		ul86.com	1	1
819		UltraSurf	1	1
820		unixbox	1	1
821		UR	1	1
822		ＵＲ	1	1
823		U-R	1	1
824		urban	1	1
825		urban-rivals	1	1
826		urban-rivals靠	1	1
827		urban靠	1	1
828		urTNND	1	1
829		UR靠	1	1
830		ＵＲ靠	1	1
831		U-R靠	1	1
832		ustibet	1	1
833		uu1001.com	1	1
834		vip886.com	1	1
835		voa	1	1
836		voachinese	1	1
837		wangce	1	1
838		wangyoudl.com	1	1
839		webgame.com.cn	1	1
840		webgame.com.cn靠	1	1
841		WEBZEN	1	1
842		WEB牌戰	1	1
843		WEB牌戰靠	1	1
844		WEB战牌	1	1
845		WEB战牌靠	1	1
846		weelaa	1	1
847		WG	1	1
848		wg7766.cn	1	1
849		wgxiaowu.com	1	1
850		woyinwose.1243.net.cn	1	1
851		wstaiji	1	1
852		www.	1	1
853		www.23nice.com.cn	1	1
854		www.2q5q.com	1	1
855		www.315ts.net	1	1
856		www.365jw.com	1	1
857		www.50spcombaidu1828adyou97sace.co.cc	1	1
858		www.567yx.com	1	1
859		www.70yx.com	1	1
860		www.766.com	1	1
861		www.91wangyou.com	1	1
862		www.976543.com	1	1
863		www.978808.com	1	1
864		www.99game.net	1	1
865		www.anule.cn	1	1
866		www.bin5.cn	1	1
867		www.dy6789.cn	1	1
868		www.foyeye.com	1	1
869		www.gamelifeclub.cn	1	1
870		www.gardcn.com	1	1
871		www.gw17173.cn	1	1
872		www.legu.com	1	1
873		www.maituan.com	1	1
874		www.neicehao.cn	1	1
875		www.sanjidianying.com.cn	1	1
876		www.sexwyt.com	1	1
877		www.sf766.com.cn	1	1
878		www.wang567.com	1	1
879		www.wow366.cn	1	1
880		www.xaoh.cn	1	1
881		www.yhzt.org	1	1
882		www.ylteam.cn	1	1
883		www.yxnpc.com	1	1
884		www.zsyxhd.cn	1	1
885		www.zxkaku.cn	1	1
886		www.zy528.com	1	1
887		wy33.com	1	1
888		wy3868.com	1	1
889		wy724.com	1	1
890		xiao77.1243.net.cn	1	1
891		xiao77luntan.1249.net.cn	1	1
892		xiaoqinzaixian.cn	1	1
893		xingqingzhongren.1174.net.cn	1	1
894		xinguangming	1	1
895		xinsheng	1	1
896		xiuau.cn	1	1
897		xl517.com	1	1
898		xq-wl.cn	1	1
899		xya3.cn	1	1
900		yaokong7.com	1	1
901		youxiji888.cn	1	1
902		ys168.com	1	1
903		yuanming	1	1
904		yuanmingxinsheng	1	1
905		yuming	1	1
906		yz55.cn	1	1
907		zaixu.net	1	1
908		zhengjian	1	1
909		zhengjianwang	1	1
910		zhengqing	1	1
911		zhengwunet	1	1
912		zhenshanren	1	1
913		zhongguohun	1	1
914		zhuanfalun	1	1
915		zxsj188.com	1	1
916		zy666.net	1	1
917		zzmysf.com	1	1
918		zzz.xaoh.cn	1	1
919		阿扁万岁	1	1
920		阿扁萬歲	1	1
921		阿拉法特	1	1
922		啊無卵	1	1
923		哀悼	1	1
924		挨球	1	1
925		艾滋	1	1
926		爱液	1	1
927		爱滋	1	1
928		愛滋	1	1
929		安非他命	1	1
930		安南	1	1
931		安全局	1	1
932		垵	1	1
933		奧克拉	1	1
934		嶴	1	1
935		澳洲光明网	1	1
936		八 仙	1	1
937		八 仙靠	1	1
938		八九	1	1
939		八九风波	1	1
940		八仙	1	1
941		八仙靠	1	1
942		白粉	1	1
943		白立樸	1	1
944		白莲教	1	1
945		白皮書	1	1
946		白色星期三	1	1
947		班禅	1	1
948		班禪	1	1
949		办理文凭	1	1
950		办理证件	1	1
951		包皮	1	1
952		薄一波	1	1
953		保钓	1	1
954		保釣	1	1
955		保监会	1	1
956		保密局	1	1
957		鸨	1	1
958		报警	1	1
959		鲍岳桥	1	1
960		暴动	1	1
961		暴恐	1	1
962		暴力事件	1	1
963		暴乱	1	1
964		暴亂	1	1
965		暴徒	1	1
966		暴徒、昆明火车站	1	1
967		爆破	1	1
968		北大三角地论坛	1	1
969		北大三角地論壇	1	1
970		北韩	1	1
971		北韓	1	1
972		北京当局	1	1
973		北京當局	1	1
974		北京路	1	1
975		北京之春	1	1
976		北美自由论坛	1	1
977		北美自由論壇	1	1
978		贝肉	1	1
979		貝尤爾	1	1
980		被抓	1	1
981		本拉登	1	1
982		苯比	1	1
983		笨屄	1	1
984		笨逼	1	1
985		屄	1	1
986		屄毛	1	1
987		逼毛	1	1
988		逼你老母	1	1
989		逼迫	1	1
990		逼样	1	1
991		逼樣	1	1
992		比毛	1	1
993		比样	1	1
994		比樣	1	1
995		蹕	1	1
996		颮	1	1
997		鑣	1	1
998		婊	1	1
999		婊子	1	1
1000		婊子靠	1	1
1001		婊子养的	1	1
1002		婊子養的	1	1
1003		賓周	1	1
1004		冰毒	1	1
1005		冰後	1	1
1006		波霸	1	1
1007		博讯	1	1
1008		博訊	1	1
1009		不爽不要錢	1	1
1010		不玩了	1	1
1011		不玩了靠	1	1
1012		布莱尔	1	1
1013		布萊爾	1	1
1014		布雷尔	1	1
1015		布雷爾	1	1
1016		布什	1	1
1017		步行街	1	1
1018		财政部	1	1
1019		蔡崇國	1	1
1020		蔡啓芳	1	1
1021		参事室	1	1
1022		黲	1	1
1023		藏独	1	1
1024		藏独靠	1	1
1025		藏獨	1	1
1026		藏妇会	1	1
1027		藏青会	1	1
1028		藏人	1	1
1029		藏人行政中央	1	1
1030		藏人支持和赞成	1	1
1031		藏人自焚	1	1
1032		藏人自焚档案	1	1
1033		操	1	1
1034		操GM	1	1
1035		操XX	1	1
1036		操薄一波	1	1
1037		操逼	1	1
1038		操逼毛	1	1
1039		操逼你老母	1	1
1040		操逼样	1	1
1041		操比	1	1
1042		操比毛	1	1
1043		操婊	1	1
1044		操婊子	1	1
1045		操宾周	1	1
1046		操冰毒	1	1
1047		操波霸	1	1
1048		操博讯	1	1
1049		操布莱尔	1	1
1050		操布雷尔	1	1
1051		操布什	1	1
1052		操财政部	1	1
1053		操参事室	1	1
1054		操藏独	1	1
1055		操操	1	1
1056		操操GM	1	1
1057		操操XX	1	1
1058		操操逼	1	1
1059		操操比	1	1
1060		操操蛋	1	1
1061		操操你	1	1
1062		操操你八辈祖宗	1	1
1063		操操你妈	1	1
1064		操操你妈屄	1	1
1065		操操他	1	1
1066		操曹刚川	1	1
1067		操草的你妈	1	1
1068		操草妈	1	1
1069		操草拟妈	1	1
1070		操草你妈	1	1
1071		操肏	1	1
1072		操测绘局	1	1
1073		操插GM	1	1
1074		操插你	1	1
1075		操插你妈	1	1
1076		操插妳	1	1
1077		操插深些	1	1
1078		操产权局	1	1
1079		操朝鲜	1	1
1080		操车臣	1	1
1081		操车仑	1	1
1082		操陈功	1	1
1083		操陈良宇	1	1
1084		操陈水扁	1	1
1085		操陈希同	1	1
1086		操陈晓宁	1	1
1087		操陈毅	1	1
1088		操陈至立	1	1
1089		操成人电影	1	1
1090		操成人片	1	1
1091		操吃大便	1	1
1092		操吃屎	1	1
1093		操迟浩田	1	1
1094		操赤匪	1	1
1095		操抽插	1	1
1096		操抽你丫的	1	1
1097		操臭化西	1	1
1098		操出售假币	1	1
1099		操出售枪支	1	1
1100		操出售手枪	1	1
1101		操吹喇叭	1	1
1102		操吹箫	1	1
1103		操春药	1	1
1104		操蠢猪	1	1
1105		操戳你	1	1
1106		操粗制吗啡	1	1
1107		操催情药	1	1
1108		操达赖	1	1
1109		操达赖喇嘛	1	1
1110		操打炮	1	1
1111		操大*FA弟*子	1	1
1112		操大B	1	1
1113		操大逼	1	1
1114		操大便	1	1
1115		操大波波	1	1
1116		操大东亚共荣	1	1
1117		操大法	1	1
1118		操蛋	1	1
1119		操鶏	1	1
1120		操林	1	1
1121		操那嗎B	1	1
1122		操那嗎逼	1	1
1123		操那嗎比	1	1
1124		操那吗B	1	1
1125		操那吗逼	1	1
1126		操那吗比	1	1
1127		操尼	1	1
1128		操你	1	1
1129		操你八辈祖宗	1	1
1130		操你姐	1	1
1131		操你老母	1	1
1132		操你妈	1	1
1133		操你妈屄	1	1
1134		操你妈靠	1	1
