Id	Desc	MoneyFactor	ExpFactor	MoneyQualityFactor0	MoneyQualityFactor1	MoneyQualityFactor2	MoneyQualityFactor3	MoneyQualityFactor4	ExpQualityFactor0	ExpQualityFactor1	ExpQualityFactor2	ExpQualityFactor3	ExpQualityFactor4
53	53	10.6	110	1	1	1	1	1	1	1	1	1	1
54	54	10.8	112	1	1	1	1	1	1	1	1	1	1
55	55	11	114	1	1	1	1	1	1	1	1	1	1
56	56	11.2	116	1	1	1	1	1	1	1	1	1	1
57	57	11.4	118	1	1	1	1	1	1	1	1	1	1
58	58	11.6	120	1	1	1	1	1	1	1	1	1	1
59	59	11.8	122	1	1	1	1	1	1	1	1	1	1
60	60	12	124	1	1	1	1	1	1	1	1	1	1
61	61	12.2	126	1	1	1	1	1	1	1	1	1	1
62	62	12.4	128	1	1	1	1	1	1	1	1	1	1
63	63	12.6	130	1	1	1	1	1	1	1	1	1	1
64	64	12.8	132	1	1	1	1	1	1	1	1	1	1
65	65	13	134	1	1	1	1	1	1	1	1	1	1
66	66	13.2	136	1	1	1	1	1	1	1	1	1	1
67	67	13.4	138	1	1	1	1	1	1	1	1	1	1
68	68	13.6	140	1	1	1	1	1	1	1	1	1	1
69	69	13.8	142	1	1	1	1	1	1	1	1	1	1
70	70	14	144	1	1	1	1	1	1	1	1	1	1
71	71	14.2	146	1	1	1	1	1	1	1	1	1	1
72	72	14.4	148	1	1	1	1	1	1	1	1	1	1
73	73	14.6	150	1	1	1	1	1	1	1	1	1	1
74	74	14.8	152	1	1	1	1	1	1	1	1	1	1
75	75	15	154	1	1	1	1	1	1	1	1	1	1
76	76	15.2	156	1	1	1	1	1	1	1	1	1	1
77	77	15.4	158	1	1	1	1	1	1	1	1	1	1
78	78	15.6	160	1	1	1	1	1	1	1	1	1	1
79	79	15.8	162	1	1	1	1	1	1	1	1	1	1
80	80	16	164	1	1	1	1	1	1	1	1	1	1
81	81	16.2	166	1	1	1	1	1	1	1	1	1	1
82	82	16.4	168	1	1	1	1	1	1	1	1	1	1
83	83	16.6	170	1	1	1	1	1	1	1	1	1	1
84	84	16.8	172	1	1	1	1	1	1	1	1	1	1
85	85	17	174	1	1	1	1	1	1	1	1	1	1
86	86	17.2	176	1	1	1	1	1	1	1	1	1	1
87	87	17.4	178	1	1	1	1	1	1	1	1	1	1
88	88	17.6	180	1	1	1	1	1	1	1	1	1	1
89	89	17.8	182	1	1	1	1	1	1	1	1	1	1
90	90	18	184	1	1	1	1	1	1	1	1	1	1
91	91	18.2	186	1	1	1	1	1	1	1	1	1	1
92	92	18.4	188	1	1	1	1	1	1	1	1	1	1
93	93	18.6	190	1	1	1	1	1	1	1	1	1	1
94	94	18.8	192	1	1	1	1	1	1	1	1	1	1
95	95	19	194	1	1	1	1	1	1	1	1	1	1
96	96	19.2	196	1	1	1	1	1	1	1	1	1	1
97	97	19.4	198	1	1	1	1	1	1	1	1	1	1
98	98	19.6	200	1	1	1	1	1	1	1	1	1	1
99	99	19.8	202	1	1	1	1	1	1	1	1	1	1
100	100	20	204	1	1	1	1	1	1	1	1	1	1
