INDEX	DRS	ID	Duty	Name	MODE	LEVEL	BASE1ID	BASE1VLUE	BASE2ID	BASE2VLUE	BASE3ID	BASE3VLUE	BASE4ID	BASE4VLUE	BASE5ID	BASE5VLUE	BASE6ID	BASE6VLUE	ABSORBNUM	ABSORBID	ABSORBVLUE
30		1		七阶天使翅膀	Cb_yumao_004_001	7	0	15480	1	3870	3	2579	4	2579	7	419	9	239	13	0	0
31		1		七阶天使翅膀	Cb_yumao_004_001	7	0	15980	1	3995	3	2662	4	2662	7	433	9	247	14	3	0
32		1		七阶天使翅膀	Cb_yumao_004_001	7	0	16479	1	4120	3	2746	4	2746	7	446	9	255	15	4	0
33		1		七阶天使翅膀	Cb_yumao_004_001	7	0	16978	1	4245	3	2829	4	2829	7	460	9	262	16	7	0
34		1		七阶天使翅膀	Cb_yumao_004_001	7	0	17478	1	4369	3	2912	4	2912	7	473	9	270	17	9	0
35		1		八阶天使翅膀	Cb_yumao_004_001	8	0	17977	1	4494	3	2995	4	2995	7	487	9	278	15	0	0
36		1		八阶天使翅膀	Cb_yumao_004_001	8	0	18476	1	4619	3	3078	4	3078	7	500	9	286	16	3	0
37		1		八阶天使翅膀	Cb_yumao_004_001	8	0	18976	1	4744	3	3162	4	3162	7	514	9	293	17	4	0
38		1		八阶天使翅膀	Cb_yumao_004_001	8	0	19475	1	4869	3	3245	4	3245	7	527	9	301	18	7	0
39		1		八阶天使翅膀	Cb_yumao_004_001	8	0	19974	1	4994	3	3328	4	3328	7	541	9	309	19	9	0
40		1		九阶天使翅膀	Cb_yumao_005_001	9	0	20474	1	5118	3	3411	4	3411	7	554	9	317	17	0	0
41		1		九阶天使翅膀	Cb_yumao_005_001	9	0	20973	1	5243	3	3494	4	3494	7	568	9	324	18	3	0
42		1		九阶天使翅膀	Cb_yumao_005_001	9	0	21472	1	5368	3	3578	4	3578	7	581	9	332	19	4	0
43		1		九阶天使翅膀	Cb_yumao_005_001	9	0	21972	1	5493	3	3661	4	3661	7	595	9	340	20	7	0
44		1		九阶天使翅膀	Cb_yumao_005_001	9	0	22471	1	5618	3	3744	4	3744	7	608	9	347	21	9	0
45		1		十阶天使翅膀	Cb_yumao_005_001	10	0	22971	1	5743	3	3827	4	3827	7	622	9	355	19	0	0
46		1		十阶天使翅膀	Cb_yumao_005_001	10	0	23470	1	5867	3	3910	4	3910	7	635	9	363	20	3	0
47		1		十阶天使翅膀	Cb_yumao_005_001	10	0	23969	1	5992	3	3994	4	3994	7	649	9	371	21	4	0
48		1		十阶天使翅膀	Cb_yumao_005_001	10	0	24469	1	6117	3	4077	4	4077	7	662	9	378	22	7	0
49		1		十阶天使翅膀	Cb_yumao_005_001	10	0	24968	1	6242	3	4160	4	4160	7	676	9	386	23	9	0
50		2		一阶机械翅膀	Cb_jixie_001_001	1	0	499	1	125	5	58	6	58	8	14	10	8	1	0	0
51		2		一阶机械翅膀	Cb_jixie_001_001	1	0	999	1	250	5	116	6	116	8	27	10	15	2	5	0
52		2		一阶机械翅膀	Cb_jixie_001_001	1	0	1498	1	375	5	175	6	175	8	41	10	23	3	6	0
53		2		一阶机械翅膀	Cb_jixie_001_001	1	0	1997	1	499	5	233	6	233	8	54	10	31	4	8	0
54		2		一阶机械翅膀	Cb_jixie_001_001	1	0	2497	1	624	5	291	6	291	8	68	10	39	5	10	0
55		2		二阶机械翅膀	Cb_jixie_001_001	2	0	2996	1	749	5	349	6	349	8	81	10	46	3	0	0
56		2		二阶机械翅膀	Cb_jixie_001_001	2	0	3496	1	874	5	408	6	408	8	95	10	54	4	5	0
57		2		二阶机械翅膀	Cb_jixie_001_001	2	0	3995	1	999	5	466	6	466	8	108	10	62	5	6	0
58		2		二阶机械翅膀	Cb_jixie_001_001	2	0	4494	1	1124	5	524	6	524	8	122	10	69	6	8	0
59		2		二阶机械翅膀	Cb_jixie_001_001	2	0	4994	1	1248	5	582	6	582	8	135	10	77	7	10	0
60		2		三阶机械翅膀	Cb_jixie_001_002	3	0	5493	1	1373	5	641	6	641	8	149	10	85	5	0	0
61		2		三阶机械翅膀	Cb_jixie_001_002	3	0	5992	1	1498	5	699	6	699	8	162	10	93	6	5	0
62		2		三阶机械翅膀	Cb_jixie_001_002	3	0	6492	1	1623	5	757	6	757	8	176	10	100	7	6	0
63		2		三阶机械翅膀	Cb_jixie_001_002	3	0	6991	1	1748	5	815	6	815	8	189	10	108	8	8	0
64		2		三阶机械翅膀	Cb_jixie_001_002	3	0	7490	1	1873	5	874	6	874	8	203	10	116	9	10	0
65		2		四阶机械翅膀	Cb_jixie_001_002	4	0	7990	1	1997	5	932	6	932	8	216	10	124	7	0	0
66		2		四阶机械翅膀	Cb_jixie_001_002	4	0	8489	1	2122	5	990	6	990	8	230	10	131	8	5	0
67		2		四阶机械翅膀	Cb_jixie_001_002	4	0	8988	1	2247	5	1048	6	1048	8	243	10	139	9	6	0
68		2		四阶机械翅膀	Cb_jixie_001_002	4	0	9488	1	2372	5	1107	6	1107	8	257	10	147	10	8	0
69		2		四阶机械翅膀	Cb_jixie_001_002	4	0	9987	1	2497	5	1165	6	1165	8	270	10	154	11	10	0
70		2		五阶机械翅膀	Cb_jixie_001_003	5	0	10487	1	2622	5	1223	6	1223	8	284	10	162	9	0	0
71		2		五阶机械翅膀	Cb_jixie_001_003	5	0	10986	1	2746	5	1281	6	1281	8	297	10	170	10	5	0
72		2		五阶机械翅膀	Cb_jixie_001_003	5	0	11485	1	2871	5	1340	6	1340	8	311	10	178	11	6	0
73		2		五阶机械翅膀	Cb_jixie_001_003	5	0	11985	1	2996	5	1398	6	1398	8	324	10	185	12	8	0
74		2		五阶机械翅膀	Cb_jixie_001_003	5	0	12484	1	3121	5	1456	6	1456	8	338	10	193	13	10	0
75		2		六阶机械翅膀	Cb_jixie_001_003	6	0	12983	1	3246	5	1514	6	1514	8	352	10	201	11	0	0
76		2		六阶机械翅膀	Cb_jixie_001_003	6	0	13483	1	3371	5	1572	6	1572	8	365	10	208	12	5	0
77		2		六阶机械翅膀	Cb_jixie_001_003	6	0	13982	1	3496	5	1631	6	1631	8	379	10	216	13	6	0
78		2		六阶机械翅膀	Cb_jixie_001_003	6	0	14481	1	3620	5	1689	6	1689	8	392	10	224	14	8	0
79		2		六阶机械翅膀	Cb_jixie_001_003	6	0	14981	1	3745	5	1747	6	1747	8	406	10	232	15	10	0
80		2		七阶机械翅膀	Cb_jixie_004_001	7	0	15480	1	3870	5	1805	6	1805	8	419	10	239	13	0	0
81		2		七阶机械翅膀	Cb_jixie_004_001	7	0	15980	1	3995	5	1864	6	1864	8	433	10	247	14	5	0
82		2		七阶机械翅膀	Cb_jixie_004_001	7	0	16479	1	4120	5	1922	6	1922	8	446	10	255	15	6	0
83		2		七阶机械翅膀	Cb_jixie_004_001	7	0	16978	1	4245	5	1980	6	1980	8	460	10	262	16	8	0
84		2		七阶机械翅膀	Cb_jixie_004_001	7	0	17478	1	4369	5	2038	6	2038	8	473	10	270	17	10	0
85		2		八阶机械翅膀	Cb_jixie_004_001	8	0	17977	1	4494	5	2097	6	2097	8	487	10	278	15	0	0
86		2		八阶机械翅膀	Cb_jixie_004_001	8	0	18476	1	4619	5	2155	6	2155	8	500	10	286	16	5	0
87		2		八阶机械翅膀	Cb_jixie_004_001	8	0	18976	1	4744	5	2213	6	2213	8	514	10	293	17	6	0
88		2		八阶机械翅膀	Cb_jixie_004_001	8	0	19475	1	4869	5	2271	6	2271	8	527	10	301	18	8	0
89		2		八阶机械翅膀	Cb_jixie_004_001	8	0	19974	1	4994	5	2330	6	2330	8	541	10	309	19	10	0
90		2		九阶机械翅膀	Cb_jixie_005_001	9	0	20474	1	5118	5	2388	6	2388	8	554	10	317	17	0	0
91		2		九阶机械翅膀	Cb_jixie_005_001	9	0	20973	1	5243	5	2446	6	2446	8	568	10	324	18	5	0
92		2		九阶机械翅膀	Cb_jixie_005_001	9	0	21472	1	5368	5	2504	6	2504	8	581	10	332	19	6	0
93		2		九阶机械翅膀	Cb_jixie_005_001	9	0	21972	1	5493	5	2563	6	2563	8	595	10	340	20	8	0
94		2		九阶机械翅膀	Cb_jixie_005_001	9	0	22471	1	5618	5	2621	6	2621	8	608	10	347	21	10	0
95		2		十阶机械翅膀	Cb_jixie_005_001	10	0	22971	1	5743	5	2679	6	2679	8	622	10	355	19	0	0
96		2		十阶机械翅膀	Cb_jixie_005_001	10	0	23470	1	5867	5	2737	6	2737	8	635	10	363	20	5	0
97		2		十阶机械翅膀	Cb_jixie_005_001	10	0	23969	1	5992	5	2796	6	2796	8	649	10	371	21	6	0
98		2		十阶机械翅膀	Cb_jixie_005_001	10	0	24469	1	6117	5	2854	6	2854	8	662	10	378	22	8	0
99		2		十阶机械翅膀	Cb_jixie_005_001	10	0	24968	1	6242	5	2912	6	2912	8	676	10	386	23	10	0
100		3		黄金机械之翼	Cb_jixie_gaoji_001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
101		3		王者羽翼	Cb_yumao_gaoji_001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
