Id	Desc	BaseSkill	Type	Level	NextSkillId	NeedBookId	NeedBookCount
50303	灼伤烈焰3级	50301	4	3	50304	71009	15
50304	灼伤烈焰4级	50301	4	4	50305	71009	20
50305	灼伤烈焰5级	50301	4	5	50306	71009	25
50306	灼伤烈焰6级	50301	4	6	50307	71009	30
50307	灼伤烈焰7级	50301	4	7	50308	71009	35
50308	灼伤烈焰8级	50301	4	8	50309	71009	40
50309	灼伤烈焰9级	50301	4	9	50310	71009	45
50310	灼伤烈焰10级	50301	4	10	-1	-1	-1
50401	晕眩术1级	50401	4	1	50402	71009	5
50402	晕眩术2级	50401	4	2	50403	71009	10
50403	晕眩术3级	50401	4	3	50404	71009	15
50404	晕眩术4级	50401	4	4	50405	71009	20
50405	晕眩术5级	50401	4	5	50406	71009	25
50406	晕眩术6级	50401	4	6	50407	71009	30
50407	晕眩术7级	50401	4	7	50408	71009	35
50408	晕眩术8级	50401	4	8	50409	71009	40
50409	晕眩术9级	50401	4	9	50410	71009	45
50410	晕眩术10级	50401	4	10	-1	-1	-1
50501	烈焰狂怒1级	50501	4	1	50502	71009	5
50502	烈焰狂怒2级	50501	4	2	50503	71009	10
50503	烈焰狂怒3级	50501	4	3	50504	71009	15
50504	烈焰狂怒4级	50501	4	4	50505	71009	20
50505	烈焰狂怒5级	50501	4	5	50506	71009	25
50506	烈焰狂怒6级	50501	4	6	50507	71009	30
50507	烈焰狂怒7级	50501	4	7	50508	71009	35
50508	烈焰狂怒8级	50501	4	8	50509	71009	40
50509	烈焰狂怒9级	50501	4	9	50510	71009	45
50510	烈焰狂怒10级	50501	4	10	-1	-1	-1
50601	强攻之火1级	50601	4	1	50602	71009	5
50602	强攻之火2级	50601	4	2	50603	71009	10
50603	强攻之火3级	50601	4	3	50604	71009	15
50604	强攻之火4级	50601	4	4	50605	71009	20
50605	强攻之火5级	50601	4	5	50606	71009	25
50606	强攻之火6级	50601	4	6	50607	71009	30
50607	强攻之火7级	50601	4	7	50608	71009	35
50608	强攻之火8级	50601	4	8	50609	71009	40
50609	强攻之火9级	50601	4	9	50610	71009	45
50610	强攻之火10级	50601	4	10	-1	-1	-1
50701	空气炮1级	50701	2	1	50702	71010	5
50702	空气炮2级	50701	2	2	50703	71010	10
50703	空气炮3级	50701	2	3	50704	71010	15
50704	空气炮4级	50701	2	4	50705	71010	20
50705	空气炮5级	50701	2	5	50706	71010	25
50706	空气炮6级	50701	2	6	50707	71010	30
50707	空气炮7级	50701	2	7	50708	71010	35
50708	空气炮8级	50701	2	8	50709	71010	40
50709	空气炮9级	50701	2	9	50710	71010	45
50710	空气炮10级	50701	2	10	-1	-1	-1
50801	雷暴1级	50801	2	1	50802	71010	5
50802	雷暴2级	50801	2	2	50803	71010	10
50803	雷暴3级	50801	2	3	50804	71010	15
50804	雷暴4级	50801	2	4	50805	71010	20
50805	雷暴5级	50801	2	5	50806	71010	25
50806	雷暴6级	50801	2	6	50807	71010	30
50807	雷暴7级	50801	2	7	50808	71010	35
50808	雷暴8级	50801	2	8	50809	71010	40
50809	雷暴9级	50801	2	9	50810	71010	45
50810	雷暴10级	50801	2	10	-1	-1	-1
50901	气守1级	50901	2	1	50902	71010	5
50902	气守2级	50901	2	2	50903	71010	10
50903	气守3级	50901	2	3	50904	71010	15
50904	气守4级	50901	2	4	50905	71010	20
50905	气守5级	50901	2	5	50906	71010	25
50906	气守6级	50901	2	6	50907	71010	30
50907	气守7级	50901	2	7	50908	71010	35
50908	气守8级	50901	2	8	50909	71010	40
50909	气守9级	50901	2	9	50910	71010	45
50910	气守10级	50901	2	10	-1	-1	-1
51001	极致风行1级	51001	2	1	51002	71010	5
51002	极致风行2级	51001	2	2	51003	71010	10
51003	极致风行3级	51001	2	3	51004	71010	15
51004	极致风行4级	51001	2	4	51005	71010	20
51005	极致风行5级	51001	2	5	51006	71010	25
51006	极致风行6级	51001	2	6	51007	71010	30
51007	极致风行7级	51001	2	7	51008	71010	35
51008	极致风行8级	51001	2	8	51009	71010	40
51009	极致风行9级	51001	2	9	51010	71010	45
51010	极致风行10级	51001	2	10	-1	-1	-1
51101	致盲1级	51101	2	1	51102	71010	5
51102	致盲2级	51101	2	2	51103	71010	10
51103	致盲3级	51101	2	3	51104	71010	15
51104	致盲4级	51101	2	4	51105	71010	20
51105	致盲5级	51101	2	5	51106	71010	25
51106	致盲6级	51101	2	6	51107	71010	30
51107	致盲7级	51101	2	7	51108	71010	35
51108	致盲8级	51101	2	8	51109	71010	40
51109	致盲9级	51101	2	9	51110	71010	45
51110	致盲10级	51101	2	10	-1	-1	-1
51201	狂暴气旋1级	51201	2	1	51202	71010	5
51202	狂暴气旋2级	51201	2	2	51203	71010	10
51203	狂暴气旋3级	51201	2	3	51204	71010	15
51204	狂暴气旋4级	51201	2	4	51205	71010	20
51205	狂暴气旋5级	51201	2	5	51206	71010	25
51206	狂暴气旋6级	51201	2	6	51207	71010	30
51207	狂暴气旋7级	51201	2	7	51208	71010	35
51208	狂暴气旋8级	51201	2	8	51209	71010	40
51209	狂暴气旋9级	51201	2	9	51210	71010	45
51210	狂暴气旋10级	51201	2	10	-1	-1	-1
51301	沙暴1级	51301	2	1	51302	71010	5
51302	沙暴2级	51301	2	2	51303	71010	10
51303	沙暴3级	51301	2	3	51304	71010	15
51304	沙暴4级	51301	2	4	51305	71010	20
51305	沙暴5级	51301	2	5	51306	71010	25
51306	沙暴6级	51301	2	6	51307	71010	30
51307	沙暴7级	51301	2	7	51308	71010	35
51308	沙暴8级	51301	2	8	51309	71010	40
51309	沙暴9级	51301	2	9	51310	71010	45
51310	沙暴10级	51301	2	10	-1	-1	-1
51401	回复术1级	51401	1	1	51402	71011	5
51402	回复术2级	51401	1	2	51403	71011	10
51403	回复术3级	51401	1	3	51404	71011	15
51404	回复术4级	51401	1	4	51405	71011	20
51405	回复术5级	51401	1	5	51406	71011	25
51406	回复术6级	51401	1	6	51407	71011	30
51407	回复术7级	51401	1	7	51408	71011	35
51408	回复术8级	51401	1	8	51409	71011	40
51409	回复术9级	51401	1	9	51410	71011	45
51410	回复术10级	51401	1	10	-1	-1	-1
51501	再生术1级	51501	1	1	51502	71011	5
51502	再生术2级	51501	1	2	51503	71011	10
51503	再生术3级	51501	1	3	51504	71011	15
51504	再生术4级	51501	1	4	51505	71011	20
51505	再生术5级	51501	1	5	51506	71011	25
51506	再生术6级	51501	1	6	51507	71011	30
51507	再生术7级	51501	1	7	51508	71011	35
51508	再生术8级	51501	1	8	51509	71011	40
51509	再生术9级	51501	1	9	51510	71011	45
51510	再生术10级	51501	1	10	-1	-1	-1
51601	水流护盾1级	51601	1	1	51602	71011	5
51602	水流护盾2级	51601	1	2	51603	71011	10
51603	水流护盾3级	51601	1	3	51604	71011	15
51604	水流护盾4级	51601	1	4	51605	71011	20
51605	水流护盾5级	51601	1	5	51606	71011	25
51606	水流护盾6级	51601	1	6	51607	71011	30
51607	水流护盾7级	51601	1	7	51608	71011	35
51608	水流护盾8级	51601	1	8	51609	71011	40
51609	水流护盾9级	51601	1	9	51610	71011	45
51610	水流护盾10级	51601	1	10	-1	-1	-1
51701	水之御1级	51701	1	1	51702	71011	5
51702	水之御2级	51701	1	2	51703	71011	10
51703	水之御3级	51701	1	3	51704	71011	15
51704	水之御4级	51701	1	4	51705	71011	20
51705	水之御5级	51701	1	5	51706	71011	25
51706	水之御6级	51701	1	6	51707	71011	30
51707	水之御7级	51701	1	7	51708	71011	35
51708	水之御8级	51701	1	8	51709	71011	40
51709	水之御9级	51701	1	9	51710	71011	45
51710	水之御10级	51701	1	10	-1	-1	-1
51801	海啸之力1级	51801	1	1	51802	71011	5
51802	海啸之力2级	51801	1	2	51803	71011	10
51803	海啸之力3级	51801	1	3	51804	71011	15
51804	海啸之力4级	51801	1	4	51805	71011	20
51805	海啸之力5级	51801	1	5	51806	71011	25
51806	海啸之力6级	51801	1	6	51807	71011	30
51807	海啸之力7级	51801	1	7	51808	71011	35
51808	海啸之力8级	51801	1	8	51809	71011	40
51809	海啸之力9级	51801	1	9	51810	71011	45
51810	海啸之力10级	51801	1	10	-1	-1	-1
51901	海洋之守1级	51901	1	1	51902	71011	5
51902	海洋之守2级	51901	1	2	51903	71011	10
51903	海洋之守3级	51901	1	3	51904	71011	15
51904	海洋之守4级	51901	1	4	51905	71011	20
51905	海洋之守5级	51901	1	5	51906	71011	25
51906	海洋之守6级	51901	1	6	51907	71011	30
51907	海洋之守7级	51901	1	7	51908	71011	35
51908	海洋之守8级	51901	1	8	51909	71011	40
51909	海洋之守9级	51901	1	9	51910	71011	45
51910	海洋之守10级	51901	1	10	-1	-1	-1
52001	冰冻术1级	52001	1	1	52002	71011	5
52002	冰冻术2级	52001	1	2	52003	71011	10
52003	冰冻术3级	52001	1	3	52004	71011	15
52004	冰冻术4级	52001	1	4	52005	71011	20
52005	冰冻术5级	52001	1	5	52006	71011	25
52006	冰冻术6级	52001	1	6	52007	71011	30
52007	冰冻术7级	52001	1	7	52008	71011	35
52008	冰冻术8级	52001	1	8	52009	71011	40
52009	冰冻术9级	52001	1	9	52010	71011	45
52010	冰冻术10级	52001	1	10	-1	-1	-1
52101	落石1级	52101	3	1	52102	71012	5
52102	落石2级	52101	3	2	52103	71012	10
52103	落石3级	52101	3	3	52104	71012	15
52104	落石4级	52101	3	4	52105	71012	20
52105	落石5级	52101	3	5	52106	71012	25
52106	落石6级	52101	3	6	52107	71012	30
52107	落石7级	52101	3	7	52108	71012	35
52108	落石8级	52101	3	8	52109	71012	40
52109	落石9级	52101	3	9	52110	71012	45
52110	落石10级	52101	3	10	-1	-1	-1
52201	木之祝福1级	52201	3	1	52202	71012	5
52202	木之祝福2级	52201	3	2	52203	71012	10
52203	木之祝福3级	52201	3	3	52204	71012	15
52204	木之祝福4级	52201	3	4	52205	71012	20
52205	木之祝福5级	52201	3	5	52206	71012	25
52206	木之祝福6级	52201	3	6	52207	71012	30
52207	木之祝福7级	52201	3	7	52208	71012	35
52208	木之祝福8级	52201	3	8	52209	71012	40
52209	木之祝福9级	52201	3	9	52210	71012	45
52210	木之祝福10级	52201	3	10	-1	-1	-1
52301	死亡缠绕1级	52301	3	1	52302	71012	5
52302	死亡缠绕2级	52301	3	2	52303	71012	10
52303	死亡缠绕3级	52301	3	3	52304	71012	15
52304	死亡缠绕4级	52301	3	4	52305	71012	20
52305	死亡缠绕5级	52301	3	5	52306	71012	25
52306	死亡缠绕6级	52301	3	6	52307	71012	30
52307	死亡缠绕7级	52301	3	7	52308	71012	35
52308	死亡缠绕8级	52301	3	8	52309	71012	40
52309	死亡缠绕9级	52301	3	9	52310	71012	45
52310	死亡缠绕10级	52301	3	10	-1	-1	-1
52401	裂铁术1级	52401	3	1	52402	71012	5
52402	裂铁术2级	52401	3	2	52403	71012	10
52403	裂铁术3级	52401	3	3	52404	71012	15
52404	裂铁术4级	52401	3	4	52405	71012	20
52405	裂铁术5级	52401	3	5	52406	71012	25
52406	裂铁术6级	52401	3	6	52407	71012	30
52407	裂铁术7级	52401	3	7	52408	71012	35
52408	裂铁术8级	52401	3	8	52409	71012	40
52409	裂铁术9级	52401	3	9	52410	71012	45
52410	裂铁术10级	52401	3	10	-1	-1	-1
52501	针刺护甲1级	52501	3	1	52502	71012	5
52502	针刺护甲2级	52501	3	2	52503	71012	10
52503	针刺护甲3级	52501	3	3	52504	71012	15
52504	针刺护甲4级	52501	3	4	52505	71012	20
52505	针刺护甲5级	52501	3	5	52506	71012	25
52506	针刺护甲6级	52501	3	6	52507	71012	30
52507	针刺护甲7级	52501	3	7	52508	71012	35
52508	针刺护甲8级	52501	3	8	52509	71012	40
52509	针刺护甲9级	52501	3	9	52510	71012	45
52510	针刺护甲10级	52501	3	10	-1	-1	-1
52601	大地占卜1级	52601	3	1	52602	71012	5
52602	大地占卜2级	52601	3	2	52603	71012	10
52603	大地占卜3级	52601	3	3	52604	71012	15
52604	大地占卜4级	52601	3	4	52605	71012	20
52605	大地占卜5级	52601	3	5	52606	71012	25
52606	大地占卜6级	52601	3	6	52607	71012	30
52607	大地占卜7级	52601	3	7	52608	71012	35
52608	大地占卜8级	52601	3	8	52609	71012	40
52609	大地占卜9级	52601	3	9	52610	71012	45
52610	大地占卜10级	52601	3	10	-1	-1	-1
52701	地脉守护1级	52701	3	1	52702	71012	5
52702	地脉守护2级	52701	3	2	52703	71012	10
52703	地脉守护3级	52701	3	3	52704	71012	15
52704	地脉守护4级	52701	3	4	52705	71012	20
52705	地脉守护5级	52701	3	5	52706	71012	25
52706	地脉守护6级	52701	3	6	52707	71012	30
52707	地脉守护7级	52701	3	7	52708	71012	35
52708	地脉守护8级	52701	3	8	52709	71012	40
52709	地脉守护9级	52701	3	9	52710	71012	45
52710	地脉守护10级	52701	3	10	-1	-1	-1
