SkillExID	Desc	BaseId	SkillDesc	level	CombatValue	SkillLogic	LogicParam01	LogicParam02	LogicParam03	LogicParam04	RefixThreat	Radius	CDTimeId	SkillDelayTime	SkillContinueTime	YinChangTime	DelType_01	DelNum_01	DelType_02	DelNum_02	GainsType_01	GainsNum_01	GainsType_02	GainsNum_02	NextSkillId	Impact_01	Impact_2	Impact_03	Impact_04	Impact_05	Impact_06	SatrtMotionId	EndMotionId	CameraRockId	CameraRockRate	SceneEffectId	BulletEffectID_01	BulletEffectID_02	BulletEffectID_03	RangeEffectType	RangeEffectTarType	RangeEffectSize01	RangeEffectSize02	NextSkillEffectTime	NextSkillDisabledTime	SkillCacheTime	HasRangeWarning	NextContinueSkillId
50004	火焰弹4级	501	对目标造成[a2ff00]120%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	184	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	500104	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50005	火焰弹5级	501	对目标造成[a2ff00]125%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	185	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	500105	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50006	火焰弹6级	501	对目标造成[a2ff00]130%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	185	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	500106	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50007	火焰弹7级	501	对目标造成[a2ff00]135%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	186	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	500107	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50008	火焰弹8级	501	对目标造成[a2ff00]140%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	187	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	500108	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50009	火焰弹9级	501	对目标造成[a2ff00]145%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	188	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	500109	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50010	火焰弹10级	501	对目标造成[a2ff00]150%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	188	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	500110	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50011	火焰弹11级	501	对目标造成[a2ff00]155%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	188	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	500111	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50012	火焰弹12级	501	对目标造成[a2ff00]160%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	188	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	500112	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50013	火焰弹13级	501	对目标造成[a2ff00]165%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	188	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	500113	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50014	火焰弹14级	501	对目标造成[a2ff00]170%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	188	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	500114	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50015	火焰弹15级	501	对目标造成[a2ff00]175%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	188	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	500115	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50016	火焰弹16级	501	对目标造成[a2ff00]180%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	188	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	500116	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50017	火焰弹17级	501	对目标造成[a2ff00]185%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	188	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	500117	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50018	火焰弹18级	501	对目标造成[a2ff00]190%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	188	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	500118	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50019	火焰弹19级	501	对目标造成[a2ff00]195%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	188	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	500119	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50020	火焰弹20级	501	对目标造成[a2ff00]200%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	188	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	500120	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50101	烬燃术1级	502	对目标造成魔法伤害，每秒造成[a2ff00]31%对目标造成魔法伤害，每秒造成[a2ff00]5[-]秒，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	189	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	501101	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50102	烬燃术2级	502	对目标造成魔法伤害，每秒造成[a2ff01]33%对目标造成魔法伤害，每秒造成[a2ff01]5[-]秒，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	189	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	501102	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50103	烬燃术3级	502	对目标造成魔法伤害，每秒造成[a2ff02]35%对目标造成魔法伤害，每秒造成[a2ff02]5[-]秒，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	190	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	501103	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50104	烬燃术4级	502	对目标造成魔法伤害，每秒造成[a2ff03]37%对目标造成魔法伤害，每秒造成[a2ff03]5[-]秒，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	190	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	501104	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50105	烬燃术5级	502	对目标造成魔法伤害，每秒造成[a2ff04]39%对目标造成魔法伤害，每秒造成[a2ff04]5[-]秒，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	191	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	501105	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50106	烬燃术6级	502	对目标造成魔法伤害，每秒造成[a2ff05]41%对目标造成魔法伤害，每秒造成[a2ff05]5[-]秒，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	191	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	501106	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50107	烬燃术7级	502	对目标造成魔法伤害，每秒造成[a2ff06]43%对目标造成魔法伤害，每秒造成[a2ff06]5[-]秒，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	192	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	501107	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50108	烬燃术8级	502	对目标造成魔法伤害，每秒造成[a2ff07]45%对目标造成魔法伤害，每秒造成[a2ff07]5[-]秒，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	193	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	501108	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50109	烬燃术9级	502	对目标造成魔法伤害，每秒造成[a2ff08]47%对目标造成魔法伤害，每秒造成[a2ff08]5[-]秒，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	194	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	501109	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50110	烬燃术10级	502	对目标造成魔法伤害，每秒造成[a2ff09]49%对目标造成魔法伤害，每秒造成[a2ff09]5[-]秒，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	194	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	501110	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50111	烬燃术11级	502	对目标造成魔法伤害，每秒造成[a2ff10]51%对目标造成魔法伤害，每秒造成[a2ff10]5[-]秒，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	189	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	501111	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50112	烬燃术12级	502	对目标造成魔法伤害，每秒造成[a2ff11]53%对目标造成魔法伤害，每秒造成[a2ff11]5[-]秒，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	189	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	501112	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50113	烬燃术13级	502	对目标造成魔法伤害，每秒造成[a2ff12]55%对目标造成魔法伤害，每秒造成[a2ff12]5[-]秒，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	189	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	501113	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50114	烬燃术14级	502	对目标造成魔法伤害，每秒造成[a2ff13]57%对目标造成魔法伤害，每秒造成[a2ff13]5[-]秒，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	189	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	501114	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50115	烬燃术15级	502	对目标造成魔法伤害，每秒造成[a2ff14]59%对目标造成魔法伤害，每秒造成[a2ff14]5[-]秒，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	189	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	501115	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50116	烬燃术16级	502	对目标造成魔法伤害，每秒造成[a2ff15]61%对目标造成魔法伤害，每秒造成[a2ff15]5[-]秒，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	189	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	501116	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50117	烬燃术17级	502	对目标造成魔法伤害，每秒造成[a2ff16]63%对目标造成魔法伤害，每秒造成[a2ff16]5[-]秒，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	189	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	501117	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50118	烬燃术18级	502	对目标造成魔法伤害，每秒造成[a2ff17]65%对目标造成魔法伤害，每秒造成[a2ff17]5[-]秒，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	189	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	501118	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50119	烬燃术19级	502	对目标造成魔法伤害，每秒造成[a2ff18]67%对目标造成魔法伤害，每秒造成[a2ff18]5[-]秒，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	189	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	501119	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50120	烬燃术20级	502	对目标造成魔法伤害，每秒造成[a2ff19]69%对目标造成魔法伤害，每秒造成[a2ff19]5[-]秒，冷却[a2ff00]8[-]秒。	1	0	0	-1	-1	-1	-1	0	2	189	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	501120	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50201	怒火燎原1级	503	对目标范围造成[a2ff00]75%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	8	-1	-1	-1	-1	0	4	195	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	502101	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50202	怒火燎原2级	503	对目标范围造成[a2ff00]80%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	8	-1	-1	-1	-1	0	4	195	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	502102	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50203	怒火燎原3级	503	对目标范围造成[a2ff00]85%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	8	-1	-1	-1	-1	0	4	196	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	502103	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50204	怒火燎原4级	503	对目标范围造成[a2ff00]90%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	8	-1	-1	-1	-1	0	4	196	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	502104	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50205	怒火燎原5级	503	对目标范围造成[a2ff00]95%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	8	-1	-1	-1	-1	0	4	197	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	502105	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50206	怒火燎原6级	503	对目标范围造成[a2ff00]100%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	8	-1	-1	-1	-1	0	4	197	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	502106	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50207	怒火燎原7级	503	对目标范围造成[a2ff00]105%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	8	-1	-1	-1	-1	0	4	198	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	502107	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50208	怒火燎原8级	503	对目标范围造成[a2ff00]110%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	8	-1	-1	-1	-1	0	4	199	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	502108	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50209	怒火燎原9级	503	对目标范围造成[a2ff00]115%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	8	-1	-1	-1	-1	0	4	200	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	502109	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50210	怒火燎原10级	503	对目标范围造成[a2ff00]120%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	8	-1	-1	-1	-1	0	4	200	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	502110	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50211	怒火燎原11级	503	对目标范围造成[a2ff00]125%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	8	-1	-1	-1	-1	0	4	195	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	502111	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50212	怒火燎原12级	503	对目标范围造成[a2ff00]130%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	8	-1	-1	-1	-1	0	4	195	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	502112	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50213	怒火燎原13级	503	对目标范围造成[a2ff00]135%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	8	-1	-1	-1	-1	0	4	195	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	502113	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50214	怒火燎原14级	503	对目标范围造成[a2ff00]140%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	8	-1	-1	-1	-1	0	4	195	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	502114	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50215	怒火燎原15级	503	对目标范围造成[a2ff00]145%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	8	-1	-1	-1	-1	0	4	195	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	502115	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50216	怒火燎原16级	503	对目标范围造成[a2ff00]150%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	8	-1	-1	-1	-1	0	4	195	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	502116	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50217	怒火燎原17级	503	对目标范围造成[a2ff00]155%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	8	-1	-1	-1	-1	0	4	195	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	502117	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50218	怒火燎原18级	503	对目标范围造成[a2ff00]160%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	8	-1	-1	-1	-1	0	4	195	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	502118	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50219	怒火燎原19级	503	对目标范围造成[a2ff00]165%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	8	-1	-1	-1	-1	0	4	195	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	502119	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50220	怒火燎原20级	503	对目标范围造成[a2ff00]170%[-]的宠物魔法伤害，冷却[a2ff00]8[-]秒。	1	0	8	-1	-1	-1	-1	0	4	195	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	502120	-1	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50301	灼伤烈焰1级	504	对目标造成[a2ff00]73.5%[-]的宠物魔法伤害，减少目标[a2ff00]31.5%[-]的防御力，冷却[a2ff00]10[-]秒。	1	0	0	-1	-1	-1	-1	0	2	201	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	503101	503201	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
50302	灼伤烈焰2级	504	对目标造成[a2ff00]77%[-]的宠物魔法伤害，减少目标[a2ff00]33%[-]的防御力，冷却[a2ff00]10[-]秒。	1	0	0	-1	-1	-1	-1	0	2	201	0	1000	0	-1	0	-1	0	-1	0	-1	0	-1	503102	503202	-1	-1	-1	-1	9	9	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
