Id	Desc	Name	Type	ProductStart	ProductEnd	Money	StuffID1	StuffCount1	StuffID2	StuffCount2	StuffID3	StuffCount3	StuffID4	StuffCount4	StuffID5	StuffCount5	StuffID6	StuffCount6	FilterType
13	瑟克萨斯碎片	瑟克萨斯碎片	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3
14	消散生命符文Lv.1	消散生命符文Lv.1	3	370	383	10	8001	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
15	碎裂生命符文Lv.2	碎裂生命符文Lv.2	3	384	397	20	8002	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
16	裂痕生命符文Lv.3	裂痕生命符文Lv.3	3	398	411	30	8003	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
17	残缺生命符文Lv.4	残缺生命符文Lv.4	3	412	425	40	8004	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
18	完整生命符文Lv.5	完整生命符文Lv.5	3	426	439	50	8005	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
19	粗糙生命符文Lv.6	粗糙生命符文Lv.6	3	440	453	60	8006	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
20	纯净生命符文Lv.7	纯净生命符文Lv.7	3	454	467	70	8007	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
21	精美生命符文Lv.8	精美生命符文Lv.8	3	468	481	80	8008	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
22	华丽生命符文Lv.9	华丽生命符文Lv.9	3	482	495	90	8009	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
23	远古生命符文Lv.10	远古生命符文Lv.10	3	496	509	100	8010	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
24	神赐生命符文Lv.11	神赐生命符文Lv.11	3	510	523	110	8011	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
25	奇迹生命符文Lv.12	奇迹生命符文Lv.12	3	524	537	120	8012	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
26	消散法力符文Lv.1	消散法力符文Lv.1	3	370	383	10	8201	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
27	碎裂法力符文Lv.2	碎裂法力符文Lv.2	3	384	397	20	8202	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
28	裂痕法力符文Lv.3	裂痕法力符文Lv.3	3	398	411	30	8203	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
29	残缺法力符文Lv.4	残缺法力符文Lv.4	3	412	425	40	8204	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
30	完整法力符文Lv.5	完整法力符文Lv.5	3	426	439	50	8205	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
31	粗糙法力符文Lv.6	粗糙法力符文Lv.6	3	440	453	60	8206	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
32	纯净法力符文Lv.7	纯净法力符文Lv.7	3	454	467	70	8207	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
33	精美法力符文Lv.8	精美法力符文Lv.8	3	468	481	80	8208	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
34	华丽法力符文Lv.9	华丽法力符文Lv.9	3	482	495	90	8209	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
35	远古法力符文Lv.10	远古法力符文Lv.10	3	496	509	100	8210	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
36	神赐法力符文Lv.11	神赐法力符文Lv.11	3	510	523	110	8211	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
37	奇迹法力符文Lv.12	奇迹法力符文Lv.12	3	524	537	120	8212	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
38	消散物攻符文Lv.1	消散物攻符文Lv.1	3	370	383	10	8301	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
39	碎裂物攻符文Lv.2	碎裂物攻符文Lv.2	3	384	397	20	8302	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
40	裂痕物攻符文Lv.3	裂痕物攻符文Lv.3	3	398	411	30	8303	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
41	残缺物攻符文Lv.4	残缺物攻符文Lv.4	3	412	425	40	8304	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
42	完整物攻符文Lv.5	完整物攻符文Lv.5	3	426	439	50	8305	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
43	粗糙物攻符文Lv.6	粗糙物攻符文Lv.6	3	440	453	60	8306	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
44	纯净物攻符文Lv.7	纯净物攻符文Lv.7	3	454	467	70	8307	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
45	精美物攻符文Lv.8	精美物攻符文Lv.8	3	468	481	80	8308	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
46	华丽物攻符文Lv.9	华丽物攻符文Lv.9	3	482	495	90	8309	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
47	远古物攻符文Lv.10	远古物攻符文Lv.10	3	496	509	100	8310	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
48	神赐物攻符文Lv.11	神赐物攻符文Lv.11	3	510	523	110	8311	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
49	奇迹物攻符文Lv.12	奇迹物攻符文Lv.12	3	524	537	120	8312	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
50	消散法功符文Lv.1	消散法功符文Lv.1	3	370	383	10	8401	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
51	碎裂法功符文Lv.2	碎裂法功符文Lv.2	3	384	397	20	8402	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
52	裂痕法功符文Lv.3	裂痕法功符文Lv.3	3	398	411	30	8403	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
53	残缺法功符文Lv.4	残缺法功符文Lv.4	3	412	425	40	8404	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
54	完整法功符文Lv.5	完整法功符文Lv.5	3	426	439	50	8405	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
55	粗糙法功符文Lv.6	粗糙法功符文Lv.6	3	440	453	60	8406	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
56	纯净法功符文Lv.7	纯净法功符文Lv.7	3	454	467	70	8407	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
57	精美法功符文Lv.8	精美法功符文Lv.8	3	468	481	80	8408	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
58	华丽法功符文Lv.9	华丽法功符文Lv.9	3	482	495	90	8409	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
59	远古法功符文Lv.10	远古法功符文Lv.10	3	496	509	100	8410	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
60	神赐法功符文Lv.11	神赐法功符文Lv.11	3	510	523	110	8411	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
61	奇迹法功符文Lv.12	奇迹法功符文Lv.12	3	524	537	120	8412	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
62	消散物防符文Lv.1	消散物防符文Lv.1	3	370	383	10	8501	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
63	碎裂物防符文Lv.2	碎裂物防符文Lv.2	3	384	397	20	8502	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
64	裂痕物防符文Lv.3	裂痕物防符文Lv.3	3	398	411	30	8503	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
65	残缺物防符文Lv.4	残缺物防符文Lv.4	3	412	425	40	8504	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
66	完整物防符文Lv.5	完整物防符文Lv.5	3	426	439	50	8505	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
67	粗糙物防符文Lv.6	粗糙物防符文Lv.6	3	440	453	60	8506	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
68	纯净物防符文Lv.7	纯净物防符文Lv.7	3	454	467	70	8507	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
69	精美物防符文Lv.8	精美物防符文Lv.8	3	468	481	80	8508	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
70	华丽物防符文Lv.9	华丽物防符文Lv.9	3	482	495	90	8509	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
71	远古物防符文Lv.10	远古物防符文Lv.10	3	496	509	100	8510	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
72	神赐物防符文Lv.11	神赐物防符文Lv.11	3	510	523	110	8511	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
73	奇迹物防符文Lv.12	奇迹物防符文Lv.12	3	524	537	120	8512	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
74	消散法防符文Lv.1	消散法防符文Lv.1	3	370	383	10	8601	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
75	碎裂法防符文Lv.2	碎裂法防符文Lv.2	3	384	397	20	8602	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
76	裂痕法防符文Lv.3	裂痕法防符文Lv.3	3	398	411	30	8603	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
77	残缺法防符文Lv.4	残缺法防符文Lv.4	3	412	425	40	8604	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
78	完整法防符文Lv.5	完整法防符文Lv.5	3	426	439	50	8605	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
79	粗糙法防符文Lv.6	粗糙法防符文Lv.6	3	440	453	60	8606	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
80	纯净法防符文Lv.7	纯净法防符文Lv.7	3	454	467	70	8607	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
81	精美法防符文Lv.8	精美法防符文Lv.8	3	468	481	80	8608	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
82	华丽法防符文Lv.9	华丽法防符文Lv.9	3	482	495	90	8609	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
83	远古法防符文Lv.10	远古法防符文Lv.10	3	496	509	100	8610	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
84	神赐法防符文Lv.11	神赐法防符文Lv.11	3	510	523	110	8611	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
85	奇迹法防符文Lv.12	奇迹法防符文Lv.12	3	524	537	120	8612	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
86	消散命中符文Lv.1	消散命中符文Lv.1	3	370	383	10	8701	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
87	碎裂命中符文Lv.2	碎裂命中符文Lv.2	3	384	397	20	8702	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
88	裂痕命中符文Lv.3	裂痕命中符文Lv.3	3	398	411	30	8703	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
89	残缺命中符文Lv.4	残缺命中符文Lv.4	3	412	425	40	8704	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
90	完整命中符文Lv.5	完整命中符文Lv.5	3	426	439	50	8705	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
91	粗糙命中符文Lv.6	粗糙命中符文Lv.6	3	440	453	60	8706	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
92	纯净命中符文Lv.7	纯净命中符文Lv.7	3	454	467	70	8707	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
93	精美命中符文Lv.8	精美命中符文Lv.8	3	468	481	80	8708	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
94	华丽命中符文Lv.9	华丽命中符文Lv.9	3	482	495	90	8709	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
95	远古命中符文Lv.10	远古命中符文Lv.10	3	496	509	100	8710	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
96	神赐命中符文Lv.11	神赐命中符文Lv.11	3	510	523	110	8711	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
97	奇迹命中符文Lv.12	奇迹命中符文Lv.12	3	524	537	120	8712	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
98	消散闪避符文Lv.1	消散闪避符文Lv.1	3	370	383	10	8801	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
99	碎裂闪避符文Lv.2	碎裂闪避符文Lv.2	3	384	397	20	8802	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
100	裂痕闪避符文Lv.3	裂痕闪避符文Lv.3	3	398	411	30	8803	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
101	残缺闪避符文Lv.4	残缺闪避符文Lv.4	3	412	425	40	8804	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
102	完整闪避符文Lv.5	完整闪避符文Lv.5	3	426	439	50	8805	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
103	粗糙闪避符文Lv.6	粗糙闪避符文Lv.6	3	440	453	60	8806	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
104	纯净闪避符文Lv.7	纯净闪避符文Lv.7	3	454	467	70	8807	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
105	精美闪避符文Lv.8	精美闪避符文Lv.8	3	468	481	80	8808	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
106	华丽闪避符文Lv.9	华丽闪避符文Lv.9	3	482	495	90	8809	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
107	远古闪避符文Lv.10	远古闪避符文Lv.10	3	496	509	100	8810	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
108	神赐闪避符文Lv.11	神赐闪避符文Lv.11	3	510	523	110	8811	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
109	奇迹闪避符文Lv.12	奇迹闪避符文Lv.12	3	524	537	120	8812	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
110	消散暴击符文Lv.1	消散暴击符文Lv.1	3	370	383	10	8901	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
111	碎裂暴击符文Lv.2	碎裂暴击符文Lv.2	3	384	397	20	8902	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
112	裂痕暴击符文Lv.3	裂痕暴击符文Lv.3	3	398	411	30	8903	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
113	残缺暴击符文Lv.4	残缺暴击符文Lv.4	3	412	425	40	8904	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
114	完整暴击符文Lv.5	完整暴击符文Lv.5	3	426	439	50	8905	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
115	粗糙暴击符文Lv.6	粗糙暴击符文Lv.6	3	440	453	60	8906	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
116	纯净暴击符文Lv.7	纯净暴击符文Lv.7	3	454	467	70	8907	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
117	精美暴击符文Lv.8	精美暴击符文Lv.8	3	468	481	80	8908	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
118	华丽暴击符文Lv.9	华丽暴击符文Lv.9	3	482	495	90	8909	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
119	远古暴击符文Lv.10	远古暴击符文Lv.10	3	496	509	100	8910	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
120	神赐暴击符文Lv.11	神赐暴击符文Lv.11	3	510	523	110	8911	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
121	奇迹暴击符文Lv.12	奇迹暴击符文Lv.12	3	524	537	120	8912	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
122	消散爆抗符文Lv.1	消散爆抗符文Lv.1	3	370	383	10	9001	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
123	碎裂爆抗符文Lv.2	碎裂爆抗符文Lv.2	3	384	397	20	9002	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
124	裂痕爆抗符文Lv.3	裂痕爆抗符文Lv.3	3	398	411	30	9003	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
125	残缺爆抗符文Lv.4	残缺爆抗符文Lv.4	3	412	425	40	9004	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
126	完整爆抗符文Lv.5	完整爆抗符文Lv.5	3	426	439	50	9005	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
127	粗糙爆抗符文Lv.6	粗糙爆抗符文Lv.6	3	440	453	60	9006	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
128	纯净爆抗符文Lv.7	纯净爆抗符文Lv.7	3	454	467	70	9007	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
129	精美爆抗符文Lv.8	精美爆抗符文Lv.8	3	468	481	80	9008	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
130	华丽爆抗符文Lv.9	华丽爆抗符文Lv.9	3	482	495	90	9009	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
131	远古爆抗符文Lv.10	远古爆抗符文Lv.10	3	496	509	100	9010	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
132	神赐爆抗符文Lv.11	神赐爆抗符文Lv.11	3	510	523	110	9011	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
133	奇迹爆抗符文Lv.12	奇迹爆抗符文Lv.12	3	524	537	120	9012	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
134	消散穿透符文Lv.1	消散穿透符文Lv.1	3	370	383	10	9101	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
135	碎裂穿透符文Lv.2	碎裂穿透符文Lv.2	3	384	397	20	9102	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
136	裂痕穿透符文Lv.3	裂痕穿透符文Lv.3	3	398	411	30	9103	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
137	残缺穿透符文Lv.4	残缺穿透符文Lv.4	3	412	425	40	9104	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
138	完整穿透符文Lv.5	完整穿透符文Lv.5	3	426	439	50	9105	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
139	粗糙穿透符文Lv.6	粗糙穿透符文Lv.6	3	440	453	60	9106	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
140	纯净穿透符文Lv.7	纯净穿透符文Lv.7	3	454	467	70	9107	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
141	精美穿透符文Lv.8	精美穿透符文Lv.8	3	468	481	80	9108	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
142	华丽穿透符文Lv.9	华丽穿透符文Lv.9	3	482	495	90	9109	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
143	远古穿透符文Lv.10	远古穿透符文Lv.10	3	496	509	100	9110	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
144	神赐穿透符文Lv.11	神赐穿透符文Lv.11	3	510	523	110	9111	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
145	奇迹穿透符文Lv.12	奇迹穿透符文Lv.12	3	524	537	120	9112	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
146	消散韧性符文Lv.1	消散韧性符文Lv.1	3	370	383	10	9201	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
147	碎裂韧性符文Lv.2	碎裂韧性符文Lv.2	3	384	397	20	9202	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
148	裂痕韧性符文Lv.3	裂痕韧性符文Lv.3	3	398	411	30	9203	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
149	残缺韧性符文Lv.4	残缺韧性符文Lv.4	3	412	425	40	9204	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
150	完整韧性符文Lv.5	完整韧性符文Lv.5	3	426	439	50	9205	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
151	粗糙韧性符文Lv.6	粗糙韧性符文Lv.6	3	440	453	60	9206	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
152	纯净韧性符文Lv.7	纯净韧性符文Lv.7	3	454	467	70	9207	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
153	精美韧性符文Lv.8	精美韧性符文Lv.8	3	468	481	80	9208	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
154	华丽韧性符文Lv.9	华丽韧性符文Lv.9	3	482	495	90	9209	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
155	远古韧性符文Lv.10	远古韧性符文Lv.10	3	496	509	100	9210	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
156	神赐韧性符文Lv.11	神赐韧性符文Lv.11	3	510	523	110	9211	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
157	奇迹韧性符文Lv.12	奇迹韧性符文Lv.12	3	524	537	120	9212	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
158	消散暴伤符文Lv.1	消散暴伤符文Lv.1	3	370	383	10	9301	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
159	碎裂暴伤符文Lv.2	碎裂暴伤符文Lv.2	3	384	397	20	9302	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
160	裂痕暴伤符文Lv.3	裂痕暴伤符文Lv.3	3	398	411	30	9303	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
161	残缺暴伤符文Lv.4	残缺暴伤符文Lv.4	3	412	425	40	9304	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
162	完整暴伤符文Lv.5	完整暴伤符文Lv.5	3	426	439	50	9305	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
163	粗糙暴伤符文Lv.6	粗糙暴伤符文Lv.6	3	440	453	60	9306	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
164	纯净暴伤符文Lv.7	纯净暴伤符文Lv.7	3	454	467	70	9307	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
165	精美暴伤符文Lv.8	精美暴伤符文Lv.8	3	468	481	80	9308	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
166	华丽暴伤符文Lv.9	华丽暴伤符文Lv.9	3	482	495	90	9309	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
167	远古暴伤符文Lv.10	远古暴伤符文Lv.10	3	496	509	100	9310	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
168	神赐暴伤符文Lv.11	神赐暴伤符文Lv.11	3	510	523	110	9311	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
169	奇迹暴伤符文Lv.12	奇迹暴伤符文Lv.12	3	524	537	120	9312	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
170	消散暴减符文Lv.1	消散暴减符文Lv.1	3	370	383	10	9401	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
171	碎裂暴减符文Lv.2	碎裂暴减符文Lv.2	3	384	397	20	9402	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
172	裂痕暴减符文Lv.3	裂痕暴减符文Lv.3	3	398	411	30	9403	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
173	残缺暴减符文Lv.4	残缺暴减符文Lv.4	3	412	425	40	9404	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
174	完整暴减符文Lv.5	完整暴减符文Lv.5	3	426	439	50	9405	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
175	粗糙暴减符文Lv.6	粗糙暴减符文Lv.6	3	440	453	60	9406	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
176	纯净暴减符文Lv.7	纯净暴减符文Lv.7	3	454	467	70	9407	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
177	精美暴减符文Lv.8	精美暴减符文Lv.8	3	468	481	80	9408	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
178	华丽暴减符文Lv.9	华丽暴减符文Lv.9	3	482	495	90	9409	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
179	远古暴减符文Lv.10	远古暴减符文Lv.10	3	496	509	100	9410	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
180	神赐暴减符文Lv.11	神赐暴减符文Lv.11	3	510	523	110	9411	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
181	奇迹暴减符文Lv.12	奇迹暴减符文Lv.12	3	524	537	120	9412	1	104	1	-1	-1	-1	-1	-1	-1	-1	-1	2
182	土著祭祀碎片	土著祭祀碎片	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3
183	仲裁者碎片	仲裁者碎片	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3
184	机械之灵碎片	机械之灵碎片	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3
185	要塞领主碎片	要塞领主碎片	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3
186	黑暗贤者碎片	黑暗贤者碎片	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3
