Id	Desc	Name	SkillDesc	Icon	BaseSkill	LogicID	Quality	Level	NextSkillId	SkillBook	LevelUpExp	SkillUpExp	SkillUpScale	Impact
53212	炽焰波动12级	炽焰波动	增加主人命中	ChangGuiJiNeng1	53201	1	1	12	53213	4520	100	10	0.1	1
53213	炽焰波动13级	炽焰波动	增加主人命中	ChangGuiJiNeng1	53201	1	1	13	53214	4520	100	10	0.1	1
53214	炽焰波动14级	炽焰波动	增加主人命中	ChangGuiJiNeng1	53201	1	1	14	53215	4520	100	10	0.1	1
53215	炽焰波动15级	炽焰波动	增加主人命中	ChangGuiJiNeng1	53201	1	1	15	53216	4520	100	10	0.1	1
53216	炽焰波动16级	炽焰波动	增加主人命中	ChangGuiJiNeng1	53201	1	1	16	53217	4520	100	10	0.1	1
53217	炽焰波动17级	炽焰波动	增加主人命中	ChangGuiJiNeng1	53201	1	1	17	53218	4520	100	10	0.1	1
53218	炽焰波动18级	炽焰波动	增加主人命中	ChangGuiJiNeng1	53201	1	1	18	53219	4520	100	10	0.1	1
53219	炽焰波动19级	炽焰波动	增加主人命中	ChangGuiJiNeng1	53201	1	1	19	53220	4520	100	10	0.1	1
53220	炽焰波动20级	炽焰波动	增加主人命中	ChangGuiJiNeng1	53201	1	1	20	-1	4520	100	10	0.1	1
53301	气流爆发1级	气流爆发	增加主人暴击	ChangGuiJiNeng1	53301	1	1	1	53302	4520	100	10	0.1	1
53302	气流爆发2级	气流爆发	增加主人暴击	ChangGuiJiNeng1	53301	1	1	2	53303	4520	100	10	0.1	1
53303	气流爆发3级	气流爆发	增加主人暴击	ChangGuiJiNeng1	53301	1	1	3	53304	4520	100	10	0.1	1
53304	气流爆发4级	气流爆发	增加主人暴击	ChangGuiJiNeng1	53301	1	1	4	53305	4520	100	10	0.1	1
53305	气流爆发5级	气流爆发	增加主人暴击	ChangGuiJiNeng1	53301	1	1	5	53306	4520	100	10	0.1	1
53306	气流爆发6级	气流爆发	增加主人暴击	ChangGuiJiNeng1	53301	1	1	6	53307	4520	100	10	0.1	1
53307	气流爆发7级	气流爆发	增加主人暴击	ChangGuiJiNeng1	53301	1	1	7	53308	4520	100	10	0.1	1
53308	气流爆发8级	气流爆发	增加主人暴击	ChangGuiJiNeng1	53301	1	1	8	53309	4520	100	10	0.1	1
53309	气流爆发9级	气流爆发	增加主人暴击	ChangGuiJiNeng1	53301	1	1	9	53310	4520	100	10	0.1	1
53310	气流爆发10级	气流爆发	增加主人暴击	ChangGuiJiNeng1	53301	1	1	10	53311	4520	100	10	0.1	1
53311	气流爆发11级	气流爆发	增加主人暴击	ChangGuiJiNeng1	53301	1	1	11	53312	4520	100	10	0.1	1
53312	气流爆发12级	气流爆发	增加主人暴击	ChangGuiJiNeng1	53301	1	1	12	53313	4520	100	10	0.1	1
53313	气流爆发13级	气流爆发	增加主人暴击	ChangGuiJiNeng1	53301	1	1	13	53314	4520	100	10	0.1	1
53314	气流爆发14级	气流爆发	增加主人暴击	ChangGuiJiNeng1	53301	1	1	14	53315	4520	100	10	0.1	1
53315	气流爆发15级	气流爆发	增加主人暴击	ChangGuiJiNeng1	53301	1	1	15	53316	4520	100	10	0.1	1
53316	气流爆发16级	气流爆发	增加主人暴击	ChangGuiJiNeng1	53301	1	1	16	53317	4520	100	10	0.1	1
53317	气流爆发17级	气流爆发	增加主人暴击	ChangGuiJiNeng1	53301	1	1	17	53318	4520	100	10	0.1	1
53318	气流爆发18级	气流爆发	增加主人暴击	ChangGuiJiNeng1	53301	1	1	18	53319	4520	100	10	0.1	1
53319	气流爆发19级	气流爆发	增加主人暴击	ChangGuiJiNeng1	53301	1	1	19	53320	4520	100	10	0.1	1
53320	气流爆发20级	气流爆发	增加主人暴击	ChangGuiJiNeng1	53301	1	1	20	-1	4520	100	10	0.1	1
53401	大气神盾1级	大气神盾	增加自身守护	ChangGuiJiNeng1	53401	1	1	1	53402	4520	100	10	0.1	1
53402	大气神盾2级	大气神盾	增加自身守护	ChangGuiJiNeng1	53401	1	1	2	53403	4520	100	10	0.1	1
53403	大气神盾3级	大气神盾	增加自身守护	ChangGuiJiNeng1	53401	1	1	3	53404	4520	100	10	0.1	1
53404	大气神盾4级	大气神盾	增加自身守护	ChangGuiJiNeng1	53401	1	1	4	53405	4520	100	10	0.1	1
53405	大气神盾5级	大气神盾	增加自身守护	ChangGuiJiNeng1	53401	1	1	5	53406	4520	100	10	0.1	1
53406	大气神盾6级	大气神盾	增加自身守护	ChangGuiJiNeng1	53401	1	1	6	53407	4520	100	10	0.1	1
53407	大气神盾7级	大气神盾	增加自身守护	ChangGuiJiNeng1	53401	1	1	7	53408	4520	100	10	0.1	1
53408	大气神盾8级	大气神盾	增加自身守护	ChangGuiJiNeng1	53401	1	1	8	53409	4520	100	10	0.1	1
53409	大气神盾9级	大气神盾	增加自身守护	ChangGuiJiNeng1	53401	1	1	9	53410	4520	100	10	0.1	1
53410	大气神盾10级	大气神盾	增加自身守护	ChangGuiJiNeng1	53401	1	1	10	53411	4520	100	10	0.1	1
53411	大气神盾11级	大气神盾	增加自身守护	ChangGuiJiNeng1	53401	1	1	11	53412	4520	100	10	0.1	1
53412	大气神盾12级	大气神盾	增加自身守护	ChangGuiJiNeng1	53401	1	1	12	53413	4520	100	10	0.1	1
53413	大气神盾13级	大气神盾	增加自身守护	ChangGuiJiNeng1	53401	1	1	13	53414	4520	100	10	0.1	1
53414	大气神盾14级	大气神盾	增加自身守护	ChangGuiJiNeng1	53401	1	1	14	53415	4520	100	10	0.1	1
53415	大气神盾15级	大气神盾	增加自身守护	ChangGuiJiNeng1	53401	1	1	15	53416	4520	100	10	0.1	1
53416	大气神盾16级	大气神盾	增加自身守护	ChangGuiJiNeng1	53401	1	1	16	53417	4520	100	10	0.1	1
53417	大气神盾17级	大气神盾	增加自身守护	ChangGuiJiNeng1	53401	1	1	17	53418	4520	100	10	0.1	1
53418	大气神盾18级	大气神盾	增加自身守护	ChangGuiJiNeng1	53401	1	1	18	53419	4520	100	10	0.1	1
53419	大气神盾19级	大气神盾	增加自身守护	ChangGuiJiNeng1	53401	1	1	19	53420	4520	100	10	0.1	1
53420	大气神盾20级	大气神盾	增加自身守护	ChangGuiJiNeng1	53401	1	1	20	-1	4520	100	10	0.1	1
53501	疾风行者1级	疾风行者	增加主人闪避	ChangGuiJiNeng1	53501	1	1	1	53502	4520	100	10	0.1	1
53502	疾风行者2级	疾风行者	增加主人闪避	ChangGuiJiNeng1	53501	1	1	2	53503	4520	100	10	0.1	1
53503	疾风行者3级	疾风行者	增加主人闪避	ChangGuiJiNeng1	53501	1	1	3	53504	4520	100	10	0.1	1
53504	疾风行者4级	疾风行者	增加主人闪避	ChangGuiJiNeng1	53501	1	1	4	53505	4520	100	10	0.1	1
53505	疾风行者5级	疾风行者	增加主人闪避	ChangGuiJiNeng1	53501	1	1	5	53506	4520	100	10	0.1	1
53506	疾风行者6级	疾风行者	增加主人闪避	ChangGuiJiNeng1	53501	1	1	6	53507	4520	100	10	0.1	1
53507	疾风行者7级	疾风行者	增加主人闪避	ChangGuiJiNeng1	53501	1	1	7	53508	4520	100	10	0.1	1
53508	疾风行者8级	疾风行者	增加主人闪避	ChangGuiJiNeng1	53501	1	1	8	53509	4520	100	10	0.1	1
53509	疾风行者9级	疾风行者	增加主人闪避	ChangGuiJiNeng1	53501	1	1	9	53510	4520	100	10	0.1	1
53510	疾风行者10级	疾风行者	增加主人闪避	ChangGuiJiNeng1	53501	1	1	10	53511	4520	100	10	0.1	1
53511	疾风行者11级	疾风行者	增加主人闪避	ChangGuiJiNeng1	53501	1	1	11	53512	4520	100	10	0.1	1
53512	疾风行者12级	疾风行者	增加主人闪避	ChangGuiJiNeng1	53501	1	1	12	53513	4520	100	10	0.1	1
53513	疾风行者13级	疾风行者	增加主人闪避	ChangGuiJiNeng1	53501	1	1	13	53514	4520	100	10	0.1	1
53514	疾风行者14级	疾风行者	增加主人闪避	ChangGuiJiNeng1	53501	1	1	14	53515	4520	100	10	0.1	1
53515	疾风行者15级	疾风行者	增加主人闪避	ChangGuiJiNeng1	53501	1	1	15	53516	4520	100	10	0.1	1
53516	疾风行者16级	疾风行者	增加主人闪避	ChangGuiJiNeng1	53501	1	1	16	53517	4520	100	10	0.1	1
53517	疾风行者17级	疾风行者	增加主人闪避	ChangGuiJiNeng1	53501	1	1	17	53518	4520	100	10	0.1	1
53518	疾风行者18级	疾风行者	增加主人闪避	ChangGuiJiNeng1	53501	1	1	18	53519	4520	100	10	0.1	1
53519	疾风行者19级	疾风行者	增加主人闪避	ChangGuiJiNeng1	53501	1	1	19	53520	4520	100	10	0.1	1
53520	疾风行者20级	疾风行者	增加主人闪避	ChangGuiJiNeng1	53501	1	1	20	-1	4520	100	10	0.1	1
53601	狂暴气流1级	狂暴气流	增加自身加持	ChangGuiJiNeng1	53601	1	1	1	53602	4520	100	10	0.1	1
53602	狂暴气流2级	狂暴气流	增加自身加持	ChangGuiJiNeng1	53601	1	1	2	53603	4520	100	10	0.1	1
53603	狂暴气流3级	狂暴气流	增加自身加持	ChangGuiJiNeng1	53601	1	1	3	53604	4520	100	10	0.1	1
53604	狂暴气流4级	狂暴气流	增加自身加持	ChangGuiJiNeng1	53601	1	1	4	53605	4520	100	10	0.1	1
53605	狂暴气流5级	狂暴气流	增加自身加持	ChangGuiJiNeng1	53601	1	1	5	53606	4520	100	10	0.1	1
53606	狂暴气流6级	狂暴气流	增加自身加持	ChangGuiJiNeng1	53601	1	1	6	53607	4520	100	10	0.1	1
53607	狂暴气流7级	狂暴气流	增加自身加持	ChangGuiJiNeng1	53601	1	1	7	53608	4520	100	10	0.1	1
53608	狂暴气流8级	狂暴气流	增加自身加持	ChangGuiJiNeng1	53601	1	1	8	53609	4520	100	10	0.1	1
53609	狂暴气流9级	狂暴气流	增加自身加持	ChangGuiJiNeng1	53601	1	1	9	53610	4520	100	10	0.1	1
53610	狂暴气流10级	狂暴气流	增加自身加持	ChangGuiJiNeng1	53601	1	1	10	53611	4520	100	10	0.1	1
53611	狂暴气流11级	狂暴气流	增加自身加持	ChangGuiJiNeng1	53601	1	1	11	53612	4520	100	10	0.1	1
53612	狂暴气流12级	狂暴气流	增加自身加持	ChangGuiJiNeng1	53601	1	1	12	53613	4520	100	10	0.1	1
53613	狂暴气流13级	狂暴气流	增加自身加持	ChangGuiJiNeng1	53601	1	1	13	53614	4520	100	10	0.1	1
53614	狂暴气流14级	狂暴气流	增加自身加持	ChangGuiJiNeng1	53601	1	1	14	53615	4520	100	10	0.1	1
53615	狂暴气流15级	狂暴气流	增加自身加持	ChangGuiJiNeng1	53601	1	1	15	53616	4520	100	10	0.1	1
53616	狂暴气流16级	狂暴气流	增加自身加持	ChangGuiJiNeng1	53601	1	1	16	53617	4520	100	10	0.1	1
53617	狂暴气流17级	狂暴气流	增加自身加持	ChangGuiJiNeng1	53601	1	1	17	53618	4520	100	10	0.1	1
53618	狂暴气流18级	狂暴气流	增加自身加持	ChangGuiJiNeng1	53601	1	1	18	53619	4520	100	10	0.1	1
53619	狂暴气流19级	狂暴气流	增加自身加持	ChangGuiJiNeng1	53601	1	1	19	53620	4520	100	10	0.1	1
53620	狂暴气流20级	狂暴气流	增加自身加持	ChangGuiJiNeng1	53601	1	1	20	-1	4520	100	10	0.1	1
53701	疾风之力1级	疾风之力	增加主人攻击	ChangGuiJiNeng1	53701	1	1	1	53702	4520	100	10	0.1	1
53702	疾风之力2级	疾风之力	增加主人攻击	ChangGuiJiNeng1	53701	1	1	2	53703	4520	100	10	0.1	1
53703	疾风之力3级	疾风之力	增加主人攻击	ChangGuiJiNeng1	53701	1	1	3	53704	4520	100	10	0.1	1
53704	疾风之力4级	疾风之力	增加主人攻击	ChangGuiJiNeng1	53701	1	1	4	53705	4520	100	10	0.1	1
53705	疾风之力5级	疾风之力	增加主人攻击	ChangGuiJiNeng1	53701	1	1	5	53706	4520	100	10	0.1	1
53706	疾风之力6级	疾风之力	增加主人攻击	ChangGuiJiNeng1	53701	1	1	6	53707	4520	100	10	0.1	1
53707	疾风之力7级	疾风之力	增加主人攻击	ChangGuiJiNeng1	53701	1	1	7	53708	4520	100	10	0.1	1
53708	疾风之力8级	疾风之力	增加主人攻击	ChangGuiJiNeng1	53701	1	1	8	53709	4520	100	10	0.1	1
53709	疾风之力9级	疾风之力	增加主人攻击	ChangGuiJiNeng1	53701	1	1	9	53710	4520	100	10	0.1	1
53710	疾风之力10级	疾风之力	增加主人攻击	ChangGuiJiNeng1	53701	1	1	10	53711	4520	100	10	0.1	1
53711	疾风之力11级	疾风之力	增加主人攻击	ChangGuiJiNeng1	53701	1	1	11	53712	4520	100	10	0.1	1
53712	疾风之力12级	疾风之力	增加主人攻击	ChangGuiJiNeng1	53701	1	1	12	53713	4520	100	10	0.1	1
53713	疾风之力13级	疾风之力	增加主人攻击	ChangGuiJiNeng1	53701	1	1	13	53714	4520	100	10	0.1	1
53714	疾风之力14级	疾风之力	增加主人攻击	ChangGuiJiNeng1	53701	1	1	14	53715	4520	100	10	0.1	1
53715	疾风之力15级	疾风之力	增加主人攻击	ChangGuiJiNeng1	53701	1	1	15	53716	4520	100	10	0.1	1
53716	疾风之力16级	疾风之力	增加主人攻击	ChangGuiJiNeng1	53701	1	1	16	53717	4520	100	10	0.1	1
53717	疾风之力17级	疾风之力	增加主人攻击	ChangGuiJiNeng1	53701	1	1	17	53718	4520	100	10	0.1	1
53718	疾风之力18级	疾风之力	增加主人攻击	ChangGuiJiNeng1	53701	1	1	18	53719	4520	100	10	0.1	1
53719	疾风之力19级	疾风之力	增加主人攻击	ChangGuiJiNeng1	53701	1	1	19	53720	4520	100	10	0.1	1
53720	疾风之力20级	疾风之力	增加主人攻击	ChangGuiJiNeng1	53701	1	1	20	-1	4520	100	10	0.1	1
53801	水之赐福1级	疾风之力	增加主人生命上限	ChangGuiJiNeng1	53801	1	1	1	53802	4520	100	10	0.1	1
53802	水之赐福2级	疾风之力	增加主人生命上限	ChangGuiJiNeng1	53801	1	1	2	53803	4520	100	10	0.1	1
53803	水之赐福3级	疾风之力	增加主人生命上限	ChangGuiJiNeng1	53801	1	1	3	53804	4520	100	10	0.1	1
53804	水之赐福4级	疾风之力	增加主人生命上限	ChangGuiJiNeng1	53801	1	1	4	53805	4520	100	10	0.1	1
53805	水之赐福5级	疾风之力	增加主人生命上限	ChangGuiJiNeng1	53801	1	1	5	53806	4520	100	10	0.1	1
53806	水之赐福6级	疾风之力	增加主人生命上限	ChangGuiJiNeng1	53801	1	1	6	53807	4520	100	10	0.1	1
53807	水之赐福7级	疾风之力	增加主人生命上限	ChangGuiJiNeng1	53801	1	1	7	53808	4520	100	10	0.1	1
53808	水之赐福8级	疾风之力	增加主人生命上限	ChangGuiJiNeng1	53801	1	1	8	53809	4520	100	10	0.1	1
53809	水之赐福9级	疾风之力	增加主人生命上限	ChangGuiJiNeng1	53801	1	1	9	53810	4520	100	10	0.1	1
53810	水之赐福10级	疾风之力	增加主人生命上限	ChangGuiJiNeng1	53801	1	1	10	53811	4520	100	10	0.1	1
53811	水之赐福11级	疾风之力	增加主人生命上限	ChangGuiJiNeng1	53801	1	1	11	53812	4520	100	10	0.1	1
53812	水之赐福12级	疾风之力	增加主人生命上限	ChangGuiJiNeng1	53801	1	1	12	53813	4520	100	10	0.1	1
53813	水之赐福13级	疾风之力	增加主人生命上限	ChangGuiJiNeng1	53801	1	1	13	53814	4520	100	10	0.1	1
53814	水之赐福14级	疾风之力	增加主人生命上限	ChangGuiJiNeng1	53801	1	1	14	53815	4520	100	10	0.1	1
53815	水之赐福15级	疾风之力	增加主人生命上限	ChangGuiJiNeng1	53801	1	1	15	53816	4520	100	10	0.1	1
53816	水之赐福16级	疾风之力	增加主人生命上限	ChangGuiJiNeng1	53801	1	1	16	53817	4520	100	10	0.1	1
53817	水之赐福17级	疾风之力	增加主人生命上限	ChangGuiJiNeng1	53801	1	1	17	53818	4520	100	10	0.1	1
53818	水之赐福18级	疾风之力	增加主人生命上限	ChangGuiJiNeng1	53801	1	1	18	53819	4520	100	10	0.1	1
53819	水之赐福19级	疾风之力	增加主人生命上限	ChangGuiJiNeng1	53801	1	1	19	53820	4520	100	10	0.1	1
53820	水之赐福20级	疾风之力	增加主人生命上限	ChangGuiJiNeng1	53801	1	1	20	-1	4520	100	10	0.1	1
53901	水流之力1级	水流之力	增加自身加持	ChangGuiJiNeng1	53901	1	1	1	53902	4520	100	10	0.1	1
53902	水流之力2级	水流之力	增加自身加持	ChangGuiJiNeng1	53901	1	1	2	53903	4520	100	10	0.1	1
53903	水流之力3级	水流之力	增加自身加持	ChangGuiJiNeng1	53901	1	1	3	53904	4520	100	10	0.1	1
53904	水流之力4级	水流之力	增加自身加持	ChangGuiJiNeng1	53901	1	1	4	53905	4520	100	10	0.1	1
53905	水流之力5级	水流之力	增加自身加持	ChangGuiJiNeng1	53901	1	1	5	53906	4520	100	10	0.1	1
53906	水流之力6级	水流之力	增加自身加持	ChangGuiJiNeng1	53901	1	1	6	53907	4520	100	10	0.1	1
53907	水流之力7级	水流之力	增加自身加持	ChangGuiJiNeng1	53901	1	1	7	53908	4520	100	10	0.1	1
53908	水流之力8级	水流之力	增加自身加持	ChangGuiJiNeng1	53901	1	1	8	53909	4520	100	10	0.1	1
53909	水流之力9级	水流之力	增加自身加持	ChangGuiJiNeng1	53901	1	1	9	53910	4520	100	10	0.1	1
53910	水流之力10级	水流之力	增加自身加持	ChangGuiJiNeng1	53901	1	1	10	53911	4520	100	10	0.1	1
53911	水流之力11级	水流之力	增加自身加持	ChangGuiJiNeng1	53901	1	1	11	53912	4520	100	10	0.1	1
53912	水流之力12级	水流之力	增加自身加持	ChangGuiJiNeng1	53901	1	1	12	53913	4520	100	10	0.1	1
53913	水流之力13级	水流之力	增加自身加持	ChangGuiJiNeng1	53901	1	1	13	53914	4520	100	10	0.1	1
53914	水流之力14级	水流之力	增加自身加持	ChangGuiJiNeng1	53901	1	1	14	53915	4520	100	10	0.1	1
53915	水流之力15级	水流之力	增加自身加持	ChangGuiJiNeng1	53901	1	1	15	53916	4520	100	10	0.1	1
53916	水流之力16级	水流之力	增加自身加持	ChangGuiJiNeng1	53901	1	1	16	53917	4520	100	10	0.1	1
53917	水流之力17级	水流之力	增加自身加持	ChangGuiJiNeng1	53901	1	1	17	53918	4520	100	10	0.1	1
53918	水流之力18级	水流之力	增加自身加持	ChangGuiJiNeng1	53901	1	1	18	53919	4520	100	10	0.1	1
53919	水流之力19级	水流之力	增加自身加持	ChangGuiJiNeng1	53901	1	1	19	53920	4520	100	10	0.1	1
53920	水流之力20级	水流之力	增加自身加持	ChangGuiJiNeng1	53901	1	1	20	-1	4520	100	10	0.1	1
54001	蓝海神盾1级	蓝海神盾	增加自身守护	ChangGuiJiNeng1	54001	1	1	1	54002	4520	100	10	0.1	1
54002	蓝海神盾2级	蓝海神盾	增加自身守护	ChangGuiJiNeng1	54001	1	1	2	54003	4520	100	10	0.1	1
54003	蓝海神盾3级	蓝海神盾	增加自身守护	ChangGuiJiNeng1	54001	1	1	3	54004	4520	100	10	0.1	1
54004	蓝海神盾4级	蓝海神盾	增加自身守护	ChangGuiJiNeng1	54001	1	1	4	54005	4520	100	10	0.1	1
54005	蓝海神盾5级	蓝海神盾	增加自身守护	ChangGuiJiNeng1	54001	1	1	5	54006	4520	100	10	0.1	1
54006	蓝海神盾6级	蓝海神盾	增加自身守护	ChangGuiJiNeng1	54001	1	1	6	54007	4520	100	10	0.1	1
54007	蓝海神盾7级	蓝海神盾	增加自身守护	ChangGuiJiNeng1	54001	1	1	7	54008	4520	100	10	0.1	1
54008	蓝海神盾8级	蓝海神盾	增加自身守护	ChangGuiJiNeng1	54001	1	1	8	54009	4520	100	10	0.1	1
54009	蓝海神盾9级	蓝海神盾	增加自身守护	ChangGuiJiNeng1	54001	1	1	9	54010	4520	100	10	0.1	1
54010	蓝海神盾10级	蓝海神盾	增加自身守护	ChangGuiJiNeng1	54001	1	1	10	54011	4520	100	10	0.1	1
54011	蓝海神盾11级	蓝海神盾	增加自身守护	ChangGuiJiNeng1	54001	1	1	11	54012	4520	100	10	0.1	1
54012	蓝海神盾12级	蓝海神盾	增加自身守护	ChangGuiJiNeng1	54001	1	1	12	54013	4520	100	10	0.1	1
54013	蓝海神盾13级	蓝海神盾	增加自身守护	ChangGuiJiNeng1	54001	1	1	13	54014	4520	100	10	0.1	1
