Id	Desc	ModelId	EffectId	Component	SetId	Durable	HP	HP_Per	MP	MP_Per	PhysicsAttack	PhysicsAttack_Per	MagicAttack	MagicAttack_Per	PhysicsDefence	PhysicsDefence_Per	MagicDefence	MagicDefence_Per	AttackSpeed	AttackSpeed_Per	AllAttack	AllAttack_Per	AllDefence	AllDefence_Per	AddAttrType1	AddAttrValue1	AddAttrPer1	AddAttrType2	AddAttrValue2	AddAttrPer2	AddAttrType3	AddAttrValue3	AddAttrPer3	AddAttrType4	AddAttrValue4	AddAttrPer4	AttrFactorMin	AttrFactorMax
12130	职业橙套狂战士头部(100)2阶	-1	-1	2	81	-1	0	0	0	0	0	0	0	0	1467	0	1106	0	-1	0	0	0	0	0	-1	0	0	8	324	0	-1	0	0	10	1046	0	-0.2	0.2
12138	职业橙套狂战士头部(80)3阶	-1	-1	2	57	-1	0	0	0	0	0	0	0	0	1230	0	928	0	-1	0	0	0	0	0	-1	0	0	8	274	0	-1	0	0	10	874	0	-0.2	0.2
12139	职业橙套狂战士头部(90)3阶	-1	-1	2	65	-1	0	0	0	0	0	0	0	0	1369	0	1032	0	-1	0	0	0	0	0	-1	0	0	8	305	0	-1	0	0	10	983	0	-0.2	0.2
12140	职业橙套狂战士头部(100)3阶	-1	-1	2	81	-1	0	0	0	0	0	0	0	0	1509	0	1137	0	-1	0	0	0	0	0	-1	0	0	8	334	0	-1	0	0	10	1076	0	-0.2	0.2
12148	职业橙套狂战士头部(80)4阶	-1	-1	2	57	-1	0	0	0	0	0	0	0	0	1407	0	1061	0	-1	0	0	0	0	0	-1	0	0	8	314	0	-1	0	0	10	1009	0	-0.2	0.2
12149	职业橙套狂战士头部(90)4阶	-1	-1	2	65	-1	0	0	0	0	0	0	0	0	1407	0	1061	0	-1	0	0	0	0	0	-1	0	0	8	314	0	-1	0	0	10	1009	0	-0.2	0.2
12150	职业橙套狂战士头部(100)4阶	-1	-1	2	81	-1	0	0	0	0	0	0	0	0	1550	0	1168	0	-1	0	0	0	0	0	-1	0	0	8	343	0	-1	0	0	10	1106	0	-0.2	0.2
12158	职业橙套狂战士头部(80)5阶	-1	-1	2	57	-1	0	0	0	0	0	0	0	0	1297	0	979	0	-1	0	0	0	0	0	-1	0	0	8	289	0	-1	0	0	10	923	0	-0.2	0.2
12159	职业橙套狂战士头部(90)5阶	-1	-1	2	65	-1	0	0	0	0	0	0	0	0	1444	0	1089	0	-1	0	0	0	0	0	-1	0	0	8	322	0	-1	0	0	10	1035	0	-0.2	0.2
12160	职业橙套狂战士头部(100)5阶	-1	-1	2	81	-1	0	0	0	0	0	0	0	0	1592	0	1199	0	-1	0	0	0	0	0	-1	0	0	8	352	0	-1	0	0	10	1133	0	-0.2	0.2
12170	职业橙套狂战士头部(100)6阶	-1	-1	2	81	-1	0	0	0	0	0	0	0	0	1633	0	1231	0	-1	0	0	0	0	0	-1	0	0	8	361	0	-1	0	0	10	1163	0	-0.2	0.2
12180	职业橙套狂战士头部(100)7阶	-1	-1	2	81	-1	0	0	0	0	0	0	0	0	1675	0	1262	0	-1	0	0	0	0	0	-1	0	0	8	370	0	-1	0	0	10	1193	0	-0.2	0.2
12190	职业橙套狂战士头部(100)8阶	-1	-1	2	81	-1	0	0	0	0	0	0	0	0	1716	0	1293	0	-1	0	0	0	0	0	-1	0	0	8	379	0	-1	0	0	10	1223	0	-0.2	0.2
12200	职业橙套狂战士头部(100)9阶	-1	-1	2	81	-1	0	0	0	0	0	0	0	0	1758	0	1325	0	-1	0	0	0	0	0	-1	0	0	8	389	0	-1	0	0	10	1253	0	-0.2	0.2
12210	职业橙套狂战士头部(100)10阶	-1	-1	2	81	-1	0	0	0	0	0	0	0	0	1799	0	1356	0	-1	0	0	0	0	0	-1	0	0	8	398	0	-1	0	0	10	1283	0	-0.2	0.2
12218	职业橙套狂战士上衣(80)1阶	22	-1	3	57	-1	12941	0	1162	0	0	0	0	0	871	0	657	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	825	0	-0.2	0.2
12219	职业橙套狂战士上衣(90)1阶	26	-1	3	65	-1	14507	0	1285	0	0	0	0	0	970	0	731	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	926	0	-0.2	0.2
12220	职业橙套狂战士上衣(100)1阶	27	-1	3	81	-1	16072	0	1409	0	0	0	0	0	1069	0	805	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1016	0	-0.2	0.2
12221	VIP狂战士上衣(90)1阶	26	-1	3	89	-1	14976	0	1323	0	0	0	0	0	1000	0	764	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	953	0	-0.2	0.2
12228	职业橙套狂战士上衣(80)2阶	22	-1	3	57	-1	13318	0	1196	0	0	0	0	0	897	0	676	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	851	0	-0.2	0.2
12229	职业橙套狂战士上衣(90)2阶	26	-1	3	65	-1	14929	0	1323	0	0	0	0	0	999	0	753	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	953	0	-0.2	0.2
12230	职业橙套狂战士上衣(100)2阶	27	-1	3	81	-1	16540	0	1450	0	0	0	0	0	1100	0	829	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1046	0	-0.2	0.2
12231	VIP狂战士上衣(90)2阶	26	-1	3	89	-1	15412	0	1361	0	0	0	0	0	1029	0	787	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	983	0	-0.2	0.2
12238	职业橙套狂战士上衣(80)3阶	22	-1	3	57	-1	13695	0	1230	0	0	0	0	0	922	0	695	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	874	0	-0.2	0.2
12239	职业橙套狂战士上衣(90)3阶	26	-1	3	65	-1	15352	0	1360	0	0	0	0	0	1027	0	774	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	983	0	-0.2	0.2
12240	职业橙套狂战士上衣(100)3阶	27	-1	3	81	-1	17008	0	1491	0	0	0	0	0	1131	0	852	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1076	0	-0.2	0.2
12241	VIP狂战士上衣(90)3阶	26	-1	3	89	-1	15849	0	1400	0	0	0	0	0	1058	0	809	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1009	0	-0.2	0.2
12248	职业橙套狂战士上衣(80)4阶	22	-1	3	57	-1	15774	0	1398	0	0	0	0	0	1055	0	795	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1009	0	-0.2	0.2
12249	职业橙套狂战士上衣(90)4阶	26	-1	3	65	-1	15774	0	1398	0	0	0	0	0	1055	0	795	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1009	0	-0.2	0.2
12250	职业橙套狂战士上衣(100)4阶	27	-1	3	81	-1	17476	0	1532	0	0	0	0	0	1163	0	876	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1106	0	-0.2	0.2
12251	VIP狂战士上衣(90)4阶	26	-1	3	89	-1	16285	0	1438	0	0	0	0	0	1088	0	831	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1039	0	-0.2	0.2
12258	职业橙套狂战士上衣(80)5阶	22	-1	3	57	-1	14449	0	1297	0	0	0	0	0	973	0	734	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	923	0	-0.2	0.2
12259	职业橙套狂战士上衣(90)5阶	26	-1	3	65	-1	16197	0	1435	0	0	0	0	0	1083	0	817	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1035	0	-0.2	0.2
12260	职业橙套狂战士上衣(100)5阶	27	-1	3	81	-1	17945	0	1573	0	0	0	0	0	1194	0	899	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1133	0	-0.2	0.2
12261	VIP狂战士上衣(90)5阶	26	-1	3	89	-1	16721	0	1477	0	0	0	0	0	1117	0	853	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1065	0	-0.2	0.2
12270	职业橙套狂战士上衣(100)6阶	27	-1	3	81	-1	18413	0	1614	0	0	0	0	0	1225	0	923	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1163	0	-0.2	0.2
12280	职业橙套狂战士上衣(100)7阶	27	-1	3	81	-1	18881	0	1655	0	0	0	0	0	1256	0	946	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1193	0	-0.2	0.2
12290	职业橙套狂战士上衣(100)8阶	27	-1	3	81	-1	19349	0	1696	0	0	0	0	0	1287	0	970	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1223	0	-0.2	0.2
12300	职业橙套狂战士上衣(100)9阶	27	-1	3	81	-1	19817	0	1737	0	0	0	0	0	1318	0	993	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1253	0	-0.2	0.2
12310	职业橙套狂战士上衣(100)10阶	27	-1	3	81	-1	20285	0	1778	0	0	0	0	0	1349	0	1017	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1283	0	-0.2	0.2
12318	职业橙套狂战士下衣(80)1阶	-1	-1	4	57	-1	19411	0	1162	0	0	0	0	0	581	0	439	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1658	0	-0.2	0.2
12319	职业橙套狂战士下衣(90)1阶	-1	-1	4	65	-1	21760	0	1285	0	0	0	0	0	647	0	488	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1853	0	-0.2	0.2
12320	职业橙套狂战士下衣(100)1阶	-1	-1	4	81	-1	24108	0	1409	0	0	0	0	0	713	0	538	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	2033	0	-0.2	0.2
12321	VIP狂战士下衣(90)1阶	-1	-1	4	89	-1	22464	0	1323	0	0	0	0	0	666	0	503	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1909	0	-0.2	0.2
12328	职业橙套狂战士下衣(80)2阶	-1	-1	4	57	-1	19977	0	1196	0	0	0	0	0	598	0	452	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1706	0	-0.2	0.2
12329	职业橙套狂战士下衣(90)2阶	-1	-1	4	65	-1	22394	0	1323	0	0	0	0	0	666	0	502	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1909	0	-0.2	0.2
12330	职业橙套狂战士下衣(100)2阶	-1	-1	4	81	-1	24810	0	1450	0	0	0	0	0	734	0	553	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	2093	0	-0.2	0.2
12331	VIP狂战士下衣(90)2阶	-1	-1	4	89	-1	23119	0	1361	0	0	0	0	0	686	0	517	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1965	0	-0.2	0.2
12338	职业橙套狂战士下衣(80)3阶	-1	-1	4	57	-1	20542	0	1230	0	0	0	0	0	615	0	464	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1755	0	-0.2	0.2
12339	职业橙套狂战士下衣(90)3阶	-1	-1	4	65	-1	23027	0	1360	0	0	0	0	0	685	0	517	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1961	0	-0.2	0.2
12340	职业橙套狂战士下衣(100)3阶	-1	-1	4	81	-1	25513	0	1491	0	0	0	0	0	754	0	569	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	2149	0	-0.2	0.2
12341	VIP狂战士下衣(90)3阶	-1	-1	4	89	-1	23773	0	1400	0	0	0	0	0	705	0	532	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	2018	0	-0.2	0.2
12348	职业橙套狂战士下衣(80)4阶	-1	-1	4	57	-1	23661	0	1398	0	0	0	0	0	703	0	531	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	2018	0	-0.2	0.2
12349	职业橙套狂战士下衣(90)4阶	-1	-1	4	65	-1	23661	0	1398	0	0	0	0	0	703	0	531	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	2018	0	-0.2	0.2
12350	职业橙套狂战士下衣(100)4阶	-1	-1	4	81	-1	26215	0	1532	0	0	0	0	0	775	0	585	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	2209	0	-0.2	0.2
12351	VIP狂战士下衣(90)4阶	-1	-1	4	89	-1	24427	0	1438	0	0	0	0	0	725	0	547	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	2074	0	-0.2	0.2
12358	职业橙套狂战士下衣(80)5阶	-1	-1	4	57	-1	21673	0	1297	0	0	0	0	0	649	0	490	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	1849	0	-0.2	0.2
12359	职业橙套狂战士下衣(90)5阶	-1	-1	4	65	-1	24295	0	1435	0	0	0	0	0	722	0	545	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	2070	0	-0.2	0.2
12360	职业橙套狂战士下衣(100)5阶	-1	-1	4	81	-1	26917	0	1573	0	0	0	0	0	796	0	600	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	2269	0	-0.2	0.2
12361	VIP狂战士下衣(90)5阶	-1	-1	4	89	-1	25082	0	1477	0	0	0	0	0	744	0	561	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	2130	0	-0.2	0.2
12370	职业橙套狂战士下衣(100)6阶	-1	-1	4	81	-1	27619	0	1614	0	0	0	0	0	817	0	616	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	2329	0	-0.2	0.2
12380	职业橙套狂战士下衣(100)7阶	-1	-1	4	81	-1	28321	0	1655	0	0	0	0	0	837	0	632	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	2385	0	-0.2	0.2
12390	职业橙套狂战士下衣(100)8阶	-1	-1	4	81	-1	29023	0	1696	0	0	0	0	0	858	0	647	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	2445	0	-0.2	0.2
12400	职业橙套狂战士下衣(100)9阶	-1	-1	4	81	-1	29726	0	1737	0	0	0	0	0	879	0	663	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	2505	0	-0.2	0.2
12410	职业橙套狂战士下衣(100)10阶	-1	-1	4	81	-1	30428	0	1778	0	0	0	0	0	900	0	679	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	2565	0	-0.2	0.2
12418	职业橙套狂战士鞋子(80)1阶	-1	-1	6	57	-1	0	0	0	0	0	0	0	0	290	0	219	0	-1	0	0	0	0	0	-1	0	0	8	1035	0	-1	0	0	10	825	0	-0.2	0.2
12419	职业橙套狂战士鞋子(90)1阶	-1	-1	6	65	-1	0	0	0	0	0	0	0	0	323	0	244	0	-1	0	0	0	0	0	-1	0	0	8	1154	0	-1	0	0	10	926	0	-0.2	0.2
12420	职业橙套狂战士鞋子(100)1阶	-1	-1	6	81	-1	0	0	0	0	0	0	0	0	356	0	269	0	-1	0	0	0	0	0	-1	0	0	8	1263	0	-1	0	0	10	1016	0	-0.2	0.2
12428	职业橙套狂战士鞋子(80)2阶	-1	-1	6	57	-1	0	0	0	0	0	0	0	0	299	0	226	0	-1	0	0	0	0	0	-1	0	0	8	1065	0	-1	0	0	10	851	0	-0.2	0.2
12429	职业橙套狂战士鞋子(90)2阶	-1	-1	6	65	-1	0	0	0	0	0	0	0	0	333	0	251	0	-1	0	0	0	0	0	-1	0	0	8	1187	0	-1	0	0	10	953	0	-0.2	0.2
12430	职业橙套狂战士鞋子(100)2阶	-1	-1	6	81	-1	0	0	0	0	0	0	0	0	367	0	277	0	-1	0	0	0	0	0	-1	0	0	8	1300	0	-1	0	0	10	1046	0	-0.2	0.2
12438	职业橙套狂战士鞋子(80)3阶	-1	-1	6	57	-1	0	0	0	0	0	0	0	0	307	0	232	0	-1	0	0	0	0	0	-1	0	0	8	1095	0	-1	0	0	10	874	0	-0.2	0.2
12439	职业橙套狂战士鞋子(90)3阶	-1	-1	6	65	-1	0	0	0	0	0	0	0	0	342	0	258	0	-1	0	0	0	0	0	-1	0	0	8	1221	0	-1	0	0	10	983	0	-0.2	0.2
12440	职业橙套狂战士鞋子(100)3阶	-1	-1	6	81	-1	0	0	0	0	0	0	0	0	377	0	284	0	-1	0	0	0	0	0	-1	0	0	8	1336	0	-1	0	0	10	1076	0	-0.2	0.2
12448	职业橙套狂战士鞋子(80)4阶	-1	-1	6	57	-1	0	0	0	0	0	0	0	0	352	0	265	0	-1	0	0	0	0	0	-1	0	0	8	1254	0	-1	0	0	10	1009	0	-0.2	0.2
12449	职业橙套狂战士鞋子(90)4阶	-1	-1	6	65	-1	0	0	0	0	0	0	0	0	352	0	265	0	-1	0	0	0	0	0	-1	0	0	8	1254	0	-1	0	0	10	1009	0	-0.2	0.2
12450	职业橙套狂战士鞋子(100)4阶	-1	-1	6	81	-1	0	0	0	0	0	0	0	0	388	0	292	0	-1	0	0	0	0	0	-1	0	0	8	1373	0	-1	0	0	10	1106	0	-0.2	0.2
12458	职业橙套狂战士鞋子(80)5阶	-1	-1	6	57	-1	0	0	0	0	0	0	0	0	324	0	245	0	-1	0	0	0	0	0	-1	0	0	8	1156	0	-1	0	0	10	923	0	-0.2	0.2
12459	职业橙套狂战士鞋子(90)5阶	-1	-1	6	65	-1	0	0	0	0	0	0	0	0	361	0	273	0	-1	0	0	0	0	0	-1	0	0	8	1288	0	-1	0	0	10	1035	0	-0.2	0.2
12460	职业橙套狂战士鞋子(100)5阶	-1	-1	6	81	-1	0	0	0	0	0	0	0	0	398	0	300	0	-1	0	0	0	0	0	-1	0	0	8	1410	0	-1	0	0	10	1133	0	-0.2	0.2
12470	职业橙套狂战士鞋子(100)6阶	-1	-1	6	81	-1	0	0	0	0	0	0	0	0	408	0	308	0	-1	0	0	0	0	0	-1	0	0	8	1447	0	-1	0	0	10	1163	0	-0.2	0.2
12480	职业橙套狂战士鞋子(100)7阶	-1	-1	6	81	-1	0	0	0	0	0	0	0	0	419	0	316	0	-1	0	0	0	0	0	-1	0	0	8	1483	0	-1	0	0	10	1193	0	-0.2	0.2
12490	职业橙套狂战士鞋子(100)8阶	-1	-1	6	81	-1	0	0	0	0	0	0	0	0	429	0	324	0	-1	0	0	0	0	0	-1	0	0	8	1520	0	-1	0	0	10	1223	0	-0.2	0.2
12500	职业橙套狂战士鞋子(100)9阶	-1	-1	6	81	-1	0	0	0	0	0	0	0	0	439	0	331	0	-1	0	0	0	0	0	-1	0	0	8	1557	0	-1	0	0	10	1253	0	-0.2	0.2
12510	职业橙套狂战士鞋子(100)10阶	-1	-1	6	81	-1	0	0	0	0	0	0	0	0	450	0	339	0	-1	0	0	0	0	0	-1	0	0	8	1594	0	-1	0	0	10	1283	0	-0.2	0.2
12518	职业橙套狂战士手腕(80)1阶	-1	-1	5	58	-1	19411	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	4140	0	-0.2	0.2
12519	职业橙套狂战士手腕(90)1阶	-1	-1	5	66	-1	21760	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	4635	0	-0.2	0.2
12520	职业橙套狂战士手腕(100)1阶	-1	-1	5	82	-1	24108	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	5074	0	-0.2	0.2
12528	职业橙套狂战士手腕(80)2阶	-1	-1	5	58	-1	19977	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	4260	0	-0.2	0.2
12529	职业橙套狂战士手腕(90)2阶	-1	-1	5	66	-1	22394	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	4770	0	-0.2	0.2
12530	职业橙套狂战士手腕(100)2阶	-1	-1	5	82	-1	24810	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	5224	0	-0.2	0.2
12538	职业橙套狂战士手腕(80)3阶	-1	-1	5	58	-1	20542	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	4380	0	-0.2	0.2
12539	职业橙套狂战士手腕(90)3阶	-1	-1	5	66	-1	23027	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	4905	0	-0.2	0.2
12540	职业橙套狂战士手腕(100)3阶	-1	-1	5	82	-1	25513	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	5370	0	-0.2	0.2
12548	职业橙套狂战士手腕(80)4阶	-1	-1	5	58	-1	23661	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	5040	0	-0.2	0.2
12549	职业橙套狂战士手腕(90)4阶	-1	-1	5	66	-1	23661	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	5040	0	-0.2	0.2
12550	职业橙套狂战士手腕(100)4阶	-1	-1	5	82	-1	26215	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	5520	0	-0.2	0.2
12558	职业橙套狂战士手腕(80)5阶	-1	-1	5	58	-1	21673	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	4624	0	-0.2	0.2
12559	职业橙套狂战士手腕(90)5阶	-1	-1	5	66	-1	24295	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	5175	0	-0.2	0.2
12560	职业橙套狂战士手腕(100)5阶	-1	-1	5	82	-1	26917	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	5666	0	-0.2	0.2
12570	职业橙套狂战士手腕(100)6阶	-1	-1	5	82	-1	27619	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	5816	0	-0.2	0.2
12580	职业橙套狂战士手腕(100)7阶	-1	-1	5	82	-1	28321	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	5963	0	-0.2	0.2
12590	职业橙套狂战士手腕(100)8阶	-1	-1	5	82	-1	29023	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	6109	0	-0.2	0.2
12600	职业橙套狂战士手腕(100)9阶	-1	-1	5	82	-1	29726	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	6259	0	-0.2	0.2
12610	职业橙套狂战士手腕(100)10阶	-1	-1	5	82	-1	30428	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	6405	0	-0.2	0.2
