Id	Desc	LowLevel	PreMission	ItemNeed	ItemCount	IsLoop	PreMission2
108	【主】事件重点	1	107	-1	-1	0	-1
109	【主】兽人斥候	1	108	-1	-1	0	-1
110	【主】人类女性	1	109	-1	-1	0	-1
111	【主】限制增强	1	110	-1	-1	0	-1
112	【主】采集魔药	1	111	-1	-1	0	-1
113	【主】护法	1	112	-1	-1	0	218
114	【主】魔力恢复	1	409	-1	-1	0	-1
115	【主】清除前锋	1	114	-1	-1	0	-1
116	【主】潜伏女贼	1	115	-1	-1	0	-1
117	【主】兽人军队	1	116	-1	-1	0	-1
118	【主】变装潜入	1	117	-1	-1	0	-1
119	【主】纸条	1	999	-1	-1	0	-1
120	【主】故人	1	118	-1	-1	0	-1
121	【主】寻找银木	1	120	-1	-1	0	-1
122	【主】搜索小队	1	121	-1	-1	0	-1
123	【主】攻击信号	1	44	-1	-1	0	-1
124	【主】安慰	1	191	-1	-1	0	-1
125	【主】阴谋	1	193	-1	-1	0	-1
126	【主】又见贵妇	1	174	-1	-1	0	-1
127	【主】部落内情	1	245	-1	-1	0	-1
128	【主】理智失控	1	127	-1	-1	0	-1
129	【主】速速离去	1	128	-1	-1	0	-1
130	【主】水中遗迹	1	129	-1	-1	0	-1
131	【主】遗迹僵尸	1	130	-1	-1	0	-1
132	【主】回归重点	1	131	-1	-1	0	-1
133	【主】僵尸外游	1	132	-1	-1	0	-1
134	【主】接应	1	168	-1	-1	0	-1
135	【主】异变加剧	1	134	-1	-1	0	-1
136	【主】残暴兽人	1	135	-1	-1	0	-1
137	【主】兽人大营	1	1	-1	-1	0	-1
138	【主】可疑人物	1	136	-1	-1	0	-1
139	【主】自辩	1	138	-1	-1	0	-1
140	【主】无可奈何	1	139	-1	-1	0	-1
141	【主】旁若无物	1	147	-1	-1	0	-1
142	【主】了然于心	1	141	-1	-1	0	-1
143	【主】争取时间	1	142	-1	-1	0	-1
144	【主】可疑机械	1	143	-1	-1	0	-1
145	【主】少女被挟	1	126	-1	-1	0	-1
146	【主】宽宏大量	1	197	-1	-1	0	-1
147	【主】第八贤者	1	152	-1	-1	0	-1
148	【主】报告事情	1	140	-1	-1	0	-1
149	【主】机械守卫	1	148	-1	-1	0	-1
150	【主】机械蜘蛛	1	149	-1	-1	0	-1
151	【主】探查要塞	1	999	-1	-1	0	-1
152	【主】另一贤者	1	150	-1	-1	0	-1
153	【主】战场求生	1	999	-1	-1	0	-1
154	【主】雪地生物	1	64	-1	-1	0	-1
155	【主】状况不明	1	154	-1	-1	0	-1
156	【主】兽人收藏	1	133	-1	-1	0	-1
157	【主】翘学少女	1	86	-1	-1	0	-1
158	【主】贵妇	1	81	-1	-1	0	-1
159	【主】清理僵尸	1	158	-1	-1	0	-1
160	【主】珍贵资料	1	159	-1	-1	0	-1
161	【主】学者下落	1	160	-1	-1	0	-1
162	【主】僵尸围城	1	161	-1	-1	0	-1
163	【主】大门紧闭	1	162	-1	-1	0	-1
164	【主】秘密研究	1	94	-1	-1	0	-1
165	【主】奇妙空间	1	21	-1	-1	0	-1
166	【主】报告	1	68	-1	-1	0	-1
167	【主】科技苑	1	144	-1	-1	0	-1
168	【主】良师益友	1	156	-1	-1	0	-1
169	【主】回报成效	1	999	-1	-1	0	-1
170	【主】提前出发	1	328	-1	-1	0	-1
171	【主】回程	1	170	-1	-1	0	-1
172	【主】再回冰封	1	171	-1	-1	0	-1
173	【主】中伏	1	66	-1	-1	0	-1
174	【主】幕后有人	1	315	-1	-1	0	-1
175	【主】机械宝藏	1	163	-1	-1	0	-1
176	【主】接应	1	184	-1	-1	0	-1
177	【主】壮硕博士	1	176	-1	-1	0	-1
178	【主】重重守护	1	177	-1	-1	0	-1
179	【主】魔界傀儡	1	178	-1	-1	0	-1
180	【主】幕后黑手	1	98	-1	-1	0	-1
181	【主】事情处理	1	179	-1	-1	0	-1
182	【主】请求支援	1	76	-1	-1	0	-1
183	【主】碍事生物	1	145	-1	-1	0	-1
184	【主】少女潜力	1	183	-1	-1	0	-1
185	【主】营地前哨	1	398	-1	-1	0	-1
186	【主】攻击计划	1	185	-1	-1	0	-1
187	【主】废弃都市	1	125	-1	-1	0	-1
188	【主】通知计划	1	186	-1	-1	0	-1
189	【主】质疑	1	188	-1	-1	0	-1
190	【主】修尔克	1	189	-1	-1	0	-1
191	【主】前往要塞	1	190	-1	-1	0	-1
192	【主】消除隐患	1	63	-1	-1	0	-1
193	【主】采集水样	1	124	-1	-1	0	-1
194	【主】追缉	1	71	-1	-1	0	-1
195	【主】绳之以法	1	999	-1	-1	0	-1
196	【主】沉默不语	1	194	-1	-1	0	-1
197	【主】报告	1	196	-1	-1	0	-1
198	【主】允许帮忙	1	146	-1	-1	0	-1
199	【主】事情进展	1	198	-1	-1	0	-1
200	【主】出发之前	1	199	-1	-1	0	-1
201	【主】目击证人	1	999	-1	-1	0	-1
202	【主】已经离去	1	999	-1	-1	0	-1
203	【主】遗忘废墟	1	200	-1	-1	0	-1
204	【主】沙狼泛滥	1	203	-1	-1	0	-1
205	【主】咨询详情	1	204	-1	-1	0	-1
206	【主】再会佣兵	1	205	-1	-1	0	-1
207	【主】不慎中毒	1	206	-1	-1	0	-1
208	【主】毒蝎埋伏	1	207	-1	-1	0	-1
209	【主】清除毒蝎	1	999	-1	-1	0	-1
210	【主】巨大魔力	1	208	-1	-1	0	-1
211	【主】少女长老	1	210	-1	-1	0	-1
212	【主】村落现状	1	211	-1	-1	0	-1
213	【主】询问旅人	1	212	-1	-1	0	-1
214	【支】意外之灾	1	213	-1	-1	0	-1
215	【支】求助长老	1	214	-1	-1	0	-1
216	【支】兽人祭司	1	215	-1	-1	0	-1
217	【支】召唤神器	1	29	-1	-1	0	-1
218	【主】解除诅咒	1	105	-1	-1	0	91
219	【主】询问现状	1	217	-1	-1	0	-1
220	【主】担心伙伴	1	303	-1	-1	0	-1
221	【主】触景生情	1	220	-1	-1	0	-1
222	【主】入侵者	1	221	-1	-1	0	-1
223	【主】鬼祟之人	1	222	-1	-1	0	-1
224	【主】魔物追杀	1	223	-1	-1	0	-1
225	【主】阴魂不散	1	224	-1	-1	0	-1
226	【主】一绝后患	1	225	-1	-1	0	-1
227	【主】疑惑	1	226	-1	-1	0	-1
228	【主】结伴	1	314	-1	-1	0	-1
229	【主】边缘现状	1	228	-1	-1	0	-1
230	【主】融合种	1	229	-1	-1	0	-1
231	【主】探查异常	1	230	-1	-1	0	-1
232	【主】暗中观察	1	231	-1	-1	0	-1
233	【主】缄口不言	1	232	-1	-1	0	-1
234	【主】发现甚少	1	233	-1	-1	0	-1
235	【主】护送	1	234	-1	-1	0	-1
236	【主】不加责备	1	235	-1	-1	0	-1
237	【主】巨猿军队	1	236	-1	-1	0	-1
238	【主】不懂机械	1	237	-1	-1	0	-1
239	【主】收集证据	1	238	-1	-1	0	-1
240	【主】有人操纵	1	239	-1	-1	0	-1
241	【主】请教盗贼	1	240	-1	-1	0	-1
242	【主】机关林立	1	241	-1	-1	0	-1
243	【主】求助长老	1	242	-1	-1	0	-1
244	【主】神圣禁地	1	243	-1	-1	0	-1
245	【主】符文	1	187	-1	-1	0	-1
246	【主】记忆丧失	1	302	-1	-1	0	-1
247	【支】雷纳堡	1	246	-1	-1	0	-1
248	【支】融合生物	1	247	-1	-1	0	-1
249	【支】邪恶实验	1	248	-1	-1	0	-1
250	【支】会合佣兵	1	249	-1	-1	0	-1
251	【支】高级融合	1	250	-1	-1	0	-1
252	【支】抓捕	1	251	-1	-1	0	-1
253	【支】滑稽身影	1	252	-1	-1	0	-1
254	【支】误打误撞	1	253	-1	-1	0	-1
255	【支】第七贤者	1	304	-1	-1	0	-1
256	【支】追捕受阻	1	255	-1	-1	0	-1
257	【支】机械反叛	1	256	-1	-1	0	-1
258	【支】于心不忍	1	257	-1	-1	0	-1
259	【支】机械被控	1	258	-1	-1	0	-1
260	【支】自首	1	259	-1	-1	0	-1
261	【支】疑惑	1	260	-1	-1	0	-1
262	【支】熟人	1	261	-1	-1	0	-1
263	【支】进入理由	1	262	-1	-1	0	-1
264	【支】防御启动	1	263	-1	-1	0	-1
265	【主】守卫者	1	264	-1	-1	0	-1
266	【主】逃离	1	265	-1	-1	0	-1
267	【主】关闭入口	1	266	-1	-1	0	-1
268	【主】善后处理	1	267	-1	-1	0	-1
269	【主】有言相告	1	268	-1	-1	0	-1
270	【主】良心发现	1	321	-1	-1	0	-1
271	【主】通知长老	1	270	-1	-1	0	-1
272	【主】感谢贤者	1	271	-1	-1	0	-1
273	【主】交付任务	1	272	-1	-1	0	-1
274	【主】不安贤者	1	273	-1	-1	0	-1
275	【主】记忆	1	322	-1	-1	0	-1
276	【主】止痛草	1	275	-1	-1	0	-1
277	【主】神话种	1	276	-1	-1	0	-1
278	【主】亡灵冰塔	1	305	-1	-1	0	-1
279	【主】道别	1	278	-1	-1	0	-1
280	【主】继续追寻	1	279	-1	-1	0	-1
281	【主】出发冰塔	1	306	-1	-1	0	-1
282	【主】时过境迁	1	281	-1	-1	0	-1
283	【主】询问守卫	1	282	-1	-1	0	-1
284	【主】冰塔现状	1	283	-1	-1	0	-1
285	【主】顶角怪狮	1	284	-1	-1	0	-1
286	【主】赏金猎人	1	285	-1	-1	0	-1
287	【主】试探	1	286	-1	-1	0	-1
288	【主】近期突变	1	287	-1	-1	0	-1
289	【主】再会博士	1	288	-1	-1	0	-1
290	【主】魔力矿石	1	289	-1	-1	0	-1
291	【主】收集矿石	1	290	-1	-1	0	-1
292	【主】新注魔力	1	291	-1	-1	0	-1
293	【主】少女状况	1	292	-1	-1	0	-1
294	【主】少女回忆	1	293	-1	-1	0	-1
295	【主】复仇	1	294	-1	-1	0	-1
296	【主】寻求盟友	1	295	-1	-1	0	-1
297	【主】来龙去脉	1	296	-1	-1	0	-1
298	【主】恶魔守卫	1	297	-1	-1	0	-1
299	【主】告诫	1	298	-1	-1	0	-1
300	【主】转达	1	299	-1	-1	0	-1
301	【主】秘密任务	1	300	-1	-1	0	-1
302	【主】神秘少女	1	244	-1	-1	0	-1
303	【帮会】缥缈峰除恶	1	219	-1	-1	0	-1
304	【帮会】缥缈峰除恶	1	254	-1	-1	0	-1
305	【主】魔石巨人	1	277	-1	-1	0	-1
306	【主】转换失控	1	280	-1	-1	0	-1
307	【帮会】丐帮除恶	1	324	-1	-1	0	-1
308	【帮会】丐帮除恶	1	157	-1	-1	0	-1
309	【帮会】琅嬛福地除恶	1	42	-1	-1	0	-1
310	【帮会】琅嬛福地除恶	1	89	-1	-1	0	-1
311	【帮会】琅嬛福地除恶	1	20	-1	-1	0	-1
312	【帮会】收集物资	1	999	-1	-1	0	-1
313	【帮会】收集物资	1	24	-1	-1	0	-1
314	【帮会】收集物资	1	227	-1	-1	0	-1
315	【帮会】掌门问候	1	172	-1	-1	0	-1
316	【帮会】掌门问候	1	5	-1	-1	0	-1
317	【帮会】掌门问候	1	316	-1	-1	0	-1
318	{0}【主】{1}仨魔灵	1	130	-1	-1	0	-1
319	{0}【主】{1}仨绿魔灵	1	318	-1	-1	0	-1
320	{0}【主】{1}一个绿色阵	1	319	-1	-1	0	-1
321	【帮会】聚贤庄—同帮	1	269	-1	-1	0	-1
322	【帮会】少室山—同帮	1	274	-1	-1	0	-1
323	【帮会】聚贤庄—同帮	1	999	-1	-1	0	-1
324	【主】寻车	1	0	-1	-1	0	-1
325	【主】试水	1	6	-1	-1	0	-1
326	【主】再试	1	43	-1	-1	0	-1
327	【主】混沌之地	1	78	-1	-1	0	-1
328	跑环任务暂用	999	999	-1	-1	0	-1
329	领取奖励	1	19	-1	-1	0	-1
330	装备翅膀	1	122	-1	-1	0	-1
399	每日成就1	1	999	-1	-1	0	-1
400	每日成就2	1	999	-1	-1	0	-1
401	每日成就3	1	999	-1	-1	0	-1
402	每日成就4	1	999	-1	-1	0	-1
403	每日成就5	1	999	-1	-1	0	-1
404	每日成就6	1	999	-1	-1	0	-1
405	每日成就7	1	999	-1	-1	0	-1
406	每日成就8	1	999	-1	-1	0	-1
407	每日成就9	1	999	-1	-1	0	-1
408	每日成就10	1	999	-1	-1	0	-1
409	每日成就11	1	999	-1	-1	0	-1
410	每日成就12	1	999	-1	-1	0	-1
411	每日成就13	1	999	-1	-1	0	-1
412	每日成就14	1	999	-1	-1	0	-1
413	混沌之地不用	1	999	-1	-1	0	-1
414	升级任务	1	112	-1	-1	0	-1
415	升级任务	1	999	-1	-1	0	-1
416	升级任务	1	999	-1	-1	0	-1
417	升级任务	1	999	-1	-1	0	-1
418	升级任务	1	999	-1	-1	0	-1
419	升级任务	1	999	-1	-1	0	-1
420	升级任务	1	999	-1	-1	0	-1
421	升级任务	1	999	-1	-1	0	-1
422	升级任务	1	999	-1	-1	0	-1
423	升级任务	1	999	-1	-1	0	-1
424	升级任务	1	999	-1	-1	0	-1
425	升级任务	1	999	-1	-1	0	-1
426	升级任务	1	999	-1	-1	0	-1
427	升级任务	1	310	-1	-1	0	-1
428	升级任务	1	105	-1	-1	0	-1
