Id	Desc	SectionNum	StartPosX1	StartPosZ1	StartDir1	Trigger1	GuidePoseX1	GuidePoseZ1	EnemyNPCBornDelay1	DynamicObstacleOpen1	DynamicObstacleClose1	StartCutSceneID1	FinishCutSceneID1	StartPosX2	StartPosZ2	StartDir2	Trigger2	GuidePoseX2	GuidePoseZ2	EnemyNPCBornDelay2	DynamicObstacleOpen2	DynamicObstacleClose2	StartCutSceneID2	FinishCutSceneID2	StartPosX3	StartPosZ3	StartDir3	Trigger3	GuidePoseX3	GuidePoseZ3	EnemyNPCBornDelay3	DynamicObstacleOpen3	DynamicObstacleClose3	StartCutSceneID3	FinishCutSceneID3
12	黄昏之湖剧情副本3	1	0	0	0	-1	0	0	0	-1	-1	62	86	0	0	0	-1	0	0	0	-1	-1	-1	-1	0	0	0	-1	0	0	0	-1	-1	-1	-1
13	黄昏要塞剧情副本1	2	0	0	0	-1	23.96	88.96	0	22	-1	18	-1	0	0	0	5	0	0	0	-1	-1	-1	20	0	0	0	-1	0	0	0	-1	-1	-1	-1
14	黄昏要塞剧情副本2	3	0	0	0	-1	54.93	79.53	0	26	-1	-1	-1	0	0	0	6	75.09	81	0	28	-1	-1	-1	0	0	0	7	0	0	0	-1	-1	-1	23
15	黄昏要塞剧情副本3	3	0	0	0	-1	0	0	0	-1	-1	24	-1	0	0	0	8	0	0	2000	-1	-1	-1	-1	0	0	0	8	0	0	2000	-1	-1	25	26
16	遗忘废墟1	3	0	0	0	-1	78.28	62.21	0	65	-1	-1	-1	0	0	0	18	78.28	50.63	0	66	-1	-1	-1	0	0	0	19	0	0	0	-1	-1	-1	63
17	遗忘废墟2	3	0	0	0	-1	79.29	31.6	0	70	-1	64	-1	0	0	0	20	88.63	30.85	0	71	-1	-1	-1	0	0	0	21	0	0	0	-1	-1	-1	-1
18	遗忘废墟3	1	0	0	0	-1	0	0	0	-1	-1	65	-1	0	0	0	-1	0	0	0	-1	-1	-1	66	0	0	0	-1	0	0	0	-1	-1	-1	-1
19	遗忘废墟4	2	0	0	0	-1	11.21	76.39	0	76	-1	-1	-1	0	0	0	22	0	0	0	-1	-1	-1	67	0	0	0	-1	0	0	0	-1	-1	-1	-1
20	雷纳堡边境剧情副本1	3	0	0	0	-1	0	0	0	-1	-1	68	-1	0	0	0	23	0	0	0	-1	-1	-1	69	0	0	0	23	0	0	0	-1	-1	-1	-1
21	雷纳堡边境剧情副本2	3	0	0	0	-1	0	0	0	-1	-1	70	-1	0	0	0	23	0	0	0	-1	-1	-1	-1	0	0	0	23	0	0	0	-1	-1	-1	71
22	雷纳堡剧情副本1	3	0	0	0	-1	0	0	0	-1	-1	72	-1	0	0	0	25	0	0	0	-1	-1	-1	-1	0	0	0	25	0	0	0	-1	-1	-1	73
23	雷纳堡剧情副本2	1	0	0	0	-1	0	0	0	-1	-1	74	-1	0	0	0	-1	0	0	0	-1	-1	-1	75	0	0	0	-1	0	0	0	-1	-1	-1	-1
24	雷纳堡边境剧情副本3	2	0	0	0	-1	0	0	0	-1	-1	76	77	0	0	0	24	0	0	0	-1	-1	-1	78	0	0	0	-1	0	0	0	-1	-1	-1	-1
25	亡灵冰塔剧情副本1	3	0	0	0	-1	25.22	70.51	0	87	-1	-1	-1	0	0	0	26	11.8	60.21	0	89	-1	-1	-1	0	0	0	27	0	0	0	-1	-1	-1	79
26	亡灵冰塔剧情副本2	2	0	0	0	-1	0	0	0	-1	-1	80	81	0	0	0	28	0	0	0	-1	-1	-1	82	0	0	0	-1	0	0	0	-1	-1	-1	-1
27	亡灵冰塔剧情副本3	2	0	0	0	-1	0	0	0	92	-1	-1	-1	0	0	0	29	0	0	0	-1	-1	83	84	0	0	0	-1	0	0	0	-1	-1	-1	-1
28	副本8-1	3	0	0	0	-1	0	0	0	-1	-1	95	-1	0	0	0	31	0	0	0	-1	-1	-1	-1	0	0	0	31	0	0	0	-1	-1	-1	96
29	副本8-2	3	0	0	0	-1	0	0	0	-1	-1	97	-1	0	0	0	32	0	0	0	-1	-1	-1	-1	0	0	0	32	0	0	0	-1	-1	-1	98
30	副本8-3	3	0	0	0	-1	0	0	0	-1	-1	99	-1	0	0	0	33	0	0	0	-1	-1	-1	-1	0	0	0	33	0	0	0	-1	-1	-1	100
31	副本8-4	3	0	0	0	-1	0	0	0	-1	-1	101	-1	0	0	0	34	0	0	0	-1	-1	-1	-1	0	0	0	34	0	0	0	-1	-1	-1	102
