Id	Desc	Stamina	level	Battle	Number	StartTime	EndTime	Exp	PetExp	Money	GuidContribute	MasterContribute	Score1	RewardID1	Score2	RewardID2	Score3	RewardID3	Score4	RewardID4	Score5	RewardID5	SweepRewardID	ScoreCalcID	ExistTime	Buyback1	Buyback2
20	冰冻墓地单人挑战规则	0	65	199800	3	-1	-1	80000	26600	23780	0	0	100	302	85	303	70	304	50	305	1	306	9	24	600	10	50
21	冰冻墓地组队简单规则	0	15	7200	2	-1	-1	8750	2900	2130	1	1	100	302	85	303	70	304	50	305	1	306	0	25	600	20	100
22	冰冻墓地组队困难规则	0	40	47400	2	-1	-1	35000	11600	10630	1	1	100	302	85	303	70	304	50	305	1	306	0	26	600	20	100
23	冰冻墓地组队挑战规则	0	65	199800	2	-1	-1	140000	46600	39630	1	1	100	302	85	303	70	304	50	305	1	306	0	27	600	20	100
24	混沌之地单人	0	29	15000	5	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	360	10	50
25	遗忘废墟	0	70	238100	2	-1	-1	-1	-1	-1	3	2	100	302	85	303	70	304	50	305	1	306	0	34	900	80	400
26	遗忘废墟	0	80	349300	2	-1	-1	-1	-1	-1	3	2	100	302	85	303	70	304	50	305	1	306	0	35	900	80	400
27	遗忘废墟	0	90	506200	2	-1	-1	-1	-1	-1	3	2	100	302	85	303	70	304	50	305	1	306	0	36	900	80	400
28	废弃城市	0	44	56400	2	-1	-1	10000	3300	1280	0	0	100	302	85	303	70	304	50	305	1	306	10	19	600	10	50
29	废弃城市	0	64	188400	2	-1	-1	50000	16600	6380	0	0	100	302	85	303	70	304	50	305	1	306	11	20	600	10	50
30	废弃城市	0	85	399400	2	-1	-1	200000	66600	23780	0	0	100	302	85	303	70	304	50	305	1	306	12	21	600	10	50
31	恶人洞	0	42	49000	-1	-1	-1	-1	-1	-1	1	1	100	302	85	303	70	304	50	305	1	306	0	28	600	-1	-1
32	精英恶人洞	0	42	49000	-1	-1	-1	-1	-1	-1	1	1	100	302	85	303	70	304	50	305	1	306	0	29	600	-1	-1
33	年兽巢穴组队挑战规则	0	100	750800	99	-1	-1	-1	-1	-1	1	1	100	302	85	303	70	304	50	305	1	306	0	30	600	-1	-1
34	守卫雁门关组队普通规则	0	80	349300	2	-1	-1	-1	-1	-1	3	2	100	302	85	303	70	304	50	305	1	306	0	31	900	80	400
35	守卫雁门关组队困难规则	0	90	506200	2	-1	-1	-1	-1	-1	3	2	100	302	85	303	70	304	50	305	1	306	0	32	900	80	400
36	守卫雁门关组队挑战规则	0	100	750800	2	-1	-1	-1	-1	-1	3	2	100	302	85	303	70	304	50	305	1	306	0	33	900	80	400
37	混沌之地组队	0	25	12800	2	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	360	10	50
