Id	Desc	TargetPosX	TargetPosY	TargetPosZ	TargetPosRadius	CameraMove	DialogType	SpeakerID	SpriteName	Story	NextPageTime	SendMsgOnOver	PauseOnOver
26	任务39	85.1	0	38.7	2	0	0	-1	MainPlayer	[f8fb04]派特太太[b4ffd1]跟我说很久没见到她的孙女了让我替她问候下，她……您的女儿，现在在哪儿？	5	0	0
						0	0	14	Sekesasi	她……失踪了……是第一个失踪的孩子……（痛苦）	5	0	0
						0	0	-1	MainPlayer	抱歉……但是我一定会帮你找到你女儿的！这件事，请允许我报告莉莉丝大人。	5	0	0
27	任务40	85.1	0	38.7	2	0	0	-1	MainPlayer	抱歉瑟克萨斯先生，我一定会帮你找到你女儿的！	5	0	0
								14	Sekesasi	嗯……	5	0	0
								-1	MainPlayer	啊对了！我得赶快回去找莉莉丝大人报告！	5	0	0
28	任务41	85.1	0	38.7	2	0	0	14	Sekesasi	看你这么着急，那我把这个滑板送给你吧，这样能加快你的速度。	5	0	0
29	任务42	8.2	0	21.2	2	0	0	-1	MainPlayer	莉莉丝大人，请让我变得更强大吧！	5	0	0
						0	0	12	Lilith	哎？发生了什么？	5	0	0
								-1	MainPlayer	瑟克萨斯的女儿也是失踪的孩子中的一个，我一定要抓住凶手！	5	0	0
30	任务61	28.9	0	60.7	2	0	0	-1	MainPlayer	难道说这次的事件跟这个部件有关系？	5	0	0
								32	ALiAoNaiEr	有可能哦~这样的部件肯定不止一个！如果是在这里的机器人上发现的，那么……	5	0	0
								-1	MainPlayer	你是说这里剩下的机器人也会有这个部件？	5	0	0
31	任务62	28.9	0	60.7	2	0	0	32	ALiAoNaiEr	我会告诉你仓库在哪里，剩下的就交给你了~	5	0	0
32	任务46	8.2	0	21.2	2	0	0	-1	MainPlayer	这怎么可能！那她还能在哪儿？！	5	0	0
33	任务47废弃	85.1	0	38.7	2	0	0	12	Lilith	先别管这个了，周边的土著开始攻击城镇了！贝因正在城镇入口处防守，你快去帮他吧！	5	0	0
34	任务49	85.1	0	38.7	2	0	0	-1	MainPlayer	瑟克萨斯先生，我……我和莉莉丝大人解救了孩子们，但是……里面并没有你的女儿……	5	0	0
						0	0	14	Sekesasi	等等！……你是……从谁那里解救的？	5	0	0
						0	0	-1	MainPlayer	一个狰狞的怪物，不过你放心，我已经把它杀死了，它不会再危害其他孩子了。	5	0	0
35	任务63	28.9	0	60.7	2	0	0	-1	MainPlayer	[f8fb04]黑伊尔[b4ffd1]？那是谁？	5	0	0
								32	ALiAoNaiEr	是机械研究所的老前辈啦，不管是魔法还是机械方面都很有建树，同时还是我的老师呢~	5	0	0
								-1	MainPlayer	你说很久不见……有多久？	5	0	0
36	任务64	28.9	0	60.7	2	0	0	32	ALiAoNaiEr	想起来我也很担心黑伊尔老师的现状，能麻烦你去机械研究所里面看下情况吗？	5	0	0
37	任务66	11.4	0	82.8	2	0	0	-1	MainPlayer	嗓门好大……	5	0	0
						0	0	33	HeiYiEr	我只是尝试用魔法的力量来使机器人拥有更高的智能罢了！	5	0	0
						0	0	-1	MainPlayer	可是……为什么要这么做？	5	0	0
38	任务67	11.4	0	82.8	2	0	0	33	HeiYiEr	这件事情我必须向上面报告！小朋友，陪我去[f8fb04]勒克斯港[b4ffd1]报告这件事情吧！	5	0	0
39	任务70	12.08	16.10297	33.57	2	0	0	-1	MainPlayer	是啊……你不是暮色雨林的烹饪师嘛？	5	0	0
40	任务71	35.43	15.8635	8.01	2	0	0	-1	MainPlayer	是啊……你不是暮色雨林的烹饪师嘛？	5	0	0
41	任务72	57.48	20.90073	27.68	2	0	0	-1	MainPlayer	什么事情会比追踪艾莉娜更重要？	5	0	0
						0	0	36	HuoMuSi	之前收到了在黄昏湖畔的研究员的联络，他希望能有人去那边帮助他的实验，这里人手不足，能请你替我去那边么？	5	0	0
						0	0	-1	MainPlayer	相比之下我更想去追踪[f8fb04]艾莉娜[b4ffd1]……	5	0	0
42	任务78	9.8	0	23	2	0	0	-1	MainPlayer	【替代对话】此处为新手引导教学，新增功能待实现。	5	0	0
43	任务85	38.8	0	50.2	2	0	0	-1	MainPlayer	我当然相信你不是可疑人物……但是你真的不是什么传说中的水管工出来打败怪物拯救公主的么……	5	0	0
								41	Fread	当然不是！！我追着伙伴的步伐终于找到了这里！但是还没找到我的伙伴们！	5	0	0
44	任务89	23.9	0	40.3	2	0	0	-1	MainPlayer	最近发生了什么变化么？	5	0	0
						0	0	39	Lilith	你也看到了，兽人们变的狂暴了，这里的也是，很多兽人会袭击路人呢。	5	0	0
						0	0	-1	MainPlayer	难不成[f8fb04]弗里德[b4ffd1]的同伴被兽人们袭击了？	5	0	0
45	任务92	29.9	0	56.2	2	0	0	-1	MainPlayer	一行四人？你在找的是不是叫[f8fb04]弗里德[b4ffd1]？他就在这条路的前面。	5	0	0
						0	0	42	Lin	这个傻瓜……我去找他	5	0	0
						0	0	-1	MainPlayer	我也得回去报告[f8fb04]莉莉丝[b4ffd1]大人这件事情。	5	0	0
46	任务94	23.9	0	40.3	2	0	0	-1	MainPlayer	啊？这是为什么？	5	0	0
						0	0	39	Lilith	你想啊，正常人谁敢来兽人的领地旅行，而且那个叫[f8fb04]琳[b4ffd1]的不是也不敢出现嘛~	5	0	0
						0	0	-1	MainPlayer	这……未免有点牵强吧	5	0	0
47	任务95	23.9	0	40.3	2	0	0	-1	MainPlayer	啊？发生了什么？	5	0	0
						0	0	39	Lilith	我也不知道，我现在没办法使用大量的魔力，魔法威力也下降了很多。真是倒霉呢。	5	0	0
						0	0	-1	MainPlayer	对这种现象你有什么推测嘛？	5	0	0
48	任务99	29.9	0	56.2	2	0	0	-1	MainPlayer	什么消息？	5	0	0
						0	0	42	Lin	我的伙伴传来了一个消息，兽人军队已经就要准备完毕了。	5	0	0
						0	0	-1	MainPlayer	什么？！那就得赶紧过去了，我得先去报告莉莉丝大人！	5	0	0
49	任务101	23.9	0	40.3	2	0	0	-1	MainPlayer	当然可以，只不过它已经损坏了……	5	0	0
						0	0	-1	MainPlayer	不我没有去调查遗迹……	5	0	0
						0	0	39	Lilith	哎为什么？发生什么了吗？	5	0	0
						0	0	-1	MainPlayer	刚才听琳说兽人已经基本准备完毕了，我准备去问问。			
50	任务104	43.3	0	43.8	2	0	0	-1	MainPlayer	之前在调查遗迹的时候发现了这个损坏了的古代机械，她说你可能会知道怎么修理。	5	0	0
						0	0	52	Pellant	机械部件？能拿过来给我看看吗？	5	0	0
51	任务105	43.3	0	43.8	2	0	0	-1	MainPlayer	土著祭祀！？我们和兽人之间不是应该语言不通吗？	5	0	0
52	任务107	34.2	0	43.5	2	0	0	-1	MainPlayer	这里究竟发生了什么？	5	0	0
						0	0	53	TuZhuJiSi	吼……我也不清楚，自从前几天族人喝了湖里的水之后，大家都变得狂躁了。	5	0	0
						0	0	-1	MainPlayer	湖里的水？我记得基因研究院的人们在研究这里的水质啊。	5	0	0
53	任务108	34.2	0	43.5	2	0	0	-1	MainPlayer	什么！那可真糟糕！有什么我可以做的吗？	5	0	0
54	任务111	28.3	0	43.2	2	0	0	-1	MainPlayer	刚才从一个兽人那里听说了兽人要去进攻勒克斯港。	5	0	0
55	任务114	28.3	0	43.2	2	0	0	-1	MainPlayer	是嘛！那太好了！	5	0	0
56	任务117	39	0	39.6	2	0	0	-1	MainPlayer	以兽人的智商，怎么可能集结成这样的军队！	5	0	0
57	任务120	39	0	39.6	2	0	0	-1	MainPlayer	这个修尔克，是你的熟人吗？	5	0	0
						0	0	55	Lin	是曾经盗贼协会的伙伴……我本以为他死了……居然还活着……	5	0	0
58	任务124	11.4	0	19.2	2	0	0	-1	MainPlayer	可是这样一来，兽人们就会加紧进攻的脚步了，也会加紧盘查了。	5	0	0
						0	0	60	Pellant	往好的方面想，前锋已经被我们消灭了，而且我们已经顺利的到达黄昏要塞了。	5	0	0
						0	0	-1	MainPlayer	嗯……可是真的银木先生呢？要怎么办？	5	0	0
59	任务125	11.4	0	19.2	2	0	0	-1	MainPlayer	哎？这个怎么说？	5	0	0
						0	0	60	Pellant	因为直到我们分散前他是没有机会做这种事情的，这个我敢保证	5	0	0
						0	0	-1	MainPlayer	难道这次的事情不只有[f8fb04]修尔克[b4ffd1]参与……还有别的人？！	5	0	0
60	任务128	11.8	0	12.7	2	0	0	-1	MainPlayer	你喝了这里的水了吗？	2	0	0
61	任务130	12.8	0	31.7	2	0	0	-1	MainPlayer	这种时候还要节外生枝吗……下水管对你的吸引力就这么大么……	5	0	0
								62	Fread	对啊……不对！这么不知变通就跟琳一样了啊！你想想，万一有什么隐藏金币的，不就赚了吗！	5	0	0
								-1	MainPlayer	可是……那边的好像是……僵尸？	5	0	0
62	任务132	12.8	0	31.7	2	0	0	-1	MainPlayer	但是这里的遗迹为什么会有这种东西？	5	0	0
								62	Fread	我哪知道？一般只有血色冰封才会有僵尸，这个地方出现了还真是稀奇。	5	0	0
								62	Fread	算了，话归正题，来探讨下兽人的事情吧。	5	0	0
								-1	MainPlayer	早该如此……	5	0	0
63	任务135	30.8	0	19.3	2	0	0	-1	MainPlayer	不妙？	5	0	0
64	任务139	9.8	0	50	2	0	0	-1	MainPlayer	这么说，你和这次的事件没有关系了？	5	0	0
								64	PiYaSuoLa	哼！能有什么关系！我对这个事情一概不知！	5	0	0
								-1	MainPlayer	但是[f8fb04]皮亚索拉[b4ffd1]先生，你是怎么自己来到兽人大营的？	5	0	0
65	任务142	10	0	56.9	2	0	0	-1	MainPlayer	那假如我没打过那些巨魔呢？	5	0	0
								65	AerDeBaLan	那个时候我自然会出手。虽然以你的实力并不会不敌。	5	0	0
								-1	MainPlayer	怎么感觉被耍了啊……	5	0	0
66	任务144	10	0	56.9	2	0	0	-1	MainPlayer	这……这不是我之前放到湖里的机器人？！	5	0	0
								65	AerDeBaLan	但是我觉得这就是这个时间的罪魁祸首，你应该是无辜的。如果我没猜错，这个应该是基因研究会让你这么做的吧。	5	0	0
								-1	MainPlayer	准确的说是皮亚索拉先生，但是是我亲手放到水里的，我也有责任。	5	0	0
67	任务145	10	0	56.9	2	0	0	-1	MainPlayer	那艾莉娜博士……你为什么会冒着危险到这里啊……	5	0	0
								172	AiLiNa	唔……还不是[f8fb04]阿里奥奈尔[b4ffd1]那孩子，刚才看到他被一个巨大的身影带走了……	5	0	0
								-1	MainPlayer	巨大的身影？！难道是这次事件的幕后黑手？！不过艾莉娜博士你放心吧，基因研究所已经派[f8fb04]马修斯[b4ffd1]博士来支援了！	5	0	0
68	任务146	10	0	56.9	2	0	0	-1	MainPlayer	哎？是什么？	5	0	0
						0	0	65	AerDeBaLan	这里的黄昏要塞，应该已经失去机能了，是谁入侵了把它激活的呢？	5	0	0
						0	0	-1	MainPlayer	呃……之前好像是佩特伦他们好像被误导进去过……	5	0	0
69	任务148	12.2	0	53.5	2	0	0	-1	MainPlayer	嗯，在兽人大营里我发现了[f8fb04]皮亚索拉[b4ffd1]先生，我怀疑这一切都是他捣的鬼，但是没有明确的证据……	5	0	0
						0	0	66	Lilith	基因研究会啊……可惜并不在我的管辖之内呢~而且这个事件还没有结束哦~	5	0	0
						0	0	-1	MainPlayer	什么！？难道异变还在继续？	5	0	0
70	任务152	12.2	0	53.5	2	0	0	-1	MainPlayer	居然现在才想起来……可真是往后延了好久啊……	5	0	0
								66	Lilith	哎呀~你也知道我记性不好嘛~刚才魔力恢复了，我感受到这附近还有另一个闲着的存在哦~	5	0	0
								-1	MainPlayer	另一个贤者？是谁？	5	0	0
71	帮会-掌门问候	12.08	-1	33.57	2	0	0	-1	MainPlayer	帮内兄弟让我来问候王姑娘。	5	0	0
						0	0	218	wangyuyan	贵帮太客气了，谢谢一直惦记。	5	0	0
72	帮会-掌门问候	54	-1	32	2	0	0	-1	MainPlayer	多日不见，帮内兄弟老是提起您，让我来来看看你。	5	0	0
						0	0	8	QiaoFeng	乔峰何德何能让各位记挂，在此谢过。	5	0	0
73	帮会-掌门问候	60.76	-1	51.64	2	0	0	-1	MainPlayer	帮内兄弟让我问候你，有空要常走动啊。	5	0	0
						0	0	200	abi	一定去，贵帮真是重情义。	5	0	0
74	cabal1_【开场】小怪嚣张	-1	-1	-1	-1	0	1	1079	head-monster01	时空裂痕开启在即！杀！	2	0	0
75	cabal2_【开场】BOSS出场	71.49	58.42	64.44	-1	1	0	1080	PingPangWuYaoWang	渺小的种族……千年前因为瓦伦汀的阻挠你们才能苟延残喘。不过到此为止了！时空裂痕一开便是你们的死期。	5	0	0
76	cabal4_【开场】玩家独白	-1	-1	-1	-1	0	0	-1	abi	他们要摧毁时空稳定器制造地狱与现世联接的时空裂痕毁灭人类！我必须阻止他们的邪恶计划！	5	0	0
77	cabal8_【开场】BOSS挑衅	22	56.5	57	-1	1	0	1080	PingPangWuYaoWang	阻碍计划者，死！	5	0	0
78	cabal9_【开场】玩家自傲	-1	-1	-1	-1	0	0	-1	abi	你妄图摧毁时空稳定器召出恶魔军团？有我在这里你就休想！	5	0	0
79	cabal10_【开场】BOSS嘲讽	22	56.5	57	-1	1	0	1080	PingPangWuYaoWang	你如此孱弱无力也妄想阻止我？异想天开！	5	0	0
80	cabal3_【开场】BOSS炸车	-1	-1	-1	-1	0	0	1080	PingPangWuYaoWang	渺小的种族……千年前因为瓦伦汀的阻挠你们才能苟延残喘。不过到此为止了！时空裂痕一开便是你们的死期。	5	0	0
						0	0	1080	PingPangWuYaoWang	时机已到，我们的时代即将到来！你这种蝼蚁还是随列车一起葬身于此吧，我没有兴趣和蝼蚁浪费时间！	5	0	0
81	cabal5_【开场】小怪阻挠1	43	56.5	13	1079	0	1	1079	head-monster01	不能让他破坏计划！	2	0	0
82	cabal6_【开场】小怪阻挠2	31	56.5	22	1079	0	1	1079	head-monster01	阻止他前往时空稳定器！	2	0	0
83	cabal7_【开场】玩家阻挠	-1	-1	-1	-1	0	0	-1	abi	休想破坏时空稳定器！	5	0	0
84	cabal11_【开场】进沙漠后BOSS挑衅	-1	-1	-1	-1	0	0	1080	PingPangWuYaoWang	保护着你们人类的屏障——“方舟”就此便要摧毁了！人类的灭亡也不过是时间的问题！	5	0	0
10001	任务1	42.26514	22	22.56848	2	0	0	6	BeiYin	$R醒了？你刚苏醒不要这么着急动，会很不舒服的！	5	0	0
						0	0	-1	MainPlayer	"可是""方舟"",保护着咱们不受邪恶力量侵蚀，不被外界魔物骚扰的""方舟""被摧毁了！"	5	0	0
						0	0	6	BeiYin	你不要惊慌，这件事情贤者[f8fb04]乔安娜[b4ffd1]大人已经告知我们了，而你就是她救回来的。不要懊悔，你已经做得很好了！	5	0	0
						0	0	-1	MainPlayer	可是我仍然没有阻止这一切发生……	5	0	0
						0	0	6	BeiYin	不要诅丧，$R我们还有伟大的贤者们，他们一定能守护我们的。	5	0	0
85	暮色雨林副本1对话1	-1	-1	-1	-1	0	0	-1	MainPlayer	糟糕！居然被这些家伙埋伏了！这下糟糕了！	5	0	0
								-1	MainPlayer	再这样下去会被打败的！可恶！如果我还有以前的力量的话……	5	0	0
								-1	MainPlayer	不！不能就这么放弃！	5	0	0
86	暮色雨林副本1对话2	-1	-1	-1	-1	0	0	-1	MainPlayer	呼……看起来结束了，幸好在关键时刻找到了一点之前的力量。	5	0	0
						0	0	-1	MainPlayer	只不过距离完全恢复还差得远……我还要继续努力！	5	0	0
87	暮色雨林副本1对话3	-1	-1	-1	-1	0	0	-1	MainPlayer	哎？这是什么？莫非是她的力量的源泉？	5	0	0
								-1	MainPlayer	不过这里也没看到失踪的孩子们啊……看起来她与这个事件无关啊……	5	0	0
								-1	MainPlayer	发展的时候毁灭了她们的家园啊……这些事情还真是……无可奈何啊……总之还是先回去吧。	5	0	0
88	临时对话	0	0	0	2	0	0	-1	MainPlayer	【替代对话】此处为新手引导教学，新增功能待实现。	5	0	0
89	黄昏边境剧情副本1对话1	-1	-1	-1	-1	0	0	-1	MainPlayer	我一定要找到失踪的孩子们！	5	0	0
90	黄昏边境剧情副本1对话2	-1	-1	-1	-1	0	0	26	NvWangFeng	就是你破坏了我的计划？还杀掉了我的子民？	5	0	0
								-1	MainPlayer	计划？难道攻击城镇是你计划的？！	5	0	0
								26	NvWangFeng	正是！你们人类肆意破坏我们的家园！却从没想过我们的处境！现在让你们也来体会这种痛苦吧！	5	0	0
91	黄昏边境剧情副本1对话3	-1	-1	-1	-1	0	0	-1	MainPlayer	奇怪，这里没有失踪的孩子们啊	5	0	0
								-1	MainPlayer	算了，总之还是回去找贤者莉莉丝问一下吧。	5	0	0
92	黄昏边境剧情副本2对话1	-1	-1	-1	-1	0	0	29	ChiYanMoYing	这是要来破坏我的仪式吗……那我只能让你有来无回了！	5	0	0
93	黄昏边境剧情副本2对话2	-1	-1	-1	-1	0	0	29	ChiYanMoYing	虽然被你破坏了仪式，但是你一定会后悔的，那再会了~	5	0	0
94	黄昏边境剧情副本3对话1	-1	-1	-1	-1	0	0	-1	MainPlayer	瑟克萨斯先生……	5	0	0
								30	SeKeSaSi	我的女儿……	5	0	0
								-1	MainPlayer	瑟克萨斯别担心，我会救回你的女儿的，这里危……	5	0	0
								30	SeKeSaSi	你杀死了我的女儿！我要你在这里为她偿命！！！	5	0	0
95	黄昏边境剧情副本3对话2	-1	-1	-1	-1	0	0	30	SeKeSaSi	女儿！我的女儿！是你吗！	5	0	0
								85	YouLingNvHai	爸爸很抱歉……我做了对不起大家的事情	5	0	0
								30	SeKeSaSi	不！这一切都是我的错！	5	0	0
								30	SeKeSaSi	如果不是我，你就不会受到诅咒，也不会因为我和恶魔做出交易把你变成这个样子……	5	0	0
								30	SeKeSaSi	这个噩梦，今天终于结束了……我的女儿……你以后不会再受苦了……	5	0	0
								85	YouLingNvHai	谢谢$N让我们得到解脱，真的很感谢，祝愿你最终能够达成你的梦想。	5	0	0
96	黄昏边境剧情副本3对话3	-1	-1	-1	-1	0	0	48	Lilith	想不到最后结果居然是这样，可惜和恶魔做了交易的灵魂没办法解放……	5	0	0
								-1	MainPlayer	是我太弱小了……没能力拯救他们……	5	0	0
								48	Lilith	但是你救了那些孩子们，有时候就是这样，我们不能拯救所有人。	5	0	0
								-1	MainPlayer	……那瑟克萨斯先生怎么办？	5	0	0
								48	Lilith	我来看看吧，或许能找到办法呢~	5	0	0
97	黄昏边境剧情副本4对话1	-1	-1	-1	-1	0	1	-1	MainPlayer	这里的机械居然也……	2	0	0
98	黄昏边境剧情副本4对话2	-1	-1	-1	-1	0	0	-1	MainPlayer	这是……那帮家伙居然作出了这样的东西！	5	0	0
99	黄昏要塞剧情副本1对话1	-1	-1	-1	-1	0	1	-1	MainPlayer	这里居然有这么多僵尸！	2	0	0
100	黄昏要塞剧情副本1对话2	-1	-1	-1	-1	0	0	-1	MainPlayer	这里的遗迹里居然有这种东西，真危险……	5	0	0
								-1	MainPlayer	不过看起来这边的异变很不简单，我得加快脚步了。	5	0	0
101	黄昏要塞剧情副本2对话1	-1	-1	-1	-1	0	1	-1	MainPlayer	这就是最后进攻的时刻！	2	0	0
102	黄昏要塞剧情副本2对话2	-1	-1	-1	-1	0	0	-1	MainPlayer	那就是这群兽人的首领了！干掉他结束这场闹剧吧！	5	0	0
103	黄昏要塞剧情副本2对话3	-1	-1	-1	-1	0	0	-1	MainPlayer	呼……呼……这下终于结束了！	5	0	0
104	黄昏要塞剧情副本2对话4	-1	-1	-1	-1	0	0	-1	MainPlayer	哎！你不是……皮亚索拉先生吗！	5	0	0
105	黄昏要塞剧情副本3对话1	-1	-1	-1	-1	0	0	-1	MainPlayer	阿尔得巴兰大人！这里有巨魔来袭击了！快想想办法啊！	5	0	0
								65	AerDeBaLan	哎……这里好像……（阿尔得巴兰没有理会你）	5	0	0
								-1	MainPlayer	怎么这样……看来只有靠我来搏一下了！	5	0	0
106	黄昏要塞剧情副本3对话2	-1	-1	-1	-1	0	1	-1	MainPlayer	一定要保护好巴兰大人！	2	0	0
107	黄昏要塞剧情副本3对话3	-1	-1	-1	-1	0	0	65	AerDeBaLan	看起来解决了啊，你和我想的一样可靠。	5	0	0
								-1	MainPlayer	啊？阿尔得巴兰大人你不是……	5	0	0
108	【主】混沌之地	8.2	0	21.2	2	0	0	12	Lilith	临时对话，内容无视	5	0	0
109	【主】再探混沌	8.2	0	21.2	2	0	0	12	Lilith	临时对话，内容无视	5	0	0
110	【主】状况不明	25.15	2.42	47.11	2	0	0	-1	MainPlayer	也就是说现在这边的研究所里一定发生了什么异常的事情？	5	0	0
