Id	Desc	ScriptID	MissionID	ClientStoryID
123	黄昏要塞剧情副本3对话1	-1	-1	105
124	黄昏要塞剧情副本3对话2	-1	-1	106
125	黄昏要塞剧情副本3对话3	-1	-1	107
126	【主】混沌之地	-1	327	108
127	【主】再探混沌	-1	328	109
128	【主】僵尸围城	-1	162	114
129	【主】大门紧闭	-1	163	115
130	【主】秘密研究	-1	164	116
131	挥之不去对话1	-1	-1	117
132	挥之不去对话2	-1	-1	118
133	试水嘲讽1	-1	-1	119
134	试水嘲讽2	-1	-1	120
135	试水嘲讽3	-1	-1	121
136	再试鼓励1	-1	-1	122
137	再试鼓励2	-1	-1	123
138	再试鼓励3	-1	-1	124
139	真相大白对话1	-1	-1	125
140	真相大白对话2	-1	-1	126
141	真相大白对话3	-1	-1	127
142	异次元之门介绍1	-1	-1	128
143	异次元之门介绍2	-1	-1	129
144	异次元之门介绍3	-1	-1	130
145	异次元之门介绍4	-1	-1	131
146	异次元之门介绍5	-1	-1	132
147	异次元之门介绍6	-1	-1	133
148	【主】报告	-1	166	134
149	【主】提前出发	-1	170	135
150	良师益友	-1	168	42
151	科技苑	-1	167	42
152	中伏	-1	173	42
153	幕后有人	-1	174	136
154	远古宝藏	-1	175	42
155	壮硕博士	-1	177	137
156	幕后黑手	-1	20	42
157	事情处理	-1	181	138
158	回报组织	-1	77	139
159	少女潜力	-1	184	140
160	临时对话	-1	185	42
161	攻击计划	-1	186	141
162	临时对话	-1	187	42
163	质疑	-1	189	142
164	修尔克	-1	190	143
165	临时对话	-1	195	42
166	沉默不语	-1	196	144
167	遗忘废墟探查任务3	-1	-1	145
168	雷纳堡对话1	3003	-1	146
169	雷纳堡对话2	3003	-1	147
170	雷纳堡对话3	3003	-1	148
171	雷纳堡对话4	3003	-1	149
172	雷纳堡对话5	3003	-1	150
173	亡灵冰塔探查任务对话	-1	-1	151
174	主城介绍1	-1	-1	152
175	主城介绍2	-1	-1	153
176	主城介绍3	-1	-1	154
177	主城介绍4	-1	-1	155
178	主城介绍5	-1	-1	156
179	血色冰封剧情副本1	-1	-1	157
180	血色冰封剧情副本1	-1	-1	158
181	血色冰封剧情副本1	-1	-1	159
182	血色冰封剧情副本1	-1	-1	160
183	血色冰封剧情副本2	-1	-1	161
184	血色冰封剧情副本2	-1	-1	162
185	血色冰封剧情副本3	-1	-1	163
186	血色冰封剧情副本3	-1	-1	164
187	血色冰封剧情副本3	-1	-1	165
188	血色冰封剧情副本3	-1	-1	166
189	黄昏湖畔剧情副本1	-1	-1	167
190	黄昏湖畔剧情副本1	-1	-1	168
191	黄昏湖畔剧情副本1	-1	-1	169
192	黄昏湖畔剧情副本1	-1	-1	170
193	黄昏湖畔剧情副本2	-1	-1	171
194	黄昏湖畔剧情副本2	-1	-1	172
195	黄昏湖畔剧情副本2	-1	-1	173
196	黄昏湖畔剧情副本2	-1	-1	174
197	黄昏湖畔剧情副本3	-1	-1	175
198	黄昏湖畔剧情副本3	-1	-1	176
199	黄昏之湖剧情副本1开场	-1	-1	177
200	黄昏之湖剧情副本1	-1	-1	178
201	黄昏之湖剧情副本2	-1	-1	179
202	黄昏之湖剧情副本3	-1	-1	180
203	黄昏之湖剧情副本3	-1	-1	181
204	黄昏之湖剧情副本3	-1	-1	182
205	黄昏之湖剧情副本3	-1	-1	183
206	【主】事情进展	-1	199	184
207	【主】已经离去	-1	202	185
208	【主】咨询详情	-1	205	186
209	【主】不慎中毒	-1	207	187
210	【主】巨大魔力	-1	210	188
211	【主】村落现状	-1	212	189
212	【主】意外之灾	-1	214	190
213	【主】触景生情	-1	221	191
214	【主】魔物追杀	-1	224	192
215	【主】疑惑	-1	227	193
216	【主】边缘现状	-1	229	194
217	【主】暗中观察	-1	232	195
218	【主】发现甚少	-1	234	196
219	护送	-1	235	88
220	不加责备	-1	236	197
221	护送	-1	240	198
222	机关林立	-1	242	199
223	神圣禁地	-1	244	200
224	记忆丧失	-1	246	201
225	关闭入口	-1	267	202
226	良心发现	-1	270	203
227	邪恶实验	-1	249	204
228	抓捕	-1	252	88
229	误打误撞	-1	254	205
230	追捕受阻	-1	256	206
231	机械被控	-1	259	207
232	疑惑	-1	261	208
233	进入理由	-1	263	209
234	守卫者	-1	265	88
235	交付任务	-1	273	210
236	记忆	-1	275	211
237	神话种	-1	277	88
238	亡灵冰塔	-1	278	212
239	继续追寻	-1	280	213
240	时过境迁	-1	282	214
241	冰塔现状	-1	284	215
242	近期突变	-1	288	216
243	魔力矿石	-1	290	217
244	新注魔力	-1	292	88
245	少女回忆	-1	294	218
246	复仇	-1	295	88
247	来龙去脉	-1	297	219
248	告诫	-1	299	220
249	秘密任务	-1	301	221
250	呼啸沙漠剧情副本1	-1	-1	222
251	呼啸沙漠剧情副本2小对话	-1	-1	223
252	呼啸沙漠剧情副本3入场1	-1	-1	224
253	呼啸沙漠剧情副本3入场2	-1	-1	225
254	呼啸沙漠剧情副本3结束	-1	-1	226
255	呼啸沙漠剧情副本4结束	-1	-1	227
256	雷纳堡边缘剧情副本1	-1	-1	228
257	雷纳堡边缘剧情副本1	-1	-1	229
258	雷纳堡边缘剧情副本1	-1	-1	230
259	雷纳堡边缘剧情副本2	-1	-1	231
260	雷纳堡边缘剧情副本2结束	-1	-1	232
261	雷纳堡边缘剧情副本2结尾2	-1	-1	233
262	雷纳堡剧情副本1开始	-1	-1	234
263	雷纳堡剧情副本1结尾	-1	-1	235
264	雷纳堡剧情副本2开始	-1	-1	236
265	雷纳堡剧情副本2结尾	-1	-1	237
266	雷纳堡剧情副本2结尾2	-1	-1	238
267	雷纳堡边缘剧情副本3开场	-1	-1	239
268	雷纳堡边缘剧情副本3第一阶段结束	-1	-1	240
269	雷纳堡边缘剧情副本3结束	-1	-1	241
270	血色冰封副本1结束	-1	-1	242
271	血色冰封副本2开场1	-1	-1	243
272	血色冰封副本2开场2	-1	-1	244
273	血色冰封副本2第二阶段	-1	-1	245
274	血色冰封副本2结束	-1	-1	246
275	血色冰封副本3第二阶段	-1	-1	247
276	血色冰封副本3结束	-1	-1	248
277	任务125	-1	125	59
278	任务311	-1	311	250
279	兽人祭司对话	-1	-1	251
280	探查异常对话1	-1	-1	252
281	探查异常对话2	-1	-1	253
282	巨猿军队	-1	-1	254
283	机械反叛	-1	-1	255
284	副本1瑟克萨斯对话	-1	-1	256
285	新手关新增对话	-1	-1	257
286	新手关新增对话：boss战前威胁	-1	-1	258
287	暮色雨林新增	-1	316	260
288	呼啸沙漠任务	-1	123	261
289	呼啸沙漠任务	-1	137	262
290	副本8-1第一段对话	-1	-1	263
291	副本8-1第二段对话	-1	-1	264
292	副本8-1第3段对话	-1	-1	265
293	副本8-1第4段对话	-1	-1	266
294	副本8-1第最后一段对话	-1	-1	267
295	副本8-1第一段对话	-1	-1	268
296	副本8-1第一段对话	-1	-1	269
297	副本8-1第一段对话	-1	-1	270
298	副本8-1第一段对话	-1	-1	271
299	副本8-1第一段对话	-1	-1	272
300	副本8-1第一段对话	-1	-1	273
301	副本8-1第一段对话	-1	-1	274
302	副本8-1第一段对话	-1	-1	275
303	副本8-1第一段对话	-1	-1	276
304	副本8-1第一段对话	-1	-1	277
