Id	Desc	MaxAttrNum	InitSkillExId	MaxSkillLev	AttrRandIndex	ShenQiEffctId	ShenQiRefixPer	CoinCostMoney	CoinCostItemId	CoinCostItemNum	CoinCostQualityIndex	YBCostMoney	YBCostItemId	YBCostItemNum	YBCostQualityIndex	ExpCostNum	ExpCostItemId	ExpCostItemNum	ExpCostQualityIndex	LockNeedItemId	LockNeedItemNum	AttrMaxValue1	AttrMaxValue2	AttrMaxValue3	AttrMaxValue4	AttrMaxValue5	AttrMaxValue6	AttrMaxValue7	AttrMaxValue8	AttrMaxValue9	AttrMaxValue10	AttrMaxValue11	AttrMaxValue12	AttrMaxValue13	AttrMaxValue14	AttrMaxValue15	AttrMaxValue16	AttrMaxValue17
59270	职业神器大理武器(70)	3	30901	10	14	258	0.0833	5000	-1	-1	5	5	-1	-1	18	300000	-1	-1	4	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59271	职业神器大理武器(80)	3	30901	10	15	259	0.1666	5000	-1	-1	8	5	-1	-1	27	300000	-1	-1	7	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59272	职业神器大理武器(90)	3	30901	10	16	260	0.25	5000	-1	-1	11	5	-1	-1	36	300000	-1	-1	10	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59274	Vip神器少林武器(90)	3	10901	10	17	248	0.25	5000	-1	-1	14	5	-1	-1	45	300000	-1	-1	13	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59275	Vip神器天山武器(90)	3	20901	10	18	252	0.25	5000	-1	-1	14	5	-1	-1	45	300000	-1	-1	13	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59276	Vip神器逍遥武器(90)	3	40901	10	19	256	0.25	5000	-1	-1	14	5	-1	-1	45	300000	-1	-1	13	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59277	Vip神器大理武器(90)	3	30901	10	20	260	0.25	5000	-1	-1	14	5	-1	-1	45	300000	-1	-1	13	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59258	职业神器少林武器(100)	3	10901	10	21	303	0.25	5000	-1	-1	14	5	-1	-1	45	300000	-1	-1	13	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59263	职业神器天山武器(100)	3	20901	10	22	304	0.25	5000	-1	-1	14	5	-1	-1	45	300000	-1	-1	13	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59268	职业神器逍遥武器(100)	3	40901	10	23	305	0.25	5000	-1	-1	14	5	-1	-1	45	300000	-1	-1	13	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
59273	职业神器大理武器(100)	3	30901	10	24	306	0.25	5000	-1	-1	14	5	-1	-1	45	300000	-1	-1	13	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
68105	神器丐帮武器(65)	3	901	10	25	288	0.25	5000	-1	-1	14	5	-1	-1	45	300000	-1	-1	13	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
68106	神器丐帮武器(75)	3	901	10	26	289	0.25	5000	-1	-1	14	5	-1	-1	45	300000	-1	-1	13	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
68107	神器丐帮武器(85)	3	901	10	27	290	0.25	5000	-1	-1	14	5	-1	-1	45	300000	-1	-1	13	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
68108	神器丐帮武器(95)	3	901	10	28	291	0.25	5000	-1	-1	14	5	-1	-1	45	300000	-1	-1	13	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
68109	神器丐帮武器(100)	3	901	10	29	307	0.25	5000	-1	-1	14	5	-1	-1	45	300000	-1	-1	13	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
68110	神器丐帮武器(90)	3	901	10	30	291	0.25	5000	-1	-1	14	5	-1	-1	45	300000	-1	-1	13	59253	1	39448	0	0	2478	2478	1574	1574	756	756	648	648	791	791	1010	1010	0	0
