Id	Desc	Name	FullPathName	PanLevel	Volume	MinDistance	Spread	IsLoop	Delay	FadeInTime	FadeOutTime	CurMaxPlayingCount	Priority
67	少林技能-群攻	sk2qg_shaolin	Sounds/Skill/sk2qg_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
68	逍遥技能-群攻-祝融掌	sk2qg_xiaoyao	Sounds/Skill/sk2qg_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
69	大理技能-一阳指	sk2yyz_dali	Sounds/Skill/sk2yyz_dali	0.5	1	20	180	0	0	-1	-1	1	128
70	少林技能-罗汉棍	sk3dg_shaolin	Sounds/Skill/sk3dg_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
71	逍遥技能-单攻-北冥神功	sk3dg_xiaoyao	Sounds/Skill/sk3dg_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
72	大理技能-无所遁形	sk3wsdx_dali	Sounds/Skill/sk3wsdx_dali	0.5	1	20	180	0	0	-1	-1	1	128
73	天山技能-折梅手	sk3zms_tianshan	Sounds/Skill/sk3zms_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
74	少林技能-践踏	sk4cf_shaolin	Sounds/Skill/sk4cf_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
75	大理技能-六脉神剑	sk4lmsj_dali	Sounds/Skill/sk4lmsj_dali	0.5	1	20	180	0	0	-1	-1	1	128
76	少林技能-xpg第一段	sk4xpg1_shaolin	Sounds/Skill/sk4xpg1_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
77	逍遥技能-XP技1	sk4xpg1_xiaoyao	Sounds/Skill/sk4xpg1_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
78	少林技能-xpg第二段	sk4xpg2_shaolin	Sounds/Skill/sk4xpg2_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
79	逍遥技能-XP技2	sk4xpg2_xiaoyao	Sounds/Skill/sk4xpg2_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
80	少林技能-xpg第三段	sk4xpg3_shaolin	Sounds/Skill/sk4xpg3_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
81	逍遥技能-XP技3	sk4xpg3_xiaoyao	Sounds/Skill/sk4xpg3_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
82	逍遥技能-小无相功	sk4xwxg_xiaoyao	Sounds/Skill/sk4xwxg_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
83	天山技能-移花接木	sk4yh_tianshan	Sounds/Skill/sk4yh_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
84	逍遥技能-寒霜怒雪1	sk5hsnx1_xiaoyao	Sounds/Skill/sk5hsnx1_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
85	逍遥技能-寒霜怒雪2	sk5hsnx2_xiaoyao	Sounds/Skill/sk5hsnx2_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
86	天山技能-生死符	sk5ssf_tianshan	Sounds/Skill/sk5ssf_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
87	大理技能-XP1	sk5xp1_dali	Sounds/Skill/sk5xp1_dali	0.5	1	20	180	0	0	-1	-1	1	128
88	天山技能-XP技1	sk5xp1_tianshan	Sounds/Skill/sk5xp1_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
89	天山技能-XP技2	sk5xp2_tianshan	Sounds/Skill/sk5xp2_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
90	大理技能-XP3	sk5xp3_dali	Sounds/Skill/sk5xp3_dali	0.5	1	20	180	0	0	-1	-1	1	128
91	天山技能-XP技3	sk5xp3_tianshan	Sounds/Skill/sk5xp3_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
92	少林技能-瞬移攻击-迦叶功	sk5xy_shaolin	Sounds/Skill/sk5xy_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
93	少林技能-瞬移音效	sk5xy2_shaolin	Sounds/Skill/sk5xy2_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
94	逍遥技能-寒冰镜	sk6hbj_xiaoyao	Sounds/Skill/sk6hbj_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
95	少林技能-狮吼功	sk6shg_shaolin	Sounds/Skill/sk6shg_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
96	天山技能-雪花六出	sk6xhlc_tianshan	Sounds/Skill/sk6xhlc_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
97	大理技能-以退为进	sk6ytwj_dali	Sounds/Skill/sk6ytwj_dali	0.5	1	20	180	0	0	-1	-1	1	128
98	大理技能-画地为牢	sk7hdwl_dali	Sounds/Skill/sk7hdwl_dali	0.5	1	20	180	0	0	-1	-1	1	128
99	少林技能-金钟罩	sk7jzz_shaolin	Sounds/Skill/sk7jzz_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
100	逍遥技能-凌波微步1	sk7lbwb1_xiaoyao	Sounds/Skill/sk7lbwb1_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
101	天山技能-隐遁	sk7yd_tianshan	Sounds/Skill/sk7yd_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
102	大理技能-流星赶月	sk8lxgy_dali	Sounds/Skill/sk8lxgy_dali	0.5	1	20	180	0	0	-1	-1	1	128
103	主界面UI	ui_common_click	Sounds/UI/common_click	0.5	1	20	180	0	0	-1	-1	1	128
104	登陆界面左右旋转UI	ui_login_click	Sounds/UI/login_click	0.5	1	20	180	0	0	-1	-1	1	128
105	登陆界面进入游戏	ui_login_enter	Sounds/UI/login_enter	0.5	1	20	180	0	0	-1	-1	1	128
106	战斗力提醒弹出音效	upgrading	Sounds/UI/upgrading	0.5	1	20	180	0	0	-1	-1	1	128
107	雁门关外黑衣人对打	ymgw_hyr	Sounds/Common/ymgw_hyr	0.5	1	20	180	0	0	-1	-1	1	128
108	雁门关外轻功	ymgw_qg	Sounds/Common/ymgw_qg	0.5	1	20	180	0	0	-1	-1	1	128
109	监狱场景	scene_jianyu	Sounds/SceneBG/jianyu	0	0.5	10	180	1	0	0.5	0.5	1	128
110	购买宝石/玄铁/打星石	buy_gem	Sounds/UI/buy_gem	0.5	1	20	180	0	0	-1	-1	1	128
111	购买打造图/技能书	buy_paper	Sounds/UI/buy_paper	0.5	1	20	180	0	0	-1	-1	1	128
112	购买（药品商店）所有药品/（商城）XX丹	buy_drug	Sounds/UI/buy_drug	0.5	1	20	180	0	0	-1	-1	1	128
113	创建角色-少林	login_shaolin	Sounds/Skill/login_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
114	创建角色-天山	login_tianshan	Sounds/Skill/login_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
115	创建角色-大理	login_dali	Sounds/Skill/login_dali	0.5	1	20	180	0	0	-1	-1	1	128
116	创建角色-逍遥	login_xiaoyao	Sounds/Skill/login_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
117	开宝箱特效（抽伙伴、摇奖）	box	Sounds/UI/box	0.5	1	20	180	0	0	-1	-1	1	128
118	酒楼结账	check	Sounds/UI/check	0.5	1	20	180	0	0	-1	-1	1	128
119	虎头战船	scene_hutouzhanchuan	Sounds/SceneBG/hutouzhanchuan	0	0.5	10	180	1	0	0.5	0.5	1	128
120	狮子的脚步声	footsteps_shizi	Sounds/Common/footsteps_shizi	0.5	0.4	20	180	0	0	-1	-1	1	128
121	麒麟脚步声	footsteps_qilin	Sounds/Common/footsteps_qilin	0.5	0.4	20	180	0	0	-1	-1	1	128
122	马车脚步声	footsteps_mache	Sounds/Common/footsteps_mache	0.5	0.4	20	180	0	0	-1	-1	1	128
123	笨雕的脚步声	footsteps_bendiao	Sounds/Common/footsteps_bendiao	0.5	0.4	20	180	0	0	-1	-1	1	128
124	创建角色-少林2	login_shaolin2	Sounds/Skill/login_shaolin2	0.5	1	20	180	0	0	-1	-1	1	128
125	创建角色-天山2	login_tianshan2	Sounds/Skill/login_tianshan2	0.5	1	20	180	0	0	-1	-1	1	128
126	创建角色-大理2	login_dali2	Sounds/Skill/login_dali2	0.5	1	20	180	0	0	-1	-1	1	128
127	创建角色-逍遥2	login_xiaoyao2	Sounds/Skill/login_xiaoyao2	0.5	1	20	180	0	0	-1	-1	1	128
128	二级界面展开UI	open2	Sounds/UI/open2	0.5	0.6	20	180	0	0	-1	-1	1	128
129	摇钱树	cointree	Sounds/UI/cointree	0.5	1	20	180	0	0	-1	-1	1	128
130	抽奖转盘	lottery	Sounds/UI/lottery	0.5	1	20	180	0	0	-1	-1	1	128
131	开宝箱后分发卡牌	card	Sounds/UI/card	0.5	1	20	180	0	0	-1	-1	10	128
132	抽奖转盘(10连抽)	lottery10	Sounds/UI/lottery10	0.5	1	20	180	0	0	-1	-1	1	128
133	开宝箱后分发卡牌(高品质奖品)	card_best	Sounds/UI/card_best	0.5	1	20	180	0	0	-1	-1	10	128
134	酒楼制作这道菜按钮	serving	Sounds/UI/serving	0.5	1	20	180	0	0	-1	-1	10	128
135	伙伴抽取	yes	Sounds/UI/yes	0.5	0.7	20	180	0	0	-1	-1	10	128
136	日常任务完成	get_reward	Sounds/UI/get_reward	0.5	1	20	180	0	0	-1	-1	10	128
137	琅嬛福地场景	scene_lhfd	Sounds/SceneBG/lhfd	0	1	10	180	1	0	0.5	0.5	1	128
138	美人亲密	kiss	Sounds/UI/kiss	0.5	1	20	180	0	0	-1	-1	1	128
139	雁门关boss普攻	pg_mmr	Sounds/Skill/pg_mmr	0.5	1	20	180	0	0	-1	-1	1	128
140	雁门关boss技能	skill_mmr	Sounds/Skill/skill_mmr	0.5	1	20	180	0	0	-1	-1	1	128
141	技能升级	skill_levelup	Sounds/UI/skill_levelup	0.5	1	20	180	0	0	-1	-1	1	128
142	美人情缘	belle	Sounds/UI/belle	0.5	1	20	180	0	0	-1	-1	1	128
143	普通UI点击	tab_click	Sounds/UI/tab_click	0.5	1	20	180	0	0	-1	-1	1	128
144	装备	cloth	Sounds/UI/UI_ChangeEquip	0.5	0.9	20	180	0	0	-1	-1	1	128
145	二级界面展开UI	open1	Sounds/UI/open1	0.5	0.6	20	180	0	0	-1	-1	1	128
146	熊猫的脚步声	footsteps_xiongmao	Sounds/Common/footsteps_xiongmao	0.5	0.4	20	180	0	0	-1	-1	1	128
147	凤凰的脚步声	footsteps_fenghuang	Sounds/Common/footsteps_fenghuang	0.5	0.4	20	180	0	0	-1	-1	1	128
148	鞭炮声	bianpao	Sounds/Common/bianpao	0.5	1	20	180	0	0	-1	-1	1	128
149	使用轻功	qinggong	Sounds/Common/qinggong	0.5	1	20	180	0	0	-1	-1	1	128
150	龙的脚步声	footsteps_long	Sounds/Common/footsteps_long	0.5	0.4	20	180	0	0	-1	-1	1	128
151	创建角色-丐帮	login_gaibang	Sounds/Skill/login_gaibang	0.5	1	20	180	0	0	-1	-1	1	128
152	创建角色-丐帮2	login_gaibang2	Sounds/Skill/login_gaibang2	0.5	1	20	180	0	0	-1	-1	1	128
153	创建角色-打斗	login_battle	Sounds/Skill/login_battle	0.5	1	20	180	0	0	-1	-1	1	128
154	丐帮技能-普攻1	sk1pg_gaibang1	Sounds/Skill/sk1pg_gaibang1	0.5	1	20	180	0	0	-1	-1	1	128
155	丐帮技能-普攻2	sk1pg_gaibang2	Sounds/Skill/sk1pg_gaibang2	0.5	1	20	180	0	0	-1	-1	1	128
156	丐帮技能-普攻3	sk1pg_gaibang3	Sounds/Skill/sk1pg_gaibang3	0.5	1	20	180	0	0	-1	-1	1	128
157	丐帮XP循环	sk8xpg_gaibang1	Sounds/Skill/sk8xpg_gaibang1	0.5	1	20	180	0	0	-1	-1	1	128
158	丐帮XP结束	sk8xpg_gaibang2	Sounds/Skill/sk8xpg_gaibang2	0.5	1	20	180	0	0	-1	-1	1	128
159	神龙摆尾	sk4slbw_gaibang	Sounds/Skill/sk4slbw_gaibang	0.5	1	20	180	0	0	-1	-1	1	128
160	天下无狗循环	sk7txwg_gaibang1	Sounds/Skill/sk7txwg_gaibang1	0.5	1	20	180	0	0	-1	-1	1	128
161	天下无狗停止	sk7txwg_gaibang2	Sounds/Skill/sk7txwg_gaibang2	0.5	1	20	180	0	0	-1	-1	1	128
162	醉饮江湖	sk3zyjh_gaibang	Sounds/Skill/sk3zyjh_gaibang	0.5	1	20	180	0	0	-1	-1	1	128
163	擒龙控鹤	sk2qlkh_gaibang	Sounds/Skill/sk2qlkh_gaibang	0.5	1	20	180	0	0	-1	-1	1	128
164	密云不雨	sk5myby_gaibang	Sounds/Skill/sk5myby_gaibang	0.5	1	20	180	0	0	-1	-1	1	128
165	亢龙有悔循环	sk6klyh_gaibang1	Sounds/Skill/sk6klyh_gaibang1	0.5	1	20	180	0	0	-1	-1	1	128
166	亢龙有悔停止	sk6klyh_gaibang2	Sounds/Skill/sk6klyh_gaibang2	0.5	1	20	180	0	0	-1	-1	1	128
167	怪物受击(丐帮)	attack2_gun	Sounds/Skill/Cabal_Monster_Common_Behit	0.5	1	20	180	0	0	-1	-1	2	128
168	丐帮惨叫	attack1_gaibang	Sounds/Skill/attack1_gaibang	0.5	1	20	180	0	0	-1	-1	1	128
169	守卫雁门关副本场景	scene_YanmenguanDefence	Sounds/SceneBG/shouweiyanmenguan	0	0.5	10	180	1	0	0.5	0.5	1	128
170	丐帮死亡音效	dead_gaibang	Sounds/Skill/dead_gaibang	0.5	1	20	180	0	0	-1	-1	1	128
171	Cabal_小怪死亡	dead_yeguai	Sounds/Skill/dead_yeguai	0.5	1	20	180	0	0	-1	-1	1	128
172	Cabal_角色死亡	dead_female1	Sounds/Skill/dead_female1	0.5	1	20	180	0	0	-1	-1	1	128
173	Cabal_十字斩1段	Skill_Player_SZZ_1	Sounds/Skill/Skill_Player_SZZ_1	0.5	1.3	20	180	0	0	-1	-1	5	128
174	Cabal_突刺	Skill_Player_TC_1	Sounds/Skill/Skill_Player_TC_1	0.5	1.5	20	180	0	0	-1	-1	5	128
175	Cabal_普攻4段	Player_PuGong_4	Sounds/Skill/Player_PuGong_4	0.5	0.8	20	180	0	0	-1	-1	5	128
176	Cabal_死亡风暴	Skill_Player_SWFB	Sounds/Skill/Skill_Player_SWFB	0.5	1.5	20	180	0	0	-1	-1	5	128
177	Cabal_角色受击	common_hurt	Sounds/Skill/common_hurt	0.5	0.7	20	180	0	0	-1	-1	1	128
178	Cabal_怪物受击	attack1_dao	Sounds/Skill/Cabal_Monster_Common_Behit	0.5	0.6	20	180	0	0	-1	-1	1	128
179	Cabal_铁路场景	Cabal_TieGui	Sounds/SceneBG/Cabal_TieGui	0	0.5	10	180	1	0	0.5	0.5	1	128
180	Cabal_沙漠场景	Cabal_SaMo	Sounds/SceneBG/Cabal_ShaMo	0	0.3	10	180	1	0	0.5	0.5	1	128
181	Cabal_登录	Cabal_Login	Sounds/SceneBG/Cabal_Login	0	0.6	10	180	1	0	0.5	0.5	1	128
182	Cabal_双剑普攻1段	Player_PuGong_1	Sounds/Skill/Player_PuGong_1	0.5	0.8	20	180	0	0.1	-1	-1	5	128
183	Cabal_双剑普攻3段	Player_PuGong_3	Sounds/Skill/Player_PuGong_3	0.5	2.2	20	180	0	0	-1	-1	5	128
184	Cabal_双剑普攻2段	Player_PuGong_2	Sounds/Skill/Player_PuGong_2	0.5	2.2	20	180	0	0.1	-1	-1	5	128
185	Cabal_变身3	Skill_Player_BS_3	Sounds/Skill/Skill_Player_BS_3	0.5	1.5	20	180	0	0	-1	-1	1	128
186	Cabal_变身普1	Skill_Player_BS_3_Attack_1	Sounds/Skill/Skill_Player_BS_3_Attack_1	0.5	2.5	20	180	0	0	-1	-1	5	128
187	Cabal_变身普2	Skill_Player_BS_3_Attack_2	Sounds/Skill/Skill_Player_BS_3_Attack_2	0.5	2.5	20	180	0	0	-1	-1	5	128
188	Cabal_变身连1段	Skill_Player_BS_3_Skill_1	Sounds/Skill/Skill_Player_BS_3_Skill_1	0.5	2.7	20	180	0	0	-1	-1	5	128
189	Cabal_变身连2段	Skill_Player_BS_3_Skill_2	Sounds/Skill/Skill_Player_BS_3_Skill_2	0.5	1.5	20	180	0	0	-1	-1	5	128
190	Cabal_变身连3段	Skill_Player_BS_3_Skill_3	Sounds/Skill/Skill_Player_BS_3_Skill_3	0.5	1.5	20	180	0	0	-1	-1	5	128
191	demo期BOSS-普攻	Skill_Npc_Boss_Attack_1	Sounds/Skill/Skill_Npc_Boss_Attack_1	0.5	0.9	20	180	0	0.5	-1	-1	1	128
192	demo期BOSS-大招	Skill_Npc_Boss_1_Yuan	Sounds/Skill/Skill_Npc_Boss_1_Yuan	0.5	1	20	180	0	0	-1	-1	1	128
193	Cabal_机车召唤	Cabal_Bike_Spawn	Sounds/Common/Cabal_Bike_Spawn	0.5	0	20	180	0	0	-1	-1	1	128
194	Cabal_机车停	Cabal_Bike_Cancel	Sounds/Common/Cabal_Bike_Cancel	0	1	20	180	0	0	-1	-1	1	128
195	Cabal_机车开动	Common_Bike_Move	Sounds/Common/Common_Bike_Move	0.5	0.6	20	180	1	0	-1	-1	1	128
196	Cabal_机车收回	Cabal_Bike_Cancel	Sounds/Common/Cabal_Bike_Cancel	0.5	0	20	180	0	0	-1	-1	1	128
197	Cabal_时空转换器爆炸	Amb_Machine_Explosion	Sounds/Common/Amb_Machine_Explosion	0.5	1	20	180	0	0	-1	-1	1	128
198	Cabal_火车爆炸特效	Amb_Track_Explosion	Sounds/Common/Amb_Machine_Explosion	0.5	1	20	180	0	0	-1	-1	1	128
199	Cabal_山洞落石特效	Amb_Rock_Fall	Sounds/Common/Amb_Rock_Fall	0.5	1	20	180	0	0	-1	-1	1	128
200	Cabal_demo期BOSS-直线AOE	Skill_Npc_Boss_1_Zhi	Sounds/Skill/Skill_Npc_Boss_1_Zhi	0.5	1	20	180	0	0	-1	-1	1	128
201	Cabal_demo期BOSS-扇形AOE	Skill_Npc_Boss_1_Shan	Sounds/Skill/Skill_Npc_Boss_1_Shan	0.5	1	20	180	0	0	-1	-1	1	128
202	Cabal_BOSS传送门持续	Amb_Portal_Keep	Sounds/Common/Amb_Portal_Keep	0.5	1	20	180	0	0	-1	-1	1	128
203	Cabal_BOSS传送门关闭	Amb_Portal_Close	Sounds/Common/Amb_Portal_Close	0.5	1	20	180	0	0	-1	-1	1	128
204	Cabal_BOSS传送门开启	Amb_Portal_Open	Sounds/Common/Amb_Portal_Open	0.5	1	20	180	0	0	-1	-1	1	128
205	Cabal_BOSS出场	Tv_Npc_Boss_Appear	Sounds/Common/Tv_Npc_Boss_Appear	0.5	1	20	180	0	0.5	-1	-1	1	128
