Id	Desc	Name	Info	Icon	Type	OpenLevel	ProductGroup	StaticProductItemId	Money	Stamina	StuffID1	StuffCount1	StuffID2	StuffCount2	StuffID3	StuffCount3	StuffID4	StuffCount4	SortID
116		VIP少林上衣(90)2阶	少林降龙衣·2阶	shangyi_shaolin_10	4	90	-1	12231	9000	40	12221	1	70037	4	70052	1	-1	-1	1
117		职业橙套少林上衣(80)3阶	少林精舍衣·3阶	fojintao	4	80	-1	12238	8000	40	12228	1	70036	5	70051	1	-1	-1	1
118		职业橙套少林上衣(90)3阶	少林大乘衣·3阶	heshang90	4	90	-1	12239	9000	40	12229	1	70037	5	70052	1	-1	-1	1
119		职业橙套少林上衣(100)3阶	少林佛语衣·3阶	heshang100	4	100	-1	12240	10000	40	12230	1	70038	5	70053	1	-1	-1	1
120		VIP少林上衣(90)3阶	少林降龙衣·3阶	shangyi_shaolin_10	4	90	-1	12241	9000	40	12231	1	70037	5	70052	1	-1	-1	1
121		职业橙套少林上衣(80)4阶	少林精舍衣·4阶	fojintao	4	80	-1	12248	8000	40	12238	1	70036	6	70051	1	-1	-1	1
122		职业橙套少林上衣(90)4阶	少林大乘衣·4阶	heshang90	4	90	-1	12249	9000	40	12239	1	70037	6	70052	1	-1	-1	1
123		职业橙套少林上衣(100)4阶	少林佛语衣·4阶	heshang100	4	100	-1	12250	10000	40	12240	1	70038	6	70053	1	-1	-1	1
124		VIP少林上衣(90)4阶	少林降龙衣·4阶	shangyi_shaolin_10	4	90	-1	12251	9000	40	12241	1	70037	6	70052	1	-1	-1	1
125		职业橙套少林上衣(80)5阶	少林精舍衣·5阶	fojintao	4	80	-1	12258	8000	40	12248	1	70036	7	70051	1	-1	-1	1
126		职业橙套少林上衣(90)5阶	少林大乘衣·5阶	heshang90	4	90	-1	12259	9000	40	12249	1	70037	7	70052	1	-1	-1	1
127		职业橙套少林上衣(100)5阶	少林佛语衣·5阶	heshang100	4	100	-1	12260	10000	40	12250	1	70038	7	70053	1	-1	-1	1
128		VIP少林上衣(90)5阶	少林降龙衣·5阶	shangyi_shaolin_10	4	90	-1	12261	9000	40	12251	1	70037	7	70052	1	-1	-1	1
129		职业橙套少林上衣(100)6阶	少林佛语衣·6阶	heshang100	4	100	-1	12270	10000	40	12260	1	70038	8	70053	1	-1	-1	1
130		职业橙套少林上衣(100)7阶	少林佛语衣·7阶	heshang100	4	100	-1	12280	10000	40	12270	1	70038	9	70053	1	-1	-1	1
131		职业橙套少林上衣(100)8阶	少林佛语衣·8阶	heshang100	4	100	-1	12290	10000	40	12280	1	70038	10	70053	1	-1	-1	1
132		职业橙套少林上衣(100)9阶	少林佛语衣·9阶	heshang100	4	100	-1	12300	10000	40	12290	1	70038	12	70053	1	-1	-1	1
133		职业橙套少林上衣(100)10阶	少林佛语衣·10阶	heshang100	4	100	-1	12310	10000	40	12300	1	70038	15	70053	1	-1	-1	1
134		职业橙套少林下衣(80)1阶	少林精舍裤·1阶	kuzi08	4	80	-1	12318	8000	40	42308	1	70036	3	70051	1	-1	-1	1
135		职业橙套少林下衣(90)1阶	少林大乘裤·1阶	kuzi08	4	90	-1	12319	9000	40	42309	1	70037	3	70052	1	-1	-1	1
136		职业橙套少林下衣(100)1阶	少林佛语裤·1阶	kuzi08	4	100	-1	12320	10000	40	42310	1	70038	3	70053	1	-1	-1	1
137		VIP少林下衣(90)1阶	少林降龙裤·1阶	kuzi08	4	90	-1	12321	9000	40	59031	1	70037	3	70052	1	-1	-1	1
138		职业橙套少林下衣(80)2阶	少林精舍裤·2阶	kuzi08	4	80	-1	12328	8000	40	12318	1	70036	4	70051	1	-1	-1	1
139		职业橙套少林下衣(90)2阶	少林大乘裤·2阶	kuzi08	4	90	-1	12329	9000	40	12319	1	70037	4	70052	1	-1	-1	1
140		职业橙套少林下衣(100)2阶	少林佛语裤·2阶	kuzi08	4	100	-1	12330	10000	40	12320	1	70038	4	70053	1	-1	-1	1
141		VIP少林下衣(90)2阶	少林降龙裤·2阶	kuzi08	4	90	-1	12331	9000	40	12321	1	70037	4	70052	1	-1	-1	1
142		职业橙套少林下衣(80)3阶	少林精舍裤·3阶	kuzi08	4	80	-1	12338	8000	40	12328	1	70036	5	70051	1	-1	-1	1
143		职业橙套少林下衣(90)3阶	少林大乘裤·3阶	kuzi08	4	90	-1	12339	9000	40	12329	1	70037	5	70052	1	-1	-1	1
144		职业橙套少林下衣(100)3阶	少林佛语裤·3阶	kuzi08	4	100	-1	12340	10000	40	12330	1	70038	5	70053	1	-1	-1	1
145		VIP少林下衣(90)3阶	少林降龙裤·3阶	kuzi08	4	90	-1	12341	9000	40	12331	1	70037	5	70052	1	-1	-1	1
146		职业橙套少林下衣(80)4阶	少林精舍裤·4阶	kuzi08	4	80	-1	12348	8000	40	12338	1	70036	6	70051	1	-1	-1	1
147		职业橙套少林下衣(90)4阶	少林大乘裤·4阶	kuzi08	4	90	-1	12349	9000	40	12339	1	70037	6	70052	1	-1	-1	1
148		职业橙套少林下衣(100)4阶	少林佛语裤·4阶	kuzi08	4	100	-1	12350	10000	40	12340	1	70038	6	70053	1	-1	-1	1
149		VIP少林下衣(90)4阶	少林降龙裤·4阶	kuzi08	4	90	-1	12351	9000	40	12341	1	70037	6	70052	1	-1	-1	1
150		职业橙套少林下衣(80)5阶	少林精舍裤·5阶	kuzi08	4	80	-1	12358	8000	40	12348	1	70036	7	70051	1	-1	-1	1
151		职业橙套少林下衣(90)5阶	少林大乘裤·5阶	kuzi08	4	90	-1	12359	9000	40	12349	1	70037	7	70052	1	-1	-1	1
152		职业橙套少林下衣(100)5阶	少林佛语裤·5阶	kuzi08	4	100	-1	12360	10000	40	12350	1	70038	7	70053	1	-1	-1	1
153		VIP少林下衣(90)5阶	少林降龙裤·5阶	kuzi08	4	90	-1	12361	9000	40	12351	1	70037	7	70052	1	-1	-1	1
154		职业橙套少林下衣(100)6阶	少林佛语裤·6阶	kuzi08	4	100	-1	12370	10000	40	12360	1	70038	8	70053	1	-1	-1	1
155		职业橙套少林下衣(100)7阶	少林佛语裤·7阶	kuzi08	4	100	-1	12380	10000	40	12370	1	70038	9	70053	1	-1	-1	1
156		职业橙套少林下衣(100)8阶	少林佛语裤·8阶	kuzi08	4	100	-1	12390	10000	40	12380	1	70038	10	70053	1	-1	-1	1
157		职业橙套少林下衣(100)9阶	少林佛语裤·9阶	kuzi08	4	100	-1	12400	10000	40	12390	1	70038	12	70053	1	-1	-1	1
158		职业橙套少林下衣(100)10阶	少林佛语裤·10阶	kuzi08	4	100	-1	12410	10000	40	12400	1	70038	15	70053	1	-1	-1	1
159		职业橙套少林鞋子(80)1阶	少林精舍靴·1阶	xiezi08	4	80	-1	12418	8000	40	42408	1	70036	3	70051	1	-1	-1	1
160		职业橙套少林鞋子(90)1阶	少林大乘靴·1阶	xiezi08	4	90	-1	12419	9000	40	42409	1	70037	3	70052	1	-1	-1	1
161		职业橙套少林鞋子(100)1阶	少林佛语靴·1阶	xiezi08	4	100	-1	12420	10000	40	42410	1	70038	3	70053	1	-1	-1	1
162		职业橙套少林鞋子(80)2阶	少林精舍靴·2阶	xiezi08	4	80	-1	12428	8000	40	12418	1	70036	4	70051	1	-1	-1	1
163		职业橙套少林鞋子(90)2阶	少林大乘靴·2阶	xiezi08	4	90	-1	12429	9000	40	12419	1	70037	4	70052	1	-1	-1	1
164		职业橙套少林鞋子(100)2阶	少林佛语靴·2阶	xiezi08	4	100	-1	12430	10000	40	12420	1	70038	4	70053	1	-1	-1	1
165		职业橙套少林鞋子(80)3阶	少林精舍靴·3阶	xiezi08	4	80	-1	12438	8000	40	12428	1	70036	5	70051	1	-1	-1	1
166		职业橙套少林鞋子(90)3阶	少林大乘靴·3阶	xiezi08	4	90	-1	12439	9000	40	12429	1	70037	5	70052	1	-1	-1	1
167		职业橙套少林鞋子(100)3阶	少林佛语靴·3阶	xiezi08	4	100	-1	12440	10000	40	12430	1	70038	5	70053	1	-1	-1	1
168		职业橙套少林鞋子(80)4阶	少林精舍靴·4阶	xiezi08	4	80	-1	12448	8000	40	12438	1	70036	6	70051	1	-1	-1	1
169		职业橙套少林鞋子(90)4阶	少林大乘靴·4阶	xiezi08	4	90	-1	12449	9000	40	12439	1	70037	6	70052	1	-1	-1	1
170		职业橙套少林鞋子(100)4阶	少林佛语靴·4阶	xiezi08	4	100	-1	12450	10000	40	12440	1	70038	6	70053	1	-1	-1	1
171		职业橙套少林鞋子(80)5阶	少林精舍靴·5阶	xiezi08	4	80	-1	12458	8000	40	12448	1	70036	7	70051	1	-1	-1	1
172		职业橙套少林鞋子(90)5阶	少林大乘靴·5阶	xiezi08	4	90	-1	12459	9000	40	12449	1	70037	7	70052	1	-1	-1	1
173		职业橙套少林鞋子(100)5阶	少林佛语靴·5阶	xiezi08	4	100	-1	12460	10000	40	12450	1	70038	7	70053	1	-1	-1	1
174		职业橙套少林鞋子(100)6阶	少林佛语靴·6阶	xiezi08	4	100	-1	12470	10000	40	12460	1	70038	8	70053	1	-1	-1	1
175		职业橙套少林鞋子(100)7阶	少林佛语靴·7阶	xiezi08	4	100	-1	12480	10000	40	12470	1	70038	9	70053	1	-1	-1	1
176		职业橙套少林鞋子(100)8阶	少林佛语靴·8阶	xiezi08	4	100	-1	12490	10000	40	12480	1	70038	10	70053	1	-1	-1	1
