Id	Desc	Name	ScriptId	ConsumeFlag	CoolDownId	UseParamA	UseParamB	UseParamC	UseParamD	UseParamE
4519	海洋之守技能学习书	海洋之守技能学习书	99999	1	-1	0	0	-1	-1	22
4520	冰冻术技能学习书	冰冻术技能学习书	99999	1	-1	0	0	-1	-1	22
4521	落石技能学习书	落石技能学习书	99999	1	-1	0	0	-1	-1	22
4522	木之祝福技能学习书	木之祝福技能学习书	99999	1	-1	0	0	-1	-1	22
4523	死亡缠绕技能学习书	死亡缠绕技能学习书	99999	1	-1	0	0	-1	-1	22
4524	裂铁术技能学习书	裂铁术技能学习书	99999	1	-1	0	0	-1	-1	22
4525	针刺护甲技能学习书	针刺护甲技能学习书	99999	1	-1	0	0	-1	-1	22
4526	大地占卜技能学习书	大地占卜技能学习书	99999	1	-1	0	0	-1	-1	22
4527	地脉守护技能学习书	地脉守护技能学习书	99999	1	-1	0	0	-1	-1	22
5500	少室山掉落坐骑	石狮子	111	1	-1	2	0	-1	0	0
5501	等级礼包坐骑	礼包坐骑	111	1	-1	1	0	-1	0	0
6000	首周奖励	进化狼	109	1	-1	18	3	-1	0	0
6001	首周奖励	进化狼	109	1	-1	2	3	-1	0	0
6002	副本抽奖伙伴	伙伴：豹	109	1	-1	3	1	-1	0	0
6003	橙色钟灵伙伴	钟灵	109	1	-1	10	4	-1	0	0
6004	橙色甘宝宝伙伴	甘宝宝	109	1	-1	11	4	-1	0	0
6005	橙色马夫人伙伴	马夫人	109	1	-1	12	4	-1	0	0
6006	橙色木婉清伙伴	木婉清	109	1	-1	13	4	-1	0	0
6007	橙色刀白凤伙伴	刀白凤	109	1	-1	14	4	-1	0	0
6008	橙色阿朱伙伴	阿朱	109	1	-1	15	4	-1	0	0
6009	橙色王语嫣伙伴	王语嫣	109	1	-1	16	4	-1	0	0
6010	橙色天山童姥伙伴	天山童姥	109	1	-1	19	4	-1	0	0
6011	橙色秦红棉伙伴	秦红棉	109	1	-1	20	4	-1	0	0
6012	橙色阮星竹伙伴	阮星竹	109	1	-1	21	4	-1	0	0
6013	橙色阿碧伙伴	阿碧	109	1	-1	22	4	-1	0	0
6014	橙色阿紫伙伴	阿紫	109	1	-1	23	4	-1	0	0
6015	橙色李秋水伙伴	李秋水	109	1	-1	24	4	-1	0	0
6016	橙色李青萝伙伴	李青萝	109	1	-1	25	4	-1	0	0
6017	橙色西夏公主伙伴	西夏公主	109	1	-1	26	4	-1	0	0
6018	白色天山童姥伙伴	天山童姥	109	1	-1	19	0	-1	0	0
6019	绿色天山童姥伙伴	天山童姥	109	1	-1	19	1	-1	0	0
6020	蓝色天山童姥伙伴	天山童姥	109	1	-1	19	2	-1	0	0
6021	紫色天山童姥伙伴	天山童姥	109	1	-1	19	3	-1	0	0
6022	闪电貂	闪电貂	109	1	-1	27	3	-1	0	0
6023	VIP宝宝	VIP宝宝	109	1	-1	28	4	-1	0	0
6024	火狐	火狐	109	1	-1	30	0	-1	0	0
6025	火狐	火狐	109	1	-1	30	1	-1	0	0
6026	火狐	火狐	109	1	-1	30	2	-1	0	0
6027	火狐	火狐	109	1	-1	30	3	-1	0	0
6028	火狐	火狐	109	1	-1	30	4	-1	0	0
6029	凤凰	凤凰	109	1	-1	31	0	-1	0	0
6030	凤凰	凤凰	109	1	-1	31	1	-1	0	0
6031	凤凰	凤凰	109	1	-1	31	2	-1	0	0
6032	凤凰	凤凰	109	1	-1	31	3	-1	0	0
6033	凤凰	凤凰	109	1	-1	31	4	-1	0	0
6034	资质用伙伴	进化豹	109	1	-1	4	0	-1	0	0
6035	资质用伙伴	进化豹	109	1	-1	4	1	-1	0	0
6036	资质用伙伴	进化豹	109	1	-1	4	2	-1	0	0
6037	资质用伙伴	进化豹	109	1	-1	4	3	-1	0	0
6038	资质用伙伴	进化豹	109	1	-1	4	4	-1	0	0
6039	闪电貂	闪电貂	109	1	-1	27	0	-1	0	0
6040	闪电貂	闪电貂	109	1	-1	27	1	-1	0	0
6041	闪电貂	闪电貂	109	1	-1	27	2	-1	0	0
6042	闪电貂	闪电貂	109	1	-1	27	3	-1	0	0
6043	闪电貂	闪电貂	109	1	-1	27	4	-1	0	0
6044	羊宝宝	羊小咩	109	1	-1	32	0	-1	0	0
6045	羊宝宝	羊小咩	109	1	-1	32	1	-1	0	0
6046	羊宝宝	羊小咩	109	1	-1	32	2	-1	0	0
6047	羊宝宝	羊小咩	109	1	-1	32	3	-1	0	0
6048	羊宝宝	羊小咩	109	1	-1	32	4	-1	0	0
6049	VIP伙伴_天龙	天龙	109	1	-1	33	3	-1	0	0
6050	VIP伙伴_天龙	天龙	109	1	-1	33	4	-1	0	0
6051	VIP伙伴_天龙	天龙	109	1	-1	33	5	-1	0	0
6052	VIP伙伴_天龙	天龙	109	1	-1	33	6	-1	0	0
6053	VIP伙伴_乔峰	乔峰	109	1	-1	34	5	-1	0	0
6054	VIP伙伴_乔峰	乔峰	109	1	-1	35	4	-1	0	0
6055	VIP伙伴_段誉	段誉	109	1	-1	36	5	-1	0	0
6056	VIP伙伴_段誉	段誉	109	1	-1	37	4	-1	0	0
6057	VIP伙伴_虚竹	虚竹	109	1	-1	38	5	-1	0	0
6058	VIP伙伴_虚竹	虚竹	109	1	-1	39	4	-1	0	0
6059	猎犬宝宝	猎犬宝宝	109	1	-1	0	3	-1	0	0
6060	成年猎犬	成年猎犬	109	1	-1	1	3	-1	0	0
6061	紫色豹	豹	109	1	-1	3	3	-1	0	0
6062	紫色进化豹	进化豹	109	1	-1	4	3	-1	0	0
6063	紫色虎	虎	109	1	-1	5	3	-1	0	0
6064	紫色进化虎	进化虎	109	1	-1	6	3	-1	0	0
6065	紫色狮	狮	109	1	-1	7	3	-1	0	0
6066	紫色进化狮	进化狮	109	1	-1	8	3	-1	0	0
6067	紫色钟灵	钟灵	109	1	-1	10	3	-1	0	0
6068	紫色甘宝宝	甘宝宝	109	1	-1	11	3	-1	0	0
6069	紫色马夫人	马夫人	109	1	-1	12	3	-1	0	0
6070	紫色木婉清	木婉清	109	1	-1	13	3	-1	0	0
6071	紫色刀白凤	刀白凤	109	1	-1	14	3	-1	0	0
6072	紫色阿朱	阿朱	109	1	-1	15	3	-1	0	0
6073	紫色王语嫣	王语嫣	109	1	-1	16	3	-1	0	0
6074	紫色穷奇	穷奇	109	1	-1	17	3	-1	0	0
6075	紫色天山童姥	天山童姥	109	1	-1	19	3	-1	0	0
6076	紫色秦红棉	秦红棉	109	1	-1	20	3	-1	0	0
6077	紫色阮星竹	阮星竹	109	1	-1	21	3	-1	0	0
6078	紫色阿碧	阿碧	109	1	-1	22	3	-1	0	0
6079	紫色阿紫	阿紫	109	1	-1	23	3	-1	0	0
6080	紫色李秋水	李秋水	109	1	-1	24	3	-1	0	0
6081	紫色李青萝	李青萝	109	1	-1	25	3	-1	0	0
6082	紫色西夏公主	西夏公主	109	1	-1	26	3	-1	0	0
6083	橙色狼	狼	109	1	-1	1	4	-1	0	0
6084	橙色进化狼	进化狼	109	1	-1	2	4	-1	0	0
6085	橙色豹	豹	109	1	-1	3	4	-1	0	0
6086	橙色进化豹	进化豹	109	1	-1	4	4	-1	0	0
6087	橙色虎	虎	109	1	-1	5	4	-1	0	0
6088	橙色进化虎	进化虎	109	1	-1	6	4	-1	0	0
6089	橙色狮	狮	109	1	-1	7	4	-1	0	0
6090	橙色进化狮	进化狮	109	1	-1	8	4	-1	0	0
6091	橙色穷奇	穷奇	109	1	-1	17	4	-1	0	0
6092	伙伴	飘飘鸭	109	1	-1	40	0	-1	0	0
6093	伙伴	飘飘鸭	109	1	-1	40	1	-1	0	0
6094	伙伴	飘飘鸭	109	1	-1	40	2	-1	0	0
6095	伙伴	飘飘鸭	109	1	-1	40	3	-1	0	0
6096	伙伴	飘飘鸭	109	1	-1	40	4	-1	0	0
9501	宝箱钥匙（铜）	宝箱钥匙（铜）	115	1	-1	1	141	52193	1	1
52192	动态经验丹	经验丹	113	1	-1	0	0	-1	0	0
52193	铜宝箱	铜宝箱	115	1	-1	1	141	9501	1	1
52194	银宝箱	银宝箱	115	1	-1	1	142	52197	1	1
52195	金宝箱	金宝箱	115	1	-1	1	143	52198	1	1
52197	宝箱钥匙（银）	宝箱钥匙（银）	115	1	-1	1	142	52194	1	1
52198	宝箱钥匙（金）	宝箱钥匙（金）	115	1	-1	1	143	52195	1	1
52199	1000金币	1000金币	108	1	-1	0	1000	-1	0	0
52200	5000金币	5000金币	108	1	-1	0	5000	-1	0	0
52201	30000金币	30000金币	108	1	-1	0	30000	-1	0	0
56500	每日抽奖美人	西夏公主	110	1	-1	5	0	-1	0	0
56501	每日抽奖坐骑	白马	111	1	-1	1	0	-1	0	0
56502	每日抽奖伙伴	伙伴：豹	109	1	-1	3	3	-1	0	0
56503	每日抽奖橙色装备包	每日抽奖橙色装备包	107	1	-1	0	0	-1	0	0
56504	每日抽奖紫色装备包	每日抽奖紫色装备包	107	1	-1	0	0	-1	0	0
56505	2级宝石礼包	2级宝石礼包	104	1	-1	1	103	-1	0	0
56506	每日抽奖生活材料包	每日抽奖生活材料包	107	1	-1	0	0	-1	0	0
56507	每日抽奖金币包	每日抽奖金币包	107	1	-1	0	0	-1	0	0
56508	1级宝石礼包	1级宝石礼包	104	1	-1	1	102	-1	0	0
56509	300金币	300金币	108	1	-1	0	300	-1	0	0
56510	500金币	500金币	108	1	-1	0	500	-1	0	0
56511	800金币	800金币	108	1	-1	0	800	-1	0	0
56512	3K经验丹	一品经验丹	106	1	-1	0	3000	-1	0	0
56513	5K经验丹	二品经验丹	106	1	-1	0	5000	-1	0	0
56514	1W经验丹	三品经验丹	106	1	-1	0	10000	-1	0	0
56515	美人亲密宝箱	美人亲密宝箱	104	1	-1	1	22	-1	0	0
56516	1帮贡	帮贡	105	1	-1	0	1	-1	0	0
56517	红马（7日）	红马（7日）	111	1	-1	2	0	-1	0	0
56518	红马（30日）	红马（30日）	111	1	-1	2	0	-1	0	0
56519	红马（永久）	红马（永久）	111	1	-1	2	0	-1	0	0
56520	美人卡片	甘宝宝	110	1	-1	13	0	-1	0	0
56521	美人卡片	木婉清	110	1	-1	1	0	-1	0	0
56522	美人卡片	王语嫣	110	1	-1	2	0	-1	0	0
56523	美人卡片	阿朱	110	1	-1	3	0	-1	0	0
56524	美人卡片	阿紫	110	1	-1	4	0	-1	0	0
56525	美人卡片	西夏公主	110	1	-1	5	0	-1	0	0
56526	美人卡片	阿碧	110	1	-1	6	0	-1	0	0
56527	美人卡片	李秋水	110	1	-1	7	0	-1	0	0
56528	美人卡片	天山童姥	110	1	-1	8	0	-1	0	0
56529	美人卡片	刀白凤	110	1	-1	9	0	-1	0	0
56530	美人卡片	王夫人	110	1	-1	10	0	-1	0	0
56531	美人卡片	秦红棉	110	1	-1	11	0	-1	0	0
56532	美人卡片	软星竹	110	1	-1	12	0	-1	0	0
56533	美人卡片	钟灵	110	1	-1	0	0	-1	0	0
56534	美人卡片	马夫人	110	1	-1	14	0	-1	0	0
56550	每日抽奖伙伴礼包	伙伴礼包	107	1	-1	0	0	-1	0	0
56551	每日抽奖：狼	狼	109	1	-1	1	0	-1	0	0
56552	每日抽奖：进化狼	进化狼	109	1	-1	2	0	-1	0	0
56553	每日抽奖：豹	豹	109	1	-1	3	0	-1	0	0
56554	每日抽奖：进化豹	进化豹	109	1	-1	4	0	-1	0	0
56555	遗忘废墟掉落称号	稀有称号牌1	116	1	-1	0	32	-1	0	0
56556	遗忘废墟掉落称号	稀有称号牌2	116	1	-1	0	33	-1	0	0
56557	遗忘废墟掉落称号	稀有称号牌3	116	1	-1	0	34	-1	0	0
56558	10级大礼包	10级大礼包	119	1	-1	-1	-1	-1	0	0
56559	20级大礼包	20级大礼包	119	1	-1	-1	-1	-1	0	0
56560	30级大礼包	30级大礼包	119	1	-1	-1	-1	-1	0	0
56561	40级大礼包	40级大礼包	119	1	-1	-1	-1	-1	0	0
56562	50级大礼包	50级大礼包	119	1	-1	-1	-1	-1	0	0
56563	60级大礼包	60级大礼包	119	1	-1	-1	-1	-1	0	0
56564	70级大礼包	70级大礼包	119	1	-1	-1	-1	-1	0	0
56565	80级大礼包	80级大礼包	119	1	-1	-1	-1	-1	0	0
56566	90级大礼包	90级大礼包	119	1	-1	-1	-1	-1	0	0
56567	100级大礼包	100级大礼包	119	1	-1	-1	-1	-1	0	0
56568	等级礼包称号	礼包紫色称号	116	1	-1	0	38	-1	0	0
56569	等级礼包时装	礼包时装	117	1	-1	1	0	-1	0	0
56570	等级礼包称号	礼包蓝色称号	116	1	-1	0	39	-1	0	0
56571	等级礼包称号	礼包绿色称号	116	1	-1	0	40	-1	0	0
56572	等级礼包称号	礼包白色称号	116	1	-1	0	41	-1	0	0
56573	萧峰侠客	萧峰侠客	114	1	-1	55	0	-1	0	0
56574	向望海侠客	向望海侠客	114	1	-1	1	0	-1	0	0
56575	姚伯当侠客	姚伯当侠客	114	1	-1	2	0	-1	0	0
56576	鲍千灵侠客	鲍千灵侠客	114	1	-1	3	0	-1	0	0
56577	司马林侠客	司马林侠客	114	1	-1	4	0	-1	0	0
56578	单正侠客	单正侠客	114	1	-1	5	0	-1	0	0
56579	单伯山侠客	单伯山侠客	114	1	-1	6	0	-1	0	0
56580	单仲山侠客	单仲山侠客	114	1	-1	7	0	-1	0	0
56581	单季山侠客	单季山侠客	114	1	-1	8	0	-1	0	0
56582	单叔山侠客	单叔山侠客	114	1	-1	9	0	-1	0	0
56583	单小山侠客	单小山侠客	114	1	-1	10	0	-1	0	0
56584	崔百泉侠客	崔百泉侠客	114	1	-1	11	0	-1	0	0
56585	钟万仇侠客	钟万仇侠客	114	1	-1	12	0	-1	0	0
56586	乌老大侠客	乌老大侠客	114	1	-1	13	0	-1	0	0
56587	桑土公侠客	桑土公侠客	114	1	-1	14	0	-1	0	0
56588	哈大霸侠客	哈大霸侠客	114	1	-1	15	0	-1	0	0
56589	不平道长侠客	不平道长侠客	114	1	-1	16	0	-1	0	0
56590	智光大师侠客	智光大师侠客	114	1	-1	17	0	-1	0	0
56591	谭公侠客	谭公侠客	114	1	-1	18	0	-1	0	0
56592	赵钱孙侠客	赵钱孙侠客	114	1	-1	19	0	-1	0	0
56593	摘星子侠客	摘星子侠客	114	1	-1	20	0	-1	0	0
56594	褚万里侠客	褚万里侠客	114	1	-1	21	0	-1	0	0
56595	古笃诚侠客	古笃诚侠客	114	1	-1	22	0	-1	0	0
56596	傅思归侠客	傅思归侠客	114	1	-1	23	0	-1	0	0
56597	朱丹臣侠客	朱丹臣侠客	114	1	-1	24	0	-1	0	0
56598	白世镜侠客	白世镜侠客	114	1	-1	25	0	-1	0	0
56599	陈孤雁侠客	陈孤雁侠客	114	1	-1	26	0	-1	0	0
56600	吴长风侠客	吴长风侠客	114	1	-1	27	0	-1	0	0
56601	全冠清侠客	全冠清侠客	114	1	-1	28	0	-1	0	0
56602	巴天石侠客	巴天石侠客	114	1	-1	29	0	-1	0	0
56603	邓百川侠客	邓百川侠客	114	1	-1	30	0	-1	0	0
56604	公冶乾侠客	公冶乾侠客	114	1	-1	31	0	-1	0	0
56605	包不同侠客	包不同侠客	114	1	-1	32	0	-1	0	0
56606	风波恶侠客	风波恶侠客	114	1	-1	33	0	-1	0	0
56607	卓不凡侠客	卓不凡侠客	114	1	-1	34	0	-1	0	0
56608	哲罗星侠客	哲罗星侠客	114	1	-1	35	0	-1	0	0
56609	神山上人侠客	神山上人侠客	114	1	-1	36	0	-1	0	0
56610	云中鹤侠客	云中鹤侠客	114	1	-1	37	0	-1	0	0
56611	南海鳄神侠客	南海鳄神侠客	114	1	-1	38	0	-1	0	0
56612	慕容复侠客	慕容复侠客	114	1	-1	39	0	-1	0	0
56613	鸠摩智侠客	鸠摩智侠客	114	1	-1	40	0	-1	0	0
56614	枯荣大师侠客	枯荣大师侠客	114	1	-1	41	0	-1	0	0
56615	黄眉大师侠客	黄眉大师侠客	114	1	-1	42	0	-1	0	0
56616	丁春秋侠客	丁春秋侠客	114	1	-1	43	0	-1	0	0
56617	游坦之侠客	游坦之侠客	114	1	-1	44	0	-1	0	0
56618	段延庆侠客	段延庆侠客	114	1	-1	45	0	-1	0	0
56619	段正明侠客	段正明侠客	114	1	-1	46	0	-1	0	0
56620	段正淳侠客	段正淳侠客	114	1	-1	47	0	-1	0	0
56621	玄难侠客	玄难侠客	114	1	-1	48	0	-1	0	0
56622	玄悲侠客	玄悲侠客	114	1	-1	49	0	-1	0	0
56623	玄苦侠客	玄苦侠客	114	1	-1	50	0	-1	0	0
56624	玄慈侠客	玄慈侠客	114	1	-1	51	0	-1	0	0
56625	苏星河侠客	苏星河侠客	114	1	-1	52	0	-1	0	0
