Index	Desc	RankType	PosMin	PosMax	StartTime	EndTime	TitleId	Money	BindYuanBao	Reputation	RewardDesc	RewardItemID1	RewardItemCount1	RewardItemID2	RewardItemCount2
48	等级榜第二7天元宝	6	2	2	1	7	-1	0	200	0	3250	-1	0	-1	0
49	等级榜第三7天元宝	6	3	3	1	7	-1	0	100	0	3251	-1	0	-1	0
50	等级榜上榜7天元宝	6	4	100	1	7	-1	0	30	0	3252	-1	0	-1	0
51	血量榜第一	8	1	1	1	9999	-1	0	300	0	3196	-1	0	-1	0
52	血量榜第二	8	2	2	1	9999	-1	0	200	0	3196	-1	0	-1	0
53	血量榜第三	8	3	3	1	9999	-1	0	100	0	3196	-1	0	-1	0
54	血量榜前列	8	4	20	1	9999	-1	0	30	0	3196	-1	0	-1	0
55	血量榜上榜	8	21	100	1	9999	-1	0	30	0	3196	-1	0	-1	0
56	攻击榜第一	18	1	1	1	9999	-1	0	300	0	3196	-1	0	-1	0
57	攻击榜第二	18	2	2	1	9999	-1	0	200	0	3196	-1	0	-1	0
58	攻击榜第三	18	3	3	1	9999	-1	0	100	0	3196	-1	0	-1	0
59	攻击榜前列	18	4	20	1	9999	-1	0	30	0	3196	-1	0	-1	0
60	攻击榜上榜	18	21	100	1	9999	-1	0	30	0	3196	-1	0	-1	0
61	金币榜第一	15	1	1	1	9999	-1	0	300	0	3196	-1	0	-1	0
62	金币榜第二	15	2	2	1	9999	-1	0	200	0	3196	-1	0	-1	0
63	金币榜第三	15	3	3	1	9999	-1	0	100	0	3196	-1	0	-1	0
64	金币榜前列	15	4	20	1	9999	-1	0	30	0	3196	-1	0	-1	0
65	金币榜上榜	15	21	100	1	9999	-1	0	30	0	3196	-1	0	-1	0
66	充值榜第一	-1	1	1	1	9999	-1	0	300	0	3196	-1	0	-1	0
67	充值榜第二	-1	2	2	1	9999	-1	0	200	0	3196	-1	0	-1	0
68	充值榜第三	-1	3	3	1	9999	-1	0	100	0	3196	-1	0	-1	0
69	充值榜前列	-1	4	20	1	9999	-1	0	30	0	3196	-1	0	-1	0
70	充值榜上榜	-1	21	100	1	9999	-1	0	30	0	3196	-1	0	-1	0
71	消费榜第一	17	1	1	1	9999	-1	0	300	0	3196	-1	0	-1	0
72	消费榜第二	17	2	2	1	9999	-1	0	200	0	3196	-1	0	-1	0
73	消费榜第三	17	3	3	1	9999	-1	0	100	0	3196	-1	0	-1	0
74	消费榜前列	17	4	20	1	9999	-1	0	30	0	3196	-1	0	-1	0
75	消费榜上榜	17	21	100	1	9999	-1	0	30	0	3196	-1	0	-1	0
76	宗师榜第一	16	1	1	1	9999	-1	0	300	0	3196	-1	0	-1	0
77	宗师榜第二	16	2	2	1	9999	-1	0	200	0	3196	-1	0	-1	0
78	宗师榜第三	16	3	3	1	9999	-1	0	100	0	3196	-1	0	-1	0
79	宗师榜前列	16	4	20	1	9999	-1	0	30	0	3196	-1	0	-1	0
80	宗师榜上榜	16	21	100	1	9999	-1	0	30	0	3196	-1	0	-1	0
81	活跃榜第一	22	1	1	1	9999	-1	0	100	0	3260	-1	0	-1	0
82	活跃榜第二	22	2	2	1	9999	-1	0	60	0	3261	-1	0	-1	0
83	活跃榜第三	22	3	3	1	9999	-1	0	30	0	3262	-1	0	-1	0
84	活跃榜前列	22	4	20	1	9999	-1	0	30	0	3196	-1	0	-1	0
85	活跃榜上榜	22	21	100	1	9999	-1	0	30	0	3196	-1	0	-1	0
86	圣诞节_个人第1名	23	1	1	1	9999	-1	0	0	0	4018	-1	0	-1	0
87	圣诞节_个人第2名	23	2	2	1	9999	-1	0	0	0	4019	-1	0	-1	0
88	圣诞节_个人第3名	23	3	3	1	9999	-1	0	0	0	4020	-1	0	-1	0
89	圣诞节_个人第4~5名	23	4	5	1	9999	-1	0	0	0	4021	-1	0	-1	0
90	圣诞节_个人第6~10名	23	6	10	1	9999	-1	0	0	0	4022	-1	0	-1	0
91	圣诞节_个人第11~20名	23	11	20	1	9999	-1	0	0	0	4023	-1	0	-1	0
92	圣诞节_个人第21~50名	23	21	50	1	9999	-1	0	0	0	4024	-1	0	-1	0
93	圣诞节_个人第51~100名	23	51	100	1	9999	-1	0	0	0	4025	-1	0	-1	0
94	圣诞节_帮会第1名	24	1	1	1	9999	-1	0	0	0	4026	-1	0	-1	0
95	圣诞节_帮会第2~3名	24	2	3	1	9999	-1	0	0	0	4027	-1	0	-1	0
96	圣诞节_帮会第4~10名	24	4	10	1	9999	-1	0	0	0	4028	-1	0	-1	0
97	防御榜第一的称号	25	1	1	1	9999	-1	0	300	0	3196	-1	0	-1	0
98	防御榜第二的称号	25	2	2	1	9999	-1	0	200	0	3196	-1	0	-1	0
99	防御榜第三的称号	25	3	3	1	9999	-1	0	100	0	3196	-1	0	-1	0
100	防御榜前列的称号	25	4	20	1	9999	-1	0	30	0	3196	-1	0	-1	0
101	防御榜上榜称号	25	21	100	1	9999	-1	0	30	0	3196	-1	0	-1	0
102	春节红包_个人第1名	29	1	1	1	9999	-1	0	0	0	5174	-1	0	-1	0
103	春节红包_个人第2名	29	2	2	1	9999	-1	0	0	0	5175	-1	0	-1	0
104	春节红包_个人第3名	29	3	3	1	9999	-1	0	0	0	5176	-1	0	-1	0
105	春节红包_个人第4~5名	29	4	5	1	9999	-1	0	0	0	5177	-1	0	-1	0
106	春节红包_个人第6~10名	29	6	10	1	9999	-1	0	0	0	5178	-1	0	-1	0
107	春节红包_个人第11~20名	29	11	20	1	9999	-1	0	0	0	5179	-1	0	-1	0
108	春节红包_个人第21~50名	29	21	50	1	9999	-1	0	0	0	5180	-1	0	-1	0
109	春节红包_个人第51~100名	29	51	100	1	9999	-1	0	0	0	5181	-1	0	-1	0
110	情人节_送花第1名	27	1	1	1	9999	-1	0	0	0	5182	-1	0	-1	0
111	情人节_送花第2名	27	2	2	1	9999	-1	0	0	0	5183	-1	0	-1	0
112	情人节_送花第3名	27	3	3	1	9999	-1	0	0	0	5184	-1	0	-1	0
113	情人节_送花第4~5名	27	4	5	1	9999	-1	0	0	0	5185	-1	0	-1	0
114	情人节_送花第6~10名	27	6	10	1	9999	-1	0	0	0	5186	-1	0	-1	0
115	情人节_送花第11~20名	27	11	20	1	9999	-1	0	0	0	5187	-1	0	-1	0
116	情人节_送花第21~50名	27	21	50	1	9999	-1	0	0	0	5188	-1	0	-1	0
117	情人节_收花第1名	28	1	1	1	9999	-1	0	0	0	5189	-1	0	-1	0
118	情人节_收花第2名	28	2	2	1	9999	-1	0	0	0	5190	-1	0	-1	0
119	情人节_收花第3名	28	3	3	1	9999	-1	0	0	0	5191	-1	0	-1	0
120	情人节_收花第4~5名	28	4	5	1	9999	-1	0	0	0	5192	-1	0	-1	0
121	情人节_收花第6~10名	28	6	10	1	9999	-1	0	0	0	5193	-1	0	-1	0
122	情人节_收花第11~20名	28	11	20	1	9999	-1	0	0	0	5194	-1	0	-1	0
123	情人节_收花第21~50名	28	21	50	1	9999	-1	0	0	0	5195	-1	0	-1	0
124	魅力榜_第一名	32	1	1	1	9999	-1	0	0	0	5313	-1	0	-1	0
125	魅力榜_第二名	32	2	2	1	9999	-1	0	0	0	5313	-1	0	-1	0
126	魅力榜_第三名	32	3	3	1	9999	-1	0	0	0	5313	-1	0	-1	0
127	魅力榜_第四至二十名	32	4	20	1	9999	-1	0	0	0	5313	-1	0	-1	0
128	魅力榜_第二十一至一百名	32	21	100	1	9999	-1	0	0	0	5313	-1	0	-1	0
129	喇叭榜_第一名	31	1	1	1	9999	-1	0	0	0	5314	-1	0	-1	0
130	喇叭榜_第二名	31	2	2	1	9999	-1	0	0	0	5314	-1	0	-1	0
131	喇叭榜_第三名	31	3	3	1	9999	-1	0	0	0	5314	-1	0	-1	0
132	喇叭榜_第四至二十名	31	4	20	1	9999	-1	0	0	0	5314	-1	0	-1	0
133	喇叭榜_第二十一至一百名	31	21	100	1	9999	-1	0	0	0	5314	-1	0	-1	0
134	丐帮大弟子	30	1	1	1	9999	-1	0	100	0	3257	-1	0	-1	0
135	丐帮二弟子	30	2	2	1	9999	-1	0	60	0	3258	-1	0	-1	0
136	丐帮三弟子	30	3	3	1	9999	-1	0	30	0	3259	-1	0	-1	0
137	丐帮弟子排行上榜	30	4	20	1	9999	-1	0	0	0	3196	-1	0	-1	0
