Id	Desc	Day	Index	Name	Description	LinkUI	LogicId	LogicParam1	LogicParam2	LogicParam3	OpCount	Money	Yuanbao	ItemID_1	ItemCount_1	ItemIsBind_1	ItemID_2	ItemCount_2	ItemIsBind_2	ItemID_3	ItemCount_3	ItemIsBind_3	ItemID_4	ItemCount_4	ItemIsBind_4
13		2	4	宠物升星至白5	将一只宠物升星至白+5星	ActivityController	12	-1	5	-1	1	-1	100	23	5	1	-1	0	1	-1	0	1	-1	0	1
14		2	5	进行1次科技苑生产	进行1次科技苑生产	ActivityController	7	-1	-1	-1	1	10000	-1	4035	1	1	-1	0	1	-1	0	1	-1	0	1
15		2	6	一个变身技能达到2级	一个变身技能达到2级	ActivityController	16	2	1	-1	1	10000	-1	71001	10	1	-1	0	1	-1	0	1	-1	0	1
16		2	7	混沌之地突破20层	混沌之地突破20层	ActivityController	9	-1	-1	-1	20	10000	-1	100001	3	1	-1	0	1	-1	0	1	-1	0	1
17		3	0	完成7个任务	完成第三天全部任务	RoleView	0	-1	-1	-1	7	-1	300	8304	1	1	8404	1	1	-1	0	1	-1	0	1
18		3	1	升级到50级	角色提级到50级	ActivityController	1	-1	-1	-1	50	10000	-1	60	3	1	-1	0	1	-1	0	1	-1	0	1
19		3	2	通关剧情副本4-4	完成剧情副本4-4挑战	ActivityController	2	4	4	-1	1	20000	-1	100001	5	1	-1	0	1	-1	0	1	-1	0	1
20		3	3	累计剧情副本48颗星	累计获得剧情副本48颗星	ActivityController	21	-1	-1	-1	48	50000	-1	125	10	1	-1	0	1	-1	0	1	-1	0	1
21		3	4	进行3次科技苑生产	进行3次科技苑生产	ActivityController	7	-1	-1	-1	3	10000	-1	8503	1	1	8603	1	1	-1	0	1	-1	0	1
22		3	5	进行2次宠物克隆	组队进行2次宠物克隆	ActivityController	8	-1	-1	-1	2	20000	-1	8803	1	1	-1	0	1	-1	0	1	-1	0	1
23		3	6	5魔灵阵法激活	激活一个5魔灵上阵的阵法	ActivityController	15	5	-1	-1	1	20000	100	-1	0	1	-1	0	1	-1	0	1	-1	0	1
24		3	7	任意变身技能达到3级	任意变身技能等级提升到3级	ActivityController	16	3	1	-1	1	20000	-1	8003	1	1	-1	0	1	-1	0	1	-1	0	1
25		4	0	完成7个任务	完成第四天全部任务	RoleView	0	-1	-1	-1	7	-1	400	72001	1	1	-1	0	1	-1	0	1	-1	0	1
26		4	1	冰冻地下墓地困难难度	完成冰冻地下墓地的困难难度挑战	ActivityController	17	35	2	-1	1	20000	-1	60	5	1	-1	0	1	-1	0	1	-1	0	1
27		4	2	升级到55级	提升角色等级到55级	ActivityController	1	-1	-1	-1	55	100000	100	140	1	1	-1	0	1	-1	0	1	-1	0	1
28		4	3	每日任务活跃度120	当天的每日任务活跃度达到120	ActivityController	20	-1	-1	-1	120	20000	-1	125	3	1	-1	0	1	-1	0	1	-1	0	1
29		4	4	参加10次竞技场	累计参加10次竞技场	ActivityController	5	-1	-1	-1	10	20000	-1	100001	5	1	-1	0	1	-1	0	1	-1	0	1
30		4	5	给装备打5颗星	累计给装备打5颗星	ActivityController	11	-1	-1	-1	5	20000	-1	24	20	1	-1	0	1	-1	0	1	-1	0	1
31		4	6	参与一次世界Boss	组队参加一次世界Boss活动	ActivityController	19	-1	-1	-1	1	20000	-1	71001	10	1	-1	0	1	-1	0	1	-1	0	1
32		4	7	镶嵌3个3级符文	累计镶嵌3个3级符文（或以上）	ActivityController	13	3	-1	-1	3	20000	-1	134	3	1	-1	0	1	-1	0	1	-1	0	1
33		5	0	完成7个任务	完成第五天全部任务	RoleView	0	-1	-1	-1	7	-1	500	59054	100	1	-1	0	1	-1	0	1	-1	0	1
34		5	1	黄昏要塞困难难度	完成黄昏要塞的困难难度挑战	ActivityController	17	16	2	-1	1	20000	-1	135	20	1	-1	0	1	-1	0	1	-1	0	1
35		5	2	通关剧情副本6-1	完成剧情副本6-1挑战	ActivityController	2	6	1	-1	1	20000	-1	24	20	1	-1	0	1	-1	0	1	-1	0	1
36		5	3	3次废弃都市困难难度	累计完成3次废弃都市的困难难度挑战	ActivityController	17	13	2	-1	3	50000	-1	8004	1	1	-1	0	1	-1	0	1	-1	0	1
37		5	4	穿戴9件装备	角色身上共穿戴9件装备	ActivityController	4	-1	-1	-1	9	-1	100	113	3	1	-1	0	1	-1	0	1	-1	0	1
38		5	5	给装备打17颗星	累计给装备打17颗星	ActivityController	11	-1	-1	-1	17	20000	-1	125	10	1	-1	0	1	-1	0	1	-1	0	1
39		5	6	获得1只紫色以上宠物	通过组队克隆，获得1只紫色品质以上的宠物	ActivityController	12	3	-1	-1	1	50000	-1	134	3	1	-1	0	1	-1	0	1	-1	0	1
40		5	7	4个技能达到55级以上	将全部4个技能提升到55级以上	ActivityController	16	55	-1	-1	4	20000	-1	100001	10	1	-1	0	1	-1	0	1	-1	0	1
41		6	0	完成7个任务	完成第六天全部任务	RoleView	0	-1	-1	-1	7	-1	750	125	20	1	-1	0	1	-1	0	1	-1	0	1
42		6	1	任意变身技能达到4级	将任意变身技能提升到4级	ActivityController	16	4	1	-1	1	20000	-1	114	1	1	-1	0	1	-1	0	1	-1	0	1
43		6	2	通关剧情副本6-4	完成剧情副本6-4挑战	ActivityController	2	6	4	-1	1	20000	-1	61	3	1	-1	0	1	-1	0	1	-1	0	1
44		6	3	雷纳堡困难难度5次	完成雷纳堡困难难度挑战5次以上	ActivityController	17	14	2	-1	5	20000	-1	100001	10	1	-1	0	1	-1	0	1	-1	0	1
45		6	4	混沌之地突破60层	混沌之地副本累积突破60层	ActivityController	9	-1	-1	-1	60	50000	-1	135	10	1	-1	0	1	-1	0	1	-1	0	1
46		6	5	镶嵌3个4级符文	累计镶嵌3个4级符文（或以上）	ActivityController	13	4	-1	-1	3	50000	-1	125	10	1	-1	0	1	-1	0	1	-1	0	1
47		6	6	两个蓝色魔灵	将魂器中的至少两个魔灵提升到蓝色品质以上	ActivityController	14	3	-1	-1	2	50000	200	71001	10	1	-1	0	1	-1	0	1	-1	0	1
48		6	7	累积9次宠物克隆	累计进行9次组队宠物克隆	ActivityController	8	-1	-1	-1	9	20000	-1	134	3	1	-1	0	1	-1	0	1	-1	0	1
49		7	0	完成7个任务	完成第七天全部任务	RoleView	0	-1	-1	-1	7	-1	1000	8007	1	1	-1	0	1	-1	0	1	-1	0	1
50		7	1	冰冻地下墓地困难难度5次	完成冰冻地下墓地困难难度挑战5次	ActivityController	17	35	2	-1	5	20000	200	125	30	1	-1	0	1	-1	0	1	-1	0	1
51		7	2	废弃都市困难难度	完成废弃都市的困难难度挑战	ActivityController	17	13	2	-1	1	20000	-1	115	1	1	-1	0	1	-1	0	1	-1	0	1
52		7	3	剧情副本70颗星	累积在剧情副本中获得70颗星	ActivityController	21	-1	-1	-1	70	50000	-1	100001	20	1	-1	0	1	-1	0	1	-1	0	1
53		7	4	宠物升星至绿5	将其中一只宠物升星到绿+5星以上	ActivityController	12	-1	17	-1	1	50000	-1	61	5	1	-1	0	1	-1	0	1	-1	0	1
54		7	5	给装备打25颗星	累计给装备打25颗星	ActivityController	11	-1	-1	-1	25	50000	-1	71001	20	1	-1	0	1	-1	0	1	-1	0	1
55		7	6	蓝色阵法	将一个魂器阵法的蓝色属性激活	ActivityController	15	-1	3	-1	1	50000	-1	140	3	1	-1	0	1	-1	0	1	-1	0	1
56		7	7	升级到60级	提升角色等级到60级	ActivityController	1	-1	-1	-1	60	500000	-1	116	1	1	-1	0	1	-1	0	1	-1	0	1
