Id	Desc	Coin	Exp	FellowExp	BindYuanBao	ItemID1	ItemNum1	ItemID2	ItemNum2	ItemID3	ItemNum3	ItemID4	ItemNum4
22	第一章第四关普通奖励	800	5500	1833	0	-1	1	-1	-1	-1	-1	-1	-1
23	第一章第一关扫荡奖励	500	1000	333	0	-1	-1	-1	-1	-1	-1	-1	-1
24	第一章第二关扫荡奖励	600	2000	666	0	-1	-1	-1	-1	-1	-1	-1	-1
25	第一章第三关扫荡奖励	700	3500	1166	0	-1	-1	-1	-1	-1	-1	-1	-1
26	第一章第四关扫荡奖励	800	5500	1833	0	-1	1	-1	-1	-1	-1	-1	-1
30	第二章第一关一星奖励	3510	0	0	0	4013	5	-1	-1	-1	-1	-1	-1
31	第二章第一关二星奖励	10530	0	0	0	4023	5	-1	-1	-1	-1	-1	-1
32	第二章第一关三星奖励	21060	0	0	0	23	5	-1	-1	-1	-1	-1	-1
33	第二章第二关一星奖励	3780	0	0	0	59	10	-1	-1	-1	-1	-1	-1
34	第二章第二关二星奖励	11340	0	0	0	4031	10	-1	-1	-1	-1	-1	-1
35	第二章第二关三星奖励	22680	0	0	0	24	10	-1	-1	-1	-1	-1	-1
36	第二章第三关一星奖励	6300	0	0	0	4014	10	-1	-1	-1	-1	-1	-1
37	第二章第三关二星奖励	18900	0	0	0	4024	10	-1	-1	-1	-1	-1	-1
38	第二章第三关三星奖励	37800	0	0	0	60	1	-1	-1	-1	-1	-1	-1
39	第二章第四关一星奖励	7410	0	0	0	4035	3	-1	-1	-1	-1	-1	-1
40	第二章第四关二星奖励	22230	0	0	0	4084	10	-1	-1	-1	-1	-1	-1
41	第二章第四关三星奖励	44460	0	0	0	59057	30	-1	-1	-1	-1	-1	-1
42	第二章3星奖励	0	0	0	50	-1	-1	-1	-1	-1	-1	-1	-1
43	第二章6星奖励		0	0	100	-1	-1	-1	-1	-1	-1	-1	-1
44	第二章9星奖励	0	0	0	150	-1	-1	-1	-1	-1	-1	-1	-1
45	第二章12星奖励	0	0	0	200	-1	-1	-1	-1	-1	-1	-1	-1
46	第二章第一关通关后奖励	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
47	第二章第二关通关后奖励	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
48	第二章第三关通关后奖励	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
49	第二章第一关普通奖励	900	8000	2666	0	-1	-1	-1	-1	-1	-1	-1	-1
50	第二章第二关普通奖励	1000	12000	4000	0	-1	-1	-1	-1	-1	-1	-1	-1
51	第二章第三关普通奖励	1100	16500	5500	0	-1	-1	-1	-1	-1	-1	-1	-1
52	第二章第四关普通奖励	1200	22000	7333	0	-1	1	-1	-1	-1	-1	-1	-1
53	第二章第一关扫荡奖励	900	8000	2666	0	-1	-1	-1	-1	-1	-1	-1	-1
54	第二章第二关扫荡奖励	1000	12000	4000	0	-1	-1	-1	-1	-1	-1	-1	-1
55	第二章第三关扫荡奖励	1100	16500	5500	0	-1	-1	-1	-1	-1	-1	-1	-1
56	第二章第四关扫荡奖励	1200	22000	7333	0	-1	1	-1	-1	-1	-1	-1	-1
60	第三章第一关一星奖励	8200	0	0	0	4015	10	-1	-1	-1	-1	-1	-1
61	第三章第一关二星奖励	24600	0	0	0	4025	10	-1	-1	-1	-1	-1	-1
62	第三章第一关三星奖励	49200	0	0	0	23	5	-1	-1	-1	-1	-1	-1
63	第三章第二关一星奖励	8610	0	0	0	59	10	-1	-1	-1	-1	-1	-1
64	第三章第二关二星奖励	25830	0	0	0	4031	10	-1	-1	-1	-1	-1	-1
65	第三章第二关三星奖励	51660	0	0	0	24	10	-1	-1	-1	-1	-1	-1
66	第三章第三关一星奖励	9030	0	0	0	111	5	-1	-1	-1	-1	-1	-1
67	第三章第三关二星奖励	27090	0	0	0	125	5	-1	-1	-1	-1	-1	-1
68	第三章第三关三星奖励	54180	0	0	0	8304	1	-1	-1	-1	-1	-1	-1
69	第三章第四关一星奖励	9900	0	0	0	104	10	-1	-1	-1	-1	-1	-1
70	第三章第四关二星奖励	29700	0	0	0	59378	10	-1	-1	-1	-1	-1	-1
71	第三章第四关三星奖励	59400	0	0	0	100001	10	-1	-1	-1	-1	-1	-1
72	第三章3星奖励	0	0	0	50	-1	-1	-1	-1	-1	-1	-1	-1
73	第三章6星奖励	0	0	0	100	-1	-1	-1	-1	-1	-1	-1	-1
74	第三章9星奖励	0	0	0	150	-1	-1	-1	-1	-1	-1	-1	-1
75	第三章12星奖励	0	0	0	200	-1	-1	-1	-1	-1	-1	-1	-1
76	第三章第一关通关后奖励	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1
77	第三章第二关通关后奖励	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1
78	第三章第三关通关后奖励	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1
79	第三章第一关普通奖励	1300	27000	9000	0	-1	-1	-1	-1	-1	-1	-1	-1
80	第三章第二关普通奖励	1400	33000	11000	0	-1	-1	-1	-1	-1	-1	-1	-1
81	第三章第三关普通奖励	1500	39000	13000	0	-1	-1	-1	-1	-1	-1	-1	-1
82	第三章第四关普通奖励	1600	45000	15000	0	-1	1	-1	-1	-1	-1	-1	-1
83	第三章第一关扫荡奖励	1300	27000	9000	0	-1	-1	-1	-1	-1	-1	-1	-1
84	第三章第二关扫荡奖励	1400	33000	11000	0	-1	-1	-1	-1	-1	-1	-1	-1
85	第三章第三关扫荡奖励	1500	39000	13000	0	-1	-1	-1	-1	-1	-1	-1	-1
86	第三章第四关扫荡奖励	1600	45000	15000	0	-1	1	-1	-1	-1	-1	-1	-1
90	第四章第一关一星奖励	10350	0	0	0	4015	10	-1	-1	-1	-1	-1	-1
91	第四章第一关二星奖励	31050	0	0	0	4025	10	-1	-1	-1	-1	-1	-1
92	第四章第一关三星奖励	62100	0	0	0	60	3	-1	-1	-1	-1	-1	-1
93	第四章第二关一星奖励	11760	0	0	0	59	10	-1	-1	-1	-1	-1	-1
94	第四章第二关二星奖励	35280	0	0	0	4031	10	-1	-1	-1	-1	-1	-1
95	第四章第二关三星奖励	70560	0	0	0	24	10	-1	-1	-1	-1	-1	-1
96	第四章第三关一星奖励	12750	0	0	0	112	5	-1	-1	-1	-1	-1	-1
97	第四章第三关二星奖励	38250	0	0	0	125	5	-1	-1	-1	-1	-1	-1
98	第四章第三关三星奖励	76500	0	0	0	4501	1	-1	-1	-1	-1	-1	-1
99	第四章第四关一星奖励	13780	0	0	0	4016	10	-1	-1	-1	-1	-1	-1
100	第四章第四关二星奖励	41340	0	0	0	8404	1	-1	-1	-1	-1	-1	-1
101	第四章第四关三星奖励	82680	0	0	0	134	3	-1	-1	-1	-1	-1	-1
102	第四章3星奖励	0	0	0	50	-1	-1	-1	-1	-1	-1	-1	-1
103	第四章6星奖励	0	0	0	100	-1	-1	-1	-1	-1	-1	-1	-1
104	第四章9星奖励	0	0	0	150	-1	-1	-1	-1	-1	-1	-1	-1
105	第四章12星奖励	0	0	0	200	-1	-1	-1	-1	-1	-1	-1	-1
106	第四章第一关通关后奖励	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1
107	第四章第二关通关后奖励	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1
108	第四章第三关通关后奖励	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1
109	第四章第一关普通奖励	1700	52000	17333	0	-1	-1	-1	-1	-1	-1	-1	-1
110	第四章第二关普通奖励	1800	59000	19666	0	-1	-1	-1	-1	-1	-1	-1	-1
111	第四章第三关普通奖励	1900	66000	22000	0	-1	-1	-1	-1	-1	-1	-1	-1
112	第四章第四关普通奖励	2000	75000	25000	0	-1	1	-1	-1	-1	-1	-1	-1
113	第四章第一关扫荡奖励	1700	52000	17333	0	-1	-1	-1	-1	-1	-1	-1	-1
114	第四章第二关扫荡奖励	1800	59000	19666	0	-1	-1	-1	-1	-1	-1	-1	-1
115	第四章第三关扫荡奖励	1900	66000	22000	0	-1	-1	-1	-1	-1	-1	-1	-1
116	第四章第四关扫荡奖励	2000	75000	25000	0	-1	1	-1	-1	-1	-1	-1	-1
120	第五章第一关一星奖励	15400	0	0	0	4016	20	-1	-1	-1	-1	-1	-1
121	第五章第一关二星奖励	46200	0	0	0	4026	20	-1	-1	-1	-1	-1	-1
122	第五章第一关三星奖励	92400	0	0	0	24	20	-1	-1	-1	-1	-1	-1
123	第五章第二关一星奖励	17110	0	0	0	59	20	-1	-1	-1	-1	-1	-1
124	第五章第二关二星奖励	51330	0	0	0	4031	20	-1	-1	-1	-1	-1	-1
125	第五章第二关三星奖励	102660	0	0	0	112	5	-1	-1	-1	-1	-1	-1
126	第五章第三关一星奖励	18300	0	0	0	4017	20	-1	-1	-1	-1	-1	-1
127	第五章第三关二星奖励	54900	0	0	0	4027	20	-1	-1	-1	-1	-1	-1
128	第五章第三关三星奖励	109800	0	0	0	4515	1	-1	-1	-1	-1	-1	-1
129	第五章第四关一星奖励	19530	0	0	0	4035	5	-1	-1	-1	-1	-1	-1
130	第五章第四关二星奖励	58590	0	0	0	4084	20	-1	-1	-1	-1	-1	-1
131	第五章第四关三星奖励	117180	0	0	0	73003	1	-1	-1	-1	-1	-1	-1
132	第五章3星奖励	0	0	0	50	-1	-1	-1	-1	-1	-1	-1	-1
133	第五章6星奖励	0	0	0	100	-1	-1	-1	-1	-1	-1	-1	-1
134	第五章9星奖励	0	0	0	150	-1	-1	-1	-1	-1	-1	-1	-1
135	第五章12星奖励	0	0	0	200	-1	-1	-1	-1	-1	-1	-1	-1
136	第五章第一关通关后奖励	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1
137	第五章第二关通关后奖励	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1
138	第五章第三关通关后奖励	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1
139	第五章第一关普通奖励	2100	85000	28333	0	-1	-1	-1	-1	-1	-1	-1	-1
140	第五章第二关普通奖励	2200	96000	32000	0	-1	-1	-1	-1	-1	-1	-1	-1
141	第五章第三关普通奖励	2300	108000	36000	0	-1	-1	-1	-1	-1	-1	-1	-1
142	第五章第四关普通奖励	2400	121000	40333	0	-1	1	-1	-1	-1	-1	-1	-1
143	第五章第一关扫荡奖励	2100	85000	28333	0	-1	-1	-1	-1	-1	-1	-1	-1
144	第五章第二关扫荡奖励	2200	96000	32000	0	-1	-1	-1	-1	-1	-1	-1	-1
145	第五章第三关扫荡奖励	2300	108000	36000	0	-1	-1	-1	-1	-1	-1	-1	-1
146	第五章第四关扫荡奖励	2400	121000	40333	0	-1	1	-1	-1	-1	-1	-1	-1
150	第六章第一关一星奖励	20160	0	0	0	4017	20	-1	-1	-1	-1	-1	-1
151	第六章第一关二星奖励	60480	0	0	0	4027	20	-1	-1	-1	-1	-1	-1
152	第六章第一关三星奖励	120960	0	0	0	24	15	-1	-1	-1	-1	-1	-1
153	第六章第二关一星奖励	20800	0	0	0	111	5	-1	-1	-1	-1	-1	-1
154	第六章第二关二星奖励	62400	0	0	0	112	5	-1	-1	-1	-1	-1	-1
155	第六章第二关三星奖励	124800	0	0	0	8403	1	-1	-1	-1	-1	-1	-1
156	第六章第三关一星奖励	21450	0	0	0	2001	5	-1	-1	-1	-1	-1	-1
157	第六章第三关二星奖励	64350	0	0	0	125	10	-1	-1	-1	-1	-1	-1
158	第六章第三关三星奖励	128700	0	0	0	4508	1	-1	-1	-1	-1	-1	-1
159	第六章第四关一星奖励	23460	0	0	0	2007	20	-1	-1	-1	-1	-1	-1
160	第六章第四关二星奖励	70380	0	0	0	135	10	-1	-1	-1	-1	-1	-1
161	第六章第四关三星奖励	140760	0	0	0	8504	1	-1	-1	-1	-1	-1	-1
162	第六章3星奖励	0	0	0	50	-1	-1	-1	-1	-1	-1	-1	-1
163	第六章6星奖励	0	0	0	100	-1	-1	-1	-1	-1	-1	-1	-1
164	第六章9星奖励	0	0	0	150	-1	-1	-1	-1	-1	-1	-1	-1
165	第六章12星奖励	0	0	0	200	-1	-1	-1	-1	-1	-1	-1	-1
166	第六章第一关通关后奖励	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
167	第六章第二关通关后奖励	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
168	第六章第三关通关后奖励	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
169	第六章第一关普通奖励	2500	135000	45000	0	-1	-1	-1	-1	-1	-1	-1	-1
170	第六章第二关普通奖励	2600	151000	50333	0	-1	-1	-1	-1	-1	-1	-1	-1
171	第六章第三关普通奖励	2700	168000	56000	0	-1	-1	-1	-1	-1	-1	-1	-1
172	第六章第四关普通奖励	2800	220000	73333	0	-1	1	-1	-1	-1	-1	-1	-1
173	第六章第一关扫荡奖励	2500	135000	45000	0	-1	-1	-1	-1	-1	-1	-1	-1
174	第六章第二关扫荡奖励	2600	151000	50333	0	-1	-1	-1	-1	-1	-1	-1	-1
175	第六章第三关扫荡奖励	2700	168000	56000	0	-1	-1	-1	-1	-1	-1	-1	-1
176	第六章第四关扫荡奖励	2800	220000	73333	0	-1	1	-1	-1	-1	-1	-1	-1
180	第七章第一关一星奖励	26280	0	0	0	4018	20	-1	-1	-1	-1	-1	-1
181	第七章第一关二星奖励	78840	0	0	0	4028	20	-1	-1	-1	-1	-1	-1
182	第七章第一关三星奖励	157680	0	0	0	24	30	-1	-1	-1	-1	-1	-1
183	第七章第二关一星奖励	28500	0	0	0	112	10	-1	-1	-1	-1	-1	-1
184	第七章第二关二星奖励	85500	0	0	0	125	10	-1	-1	-1	-1	-1	-1
185	第七章第二关三星奖励	171000	0	0	0	104	20	59378	10	-1	-1	-1	-1
186	第七章第三关一星奖励	30810	0	0	0	2002	5	-1	-1	-1	-1	-1	-1
187	第七章第三关二星奖励	92430	0	0	0	135	10	-1	-1	-1	-1	-1	-1
188	第七章第三关三星奖励	184860	0	0	0	4522	1	-1	-1	-1	-1	-1	-1
189	第七章第四关一星奖励	32400	0	0	0	2008	5	-1	-1	-1	-1	-1	-1
190	第七章第四关二星奖励	97200	0	0	0	100001	20	-1	-1	-1	-1	-1	-1
191	第七章第四关三星奖励	194400	0	0	0	8604	1	-1	-1	-1	-1	-1	-1
192	第七章3星奖励	0	0	0	50	-1	-1	-1	-1	-1	-1	-1	-1
193	第七章6星奖励	0	0	0	100	-1	-1	-1	-1	-1	-1	-1	-1
194	第七章9星奖励	0	0	0	150	-1	-1	-1	-1	-1	-1	-1	-1
195	第七章12星奖励	0	0	0	200	-1	-1	-1	-1	-1	-1	-1	-1
196	第七章第一关通关后奖励	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1
197	第七章第二关通关后奖励	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1
198	第七章第三关通关后奖励	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1
199	第七章第一关普通奖励	2900	367000	122333	0	-1	-1	-1	-1	-1	-1	-1	-1
200	第七章第二关普通奖励	3000	511000	170333	0	-1	-1	-1	-1	-1	-1	-1	-1
201	第七章第三关普通奖励	3100	718000	239333	0	-1	-1	-1	-1	-1	-1	-1	-1
202	第七章第四关普通奖励	3200	882000	294000	0	-1	1	-1	-1	-1	-1	-1	-1
203	第七章第一关扫荡奖励	2900	367000	122333	0	-1	-1	-1	-1	-1	-1	-1	-1
204	第七章第二关扫荡奖励	3000	511000	170333	0	-1	-1	-1	-1	-1	-1	-1	-1
205	第七章第三关扫荡奖励	3100	718000	239333	0	-1	-1	-1	-1	-1	-1	-1	-1
206	第七章第四关扫荡奖励	3200	882000	294000	0	-1	1	-1	-1	-1	-1	-1	-1
