AnimCurveId	Desc	KeyframesIndex	Time	Value	inTangent	outTangent	tangentMode	preWrapMode	postWrapMode
		3	0.01374511	-0.02661145	-62.56042	-62.56042	10	8	4
		4	0.02111138	0.07365598	56.68224	56.68224	10	8	4
		5	0.02461794	0.423445	7.593388	7.593388	10	8	4
		6	0.02968139	-0.004750848	-84.566	-84.566	10	8	4
8	通用震屏4 Z位置偏移	0	0	0	0.2673217	0.2673217	10	8	8
		1	0.07933261	0.02120733	0.2673217	0.2673217	10	8	8
9	通用震屏4 X旋转偏移	0	0	0	-0.1363209	-0.1363209	10	8	8
10	通用震屏4 Y旋转偏移	0	0	0	0.4583723	0.4583723	10	8	4
		1	0.01358401	0.006226534	-1.996514	-1.996514	10	8	4
		2	0.01685495	-0.008333728	-1.901153	-1.901153	10	8	4
		3	0.02989668	0.000131567	0.6490929	0.6490929	10	8	4
11	通用震屏4 Z旋转偏移	0	0	0	-0.1567687	-0.1567687	10	8	8
12	新震屏 测试曲线	0	0	0.008652732	0	0	0	8	8
		1	0.05157663	0.2921963	0	0	0	8	8
		2	0.08288487	-0.2618249	-0.526607	-0.526607	0	8	8
		3	0.1311467	0.2464451	0.2333522	0.2333522	0	8	8
		4	0.1636002	-0.2379344	-0.346005	-0.346005	0	8	8
		5	0.2125097	0.1599194	0.3810227	0.3810227	0	8	8
		6	0.2454756	-0.2317949	-0.5279481	-0.5279481	0	8	8
		7	0.2849766	0.1285824	0.3899634	0.3899634	0	8	8
		8	0.3220428	-0.2152215	-0.4307926	-0.4307926	0	8	8
		9	0.3599625	0.09616258	0.4412234	0.4412234	0	8	8
		10	0.4062677	-0.2116329	-0.9344518	-0.9344518	0	8	8
		11	0.4464749	0.1020151	0.9068102	0.9068102	0	8	8
		12	0.4741365	-0.1878394	-1.201481	-1.201481	0	8	8
		13	0.5240852	0.07862569	2.482831	2.482831	0	8	8
		14	0.5643318	-0.1244847	-1.075342	-1.075342	0	8	8
		15	0.6492297	0.008652732	0	0	0	8	8
13	变身Offset	0	0	0.007716212	0	0	0	8	8
		1	1.102085	0.003933418	0.05424313	0.05424313	0	8	8
		2	1.127145	0.3524162	0	0	0	8	8
		3	1.143695	-0.3660046	-0.8302927	-0.8302927	0	8	8
		4	1.1787	0.3461463	-0.01962538	-0.01962538	0	8	8
		5	1.189022	-0.3616216	4.16712	4.16712	0	8	8
		6	1.214312	0.3452138	12.39561	12.39561	0	8	8
		7	1.219753	-0.3610263	2.311776	2.311776	0	8	8
		8	1.254073	0.3423653	-2.226868	-2.226868	0	8	8
		9	1.281003	-0.3625628	3.557181	3.557181	0	8	8
		10	1.286326	0.3421522	5.039573	5.039573	0	8	8
		11	1.316206	-0.3664322	5.752817	5.752817	0	8	8
		12	1.342425	0.3486146	-1.119948	-1.119948	0	8	8
		13	1.363604	-0.362937	1.72239	1.72239	0	8	8
		14	1.392207	0.3412758	8.458048	8.458048	0	8	8
		15	1.411924	-0.3550277	0.8749614	0.8749614	0	8	8
		16	1.436131	0.3549179	3.71E-05	3.71E-05	0	8	8
		17	1.463113	-0.3730949	-15.42702	-15.42702	0	8	8
		18	1.484714	0.3609856	-0.03705594	-0.03705594	0	8	8
		19	1.523082	-0.3729099	0.00890388	0.00890388	0	8	8
		20	1.5418	0.3575382	-0.05822426	-0.05822426	0	8	8
		21	1.583703	-0.3712052	-0.01635998	-0.01635998	0	8	8
		22	1.610547	0.0009676	-2.206913	-2.206913	0	8	8
14	Demo轨道震动Offset	0	0	1.19E-07	2.396389	2.396389	0	8	8
		1	0.05598539	0.06413651	0.1186484	0.1186484	0	8	8
		2	0.1484451	-0.04868322	0.1777695	0.1777695	0	8	8
		3	0.1993339	0.002590883	0.1731033	0.1731033	0	8	8
15	Demo转场炸车震动	0	0	0.006994128	0	0	0	8	8
		1	0.04911125	0.5211271	0	0	0	8	8
		2	0.1026091	-0.3039885	-0.1674891	-0.1674891	0	8	8
		3	0.1581741	0.5244125	1.647528	1.647528	0	8	8
		4	0.2188958	-0.304393	0.1800805	0.1800805	0	8	8
		5	0.2691915	0.5336862	-0.2701581	-0.2701581	0	8	8
		6	0.3356723	-0.3051381	-0.3642961	-0.3642961	0	8	8
		7	0.3834539	0.5321882	0.449149	0.449149	0	8	8
		8	0.4351789	-0.2983899	1.626114	1.626114	0	8	8
		9	0.4740515	0.004642992	0	0	0	8	8
16	3变普攻1段Offset	0	0.2999235	0.002501292	10.31933	10.31933	0	8	8
		1	0.3111833	0.4219915	2.128429	2.128429	0	8	8
		2	0.3243619	-0.2460241	-26.94636	-26.94636	0	8	8
		3	0.3507667	0.432785	-3.427305	-3.427305	0	8	8
		4	0.3762832	-0.2625335	3.01607	3.01607	0	8	8
		5	0.389239	0.4095894	8.28553	8.28553	0	8	8
		6	0.4165832	-0.2991297	-8.57614	-8.57614	0	8	8
		7	0.4426944	0.412013	2.713379	2.713379	0	8	8
		8	0.4628515	-0.2935274	0.8553229	0.8553229	0	8	8
		9	0.4800424	0.4123505	1.189155	1.189155	0	8	8
		10	0.5006654	-0.000550608	1.30867	1.30867	0	8	8
17	3变普攻2段Offset	0	0.3499101	0.003727872	10.31933	10.31933	0	8	8
		1	0.3607815	0.1052262	-0.1511791	-0.1511791	0	8	8
		2	0.3708424	-0.09214997	1.74715	1.74715	0	8	8
		3	0.3778365	0.002867494	-0.02272935	-0.02272935	0	8	8
		4	0.6000513	0.002059881	-0.058444	-0.058444	0	8	8
		5	0.6135992	0.2303765	0.1739757	0.1739757	0	8	8
		6	0.6361875	-0.2051709	-0.1029873	-0.1029873	0	8	8
		7	0.6500252	0.002972333	1.914019	1.914019	0	8	8
18	3变技能1段Offset	0	0.000440806	-0.003611356	0	4.247118	17	8	8
		1	0.05466909	0.2267025	8.391631	-6.410199	17	8	8
		2	0.1280957	-0.2439765	-5.375514	3.371227	17	8	8
		3	0.1997346	-0.002465404	4.694332	4.694332	0	8	8
19	3变技能2段Offset	0	0.000440806	-0.003611356	0	4.247118	17	8	8
		1	0.05466909	0.2267025	8.391631	-6.410199	17	8	8
		2	0.1280957	-0.2439765	-5.375514	3.371227	17	8	8
		3	0.1997346	-0.002465404	4.694332	4.694332	0	8	8
20	3变技能3段Offset	0	6.32E-05	-0.001229551	10.31933	10.31933	0	8	8
		1	0.03629768	1.755709	-0.1511791	-0.1511791	0	8	8
		2	0.09251006	-1.328819	1.74715	1.74715	0	8	8
		3	0.149496	0.008317128	-0.2664657	-0.2664657	0	8	8
21	demo期boss大招Offset	0	2.393197	0.00064741	0	0	0	8	8
		1	2.436615	0.08528153	0	0	0	8	8
		2	2.504627	-0.07677624	-0.4863925	-0.4863925	0	8	8
		3	2.565676	0.001140303	3.49E-06	3.49E-06	0	8	8
22	（废弃）突刺相机效果Pitch	0	0	0.002188489	0	0	0	8	8
		1	1	0.002188489	0	0	0	8	8
23	（废弃）突刺相机效果Yaw	0	0.03901172	1	25.63332	25.63332	10	8	8
24	突刺相机效果OFFSET	0	0	0	3.02963	3.02963	10	8	8
		1	0.04853726	0.1470499	0.07884932	0.07884932	10	8	8
		2	0.151813	-0.1495509	0.1365619	0.1365619	10	8	8
		3	0.2002284	0.00271827	3.145055	3.145055	10	8	8
25	3变过程相机效果Yaw	0	0	0	22.492	22.492	10	8	8
26	3变过程相机效果Distance	0	0	0	-29.60675	-29.60675	10	8	8
		1	0.1685818	-4.991158	-24.98909	-0.02012754	17	8	8
		2	1.756622	-5.023121	-0.02012754	29.8727	21	8	8
		3	1.92618	0.04202785	29.8727	29.8727	10	8	8
27	双剑士_十字斩01Offset	0	-0.04908494	0.003113091	2.002013	2.002013	10	8	8
		1	0.0213119	0.1440485	-0.1391653	-0.1391653	10	8	8
		2	0.1038737	-0.04422074	-0.606337	-0.606337	10	8	8
		3	0.2212892	0.08114025	0.001330554	0.001330554	10	8	8
		4	0.3261283	-0.03051426	-0.2073852	-0.2073852	10	8	8
		5	0.4438069	0.04600482	0.05312189	0.05312189	10	8	8
		6	0.5734399	-0.02451482	-0.1027789	-0.1027789	10	8	8
		7	0.717422	0.024214	0.006122231	0.006122231	10	8	8
		8	0.8480301	-0.01838933	-0.0973282	-0.0973282	10	8	8
		9	0.9973735	0.001254658	0.1315357	0.1315357	10	8	8
28	普攻第三段震屏Offset	0	6.32E-05	-0.001229551	3.536389	3.536389	0	8	8
		1	0.04095217	0.09859954	0.4690956	0.4690956	0	8	8
		2	0.1009036	-0.1099501	1.74715	1.74715	0	8	8
		3	0.1497352	-0.000683241	-0.2664657	-0.2664657	0	8	8
29	普攻第四段震屏Offset	0	6.32E-05	-0.001229551	3.536389	3.536389	0	8	8
		1	0.03162461	0.1509893	0.4690956	0.4690956	0	8	8
		2	0.07852858	-0.1699175	1.74715	1.74715	0	8	8
		3	0.1156829	0.003411206	1.7948	1.7948	0	8	8
30	出隧道镜头Pitch	0	0.0071688	-3.669476	0	0	0	8	8
		1	0.5272001	-3.018704	2.486958	2.486958	0	8	8
		2	1.501478	-0.001405478	0	0	0	8	8
31	出隧道镜头Yaw	0	0.004166667	-40.23332	0	0	0	8	8
		1	1.500009	-0.000420997	0	0	0	8	8
32	出隧道镜头Distance	0	0	-4.931934	0	0	0	8	8
		1	1.500129	-0.001491487	0	0	0	8	8
33	DemoCG2Boss离场Yaw	0	0	1.19E-07	-0.006729931	-0.006729931	0	8	8
		1	10.04225	9.362389	0	0	0	8	8
34	DemoCG2Boss离场Distance	0	0	1.19E-07	19.65745	19.65745	0	8	8
		1	0.2275465	3.354957	11.99696	11.99696	0	8	8
		2	0.5858805	5.907081	2.309555	2.309555	0	8	8
		3	1.626994	6.988934	-0.0530253	-0.0530253	0	8	8
		4	3.843256	5.64095	-0.3974852	-0.3974852	0	8	8
		5	10.05412	4.1776	0	0	0	8	8
35	BOSS出场Offset	0	6.32E-05	0.008378556	10.31933	10.31933	0	8	8
		1	0.04023443	0.7279935	-0.1511791	-0.1511791	0	8	8
		2	0.09596927	-0.7328398	1.74715	1.74715	0	8	8
		3	0.149496	0.01792523	-0.2664657	-0.2664657	0	8	8
36	火车持续小爆炸Offset	0	0	0	0.2898567	0.2898567	10	8	8
		1	0.04770775	0.01382841	0.2768614	-0.3694313	17	8	8
		2	0.1193752	-0.01264779	-0.1921868	0.6035761	17	8	8
		3	0.1776018	0.02249642	0.6035761	-0.4875208	21	8	8
		4	0.2641553	-0.01970018	-0.4875208	0.3000961	5	8	8
		5	0.3352133	0.02783871	0.4194843	-0.2183998	1	8	8
		6	0.4404055	-0.02849406	-0.1893278	0.7337558	17	8	8
		7	0.5241631	0.03296353	0.7337558	-0.6851965	21	8	8
		8	0.6250466	-0.03616152	-0.2393482	1.202827	17	8	8
		9	0.6903662	0.04240665	0.4652143	-0.4532888	1	8	8
		10	0.7955641	-0.04254233	-0.8075163	0.4677382	5	8	8
		11	0.8541743	0.04942916	0.2134169	-0.999963	17	8	8
		12	0.9533519	-0.04974477	-0.999963	1.134664	21	8	8
		13	0.9974722	0.000316899	1.134664	1.134664	10	8	8
37	火车&时空稳定器大爆炸Offset	0	6.32E-05	-0.001229551	3.536389	6.703166	17	8	8
		1	0.09958949	0.6659117	5.400321	-13.83638	17	8	8
		2	0.199741	-0.7198235	-8.259852	12.30543	17	8	8
		3	0.2989318	0.5007609	12.30543	-10.11126	21	8	8
		4	0.3988916	-0.5099589	-10.11126	10.2803	5	8	8
		5	0.4623763	0.3979165	14.68513	-12.48886	17	8	8
		6	0.5299156	-0.4455726	-12.48886	12.60747	21	8	8
		7	0.5837157	0.2327112	14.04835	-8.874163	17	8	8
		8	0.6633608	-0.4740718	-7.26639	10.30378	1	8	8
		9	0.6992275	0.00471672	12.12427	0	1	8	8
38	山洞落石震动Offset	0	0	0	0.3662394	0.3662394	10	8	8
		1	0.0901956	0.03303318	0.2768614	-0.6296266	17	8	8
		2	0.1718801	-0.01839754	-0.5260966	0.3655089	17	8	8
		3	0.2895894	0.02462625	0.3028322	-0.3803672	17	8	8
		4	0.3939616	-0.01507352	-0.3337758	0.4011643	17	8	8
		5	0.4826787	0.02051661	0.3604695	-0.3340603	17	8	8
		6	0.5781842	-0.01138798	-0.3149669	0.3258069	17	8	8
		7	0.6663052	0.01732245	0.2742355	-0.3025922	17	8	8
		8	0.7565244	-0.009977177	-0.3025922	0.3216394	21	8	8
		9	0.8245052	0.01188813	0.2403851	-0.2588044	17	8	8
		10	0.9003922	-0.007751764	-0.2588044	0.3163048	21	8	8
		11	0.9508238	0.008199977	0.2384625	-0.1876837	17	8	8
		12	0.9961767	-0.000312032	-0.1876837	-0.1876837	10	8	8
40	双剑士2变普攻1段Pitch	0	0	0.002202667	9.248392	9.248392	10	8	8
41	双剑士2变普攻1段Yaw	0	0	0	4.641306	4.641306	10	8	8
42	双剑士2变普攻1段Distance	0	0	0	4.408079	10.10868	1	8	8
		1	0.06057906	0.6355184	7.356524	-14.18407	17	8	8
		2	0.1496891	-0.6284249	-9.693441	12.47911	17	8	8
		3	0.2003447	0.003711008	12.47911	12.47911	10	8	8
43	双剑士2变普攻2段Offset	0	0.000440806	-0.003611356	0	5.443416	17	8	8
		1	0.05596488	0.2986293	8.391631	-8.168662	17	8	8
		2	0.1296506	-0.3032846	-10.35064	4.292267	17	8	8
		3	0.1997346	-0.002465404	4.694332	4.694332	0	8	8
44	双剑士2变普攻3段Offset	0	0.000440806	-0.003611356	0	4.247118	17	8	8
		1	0.05466909	0.2267025	8.391631	-6.410199	17	8	8
		2	0.1280957	-0.2439765	-5.375514	3.371227	17	8	8
		3	0.1997346	-0.002465404	4.694332	4.694332	0	8	8
45	双剑士2变普攻4段Offset	0	0.000440806	-0.003611356	0	6.039116	17	8	8
		1	0.06462511	0.3840052	8.391631	-8.042816	17	8	8
		2	0.1498578	-0.3015059	-10.35064	5.995584	17	8	8
		3	0.1997346	-0.002465404	9.718167	9.718167	0	8	8
46	双剑士2变隐身技能特效Offset	0	0	0	8.424396	8.424396	10	8	8
		1	0.04113147	0.3465078	-12.08535	-12.08535	10	8	8
		2	0.06661581	-0.4841569	-9.027605	-9.027605	10	8	8
		3	0.09997334	0.000858193	14.5399	14.5399	10	8	8
47	赤炎樱魔_地狱赤焰Offset	0	0.000440806	0.000161863	0	-0.6799336	17	8	8
		1	0.08642627	-0.05830255	-0.6799336	0.8524176	5	8	8
		2	0.1662161	0.05619127	0.5464647	-0.396814	17	8	8
		3	0.3090901	-0.000503148	-0.04235751	0.000105335	17	8	8
		4	0.9717851	-0.000433343	0.000105335	0.08301981	5	8	8
		5	1.08592	0.1011331	0.2510101	-0.3313492	1	8	8
		6	1.240984	-0.1003476	-0.2887855	0.2003386	1	8	8
		7	1.336195	0.001902809	0.3765523	0.3765523	1	8	8
48	赤炎樱魔_地狱风暴Offset	0	0.000440806	-0.005473442	0	-1.213609	17	8	8
		1	0.04883744	-0.06420804	-1.213609	-0.3922777	5	8	8
		2	0.06674257	0.04961675	8.391631	-1.243697	17	8	8
		3	0.1580665	-0.06396255	-1.243697	0.3774298	5	8	8
		4	0.2037765	0.0521607	2.323389	-0.9274613	1	8	8
		5	0.3114124	-0.0683696	-2.543777	0.3151452	1	8	8
		6	0.3703151	0.0552459	0.308121	-1.82636	17	8	8
		7	0.4373637	-0.067209	-1.325709	1.24724	1	8	8
		8	0.518515	0.05694189	1.966804	-1.411249	17	8	8
		9	0.6065492	-0.06729628	-1.468895	2.551724	17	8	8
		10	0.6549038	0.05609139	2.551724	-0.8733864	5	8	8
		11	0.7572521	-0.06843454	-2.268332	2.493496	1	8	8
		12	0.8030483	0.05774185	4.040823	0.3488703	1	8	8
		13	0.8620438	-0.0652752	0.07065241	-0.2885351	1	8	8
		14	0.9425791	0.0568504	3.166273	-2.117036	1	8	8
		15	0.9915633	-0.06839033	-0.4416704	-0.4416704	1	8	8
		16	1.081965	0.05752233	0.2510101	0.2510101	1	8	8
		17	1.135839	-0.06775298	-1.371726	0.2003386	1	8	8
		18	1.209501	0.06003043	3.713071	-0.2176976	1	8	8
		19	1.262389	-0.06654406	0.3765523	0.3765523	1	8	8
49	赤炎樱魔_续命补气Offset	0	0.000440806	-0.005473442	0	-1.213609	17	8	8
		1	0.04883744	-0.06420804	-1.213609	-0.3922777	5	8	8
		2	0.06674257	0.04961675	8.391631	-1.243696	17	8	8
		3	0.1580665	-0.06396255	-1.243696	0.3774298	5	8	8
		4	0.2037765	0.0521607	2.323389	-0.9274613	1	8	8
		5	0.3114124	-0.0683696	-2.543777	0.3151452	1	8	8
		6	0.3703151	0.0552459	0.308121	-1.82636	17	8	8
		7	0.4373637	-0.067209	-1.325709	1.24724	1	8	8
		8	0.518515	0.05694189	1.966804	-1.411249	17	8	8
		9	0.6065492	-0.06729628	-1.468895	2.551724	17	8	8
		10	0.6549038	0.05609139	2.551724	-0.8733864	5	8	8
		11	0.7572521	-0.06843454	-2.268332	2.493496	1	8	8
		12	0.8030483	0.05774185	4.040823	0.3488703	1	8	8
		13	0.8620438	-0.0652752	0.07065241	-0.2885351	1	8	8
		14	0.9425791	0.0568504	3.166273	-2.117036	1	8	8
		15	0.9915633	-0.06839033	-0.4416704	-0.4416704	1	8	8
		16	1.081965	0.05752233	0.2510101	0.2510101	1	8	8
		17	1.135839	-0.06775298	-1.371726	0.2003386	1	8	8
		18	1.209501	0.06003043	3.713071	-0.2176976	1	8	8
		19	1.262389	-0.06654406	0.3765523	0.3765523	1	8	8
		20	1.332563	0.05847305	0.2925843	-0.1225369	1	8	8
		21	1.409521	-0.06879269	-1.305789	0.09736999	1	8	8
		22	1.463928	0.05569577	0.1838803	0.1838803	1	8	8
		23	1.516417	-0.06248516	-0.8927545	3.597009	1	8	8
		24	1.658151	0.3465342	0.01801726	0.01801726	0	8	8
		25	1.781929	-0.3986841	0.03751367	-0.1944046	1	8	8
		26	1.903762	-0.001097955	1.709079	-2.096878	1	8	8
50	瑟克萨斯普攻Offset	0	0.000440806	-0.003611356	0	6.039116	17	8	8
		1	0.06462511	0.3840052	8.391631	-8.042816	17	8	8
		2	0.1498578	-0.3015059	-10.35064	5.995584	17	8	8
		3	0.1997346	-0.002465404	9.718167	9.718167	0	8	8
51	骑乘冲锋Distance	0	0	0	24.40676	24.40676	10	8	8
		1	0.04070913	0.9935778	-2.13947	-2.13947	10	8	8
		2	0.1094665	-0.9787748	-2.597837	-2.597837	10	8	8
		3	0.1502257	-0.02134043	23.49002	23.49002	10	8	8
52	双剑士_十字斩02Offset	0	-0.04908494	0.003113091	7.543977	7.543977	10	8	8
		1	0.04961308	0.7476887	-7.788443	-7.788443	10	8	8
		2	0.08175894	0.004448652	-11.55262	-11.55262	10	8	8
		3	0.2474177	0.007036194	0.01561971	0.01561971	10	8	8
53	狂战士普攻1段Dis	0	0	0	24.40676	24.40676	10	8	8
		1	0.04070913	0.9935778	-2.13947	-2.13947	10	8	8
		2	0.1094665	-0.9787748	-2.597837	-2.597837	10	8	8
		3	0.1502257	-0.02134043	23.49002	23.49002	10	8	8
54	狂战士普攻1段off	0	0	0	3.02963	3.02963	10	8	8
		1	0.04853726	0.1470499	0.07884932	0.07884932	10	8	8
		2	0.151813	-0.1495509	0.1365619	0.1365619	10	8	8
		3	0.2002284	0.00271827	3.145055	3.145055	10	8	8
55	狂战士普攻2段Dis	0	0	0	8.018825	8.018825	10	8	8
		1	0.0252249	0.2022741	-0.02474785	-0.02474785	10	8	8
		2	0.07497067	-0.1990907	0.008420944	0.008420944	10	8	8
		3	0.09986429	0.0021782	8.085162	8.085162	10	8	8
56	狂战士普攻2段off	0	0	0	3.02963	3.02963	10	8	8
		1	0.04853726	0.1470499	0.07884932	0.07884932	10	8	8
		2	0.151813	-0.1495509	0.1365619	0.1365619	10	8	8
		3	0.2002284	0.00271827	3.145055	3.145055	10	8	8
57	狂战士普攻3段Dis	0	0	0	24.40676	24.40676	10	8	8
		1	0.04070913	0.9935778	-2.13947	-2.13947	10	8	8
		2	0.1094665	-0.9787748	-2.597837	-2.597837	10	8	8
		3	0.1502257	-0.02134043	23.49002	23.49002	10	8	8
58	狂战士普攻3段Off	0	0	0	3.02963	3.02963	10	8	8
		1	0.04853726	0.1470499	0.07884932	0.07884932	10	8	8
		2	0.151813	-0.1495509	0.1365619	0.1365619	10	8	8
		3	0.2002284	0.00271827	3.145055	3.145055	10	8	8
59	狂战士普攻4段Dis	0	0	0	24.40676	24.40676	10	8	8
		1	0.04070913	0.9935778	-2.13947	-2.13947	10	8	8
		2	0.1094665	-0.9787748	-2.597837	-2.597837	10	8	8
		3	0.1502257	-0.02134043	23.49002	23.49002	10	8	8
60	狂战士普攻4段Off	0	0	0	3.02963	3.02963	10	8	8
		1	0.04853726	0.1470499	0.07884932	0.07884932	10	8	8
		2	0.151813	-0.1495509	0.1365619	0.1365619	10	8	8
		3	0.2002284	0.00271827	3.145055	3.145055	10	8	8
61	狂战士技能1段Dis	0	0	0	26.17009	26.17009	10	8	8
		1	0.01473015	0.3854892	-13.38999	-13.38999	10	8	8
		2	0.02950931	-0.3970684	-7.61241	-7.61241	10	8	8
		3	0.05054653	0.3965661	-1.613186	-1.613186	10	8	8
		4	0.06984823	-0.3938699	-0.9565945	-0.9565945	10	8	8
		5	0.09012594	0.39774	6.395905	6.395905	10	8	8
		6	0.1202626	-0.393246	-6.466712	-6.466712	10	8	8
		7	0.149716	-0.001126726	13.3132	13.3132	10	8	8
62	狂战士技能1段Off	0	0	0	26.17009	26.17009	10	8	8
		1	0.01473015	0.3854892	-13.38999	-13.38999	10	8	8
		2	0.02950931	-0.3970684	-7.61241	-7.61241	10	8	8
		3	0.05054653	0.3965661	-1.613186	-1.613186	10	8	8
		4	0.06984823	-0.3938699	-0.9565945	-0.9565945	10	8	8
		5	0.09012594	0.39774	6.395905	6.395905	10	8	8
		6	0.1202626	-0.393246	-6.466712	-6.466712	10	8	8
		7	0.149716	-0.001126726	13.3132	13.3132	10	8	8
63	狂战士技能2段Dis	0	0	0	3.830378	3.830378	10	8	8
		1	0.03982284	0.1525365	-0.2316115	-0.2316115	10	8	8
		2	0.1100574	-0.1490225	-0.4688625	-0.4688625	10	8	8
		3	0.1545094	0.000153104	3.355876	3.355876	10	8	8
64	狂战士技能2段Off	0	0	0	3.02963	3.02963	10	8	8
		1	0.04853726	0.1470499	0.07884932	0.07884932	10	8	8
		2	0.151813	-0.1495509	0.1365619	0.1365619	10	8	8
		3	0.2002284	0.00271827	3.145055	3.145055	10	8	8
65	狂战士技能2Dis	0	0	0	26.17009	26.17009	10	8	8
		1	0.01473015	0.3854892	-13.38999	-13.38999	10	8	8
		2	0.02950931	-0.3970684	-7.61241	-7.61241	10	8	8
		3	0.05054653	0.3965661	-1.613186	-1.613186	10	8	8
		4	0.06984823	-0.3938699	-0.9565945	-0.9565945	10	8	8
		5	0.09012594	0.39774	6.395905	6.395905	10	8	8
		6	0.1202626	-0.393246	-6.466712	-6.466712	10	8	8
		7	0.149716	-0.001126726	13.3132	13.3132	10	8	8
66	狂战士技能2off	0	0	0	26.17009	26.17009	10	8	8
		1	0.01473015	0.3854892	-13.38999	-13.38999	10	8	8
		2	0.02950931	-0.3970684	-7.61241	-7.61241	10	8	8
		3	0.05054653	0.3965661	-1.613186	-1.613186	10	8	8
		4	0.06984823	-0.3938699	-0.9565945	-0.9565945	10	8	8
		5	0.09012594	0.39774	6.395905	6.395905	10	8	8
		6	0.1202626	-0.393246	-6.466712	-6.466712	10	8	8
		7	0.149716	-0.001126726	13.3132	13.3132	10	8	8
67	狂战士技能3Dis	0	0	0	3.830378	3.830378	10	8	8
		1	0.03982284	0.1525365	-0.2316115	-0.2316115	10	8	8
		2	0.1100574	-0.1490225	-0.4688625	-0.4688625	10	8	8
		3	0.1545094	0.000153104	3.355876	3.355876	10	8	8
68	狂战士技能3OFF	0	0	0	3.02963	3.02963	10	8	8
		1	0.04853726	0.1470499	0.07884932	0.07884932	10	8	8
		2	0.151813	-0.1495509	0.1365619	0.1365619	10	8	8
		3	0.2002284	0.00271827	3.145055	3.145055	10	8	8
69	狂战士技能4Dis1段	0	0	0	3.830378	3.830378	10	8	8
		1	0.03982284	0.1525365	-0.2316115	-0.2316115	10	8	8
		2	0.1100574	-0.1490225	-0.4688625	-0.4688625	10	8	8
		3	0.1545094	0.000153104	3.355876	3.355876	10	8	8
70	狂战士技能4OFF1段	0	0	0	3.02963	3.02963	10	8	8
		1	0.04853726	0.1470499	0.07884932	0.07884932	10	8	8
		2	0.151813	-0.1495509	0.1365619	0.1365619	10	8	8
		3	0.2002284	0.00271827	3.145055	3.145055	10	8	8
71	狂战士技能4Dis2段	0	0	0	3.830378	3.830378	10	8	8
		1	0.03982284	0.1525365	-0.2316115	-0.2316115	10	8	8
		2	0.1100574	-0.1490225	-0.4688625	-0.4688625	10	8	8
