Id	Desc	EffectIdFirst	EffectIdSecond	EffectIdThrid	EffectIdFour	EffectPointNameFirst	EffectPointNameSecond	ModeName	Angle_X	Angle_Y	Angle_Z	Scale_X	Scale_Y	Scale_Z
61	三阶机械翅膀	1011	1012	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_001_002	-90	90	0	1	1	1
62	三阶机械翅膀	1011	1012	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_001_002	-90	90	0	1	1	1
63	三阶机械翅膀	1011	1012	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_001_002	-90	90	0	1	1	1
64	三阶机械翅膀	1011	1012	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_001_002	-90	90	0	1	1	1
65	四阶机械翅膀	1011	1012	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_001_002	-90	90	0	1	1	1
66	四阶机械翅膀	1011	1012	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_001_002	-90	90	0	1	1	1
67	四阶机械翅膀	1011	1012	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_001_002	-90	90	0	1	1	1
68	四阶机械翅膀	1011	1012	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_001_002	-90	90	0	1	1	1
69	四阶机械翅膀	1011	1012	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_001_002	-90	90	0	1	1	1
70	五阶机械翅膀	1013	1014	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_001_003	-90	90	0	1	1	1
71	五阶机械翅膀	1013	1014	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_001_003	-90	90	0	1	1	1
72	五阶机械翅膀	1013	1014	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_001_003	-90	90	0	1	1	1
73	五阶机械翅膀	1013	1014	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_001_003	-90	90	0	1	1	1
74	五阶机械翅膀	1013	1014	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_001_003	-90	90	0	1	1	1
75	六阶机械翅膀	1013	1014	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_001_003	-90	90	0	1	1	1
76	六阶机械翅膀	1013	1014	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_001_003	-90	90	0	1	1	1
77	六阶机械翅膀	1013	1014	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_001_003	-90	90	0	1	1	1
78	六阶机械翅膀	1013	1014	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_001_003	-90	90	0	1	1	1
79	六阶机械翅膀	1013	1014	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_001_003	-90	90	0	1	1	1
80	七阶机械翅膀	1013	1014	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_004_001	-90	90	0	1	1	1
81	七阶机械翅膀	1013	1014	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_004_001	-90	90	0	1	1	1
82	七阶机械翅膀	1013	1014	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_004_001	-90	90	0	1	1	1
83	七阶机械翅膀	1013	1014	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_004_001	-90	90	0	1	1	1
84	七阶机械翅膀	1013	1014	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_004_001	-90	90	0	1	1	1
85	八阶机械翅膀	1015	1016	1017	1018	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_004_001	-90	90	0	1	1	1
86	八阶机械翅膀	1015	1016	1017	1018	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_004_001	-90	90	0	1	1	1
87	八阶机械翅膀	1015	1016	1017	1018	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_004_001	-90	90	0	1	1	1
88	八阶机械翅膀	1015	1016	1017	1018	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_004_001	-90	90	0	1	1	1
89	八阶机械翅膀	1015	1016	1017	1018	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_004_001	-90	90	0	1	1	1
90	九阶机械翅膀	1015	1016	1017	1018	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_005_001	-90	90	0	1	1	1
91	九阶机械翅膀	1015	1016	1017	1018	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_005_001	-90	90	0	1	1	1
92	九阶机械翅膀	1015	1016	1017	1018	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_005_001	-90	90	0	1	1	1
93	九阶机械翅膀	1015	1016	1017	1018	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_005_001	-90	90	0	1	1	1
94	九阶机械翅膀	1015	1016	1017	1018	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_005_001	-90	90	0	1	1	1
95	十阶机械翅膀	1019	1020	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_005_001	-90	90	0	1	1	1
96	十阶机械翅膀	1019	1020	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_005_001	-90	90	0	1	1	1
97	十阶机械翅膀	1019	1020	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_005_001	-90	90	0	1	1	1
98	十阶机械翅膀	1019	1020	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_005_001	-90	90	0	1	1	1
99	十阶机械翅膀	1019	1020	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_005_001	-90	90	0	1	1	1
100	黄金机械之翼	1019	1020	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_jixie_gaoji_001	-90	90	0	1	1	1
101	王者羽翼	1009	1010	-1	-1	Point01_chibang/Bone14/Bone15/Point01	Point01_chibang/Bone14(mirrored)/Bone15(mirrored)/Point02	Cb_yumao_gaoji_001	-90	90	0	1	1	1
