Id	Desc	ResPath	PosX	PosY	PosZ	RotX	RotY	RotZ	ScaleX	ScaleY	ScaleZ
16	副本黄昏边境2	DynamisObstacleRoot	50.3	16.29	11.14	0	303.9621	0	15.75	1	1
17	副本黄昏边境4	DynamisObstacleRoot	19.65	19.23	63.55	0	312.2707	0	3.85	1	1
18	副本黄昏边境4	DynamisObstacleRoot	21.55	18.97	74.45	0	270.552	0	6.16	1	1
19	副本黄昏边境4	DynamisObstacleRoot	16.32	19.03	73.93	0	269.1754	0	1	1	15.08
20	副本黄昏边境4	DynamisObstacleRoot	8.53	18.91	82.17	0	271.5819	0	14.61	1	1
21	黄昏要塞剧情副本1	DynamisObstacleRoot	43.6	23.26	86.26	0	292.6696	0	13.4	1	1
22	黄昏要塞剧情副本1	DynamisObstacleRoot	27	23.42	89.41	0	0.4497095	0	1	1	14.7
23	副本黄昏边境3	DynamisObstacleRoot	10.94	18.73	13.55	0	0	0	21.98	1	1
24	黄昏要塞剧情副本2	DynamisObstacleRoot	38.22	24.58	74.46	0	1.162846	0	1	1	8.01
25	黄昏要塞剧情副本2	DynamisObstacleRoot	43.8	23.46	87.01	0	297.4653	0	12.29	1	1
26	黄昏要塞剧情副本2	DynamisObstacleRoot	52.2	23.4	77.3	0	0	0	1	1	23
27	黄昏要塞剧情副本2	DynamisObstacleRoot	69.3	23.4	66.7	0	268.7196	0	1	1	14.1
28	黄昏要塞剧情副本2	DynamisObstacleRoot	72.96	23.4	81.09	0	351.9281	0	1	1	14.1
29	黄昏要塞剧情副本3	DynamisObstacleRoot	65.09	15.33	29.95	0	297.0896	0	26	1	1
30	遗忘废墟（替代）副本1	DynamisObstacleRoot	56.56	19.37	17.51	0	178.8976	0	1	1	16.6
31	遗忘废墟（替代）副本1	DynamisObstacleRoot	25.43	19.4	13.14	0	0	0	1	1	24.34
32	遗忘废墟（替代）副本1	DynamisObstacleRoot	10.99	19.4	13.14	0	0	0	1	1	24.34
33	遗忘废墟（替代）副本1	DynamisObstacleRoot	12.46	19.4	24.97	0	0	0	17	1	1
34	遗忘废墟（替代）副本2	DynamisObstacleRoot	76.56	19.13	58.1	0	87.4211	0	18.5	1	1
35	遗忘废墟（替代）副本3	DynamisObstacleRoot	85.07	19.13	50.83	0	357.4931	0	22.4	1	1
36	试水	DynamisObstacleRoot	65.3	20.4	78.9	0	16.74125	0	1	1	45.9
37	再试	DynamisObstacleRoot	81.81	20.41	75.53	0	16.52958	0	1	1	39.6
38	血色冰封剧情副本1	DynamisObstacleRoot	25.61	22.64	67.85	0	0	0	1	13.2	53.01
39	血色冰封剧情副本1	DynamisObstacleRoot	11.02	22.88	43.59	0	0	0	33.26	1	1
40	血色冰封剧情副本1一二阶段	DynamisObstacleRoot	14.06	22.88	74.92	0	0	0	33.26	1	1
41	血色冰封剧情副本1二三阶段	DynamisObstacleRoot	14.06	22.88	59.42	0	0	0	33.26	1	1
42	血色冰封剧情副本1没啥卵用的	DynamisObstacleRoot	1.08	22.9	48.61	0	283.9185	0	12.65	1	1
43	黄昏要塞活动本1阶段结束后消失	DynamisObstacleRoot	59.67	10	27.44	0	0	0	8.4	1	1
44	黄昏要塞活动本2阶段结束后消失	DynamisObstacleRoot	43.98	10	47.14	0	0	0	1	1	18.88
45	黄昏要塞活动本3阶段结束后消失	DynamisObstacleRoot	3.74	9.61	39.25	0	0	0	15.59	1	1
46	黄昏要塞活动本2阶段开始后出现	DynamisObstacleRoot	59.67	10	36.86	0	0	0	9.04	1	1
47	黄昏要塞活动本3阶段开始后出现	DynamisObstacleRoot	28.6	10	47.1	0	0	0	1	1	18.88
48	黄昏要塞活动本4阶段开始后出现	DynamisObstacleRoot	8.49	9.18	19.3	0	0	0	1	1	13.61
49	血色冰封剧情副本3	DynamisObstacleRoot	76.93	18.99	8.84	0	0	0	1	1	16.39
50	血色冰封剧情副本3	DynamisObstacleRoot	87.74	18.99	14.14	0	0	0	1	1	31.19
51	血色冰封剧情副本3	DynamisObstacleRoot	83.01	18.99	15.2	0	0	0	13.3	1	1
52	黄昏湖畔剧情副本1	DynamisObstacleRoot	58.01	4.1	78.96	0	0	0	1	1	15
53	黄昏湖畔剧情副本1	DynamisObstacleRoot	75.35	4.1	78.96	0	0	0	1	1	10
54	黄昏湖畔剧情副本2	DynamisObstacleRoot	51.46	3.08	24.72	0	0	0	1	1	34.51
55	黄昏湖畔剧情副本2	DynamisObstacleRoot	29.75	3.08	38.44	0	0	0	21.41	1	1
56	黄昏湖畔剧情副本3	DynamisObstacleRoot	28.75	3.87	66.74	0	330.3114	0	34.75	1	1
57	黄昏之湖剧情副本1	DynamisObstacleRoot	28.79	16.02	21.65	0	0	0	1	1	9.42
58	黄昏之湖剧情副本1	DynamisObstacleRoot	17.52	16.02	30.43	0	0	0	23.13	1	1
59	黄昏之湖剧情副本2	DynamisObstacleRoot	43.1	16	72.11	0	0	0	1	1	24.9
60	黄昏之湖剧情副本2	DynamisObstacleRoot	16.1	16	72.1	0	0	0	1	1	35.73
61	黄昏之湖剧情副本2	DynamisObstacleRoot	24.3	16	65.1	0	0	0	23.13	1	1
62	黄昏之湖剧情副本2	DynamisObstacleRoot	30.26	16	75	0	0	0	1	1	24.9
63	黄昏之湖剧情副本3	DynamisObstacleRoot	62.55	19.74	72.1	0	0	0	1	1	24.9
64	呼啸沙漠剧情副本1	DynamisObstacleRoot	80.3	15.31	76.5	0	0	0	30.6	1	1
65	呼啸沙漠剧情副本1，2阶段	DynamisObstacleRoot	80.3	15.31	64.43	0	0	0	30.6	1	1
66	呼啸沙漠剧情副本1，3阶段	DynamisObstacleRoot	78.79	15.31	53.48	0	0	0	9.3	1	1
67	呼啸沙漠剧情副本1和2	DynamisObstacleRoot	80.17	15.31	43.5	0	0	0	11.64	1	1
68	呼啸沙漠剧情副本2	DynamisObstacleRoot	67.49	15.31	28.58	0	0	0	1	1	24.3
69	呼啸沙漠剧情副本2	DynamisObstacleRoot	82.38	15.31	21.7	0	0	0	34.31	1	1
70	呼啸沙漠剧情副本2，2阶段	DynamisObstacleRoot	77.6	15.3	32.8	0	0	0	1	1	24.3
71	呼啸沙漠剧情副本2，3阶段	DynamisObstacleRoot	86.7	15.3	32.8	0	0	0	1	1	24.3
72	呼啸沙漠剧情副本3	DynamisObstacleRoot	41.14	15.31	20.47	0	0	0	1	1	24.3
73	呼啸沙漠剧情副本3	DynamisObstacleRoot	30.2	15.31	31.93	0	0	0	24.6	1	1
74	呼啸沙漠剧情副本4	DynamisObstacleRoot	21.57	18.5	71.8	0	0	0	1	1	9.82
75	呼啸沙漠剧情副本4	DynamisObstacleRoot	15.8	18.5	67.35	0	0	0	24.6	1	1
76	呼啸沙漠剧情副本4，2阶段	DynamisObstacleRoot	12.43	18.5	73.44	0	313.4348	0	24.6	1	1
77	雷纳堡边境剧情副本1/2	DynamisObstacleRoot	11.99	22.3	21.75	0	0	0	42.07	1	1
78	雷纳堡边境剧情副本1/2	DynamisObstacleRoot	11.99	22.3	10.47	0	0	0	42.07	1	1
79	雷纳堡边境剧情副本1/2	DynamisObstacleRoot	33.71	22.3	18.41	0	0	0	1	1	15.62
80	雷纳堡边境剧情副本3	DynamisObstacleRoot	32.28	24.33	72.07	0	0	0	23.6	1	1
81	雷纳堡边境剧情副本3	DynamisObstacleRoot	42.72	24.33	61.39	0	0	0	1	1	18.7
82	雷纳堡副本1	DynamisObstacleRoot	58.89	10.22	88.8	0	0	0	1	1	11.8
83	雷纳堡副本1	DynamisObstacleRoot	38.56	10.22	84.65	0	0	0	1	1	21.97
84	雷纳堡副本2	DynamisObstacleRoot	63.58	5	35.63	0	90.00111	0	1	1	28.87
85	雷纳堡副本2	DynamisObstacleRoot	63.53	5	19.02	0	90.00111	0	1	1	19.9
86	血色冰封副本1	DynamisObstacleRoot	9.93	8.4	84.59	0	0	0	1	1	29.5
87	"血色冰封副本1,2阶段"	DynamisObstacleRoot	25.05	8.4	74	0	0	0	31.1	1	1
88	血色冰封副本1	DynamisObstacleRoot	18.69	8.4	51.11	0	0	0	31.1	1	1
89	"血色冰封副本1,3阶段"	DynamisObstacleRoot	14.63	8.4	59.49	0	0	0	1	1	29.5
90	血色冰封副本2	DynamisObstacleRoot	75.11	2.408	60.8	0	0	0	42	1	1
91	血色冰封副本2	DynamisObstacleRoot	68.33	2.41	32.1	0	0	0	15	1	1
92	血色冰封副本3	DynamisObstacleRoot	75.11	2.41	75.73	0	0	0	42	1	1
93	血色冰封副本3	DynamisObstacleRoot	88.25	2.41	72.31	0	0	0	1	1	25.98
94	血色冰封副本2	DynamisObstacleRoot	79.74	2.11	51.41	0	0	0	1	1	18.7
95	第八章副本1	DynamisObstacleRoot	15.5	19	13.92	0	0	0	1	1	23.28
96	第八章副本1	DynamisObstacleRoot	24.36	19	13.92	0	0	0	1	1	23.28
97	剧情副本8-2	DynamisObstacleRoot	85.12	2	47.42	0	0	0	16.8	1	1
98	剧情副本8-2	DynamisObstacleRoot	85.12	2	34.51	0	0	0	16.8	1	1
99	剧情副本8-3	DynamisObstacleRoot	18.57	10.34	75.62	0	24.48001	0	18.8	1	1
100	剧情副本8-3	DynamisObstacleRoot	11.26	10.34	65.51	0	24.48001	0	18.8	1	1
101	剧情副本8-4	DynamisObstacleRoot	33.18	24	70.7	0	0	0	15.2	1	1
102	剧情副本8-4	DynamisObstacleRoot	39.53	24	62.72	0	0	0	1	1	14.18
103	剧情副本8-4	DynamisObstacleRoot	29.28	24	62.07	0	0	0	1	1	14.18
