Id	Desc	Name	IsShowSkillName	IsAutoSelectTar	IsMoveToTarInAutoCombat	Icon 	ProfessionId	IsNeedWeapon	PriorityAutoFight	SkillClass	UseType	IsMove	IsMoveBreak	IsSkillBreak	IsBreakBeAttacked	TargetType	SelLogic	PlayAttackSound	IsNeedStopEffectId1	IsNeedStopEffectId2	NextIndex	ChangeMode0	ChangeMode1	ChangeMode2	ChangeMode3	FirstIndex	HasPublicCd	LevelUpIndex	SkillIntro	XpSkillIndex
213	双剑普攻2	双剑普攻	0	1	1	SJSAttack	1	1	1	5	0	0	0	1	0	4	1	178	-1	-1	22	3	3	-1	-1	0	0	-1	对自身面前1扇形范围造成连续4次物理伤害	-1
214	双剑普攻3	双剑普攻	0	1	1	SJSAttack	1	1	1	5	0	0	0	1	0	4	1	178	-1	-1	23	3	3	-1	-1	0	0	-1	对自身面前1扇形范围造成连续4次物理伤害	-1
215	双剑普攻4	双剑普攻	0	1	1	SJSAttack	1	1	1	5	0	0	0	1	0	4	1	178	-1	-1	0	3	3	-1	-1	0	0	-1	对自身面前1扇形范围造成连续4次物理伤害	-1
216	双刀3阶变身	皇拳斗士	0	0	0	SJSPVP	1	1	4	9	0	0	0	0	0	1	2	209	-1	-1	-1	0	-1	-1	-1	4	1	24	装备拳套，变身为攻击迅猛，爆发强大的拳斗士。	3
217	双刀3变普攻1	拳套普攻	0	1	1	2BSJSattack	1	1	1	5	0	0	0	1	0	4	1	209	-1	-1	27	-1	-1	3	3	5	0	-1	连续技·一：挥拳攻击敌方，附带突进效果。	-1
218	双刀3变普攻2	拳套普攻	0	1	1	2BSJSattack	1	1	1	5	0	0	0	1	0	4	1	209	-1	-1	5	-1	-1	3	3	5	0	-1	连续技·二：三段攻击，有概率触发控制技能。	-1
219	双刀3变连续技1	罗刹冲击	0	1	1	SJSPVP01	1	1	3	273	0	0	0	0	0	4	1	209	-1	-1	-1	-1	-1	0	0	6	1	20	群攻技能，对突进路径上的敌方造成大量物理伤害，落地时自身移动速度提高30%。	-1
220	双刀3变连续技2	百裂拳	0	1	1	SJSPVP02	1	1	3	257	0	0	0	0	0	4	1	209	-1	-1	-1	-1	-1	0	0	12	0	21	群攻技能，有概率将目标击飞，并打断对手技能。	-1
221	双刀3变连续技3	修罗之怒	0	1	1	SJSPVP03	1	1	3	257	0	0	0	0	0	4	1	209	-1	-1	-1	-1	-1	0	0	13	0	22	群攻技能，有概率将目标击飞，砸到地面对周围的敌人造成1秒眩晕效果。	-1
222	十字斩2	十字连斩	0	1	1	SJSskill022	1	0	2	1	0	0	0	0	0	4	0	178	-1	-1	2	1	1	1	1	2	0	-1	连续技·二：十字连斩释放2s后施展，击退对前方区域的敌人，并附加“致死效果”，目标物理防御力降低，持续10s。	-1
223	双刀1阶变身	杀戮修罗	0	0	0	SJSPVE	1	1	4	9	0	0	0	0	0	1	2	0	-1	-1	-1	0	-1	-1	-1	7	1	14	杀戮之力觉醒，属性大幅提升，并提高所在团队的暴击属性	1
225	双刀1变特殊技	剑刃龙卷	0	0	1	SJSPVP04	1	1	3	289	0	1	0	1	0	4	1	0	-1	-1	-1	-1	0	-1	-1	9	1	12	蓄力期间大幅度降低自身受到的伤害，释放后防御提高消失，并对前方扇形区域内的敌人造成一次性巨大伤害爆发。	-1
230	双剑2变特殊技1	影遁	0	0	0	SJSskill041	1	0	2	1	0	0	0	0	0	1	2	0	-1	-1	29	4	4	4	4	11	1	3	隐藏气息，藏匿于黑暗之中。进入隐身状态，不会被敌人发现，同时提高自身移动速度。	-1
231	双剑2变特殊技2	影遁	0	1	1	SJSskill041	1	0	2	1	0	0	0	0	0	4	0	0	-1	-1	11	4	4	4	4	11	1	-1	隐身状态下，再次使用“影遁”技能，可对目标造成物理伤害并且附带眩晕效果。	-1
232	双剑1阶双剑乱舞	双剑乱舞	0	0	1	SJSPVE02	1	1	3	257	0	0	0	0	0	4	1	0	-1	-1	-1	-1	0	-1	-1	14	1	10	持续对自身圆形范围造成多段物理伤害，技能持续3s，并造成10次伤害。释放时角色无法移动。	-1
233	双剑1阶龙卷风暴	龙卷风暴	0	0	1	SJSPVE03	1	1	3	289	0	0	1	0	0	4	1	0	-1	-1	-1	-1	0	-1	-1	15	1	11	狂刃舞动，化为飓风。凝聚风暴时，大幅提高自身闪避，并持续对自身圆形范围内敌人造成物理伤害。最后释放飓风，大范围击伤敌人。	-1
300	狂战士普攻1	狂战普攻	0	1	1	KZSAttack	0	1	1	5	0	0	0	1	0	4	1	0	-1	-1	21	3	3	-1	-1	0	0	-1	对面前扇形区域造成连续4次物理伤害	-1
301	狂战士普攻2	狂战普攻	0	1	1	KZSAttack	0	1	1	5	0	0	0	1	0	4	1	0	-1	-1	22	3	3	-1	-1	0	0	-1	对面前扇形区域造成连续4次物理伤害	-1
302	狂战士普攻3	狂战普攻	0	1	1	KZSAttack	0	1	1	5	0	0	0	1	0	4	1	0	-1	-1	23	3	3	-1	-1	0	0	-1	对面前扇形区域造成连续4次物理伤害	-1
303	狂战士普攻4	狂战普攻	0	1	1	KZSAttack	0	1	1	5	0	0	0	1	0	4	1	0	-1	-1	0	3	3	-1	-1	0	0	-1	对面前扇形区域造成连续4次物理伤害	-1
304	狂战士连续斩1	连续斩	0	1	1	KZSskill011	0	1	2	1	0	0	0	0	0	4	0	0	-1	-1	24	1	1	1	-1	1	1	0	跃至目标身前并对范围内的敌人造成伤害，同时提高自身攻击力。	-1
305	狂战士连续斩2	连续斩	0	1	1	KZSskill012	0	1	2	1	0	0	0	0	0	4	0	0	-1	-1	1	1	1	1	-1	1	0	-1	跃至目标身前并对范围内的敌人造成伤害，同时提高自身攻击力。	-1
306	狂战士狂暴旋风	狂暴旋风	0	1	1	KZSskill02	0	1	2	33	0	0	1	1	0	4	1	0	-1	-1	-1	0	0	0	-1	2	1	1	爆发体内气场，持续对周围敌人造成大量伤害。	-1
307	狂战士裂地斩	裂地斩	0	1	1	KZSskill03	0	0	2	1	0	0	0	0	0	4	0	0	-1	-1	-1	0	0	0	-1	3	1	2	突进到目标位置并且对自身圆形中范围敌人造成伤害，获得勇猛效果。	-1
308	狂战士夺魂之镰1	夺魂之镰	0	1	1	KZSskill041	0	0	2	1	0	0	0	0	0	4	0	0	-1	-1	25	2	2	2	-1	4	1	3	连续技：将敌方拉至自身面前并击晕，继而攻击对方并附加锁足效果。	-1
309	狂战士夺魂之镰2	夺魂之镰	0	1	1	KZSskill042	0	0	2	1	0	0	0	0	0	4	0	0	-1	-1	4	2	2	2	-1	4	0	-1	连续技：将敌方拉至自身面前并击晕，继而攻击对方并附加锁足效果。	-1
310	狂战1阶变身	狂暴之血	0	0	0	KZSPVE	0	0	3	9	0	0	0	0	0	1	2	0	-1	-1	-1	0	-1	-1	-1	5	1	14	体内狂暴之力在喧嚣中觉醒，解锁技能“血之盾”。	1
311	狂战士1阶变身血之盾1段	血之盾	0	0	1	KZSPVE04	0	0	3	257	0	1	0	0	0	1	2	0	-1	-1	26	-1	3	-1	-1	6	1	12	完全释放血肉之躯的潜力，提高自身攻击力、韧性、血量。技能释放期间，可持续回复血量。	-1
312	狂战士1阶变身血之盾2段	血之盾	0	0	1	KZSPVE04	0	0	3	257	0	1	0	0	0	4	1	0	-1	-1	6	-1	3	-1	-1	6	0	-1	完全释放血肉之躯的潜力，提高自身攻击力、韧性、血量。技能释放期间，可持续回复血量。	-1
313	狂战士2阶变身	狂暴之斧	0	1	0	KZSPVP	0	0	4	9	0	0	0	0	0	1	2	0	-1	-1	-1	0	-1	-1	-1	7	1	24	狂暴变身，获得特殊状态，属性大幅提升。	3
314	狂战士2阶变身普攻1	狂暴挥击	0	1	1	2BKZSattack	0	1	1	5	0	0	0	1	0	4	1	0	-1	-1	27	-1	-1	4	-1	8	0	-1	连续造成2段高额物理伤害。	-1
315	狂战士2阶变身普攻2	狂暴挥击	0	1	1	2BKZSattack	0	1	1	5	0	0	0	1	0	4	1	0	-1	-1	8	-1	-1	4	-1	8	0	-1	连续造成2段高额物理伤害。	-1
316	狂战士2阶变身开山憾地	舍命一击	0	1	1	KZSPVP01	0	1	3	257	0	0	0	0	0	4	1	0	-1	-1	-1	-1	-1	0	-1	9	1	20	消耗一定生命值，根据消耗多少，对敌方造成伤害。同时提高自身防御力，并有几率击飞敌方。	-1
317	狂战士1阶狂怒	狂怒	0	0	0	KZSPVE01	0	0	3	257	0	1	0	0	0	1	2	0	-1	-1	-1	-1	0	-1	-1	10	0	10	狂怒之吼，提高自身暴击率和命中率，并可击退周围敌人。	-1
318	狂战士1阶旋风斩	旋风斩	0	1	1	KZSPVE03	0	1	3	273	0	0	0	0	0	4	1	0	-1	-1	-1	-1	0	-1	-1	11	1	11	旋转大剑到敌方身后，对直线内的敌人造成多次伤害，旋转附带吸血效果。	-1
319	狂战士2阶天崩地裂	天崩地裂	0	1	1	KZSPVP03	0	1	3	257	0	0	0	0	0	4	1	0	-1	-1	-1	-1	-1	0	-1	12	1	21	原地起跳，战斧震地，对前方区域内敌人造成物理伤害，并附加眩晕效果。	-1
320	狂战士2阶舍命一击	开山憾地	0	1	1	KZSPVP04	0	1	3	257	0	0	0	0	0	4	1	0	-1	-1	-1	-1	-1	0	-1	13	1	22	大范围造成物理伤害，同时有一定概率将目标击倒起跳时角色为无敌状态。	-1
400	魔导师普攻1	魔导普攻	0	1	1	MDSAttack	3	1	1	5	0	0	0	1	0	4	1	0	-1	-1	21	1	1	-1	-1	0	1	-1	魔法之基础，火球术。对目标小范围造成魔法伤害	-1
401	魔导师普攻2	魔导普攻	0	1	1	MDSAttack	3	1	1	5	0	0	0	1	0	4	1	0	-1	-1	22	1	1	-1	-1	0	0	-1	魔法之基础，火球术。对目标小范围造成魔法伤害	-1
402	魔导师普攻3	魔导普攻	0	1	1	MDSAttack	3	1	1	5	0	0	0	1	0	4	1	0	-1	-1	23	1	1	-1	-1	0	0	-1	魔法之基础，火球术。对目标小范围造成魔法伤害	-1
403	魔导师普攻4	魔导普攻	0	1	1	MDSAttack	3	1	1	5	0	0	0	1	0	4	1	0	-1	-1	0	1	1	-1	-1	0	0	-1	魔法之基础，火球术。对目标小范围造成魔法伤害	-1
404	魔导师火凤燎原1段	火凤燎原	0	1	1	MDSskill011	3	0	2	1	0	0	0	0	0	4	0	0	-1	-1	24	2	2	2	-1	1	1	0	连续技·一：对直线区域的敌人造成魔法伤害，并附加“灼烧”效果，敌方每秒受到1次法术伤害。	-1
405	魔导师火凤燎原2段	火凤燎原	0	1	1	MDSskill012	3	0	2	1	0	0	0	0	0	4	0	0	-1	-1	1	2	2	2	-1	1	0	-1	连续技·二：施展炎之吟唱后，对目标周围的敌人继续造成伤害。	-1
406	魔导师冰霜吐息	冰霜吐息	0	1	1	MDSskill02	3	0	2	33	0	0	1	1	0	4	0	0	-1	-1	-1	0	0	0	-1	2	1	1	对目标周围大范围造成持续魔法伤害，附加“寒冰”效果，目标移动速度降低。	-1
407	魔导师雷暴闪烁	雷暴闪烁	0	0	1	MDSskill031	3	0	2	17	0	0	0	0	0	4	1	0	-1	-1	-1	0	0	0	-1	3	1	2	向前方或者目标方向瞬移，消失和出现的同时会对自身周围造成魔法伤害。	-1
408	冰冻世界1段	冰冻世界	0	0	0	MDSskill041	3	0	2	1	0	0	0	0	0	1	2	0	-1	-1	25	3	3	3	-1	4	1	3	连续技·一：为自身添加“冰甲”效果，防御力提高，并且对攻击自己的敌人造成减速效果。	-1
409	冰冻世界2段	冰冻世界	0	1	1	MDSskill042	3	0	2	1	0	0	0	0	0	4	0	0	-1	-1	4	3	3	3	-1	4	0	-1	连续技·二：凝结寒冰之力，在自身周围竖起冰刺，攻击并冻结敌方。	-1
410	魔导师1阶变身	熔岩之力	0	0	0	MDSPVE	3	0	3	9	0	0	0	0	0	1	2	0	-1	-1	-1	0	-1	-1	-1	5	0	14	魔导之力觉醒，提升属性，解锁特殊技能，并提高团队法术攻击伤害。	1
411	魔导师1阶熔岩巨龙	熔岩巨龙	0	1	1	MDSPVE03	3	0	3	257	0	0	0	0	0	4	1	0	-1	-1	-1	-1	0	-1	-1	6	1	11	对直线区域的敌人造成魔法伤害，火焰在地表留下灼烧区域，对在上面的敌人持续造成魔法伤害。	-1
412	魔导师2阶变身	愤怒之力	0	0	0	MDSPVP	3	0	4	9	0	0	0	0	0	1	2	0	-1	-1	-1	0	-1	-1	-1	7	0	24	魔导之力觉醒，提升属性，解锁二阶变身特殊技能。	3
413	魔导师2变普攻1段	怒火敲击	0	1	1	2BMDSattack	3	1	1	5	0	0	0	1	0	4	1	0	-1	-1	26	-1	-1	4	-1	8	0	-1	高阶烈焰法术，可对敌人连续造成伤害。	-1
414	魔导师2变普攻2段	怒火敲击	0	1	1	2BMDSattack	3	1	1	5	0	0	0	1	0	4	1	0	-1	-1	27	-1	-1	4	-1	8	0	-1	高阶烈焰法术，可对敌人连续造成伤害。	-1
415	魔导师2变普攻3段	怒火敲击	0	1	1	2BMDSattack	3	1	1	5	0	0	0	1	0	4	1	0	-1	-1	8	-1	-1	4	-1	8	0	-1	高阶烈焰法术，可对敌人连续造成伤害。	-1
416	魔导师2变附加技	静默力场	0	1	1	MDSPVP1	3	1	2	257	0	0	0	0	0	4	0	0	-1	-1	-1	-1	-1	0	-1	9	1	20	对目标造成魔法伤害同时附加“沉默”效果，目标在2s内无法使用技能。	-1
417	魔导师1阶暴风龙卷	暴风龙卷	0	1	1	MDSPVE01	3	0	3	257	0	0	0	0	0	4	1	0	-1	-1	-1	-1	0	-1	-1	10	1	10	吟唱术法，大幅提高自身闪避能力，并持续对自身圆形范围内敌人造成伤害。当冰雪飓风随召唤而来，大范围敌人将受到重创。	-1
418	魔导师1阶流星风暴	流星风暴	0	1	1	MDSPVE04	3	0	3	289	0	0	0	0	0	4	1	0	-1	-1	-1	-1	0	-1	-1	11	1	12	对目标圆形范围内造成魔法伤害，同时对范围区域内的敌人造成沉默效果，使目标在4s内无法使用技能。	-1
419	魔导师2阶冰霜轰爆	冰霜轰爆	0	1	1	MDSPVP3	3	0	3	257	0	0	0	0	0	4	1	0	-1	-1	-1	-1	-1	0	-1	12	1	21	在自身周围释放冰霜，对周围敌人造成魔法伤害。技能释放结束后，增加冰甲，可吸收伤害。	-1
420	魔导师2阶制裁之雷	制裁之雷	0	1	1	MDSPVP4	3	0	3	289	0	0	0	0	0	4	1	0	-1	-1	-1	-1	-1	0	-1	13	1	22	吟唱术法，凝聚闪电之力，对目标造成魔法伤害。继而释放闪电，制造大范围冲击，附加“麻痹”效果，敌方4秒内无法移动。	-1
500	动物普攻	动物普攻	0	0	0	ChangGuiJiNeng1	-1	0	-1	1	0	0	1	1	0	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	普通攻击	-1
501	火焰弹	火焰弹	1	0	0	pet_huoyandan	-1	0	-1	1	0	0	0	1	0	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	对目标造成宠物魔法伤害	-1
502	烬燃术	烬燃术	1	0	0	ChangGuiJiNeng1	-1	0	-1	1	0	0	0	1	0	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	对目标持续造成宠物魔法伤害	-1
503	怒火燎原	怒火燎原	1	0	0	pet_nuhuoliaoyuan	-1	0	-1	1	0	0	0	1	0	4	1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	对目标范围造成宠物魔法伤害	-1
504	灼伤烈焰	灼伤烈焰	1	0	0	pet_zhuoshanglieyan	-1	0	-1	1	0	0	0	1	0	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	对目标造成宠物魔法伤害，并降低目标防御力	-1
505	晕眩术	晕眩术	1	0	0	pet_xuanyunshu	-1	0	-1	1	0	0	0	1	0	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	对目标造成魔法伤害，并使其晕眩	-1
506	烈焰狂怒	烈焰狂怒	1	0	0	pet_lieyankuangnu	-1	0	-1	129	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	大幅提升主人暴击	-1
507	强攻之火	强攻之火	1	0	0	pet_qianggongzhihuo	-1	0	-1	129	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	大幅提升主人攻击力	-1
511	空气炮	空气炮	1	0	0	pet_kongqipao	-1	0	-1	1	0	0	0	1	0	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	对目标造成宠物物理伤害	-1
512	雷暴	雷暴	1	0	0	pet_leibao	-1	0	-1	1	0	0	0	1	0	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	对目标造成持续物理伤害	-1
513	气守	气守	1	0	0	pet_qishou	-1	0	-1	129	0	0	0	1	0	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	大幅降低目标暴击	-1
514	极致风行	极致风行	1	0	0	pet_jizhifengxing	-1	0	-1	1	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	大幅提升主人闪避	-1
515	致盲	致盲	1	0	0	pet_zhimang	-1	0	-1	1	0	0	0	1	0	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	对目标造成物理攻击，并致盲目标	-1
516	狂暴气旋	狂暴气旋	1	0	0	pet_kuangbaoqixuan	-1	0	-1	1	0	0	0	1	0	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	大幅降低目标暴抗	-1
517	沙暴	沙暴	1	0	0	pet_shabao	-1	0	-1	129	0	0	0	1	0	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	大幅降低目标命中	-1
521	回复术	回复术	1	0	0	pet_huifushu	-1	0	-1	1	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	迅速为主人回复生命	-1
522	再生术	再生术	1	0	0	pet_zaishengshu	-1	0	-1	1	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	主人被攻击时，有几率为主人回复生命	-1
523	水流护盾	水流护盾	1	0	0	pet_shuiliuhudun	-1	0	-1	1	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	为主人增加护盾	-1
524	水之御	水之御	1	0	0	pet_shuizhiyu	-1	0	-1	1	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	提升主人防御	-1
525	海啸之力	海啸之力	1	0	0	pet_haixiaozhili	-1	0	-1	129	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	提升主人攻击	-1
526	海洋之守	海洋之守	1	0	0	pet_haiyangzhishou	-1	0	-1	129	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	大幅提升主人暴抗	-1
527	冰冻术	冰冻术	1	0	0	pet_bingdongshu	-1	0	-1	1	0	0	0	1	0	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	有几率冻结目标	-1
531	落石	落石	1	0	0	pet_luoshi	-1	0	-1	1	0	0	0	1	0	4	1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	对目标范围造成宠物物理伤害	-1
532	木之祝福	木之祝福	1	0	0	pet_muzhizhufu	-1	0	-1	1	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	持续为主人回复生命	-1
533	死亡缠绕	死亡缠绕	1	0	0	pet_siwangchanrao	-1	0	-1	1	0	0	0	1	0	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	有几率缠绕目标	-1
534	裂铁术	裂铁术	1	0	0	pet_lietieshu	-1	0	-1	1	0	0	0	1	0	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	主人被攻击时，有几率降低对方攻击力	-1
535	针刺护甲	针刺护甲	1	0	0	pet_zhencihujia	-1	0	-1	1	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	主人被攻击时，有几率对目标造成伤害	-1
536	大地占卜	大地占卜	1	0	0	pet_dadizhanbu	-1	0	-1	1	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	大幅提升主人全部属性	0
537	地脉守护	地脉守护	1	0	0	pet_dimaishouhu	-1	0	-1	1	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	主人被攻击时，有几率提升主人的防御力	-1
538	炽热之力	炽热之力	1	0	0	pet_zhuorezhili	-1	0	-1	130	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	增加主人攻击力	-1
539	烈焰狂暴	烈焰狂暴	1	0	0	pet_lieyankuangbao	-1	0	-1	130	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	增加主人暴击	-1
540	炽焰波动	炽焰波动	1	0	0	ChangGuiJiNeng1	-1	0	-1	130	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	增加主人命中	-1
541	气流爆发	气流爆发	1	0	0	pet_qiliubaofa	-1	0	-1	130	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	增加主人暴击	-1
542	大气神盾	大气神盾	1	0	0	ChangGuiJiNeng1	-1	0	-1	130	0	0	0	1	0	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	增加自身守护	-1
543	疾风行者	疾风行者	1	0	0	ChangGuiJiNeng1	-1	0	-1	130	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	增加主人闪避	-1
544	狂暴气流	狂暴气流	1	0	0	pet_kuangbaoqiliu	-1	0	-1	130	0	0	0	1	0	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	增加自身加持	-1
545	疾风之力	疾风之力	1	0	0	pet_jifengzhili	-1	0	-1	130	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	增加主人攻击力	-1
546	水之赐福	水之赐福	1	0	0	ChangGuiJiNeng1	-1	0	-1	130	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	增加主人生命	-1
547	水流之力	水流之力	1	0	0	ChangGuiJiNeng1	-1	0	-1	130	0	0	0	1	0	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	增加自身加持	-1
548	蓝海神盾	蓝海神盾	1	0	0	ChangGuiJiNeng1	-1	0	-1	130	0	0	0	1	0	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	增加自身守护	-1
549	水流漩涡	水流漩涡	1	0	0	ChangGuiJiNeng1	-1	0	-1	130	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	增加主人命中	-1
550	大地祝福	大地祝福	1	0	0	ChangGuiJiNeng1	-1	0	-1	130	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	增加主人命中	-1
551	地脉觉醒	地脉觉醒	1	0	0	ChangGuiJiNeng1	-1	0	-1	130	0	0	0	1	0	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	增加自身守护	-1
552	坚岩庇护	坚岩庇护	1	0	0	pet_jianyanbihu	-1	0	-1	130	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	增加主人防御	-1
553	地之原力	地之原力	1	0	0	ChangGuiJiNeng1	-1	0	-1	130	0	0	0	1	0	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	增加自身加持	-1
554	大地之母	大地之母	1	0	0	ChangGuiJiNeng1	-1	0	-1	130	0	0	0	1	0	16	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	增加主人生命	-1
