Id	Desc	ExpNeed	Quality	LevelUpRewardMoneyType	LevelUpRewardMoneyCount	LevelUpRewardItemID1	LevelUpRewardItemCount1	LevelUpRewardItemID2	LevelUpRewardItemCount2	QualityUpRewardMoneyType	QualityUpRewardMoneyCount	QualityUpRewardItemID1	QualityUpRewardItemCount1	TexturePath
17	普通7	2640000	2	0	66000	4600	20	59169	4	-1	0	-1	0	Texture/Christmas/Tree05
18	普通8	2880000	2	0	67000	4600	20	59169	4	-1	0	-1	0	Texture/Christmas/Tree05
19	普通9	3140000	2	0	68000	4600	20	59169	4	-1	0	-1	0	Texture/Christmas/Tree05
20	普通10	3400000	2	0	69000	4600	20	59169	4	0	40000	4600	14	Texture/Christmas/Tree05
21	美丽1	3660000	3	0	70000	4600	30	59169	5	-1	0	-1	0	Texture/Christmas/Tree05
22	美丽2	3920000	3	0	71000	4600	30	59169	5	-1	0	-1	0	Texture/Christmas/Tree05
23	美丽3	4200000	3	0	72000	4600	30	59169	5	-1	0	-1	0	Texture/Christmas/Tree05
24	美丽4	4500000	3	0	73000	4600	30	59169	5	-1	0	-1	0	Texture/Christmas/Tree05
25	美丽5	4780000	3	0	74000	4600	30	59169	5	-1	0	-1	0	Texture/Christmas/Tree05
26	美丽6	5080000	3	0	75000	4600	30	59169	6	-1	0	-1	0	Texture/Christmas/Tree05
27	美丽7	5400000	3	0	76000	4600	30	59169	6	-1	0	-1	0	Texture/Christmas/Tree05
28	美丽8	5720000	3	0	77000	4600	30	59169	6	-1	0	-1	0	Texture/Christmas/Tree05
29	美丽9	6040000	3	0	78000	4600	30	59169	6	-1	0	-1	0	Texture/Christmas/Tree05
30	美丽10	6400000	3	0	79000	4600	30	59169	6	0	60000	4600	16	Texture/Christmas/Tree05
31	精致1	6720000	4	0	80000	4600	40	59169	7	-1	0	-1	0	Texture/Christmas/Tree05
32	精致2	7060000	4	0	81000	4600	40	59169	7	-1	0	-1	0	Texture/Christmas/Tree05
33	精致3	7420000	4	0	82000	4600	40	59169	7	-1	0	-1	0	Texture/Christmas/Tree05
34	精致4	7780000	4	0	83000	4600	40	59169	7	-1	0	-1	0	Texture/Christmas/Tree05
35	精致5	8140000	4	0	84000	4600	40	59169	7	-1	0	-1	0	Texture/Christmas/Tree05
36	精致6	8500000	4	0	85000	4600	40	59169	8	-1	0	-1	0	Texture/Christmas/Tree05
37	精致7	8880000	4	0	86000	4600	40	59169	8	-1	0	-1	0	Texture/Christmas/Tree05
38	精致8	9260000	4	0	87000	4600	40	59169	8	-1	0	-1	0	Texture/Christmas/Tree05
39	精致9	9660000	4	0	88000	4600	40	59169	8	-1	0	-1	0	Texture/Christmas/Tree05
40	精致10	10500000	4	0	89000	4600	40	59169	8	0	80000	4600	20	Texture/Christmas/Tree05
41	华美1	10920000	5	0	90000	4600	50	59169	9	-1	0	-1	0	Texture/Christmas/Tree05
42	华美2	11900000	5	0	91000	4600	50	59169	9	-1	0	-1	0	Texture/Christmas/Tree05
43	华美3	13160000	5	0	92000	4600	50	59169	9	-1	0	-1	0	Texture/Christmas/Tree05
44	华美4	14780000	5	0	93000	4600	50	59169	9	-1	0	-1	0	Texture/Christmas/Tree05
45	华美5	16940000	5	0	94000	4600	50	59169	9	-1	0	-1	0	Texture/Christmas/Tree05
46	华美6	19880000	5	0	95000	4600	50	59169	10	-1	0	-1	0	Texture/Christmas/Tree05
47	华美7	23900000	5	0	96000	4600	50	59169	10	-1	0	-1	0	Texture/Christmas/Tree05
48	华美8	29460000	5	0	97000	4600	50	59169	10	-1	0	-1	0	Texture/Christmas/Tree05
49	华美9	37240000	5	0	98000	4600	50	59169	10	-1	0	-1	0	Texture/Christmas/Tree05
50	华美10	46500000	5	0	99000	4600	50	59169	10	-1	0	-1	0	Texture/Christmas/Tree05
51	华美11	50940000	5	0	100000	4600	50	59169	10	-1	0	-1	0	Texture/Christmas/Tree05
52	华美12	55880000	5	0	100000	4600	50	59169	10	-1	0	-1	0	Texture/Christmas/Tree05
53	华美13	61340000	5	0	100000	4600	50	59169	10	-1	0	-1	0	Texture/Christmas/Tree05
54	华美14	67420000	5	0	100000	4600	50	59169	10	-1	0	-1	0	Texture/Christmas/Tree05
55	华美15	74180000	5	0	100000	4600	50	59169	10	-1	0	-1	0	Texture/Christmas/Tree05
56	华美16	81680000	5	0	100000	4600	50	59169	10	-1	0	-1	0	Texture/Christmas/Tree05
57	华美17	90040000	5	0	100000	4600	50	59169	10	-1	0	-1	0	Texture/Christmas/Tree05
58	华美18	99360000	5	0	100000	4600	50	59169	10	-1	0	-1	0	Texture/Christmas/Tree05
59	华美19	110000000	5	0	100000	4600	50	59169	10	-1	0	-1	0	Texture/Christmas/Tree05
60	华美20		5	0	100000	4600	50	59169	10	-1	0	-1	0	Texture/Christmas/Tree05
