Id	Desc	Name	EquipId1	EquipId2	EquipId3	EquipId4	EffectType1	EffectValue1	EffectType2	EffectValue2	EffectType3	EffectValue3
31	魔导士职业紫80级套系1	圣光祝佑	40108	40208	40308	40408	8	486	1001	556	0	4775
32	魔导士职业紫80级套系2	惩戒之力	40508	40608	40708	-1	9	486	1000	795	-1	-1
33	狂战士职业紫90级套系1	圣光祝佑	38109	38209	38309	38409	8	540	1001	665	0	5702
34	狂战士职业紫90级套系2	惩戒之力	38509	38609	38709	-1	9	540	1000	950	-1	-1
35	双剑士职业紫90级套系1	圣光祝佑	39109	39209	39309	39409	8	540	1001	665	0	5702
36	双剑士职业紫90级套系2	惩戒之力	39509	39609	39709	-1	9	540	1000	950	-1	-1
37	弓箭手职业紫90级套系1	圣光祝佑	41109	41209	41309	41409	8	540	1001	665	0	5702
38	弓箭手职业紫90级套系2	惩戒之力	41509	41609	41709	-1	9	540	1000	950	-1	-1
39	魔导士职业紫90级套系1	圣光祝佑	40109	40209	40309	40409	8	540	1001	665	0	5702
40	魔导士职业紫90级套系2	惩戒之力	40509	40609	40709	-1	9	540	1000	950	-1	-1
41	狂战士职业橙60级套系1	浩然正气	42106	42206	42306	42406	8	560	1001	555	0	4760
42	狂战士职业橙60级套系2	仁者无敌	42506	42606	42706	-1	9	560	1000	792	-1	-1
43	双剑士职业橙60级套系1	浩然正气	43106	43206	43306	43406	8	560	1001	555	0	4760
44	双剑士职业橙60级套系2	仁者无敌	43506	43606	43706	-1	9	560	1000	792	-1	-1
45	弓箭手职业橙60级套系1	浩然正气	45106	45206	45306	45406	8	560	1001	555	0	4760
46	弓箭手职业橙60级套系2	仁者无敌	45506	45606	45706	-1	9	560	1000	792	-1	-1
47	魔导士职业橙60级套系1	浩然正气	44106	44206	44306	44406	8	560	1001	555	0	4760
48	魔导士职业橙60级套系2	仁者无敌	44506	44606	44706	-1	9	560	1000	792	-1	-1
49	狂战士职业橙70级套系1	浩然正气	42107	42207	42307	42407	8	640	1001	682	0	5850
50	狂战士职业橙70级套系2	仁者无敌	42507	42607	42707	-1	9	640	1000	974	-1	-1
51	双剑士职业橙70级套系1	浩然正气	43107	43207	43307	43407	8	640	1001	682	0	5850
52	双剑士职业橙70级套系2	仁者无敌	43507	43607	43707	-1	9	640	1000	974	-1	-1
53	弓箭手职业橙70级套系1	浩然正气	45107	45207	45307	45407	8	640	1001	682	0	5850
54	弓箭手职业橙70级套系2	仁者无敌	45507	45607	45707	-1	9	640	1000	974	-1	-1
55	魔导士职业橙70级套系1	浩然正气	44107	44207	44307	44407	8	640	1001	682	0	5850
56	魔导士职业橙70级套系2	仁者无敌	44507	44607	44707	-1	9	640	1000	974	-1	-1
57	狂战士职业橙80级套系1	浩然正气	42108	42208	42308	42408	8	720	1001	824	0	7074
58	狂战士职业橙80级套系2	仁者无敌	42508	42608	42708	-1	9	720	1000	1178	-1	-1
59	双剑士职业橙80级套系1	浩然正气	43108	43208	43308	43408	8	720	1001	824	0	7074
60	双剑士职业橙80级套系2	仁者无敌	43508	43608	43708	-1	9	720	1000	1178	-1	-1
61	弓箭手职业橙80级套系1	浩然正气	45108	45208	45308	45408	8	720	1001	824	0	7074
62	弓箭手职业橙80级套系2	仁者无敌	45508	45608	45708	-1	9	720	1000	1178	-1	-1
63	魔导士职业橙80级套系1	浩然正气	44108	44208	44308	44408	8	720	1001	824	0	7074
64	魔导士职业橙80级套系2	仁者无敌	44508	44608	44708	-1	9	720	1000	1178	-1	-1
65	狂战士职业橙90级套系1	浩然正气	42109	42209	42309	42409	8	800	1001	985	0	8448
66	狂战士职业橙90级套系2	仁者无敌	42509	42609	42709	-1	9	800	1000	1408	-1	-1
67	双剑士职业橙90级套系1	浩然正气	43109	43209	43309	43409	8	800	1001	985	0	8448
68	双剑士职业橙90级套系2	仁者无敌	43509	43609	43709	-1	9	800	1000	1408	-1	-1
69	弓箭手职业橙90级套系1	浩然正气	45109	45209	45309	45409	8	800	1001	985	0	8448
70	弓箭手职业橙90级套系2	仁者无敌	45509	45609	45709	-1	9	800	1000	1408	-1	-1
71	魔导士职业橙90级套系1	浩然正气	44109	44209	44309	44409	8	800	1001	985	0	8448
72	魔导士职业橙90级套系2	仁者无敌	44509	44609	44709	-1	9	800	1000	1408	-1	-1
73	狂战士职业紫100级套系1	圣光祝佑	38110	38210	38310	38410	8	594	1001	786	0	6741
74	狂战士职业紫100级套系2	惩戒之力	38510	38610	38710	-1	9	594	1000	1123	-1	-1
75	双剑士职业紫100级套系1	圣光祝佑	39110	39210	39310	39410	8	594	1001	786	0	6741
76	双剑士职业紫100级套系2	惩戒之力	39510	39610	39710	-1	9	594	1000	1123	-1	-1
77	魔导士职业紫100级套系1	圣光祝佑	40110	40210	40310	40410	8	594	1001	786	0	6741
78	魔导士职业紫100级套系2	惩戒之力	40510	40610	40710	-1	9	594	1000	1123	-1	-1
79	弓箭手职业紫100级套系1	圣光祝佑	41110	41210	41310	41410	8	594	1001	786	0	6741
80	弓箭手职业紫100级套系2	惩戒之力	41510	41610	41710	-1	9	594	1000	1123	-1	-1
81	狂战士职业橙100级套系1	浩然正气	42110	42210	42310	42410	8	880	1001	1164	0	9987
82	狂战士职业橙100级套系2	仁者无敌	42510	42610	42710	-1	9	880	1000	1664	-1	-1
83	双剑士职业橙100级套系1	浩然正气	43110	43210	43310	43410	8	880	1001	1164	0	9987
84	双剑士职业橙100级套系2	仁者无敌	43510	43610	43710	-1	9	880	1000	1664	-1	-1
85	魔导士职业橙100级套系1	浩然正气	44110	44210	44310	44410	8	880	1001	1164	0	9987
86	魔导士职业橙100级套系2	仁者无敌	44510	44610	44710	-1	9	880	1000	1664	-1	-1
87	弓箭手职业橙100级套系1	浩然正气	45110	45210	45310	45410	8	880	1001	1164	0	9987
88	弓箭手职业橙100级套系2	仁者无敌	45510	45610	45710	-1	9	880	1000	1664	-1	-1
89	VIP狂战士职业橙70级套系	伏虎降龙	59013	59017	59031	59035	0	5850	1000	974	11	1261
90	VIP双剑士职业橙70级套系	伏虎降龙	59014	59018	59032	59036	0	5850	1000	974	11	1261
91	VIP魔导士职业橙70级套系	伏虎降龙	59015	59019	59033	59037	0	5850	1000	974	11	1261
92	VIP弓箭手职业橙70级套系	伏虎降龙	59016	59020	59034	59038	0	5850	1000	974	11	1261
93	丐帮职业紫60级套系1	圣光祝佑	65106	65206	65306	65406	8	378	1001	374	0	3213
94	丐帮职业紫60级套系2	惩戒之力	65506	65606	65706	-1	9	378	1000	535	-1	-1
95	丐帮职业紫70级套系1	圣光祝佑	65107	65207	65307	65407	8	432	1001	460	0	3949
96	丐帮职业紫70级套系2	惩戒之力	65507	65607	65707	-1	9	432	1000	657	-1	-1
97	丐帮职业紫80级套系1	圣光祝佑	65108	65208	65308	65408	8	486	1001	556	0	4775
98	丐帮职业紫80级套系2	惩戒之力	65508	65608	65708	-1	9	486	1000	795	-1	-1
99	丐帮职业紫90级套系1	圣光祝佑	65109	65209	65309	65409	8	540	1001	665	0	5702
100	丐帮职业紫90级套系2	惩戒之力	65509	65609	65709	-1	9	540	1000	950	-1	-1
101	丐帮职业紫100级套系1	圣光祝佑	65110	65210	65310	65410	8	594	1001	786	0	6741
102	丐帮职业紫100级套系2	惩戒之力	65510	65610	65710	-1	9	594	1000	1123	-1	-1
103	丐帮职业橙60级套系1	浩然正气	66106	66206	66306	66406	8	560	1001	555	0	4760
104	丐帮职业橙60级套系2	仁者无敌	66506	66606	66706	-1	9	560	1000	792	-1	-1
105	丐帮职业橙70级套系1	浩然正气	66107	66207	66307	66407	8	640	1001	682	0	5850
106	丐帮职业橙70级套系2	仁者无敌	66507	66607	66707	-1	9	640	1000	974	-1	-1
107	丐帮职业橙80级套系1	浩然正气	66108	66208	66308	66408	8	720	1001	824	0	7074
108	丐帮职业橙80级套系2	仁者无敌	66508	66608	66708	-1	9	720	1000	1178	-1	-1
109	丐帮职业橙90级套系1	浩然正气	66109	66209	66309	66409	8	800	1001	985	0	8448
110	丐帮职业橙90级套系2	仁者无敌	66509	66609	66709	-1	9	800	1000	1408	-1	-1
111	丐帮职业橙100级套系1	浩然正气	66110	66210	66310	66410	8	880	1001	1164	0	9987
112	丐帮职业橙100级套系2	仁者无敌	66510	66610	66710	-1	9	880	1000	1664	-1	-1
113	VIP丐帮职业橙70级套系	伏虎降龙	68001	68002	68003	68004	0	5850	1000	974	11	1261
114	VIP狂战士职业橙100级套系	降龙伏虎	68201	68211	68221	68231	0	9987	1000	1664	11	1768
115	VIP双剑士职业橙100级套系	降龙伏虎	68202	68212	68222	68232	0	12400	1000	12400	11	12400
116	VIP魔导士职业橙100级套系	降龙伏虎	68203	68213	68223	68233	0	12400	1000	12400	11	12400
117	VIP弓箭手职业橙100级套系	降龙伏虎	68204	68214	68224	68234	0	12400	1000	12400	11	12400
118	VIP丐帮职业橙100级套系	降龙伏虎	68205	68215	68225	68235	0	12400	1000	12400	11	12400
