Id	MissionType	MissionName	MissionDesc	MissionDoneDesc	FollowText	TargetNpcPosX	TargetNpcPosZ	TargetNpcSceneID	TargetNpcDataID	AccepteNpcPosX	AccepteNpcPosZ	AccepteNpcSceneID	AcceptNpcDataID	CompleteNpcPosX	CompleteNpcPosZ	CompleteNpcSceneID	CompleteNpcDataID	IsAcceptAutoFindPath	AcceptTalkID	MissionIcon	IsDifficult
7	0	{0}【主】{1}邀请	你可否顺便帮我迎接一下[f8fb04]莉莉丝[b4ffd1]大人，邀请乔安娜大人和她一定要来参加我们的谢宴！	我就留着肚子晚上大吃一顿啦~希望她别做什么古怪的东西呢，哎嘿~	和莉莉丝对话：{0}{1}/1	77.52	84.11	5	9	82.81	58.83	5	8	77.52	84.11	5	9	1	0	Equip-hand	0
8	2	{0}【主】{1}心中疑惑	哎？你不是我和乔安娜从[ca12ff]“方舟”[b4ffd1]那里带回来的那个人吗？现在身体情况还好么？	嗯~这话说的可真好。我都快被你感动了呢！不愧是敢于单独挑战魔王的人啊！	和莉莉丝对话：{0}{1}/1	77.52	84.11	5	9	77.52	84.11	5	9	77.52	84.11	5	9	1	0	Equip-hand	0
9	0	{0}【主】{1}独臂难行	你似乎总是孤身一人，这样虽然看上去很酷啦，但是这样其实并不好呢。	那你这回又是怎么被魔王击败的？年轻人也不要逞强嘛~	和莉莉丝对话：{0}{1}/1	77.52	84.11	5	9	77.52	84.11	5	9	77.52	84.11	5	9	1	0	Equip-hand	0
10	1	{0}【主】{1}寻求帮助	不如你去镇口找一下[f8fb04]派特太太[b4ffd1]吧，我想这其中的道理她更能解释给你听。	你就是贤者莉莉丝大人介绍来的小家伙？	和派特太太对话：{0}{1}/1	45.2	86	5	10	77.52	84.11	5	9	45.2	86	5	10	1	0	Equip-hand	0
11	0	{0}【主】{1}介绍宠物	[f8fb04]莉莉丝[b4ffd1]大人可跟我说你是一位独行侠呢，这可不行，得有个帮手陪着你才好。	唉……年轻人还真是不知道孤独的滋味啊……（咳嗽）	和派特太太对话：{0}{1}/1	45.2	86	5	10	45.2	86	5	10	45.2	86	5	10	1	0	Equip-hand	0
12	0	{0}【主】{1}孤掌难鸣	咳咳，我老了，身体不好，儿子和孙女也不在身边，平时全靠它们帮助我。	可不光是狗啊，很多宠物都是人类忠实的伙伴，现在还有机器人宠物了，更加方便了呢。	和派特太太对话：{0}{1}/1	45.2	86	5	10	45.2	86	5	10	45.2	86	5	10	1	0	Equip-hand	0
13	3	{0}【主】{1}杀一儆百	我也想早点去做饭呢~不过真是头疼啊，最近这附近不知道为什么聚集了一群[ff0006]顶角豹[b4ffd1]，还经常攻击路人，你能帮我们赶走它们吗？	嗯，好样的！我就知道你肯定没问题~	顶角豹：{0}{1}/4	73.7	67.6	5	16	82.81	58.83	5	8	82.81	58.83	5	8	1	0	Equip-hand	0
14	5	{0}【主】{1}赠宠	我最近收到了我儿子送给我的礼物，据说是机械研究所的新产物，机器人这种小东西和我无缘，送给你好了。	希望你能好好照顾这个小家伙。	宠物出战：{0}{1}/1	45.2	86	5	10	45.2	86	5	10	45.2	86	5	10	1	0	Equip-hand	0
15	1	{0}【主】{1}助人	刚才我好像看到了一个人一溜烟似的冲了出去，可是往前就很危险了，我担心他遇到危险，你去前面看看吧。	哎？你是被本天才的炫酷机车吸引来的吗！	和斯卡伊德对话：{0}{1}/1	13.63	44.79	5	7	45.2	86	5	10	13.63	44.79	5	7	1	0	Equip-hand	0
16	0	{0}【主】{1}决心	哎？这么一看你不是被莉莉丝大人救回来的那个小家伙嘛！身体痊愈了啊！	哎……我本来是出来试试新的机车的性能的，但是一个不小心撞到了树上，现在机车没办法启动了，不过对本天才来讲这不算什么问题！	和斯卡伊德对话：{0}{1}/1	13.63	44.79	5	7	13.63	44.79	5	7	13.63	44.79	5	7	1	0	Equip-hand	0
17	2	{0}【主】{1}野蛮兽人	不过就算是本天才我修理机车也需要一段时间啦！但是边上的兽人不太友好的样子，你去帮我把它们赶走吧！	速度很快嘛，看来的确像是你说的，不是什么普通的小家伙啊！	雨林兽人：{0}{1}/6	16.75	28.4	5	17	13.63	44.79	5	7	13.63	44.79	5	7	1	0	Equip-hand	0
18	1	{0}【主】{1}底子尚可	不过想成为我这样，你还有一段距离哦！	这可都是我一点点积累出来的心血啊！相信我你也可以这样的！	和斯卡伊德对话：{0}{1}/1	13.63	44.79	5	7	13.63	44.79	5	7	13.63	44.79	5	7	1	0	Equip-hand	0
19	0	{0}【主】{1}拯救城镇	哎你看，城镇那边似乎冒烟了！我这里还没修好，你快点回去看看发生了什么吧！	哎居然发生了这种事！幸好有你在！	自然复仇副本：{0}{1}/1	13.63	44.79	5	7	13.63	44.79	5	7	13.63	44.79	5	7	1	0	Equip-hand	0
20	0	{0}【主】{1}塔罗魔灵	咦？你是不是获得了一个什么东西？我好像在以前的古籍上看过这个，来试试吧！	看来古籍上说的没错呢！你果然是个特殊的存在！	了解魔灵：{0}{1}/1	61.46	88.3	23	1155	61.46	88.3	23	1155	61.46	88.3	23	1155	1	0	Equip-hand	0
21	0	{0}【主】{1}异次元门	我刚刚看到莉莉丝大人往异次元空间去了，杰西卡也跟过去了，不知道是不是哪里发生了什么。这个[ca12ff]滑板[b4ffd1]送给你，不用感谢我哦！	哎？你居然也过来了啊！	和杰西卡对话：{0}{1}/1	24.28	27.09	28	165	13.63	44.79	5	7	24.28	27.09	28	165	1	0	Equip-hand	0
22	3	{0}【主】{1}精益求精	其实不止是装备，你的技能也可以有很大成长的哦~	嗯~努力的你可真迷人，可不要懈怠了哦~	升级技能：{0}{1}/1	-1	-1	-1	-1	77.52	84.11	5	9	77.52	84.11	5	9	1	0	Equip-hand	0
23	0	{0}【主】{1}蚊虫成灾	幸好你来了！这里最近发生了一系列奇怪的事情呢！	你果然和莉莉丝大人说的一样是个可靠的人呢！	和梅里娅对话：{0}{1}/1	61.46	88.3	23	1155	61.46	88.3	23	1155	61.46	88.3	23	1155	1	0	Equip-hand	0
24	2	{0}【主】{1}扑灭行动	那么这里的[ff0006]沙漠蚊[b4ffd1]就麻烦冒险者大人了！	太好了，这样一来就解决一件事情了！	沙漠蚊：{0}{1}/6	21.59	72.4	23	18	61.46	88.3	23	1155	61.46	88.3	23	1155	1	0	Equip-hand	0
25	0	{0}【主】{1}异变原因	不过这样一来发生这种异变也是有情可原了啊……	啊你不要气馁！你已经做的很好了！而且我们的守护神不会抛弃我们的！	和梅里娅对话：{0}{1}/1	61.46	88.3	23	1155	61.46	88.3	23	1155	61.46	88.3	23	1155	1	0	Equip-hand	0
26	4	{0}【主】{1}挥之不去	你说你解决了这些蚊子的来源？但是蚊子的数目完全没变少啊~你去看看到底为什么吧~	果然你们做的还不够彻底呢~不过也就是这一点才可爱啊~	探查：{0}{1}/1	39.2	63.8	23	-1	31.1	44.9	23	12	31.1	44.9	23	12	1	0	Equip-hand	0
27	0	{0}【主】{1}孩童失踪	这样一来就只剩下一件奇怪的事情了！	有这个可能性，但是总不会是小孩子们约定好了一起失踪吧……	和梅里娅对话：{0}{1}/1	61.46	88.3	23	1155	61.46	88.3	23	1155	61.46	88.3	23	1155	1	0	Equip-hand	0
28	0	{0}【主】{1}调查疑地	之前发现了一个地方，我们觉得很可疑，要不然你去看看吧！	哎不是啊……不过看起来和这里的蚊子成灾也有关系呢，总算不是白去了呢！	可疑地点副本：{0}{1}/1	-1	-1	-1	-1	61.46	88.3	23	1155	61.46	88.3	23	1155	1	0	Equip-hand	0
29	0	{0}【主】{1}宠物技能	不过守护神很强大，她的手下也很强大，我来教教你怎么让你的宠物掌握更强大的技能吧！	你的宠物还有很多力量可以挖掘，相信是个值得信赖的伙伴！	学习宠物技能：{0}{1}/1	-1	-1	-1	-1	49.36	15.46	34	210	49.36	15.46	34	210	1	0	Equip-hand	0
30	0	{0}【主】{1}环境变化	失去了[ca12ff]“方舟”[b4ffd1]的保护，这周围也都变得不安全起来了呢。	我刚刚才发现这附近的蚊子，不知道从什么时候开始都有剧毒了呢……	和莉莉丝对话：{0}{1}/1	31.1	44.9	23	12	31.1	44.9	23	12	31.1	44.9	23	12	1	0	Equip-hand	0
31	1	{0}【主】{1}虫卵	虽然已经除掉了沙漠蚊女王，但是那些虫卵还在啊，就麻烦你去清除那些[0afb04]虫卵[b4ffd1]啦~	好样的，看不出来动作倒是很麻利嘛~	虫卵：{0}{1}/1	14.82	88.79	23	-1	31.1	44.9	23	12	31.1	44.9	23	12	1	0	Equip-hand	0
32	0	{0}【主】{1}研制药剂	这些虫卵的用处可是很大的哦~	可不要因此而爱上我哦~	和莉莉丝对话：{0}{1}/1	31.1	44.9	23	12	31.1	44.9	23	12	31.1	44.9	23	12	1	0	Equip-hand	0
33	3	{0}【主】{1}驱虫剂	我用这些虫卵研制了一些[0afb04]驱虫药[b4ffd1]~我觉得还是把他们赶离这周围比较好~	嗯，你做的很好。我也开始对你刮目相看了呢，嗯哼~	驱散毒虫：{0}{1}/1	31.1	44.9	23	12	31.1	44.9	23	12	31.1	44.9	23	12	1	0	Equip-hand	0
34	0	{0}【主】{1}消失地点	解决了蚊子的事情，可孩子的事情，却还是没有头绪呢。	没错啊，那些孩子最后被看到出现的地点，都是在这片[f8fb04]呼啸沙漠[b4ffd1]。	和莉莉丝对话：{0}{1}/1	31.1	44.9	23	12	31.1	44.9	23	12	31.1	44.9	23	12	1	0	Equip-hand	0
35	1	{0}【主】{1}咨询	啊对了！不如去问一下负责这里的修士[f8fb04]瑟克萨斯[b4ffd1]？如果知道了什么的话马上告诉我！	嗯？是贤者莉莉丝大人叫你来的？	和瑟克萨斯对话：{0}{1}/1	6.84	13.35	23	14	31.1	44.9	23	12	6.84	13.35	23	14	1	0	Equip-hand	0
36	0	{0}【主】{1}孩童去向	怎么了？发生什么事了吗？你要知道什么？	这个……我没听说过……	和瑟克萨斯对话：{0}{1}/1	6.84	13.35	23	14	6.84	13.35	23	14	6.84	13.35	23	14	1	0	Equip-hand	0
37	0	{0}【主】{1}益智玩具	啊……对了！别这么紧张，这里有个玩具，你要不要试试看？	怎么样，好玩吗？	完成游戏：{0}{1}/1	-1	-1	-1	-1	6.84	13.35	23	14	6.84	13.35	23	14	1	0	Equip-hand	0
38	0	{0}【主】{1}爱女玩具	呃……会不会有点太简单了……	嗯……她……懂事又可爱。	和瑟克萨斯对话：{0}{1}/1	6.84	13.35	23	14	6.84	13.35	23	14	6.84	13.35	23	14	1	0	Equip-hand	0
39	0	{0}【主】{1}女儿失踪	她母亲去世得早……我……很少关心她，只给她买过这一个玩具	啊……报告莉莉丝大人吗……也好……	和瑟克萨斯对话：{0}{1}/1	6.84	13.35	23	14	6.84	13.35	23	14	6.84	13.35	23	14	1	0	Equip-hand	0
40	4	{0}【主】{1}探查情况	虽然想听听你知道了什么，但是这里不知道发生了什么居然出现了[ff0006]骷髅[b4ffd1]！你能先去确认下情况吗？	想不到居然这么多！难道是从[f8fb04]血色冰封[b4ffd1]出来的吗？总之事态紧急！	探查情况：{0}{1}/1	17.75	14.46	23	-1	6.84	13.35	23	14	6.84	13.35	23	14	1	0	Equip-hand	0
41	0	{0}【主】{1}事情紧急	那……我也不陪你去了……这边也走不开，你自己注意安全……	怎么样？瑟克萨斯有什么发现吗？	和莉莉丝对话：{0}{1}/1	31.1	44.9	23	12	6.84	13.35	23	14	31.1	44.9	23	12	1	0	Equip-hand	0
42	0	{0}【主】{1}决心	看你这呼哧带喘的样子，是发现了什么吗？	不要急，听我把话说完~	和莉莉丝对话：{0}{1}/1	31.1	44.9	23	12	31.1	44.9	23	12	31.1	44.9	23	12	1	0	Equip-hand	0
43	0	{0}【主】{1}我要变强	不如我来教你怎么[ffffff]强化[b4ffd1]你的装备吧~	怎么样，是不是觉得自己变得更强大了啊？	强化装备：{0}{1}/1	-1	-1	-1	-1	77.52	84.11	5	9	77.52	84.11	5	9	1	0	Equip-hand	0
44	3	{0}【主】{1}测试能力	不过我不能听你说就相信你！除掉这里的沙漠狐来跟我证明你自己吧！	嗯，看起来你还是有一定实力的！	沙漠狐：{0}{1}/10	9.65	52.75	23	19	6.84	13.35	23	14	6.84	13.35	23	14	1	0	Equip-hand	0
45	0	{0}【主】{1}深入探查	其实呢~我刚好发现了一个地方，那里的可能性非常大哦！看你实力已经有所增长了，那就去那里看一下怎么样~	果然是这里，太好了孩子们都救出来了，这都是你的功劳呢！	通关营救副本：{0}{1}/1	-1	-1	-1	-1	31.1	44.9	23	12	31.1	44.9	23	12	1	0	Equip-hand	1
46	0	{0}【主】{1}女儿未知	不过有一个不好的消息，我在孩子中并没有找到[f8fb04]瑟克萨斯的女儿[b4ffd1]。	不知道呢……但是事实就是，她并不在这些孩子之中。	和莉莉丝对话：{0}{1}/1	8.2	21.2	23	12	31.1	44.9	23	12	31.1	44.9	23	12	1	0	Equip-hand	0
47	1	{0}【主】{1}突发异变	我刚才看到了一个比我还吸引人眼球的身影~你去问问看看那个人和这个事件有没有关系~	哎什么？这里发生了什么事件么？	和贝蕾格莉对话：{0}{1}/1	7.88	71.87	23	1154	31.1	44.9	23	12	7.88	71.87	23	1154	1	0	Equip-hand	0
48	2	{0}【主】{1}保卫城镇	你……先去把那些[ff0006]骷髅[b4ffd1]清除掉吧……贝因好像也来了，之后的就交给他吧……我身体不太舒服……	已经搞定了吗，真的是帮了大忙了！	骷髅小兵：{0}{1}/15	35.03	18.55	23	20	6.84	13.35	23	14	48.85	10.28	23	13	1	0	Equip-hand	0
49	0	{0}【主】{1}实话实说	哎……你怎么迟迟不去解决那些[ff0006]骷髅[b4ffd1]？还有什么心事吗？	我的孩子……（痛苦）	和瑟克萨斯对话：{0}{1}/1	6.84	13.35	23	14	6.84	13.35	23	14	6.84	13.35	23	14	1	0	Equip-hand	0
50	0	{0}【主】{1}故地重游	话说刚才我看到瑟克萨斯往之前你救出孩子们的地方去了，那边很危险，你跟去看看吧，不要出什么意外。	居然发生了这种事！那个怪物，竟然是瑟克萨斯的女儿，他居然和恶魔做了交易。（愤怒）	真相大白副本：{0}{1}/1	-1	-1	-1	-1	48.85	10.28	23	13	48.85	10.28	23	13	1	0	Equip-hand	0
51	1	{0}【主】{1}爆炸声	我刚刚听到城镇里面传出了巨大的爆炸声，我守着这边，[ffffff]$N[b4ffd1]你能去确认下城镇的情况吗？	这下糟糕了……该怎么办……	和特斯基对话：{0}{1}/1	85.7	8.2	23	31	48.85	10.28	23	13	85.7	8.2	23	31	1	0	Equip-hand	0
52	0	{0}【主】{1}乖僻学者	去去去，哪里的小孩别来给我捣乱！	不可能！我们这种顶级的研究所怎么会做出这种低级失误！	和特斯基对话：{0}{1}/1	85.7	8.2	23	31	85.7	8.2	23	31	85.7	8.2	23	31	1	0	Equip-hand	0
53	0	{0}【主】{1}坏消息	虽然消除了隐患，但是这里的机器人就全部报废了啊……这件事件必须得告诉[f8fb04]特斯基[b4ffd1]先生！	居然……（心疼的说不出话）	和特斯基对话：{0}{1}/1	85.7	8.2	23	31	79.56	43.24	23	32	85.7	8.2	23	31	1	0	Equip-hand	0
54	0	{0}【主】{1}另一处	（缓了过来）行了，你也别自责了……幸亏我们还有另外一个研究所。	在血色冰封，这里的很多机器人都是从那边运来的。	和特斯基对话：{0}{1}/1	85.7	8.2	23	31	85.7	8.2	23	31	85.7	8.2	23	31	1	0	Equip-hand	0
55	2	{0}【主】{1}机械处理	哎呀这些机器人！万一砸坏了仪器怎么办！小孩子你帮我把[ff0006]失控的机器人[b4ffd1]处理掉吧！	嗯，手脚勤快不偷懒，这样的小孩还像点样！	失控机器人：{0}{1}/15	80.42	29.48	23	34	85.7	8.2	23	31	85.7	8.2	23	31	1	0	Equip-hand	0
56	0	{0}【主】{1}奇怪部件	小孩子，你去看看那些[ff0006]机器人[b4ffd1]有没有什么可疑的地方？	这个……这个是什么！	机械部件：{0}{1}/1	80.42	29.48	23	34	85.7	8.2	23	31	85.7	8.2	23	31	1	0	Equip-hand	0
57	0	{0}【主】{1}魔法部件	这个部件……看起来有[ffffff]魔法[b4ffd1]！不过现在太微弱对人类不会产生影响了。	我怎么知道！我已经好久不研究魔法了！	和特斯基对话：{0}{1}/1	85.7	8.2	23	31	85.7	8.2	23	31	85.7	8.2	23	31	1	0	Equip-hand	0
58	1	{0}【主】{1}魔法学徒	我虽然不研究魔法了，但是正好我们这里有个魔法学院的学徒，她或许知道。	嗯？要调查什么？拿来我看看？	和奥奈尔谈话：{0}{1}/1	79.56	43.24	23	32	85.7	8.2	23	31	79.56	43.24	23	32	1	0	Equip-hand	0
59	0	{0}【主】{1}冒失少女	要调查的就是这个部件吧？我看看啊……	嗯……我很抱歉，不过不用啦~我已经知道这个部件是干什么的了呢~	和奥奈尔谈话：{0}{1}/1	79.56	43.24	23	32	79.56	43.24	23	32	79.56	43.24	23	32	1	0	Equip-hand	0
60	0	{0}【主】{1}部件原理	根据我的推测，这个部件有让接触的生物狂暴的魔法！幸好已经失去魔力了。	啊！你不说我还没想到！还是得快去确认一下才好！	和奥奈尔谈话：{0}{1}/1	79.56	43.24	23	32	79.56	43.24	23	32	79.56	43.24	23	32	1	0	Equip-hand	0
61	0	{0}【主】{1}少女同行	年轻人，麻烦你跑腿去那边看一下吧。顺便带上[f8fb04]阿里奥奈尔[b4ffd1]，她吵得我没办法工作了……	哎？！[ffffff]$N[b4ffd1]要去血色冰封的研究所吗！我也要去！	和奥奈尔谈话：{0}{1}/1	79.56	43.24	23	32	85.7	8.2	23	31	79.56	43.24	23	32	1	0	Equip-hand	0
62	0	{0}【主】{1}深入探查	我会告诉你仓库在哪里，剩下的就交给你了~	哇哇哇！想不到仓库里面的机器人全员沦陷了啊！	探查：{0}{1}/1	87.85	46.97	23	-1	79.56	43.24	23	32	79.56	43.24	23	32	1	0	Equip-hand	0
63	0	{0}【主】{1}久违学者	说起来好久没看到[f8fb04]黑伊尔[b4ffd1]老师了。	差不多有一个星期了吧，自从他开始研究那个大机器人开始。	和奥奈尔谈话：{0}{1}/1	79.56	43.24	23	32	79.56	43.24	23	32	79.56	43.24	23	32	1	0	Equip-hand	0
64	1	{0}【主】{1}血色冰封	准备好了吗？那我们出发吧~	哇哇！这里比想象的冷好多啊！	和奥奈尔谈话：{0}{1}/1	89	76	38	157	79.56	43.24	23	32	89	76	38	157	1	0	Equip-hand	0
65	1	{0}【主】{1}居心何在	这个老头子居然设计了这种机器人，他到底安的什么心！你去问问他。	是你啊……谢谢你救了我。	和黑伊尔对话：{0}{1}/1	5.23	46.87	38	33	34	85	38	158	5.23	46.87	38	33	1	0	Equip-hand	0
66	0	{0}【主】{1}前因	什么！你要问我这种事情的原因！？	我觉得比起多变的人类，机器人更值得信赖！	和黑伊尔对话：{0}{1}/1	5.23	46.87	38	33	5.23	46.87	38	33	5.23	46.87	38	33	1	0	Equip-hand	0
67	0	{0}【主】{1}警钟	这件事情我必须向上面报告！小朋友，陪我去[f8fb04]勒克斯港[b4ffd1]报告这件事情吧！	到了，这里就是勒克斯港！	和黑伊尔对话：{0}{1}/1	80.43	65.89	33	35	5.23	46.87	38	33	80.43	65.89	33	35	1	0	Equip-hand	0
68	0	{0}【主】{1}代为报告	说实在的，我真的不想和那帮书呆子打交道，就麻烦小朋友去帮我说一声了！	黑伊尔让你来的？嗯，之后的事情就交给我吧。	和霍姆斯对话：{0}{1}/1	112.75	95.95	33	36	80.43	65.89	33	35	112.75	95.95	33	36	1	0	Equip-hand	0
69	1	{0}【主】{1}事务繁忙	虽然想让你和[f8fb04]马修斯[b4ffd1]现在就去那边，但你实力还有增强的空间，我事务繁忙。那边有你的熟人，她可以帮助你。	哟~[ffffff]$N[b4ffd1]，好久不见！	和杰西卡对话：{0}{1}/1	106.1	84.6	33	37	112.75	95.95	33	36	106.1	84.6	33	37	1	0	Equip-hand	0
70	1	{0}【主】{1}另一身份	[ffffff]$N[b4ffd1]你那个表情，你是在想我为什么会在这吗？	哈哈哈，为了接近[f8fb04]乔安娜[b4ffd1]大人！我早就加入了贤者之塔下属的基因研究会啦！	和杰西卡对话：{0}{1}/1	106.1	84.6	33	37	106.1	84.6	33	37	106.1	84.6	33	37	1	0	Equip-hand	0
71	1	{0}【主】{1}打造	之前你从科技苑里面生产的材料也要好好利用啊。	要记住，有些东西，你自己不动手，就不会获得。	学习打造：{0}{1}/1	-1	-1	-1	-1	54.78873	35.49168	12	65	54.78873	35.49168	12	65	1	0	Equip-hand	0
72	1	{0}【主】{1}另一委托	不过我这里还有一件事情想要拜托你。	艾莉娜的事情是研究所内部的事情，只能由我们来解决。	和霍姆斯对话：{0}{1}/1	112.75	95.95	33	36	112.75	95.95	33	36	112.75	95.95	33	36	1	0	Equip-hand	0
73	1	{0}【主】{1}湖畔寻人	不过黄昏湖畔靠近[ff0006]兽人[b4ffd1]的据点，请一定万事小心。	谢天谢地终于有人来了！	和皮亚索拉对话：{0}{1}/1	67.72	81.55	27	38	112.75	95.95	33	36	67.72	81.55	27	38	1	0	Equip-hand	0
74	1	{0}【支】{1}宠物宝宝	我来教你宠物克隆的知识吧！首先你要准备一个宝宝宠物！挑战“黄昏要塞”副本或者重生现有的成年宠物都可以获得宝宝宠物哦！	好的，那我们来进行下一步！	获得宝宝宠物：{0}{1}/1	-1	-1	-1	-1	38.96	23.57	34	212	38.96	23.57	34	212	1	0	Equip-hand	0
75	1	{0}【主】{1}采集水样	我刚刚受了点伤，你能帮我采集下这里的[0afb04]水样[b4ffd1]么？	原来这里的水质变成这样了呀，嘿嘿嘿	湖水样本：{0}{1}/1	84.5	59.23	27	-1	67.72	81.55	27	38	67.72	81.55	27	38	1	0	Equip-hand	0
76	1	{0}【主】{1}竞技场	说你你还不开心！要不你和别的冒险者打一场试试？！	想不到你比看起来厉害啊！但是这样还不能阻挡魔王军！	竞技场：{0}{1}/1	-1	-1	-1	-1	30	8.4	38	166	30	8.4	38	166	1	0	Equip-hand	0
77	1	{0}【主】{1}回报组织	好了，这里暂时没有你的事了，你回去跟研究院说一声，看看能不能派个谁过来、	……（很不友好的瞪了你一眼）	和皮亚索拉对话：{0}{1}/1	67.72	81.55	27	38	67.72	81.55	27	38	67.72	81.55	27	38	1	0	Equip-hand	0
78	1	{0}【主】{1}主城介绍	其实这里的主城很大呢，功能也很齐全，让我来给你介绍一下吧~	嗯哼~相信你这样就不会迷路了~	和杰西卡对话：{0}{1}/1	106.1	84.6	33	37	106.1	84.6	33	37	106.1	84.6	33	37	1	0	Equip-hand	0
79	1	{0}【支】{1}挂机设置	其实使用挂机设置可以让您更方便的在大陆冒险，来试试吧~	果然很方便呢，感谢守护神的伟大智慧！	挂机设置：{0}{1}/1	61.46	88.3	23	1155	61.46	88.3	23	1155	61.46	88.3	23	1155	1	0	Equip-hand	0
80	1	{0}【支】{1}仓库	在勒克斯港还有专门的两个仓库管理员哦~要是背包里面有暂时不用的可以去找他们帮忙保管呢~	放心，你们的东西我们都会好好保管的！	仓库：{0}{1}/1	81	43	33	1095	106.1	84.6	33	37	81	43	33	1095	1	0	Equip-hand	0
81	1	{0}【主】{1}翘学少女	啊对了！差点忘了我是偷偷溜出来的！老师看到我一定会生气的……只能麻烦你去了呢	想不到这个时候居然会有人过来，呵呵，我的运气还真是微妙。	和艾琳娜对话：{0}{1}/1	34	85	38	158	89	76	38	157	34	85	38	158	1	0	Equip-hand	0
82	1	{0}【主】{1}众木成林	你找到适合自己的冒险者公会了么？	和志同道合的人一起成长，是很有效果的！	了解公会：{0}{1}/1	-1	-1	-1	-1	87.08	22.63	33	175	87.08	22.63	33	175	1	0	Equip-hand	0
83	1	{0}【主】{1}表达感谢	快去感谢下救你出来的人吧~	是你啊，举手之劳不必感谢。	和琳对话：{0}{1}/1	53.31	33.86	27	42	66.34	19.91	27	39	53.31	33.86	27	42	1	0	Equip-hand	0
84	1	{0}【主】{1}可疑人影	算了算了，刚刚我看到一个可疑的人影一闪而过，你去看看是谁吧。	等等！是我！不是可疑人物！	和弗里德对话：{0}{1}/1	80.95	48.72	27	41	67.72	81.55	27	38	80.95	48.72	27	41	1	0	Equip-hand	0
85	1	{0}【主】{1}伙伴失散	你那个眼神是啥意思！我真的不是什么可疑人物！友情呢！	哎不过过了这么久，他们走到了黄昏要塞也说不定……	和弗里德对话：{0}{1}/1	80.95	48.72	27	41	80.95	48.72	27	41	80.95	48.72	27	41	1	0	Equip-hand	0
