Id	Desc	Money	BindYuanBao	Exp	FellowExp	ToolID1	ToolNum1	ToolID2	ToolNum2	ProfessionItemID1	ProfessionNum1	ProfessionItemID2	ProfessionNum2	ProfessionItemID3	ProfessionNum3	ProfessionItemID4	ProfessionNum4	ProfessionItemID5	ProfessionNum5	ChoosedItemNum	ItemID1	ItemNum1	ItemID2	ItemNum2	ItemID3	ItemNum3
40	{0}【主】{1}探查情况	1575	0	288	96	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
41	{0}【主】{1}事情紧急	4664	0	529	176	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
42	{0}【主】{1}我要变强	519	0	59	20	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
43	{0}【主】{1}我要变强	788	0	162	0	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
44	{0}【主】{1}测试能力	5182	0	588	196	24	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
45	{0}【主】{1}深入探查	10962	0	1248	416	23	3	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
46	{0}【主】{1}女儿未知	731	0	84	28	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
47	{0}【主】{1}突发异变	731	0	84	28	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
48	{0}【主】{1}保卫城镇	5250	0	960	320	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
49	{0}【主】{1}实话实说	525	0	96	32	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
50	{0}【主】{1}故地重游	7875	0	1440	480	24	3	-1	-1	30602	1	31602	1	33602	1	32602	1	-1	0	0	-1	0	-1	0	-1	0
51	{0}【主】{1}爆炸声	15400	0	5654	1885	4013	10	4023	10	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
52	{0}【主】{1}乖僻学者	7700	0	2827	942	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
53	{0}【主】{1}坏消息	2242	0	1042	347	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
54	{0}【主】{1}另一处	5604	0	2604	868	23	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
55	{0}【主】{1}机械处理	25300	0	9320	3107	59	5	-1	-1	30302	1	31302	1	33302	1	32302	1	-1	0	0	-1	0	-1	0	-1	0
56	{0}【主】{1}奇怪部件	10350	0	3825	1275	-1	-1	-1	-1	30202	1	31202	1	33202	1	32202	1	-1	0	0	-1	0	-1	0	-1	0
57	{0}【主】{1}魔法部件	17250	0	6375	2125	4031	5	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
58	{0}【主】{1}魔法学徒	4000	0	1483	494	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
59	{0}【主】{1}冒失少女	18000	0	6672	2224	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
60	{0}【主】{1}部件原理	2000	0	742	247	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
61	{0}【主】{1}少女同行	2242	0	1042	347	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
62	{0}【主】{1}深入探查	6000	0	2224	741	-1	-1	-1	-1	30102	1	31102	1	33102	1	32102	1	-1	0	0	-1	0	-1	0	-1	0
63	{0}【主】{1}久违学者	1121	0	521	174	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
64	{0}【主】{1}血色冰封	10087	0	4687	1562	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
65	{0}【主】{1}居心何在	2807	0	1317	439	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
66	{0}【主】{1}前因	7017	0	3291	1097	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
67	{0}【主】{1}警钟	12630	0	5923	1974	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
68	{0}【主】{1}代为报告	2907	0	1588	529	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
69	{0}【主】{1}事务繁忙	2907	0	1588	529	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
70	{0}【主】{1}另一身份	7266	0	3969	1323	24	5	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
71	{0}【主】{1}宠物克隆	40765	0	271177	90392	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
72	{0}【主】{1}另一委托	33056	0	30778	10259	-1	-1	-1	-1	34403	1	35403	1	37403	1	36403	1	-1	0	0	-1	0	-1	0	-1	0
73	{0}【主】{1}湖畔寻人	13223	0	12312	4104	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
74	{0}【主】{1}救人要紧	0	0	0	0	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
75	{0}【主】{1}采集水样	12600	0	11772	3924	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
76	{0}【主】{1}竞技场	21038	0	17400	5800	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
77	{0}【主】{1}回报组织	21000	0	19620	6540	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
78	{0}【主】{1}主城介绍	13079	0	7144	2381	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
79	{0}【主】{1}寻求引荐		0			-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
80	{0}【主】{1}引荐信		0			-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
81	{0}【主】{1}翘学少女	15795	0	3679	1226	4013	10	4023	10	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
82	{0}【主】{1}众木成林		0			-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
83	{0}【主】{1}表达感谢	10043	0	12629	4210	-1	-1	-1	-1	34703	1	35703	1	37703	1	36703	1	-1	0	0	-1	0	-1	0	-1	0
84	{0}【主】{1}可疑人影	8400	0	7848	2616	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
85	{0}【主】{1}伙伴失散	21000	0	19620	6540	-1	-1	-1	-1	34503	1	35503	1	37503	1	36503	1	-1	0	0	-1	0	-1	0	-1	0
86	{0}【主】{1}冰冻墓地	2661	0	359	120	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
87	{0}【主】{1}清除障碍	15858	0	16372	5457	23	1	-1	-1	34103	1	35103	1	37103	1	36103	1	-1	0	0	-1	0	-1	0	-1	0
88	{0}【主】{1}求助贤者	3172	0	3275	1092	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
89	{0}【主】{1}湖畔慨况	7929	0	8186	2729	4014	10	4024	10	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
90	{0}【主】{1}变装	0	0	0	0	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
91	{0}【主】{1}探查营地	23786	0	24558	8186	100001	5	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
92	{0}【主】{1}小队现状	25108	0	31572	10524	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
93	{0}【主】{1}报告情况	10043	0	12629	4210	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
94	{0}【主】{1}怀疑	25108	0	31572	10524	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
95	{0}【主】{1}魔力受限	14250	0	15600	5200	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
96	{0}【主】{1}求助女贼	5700	0	6240	2080	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
97	{0}【主】{1}清除守卫	28500	0	31200	10400	24	5	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
98	{0}【主】{1}调查遗迹	0	0	0	0	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
99	{0}【主】{1}机械损坏	2690	0	5863	1954	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
100	{0}【主】{1}快去快回	5380	0	11725	3908	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
101	{0}【主】{1}不信任	2690	0	5863	1954	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
102	{0}【主】{1}避免起疑	5380	0	11725	3908	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
103	{0}【主】{1}前往湖泊	5380	0	11725	3908	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
104	{0}【主】{1}缺少工具	0	0	0	0	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
105	{0}【主】{1}兽人交流	13449	0	29311	9770	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
106	{0}【主】{1}兽人求助	11715	0	60433	20144	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	65302	1	0	-1	0	-1	0	-1	0
107	{0}【主】{1}兽人异变	5858	0	30217	10072	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	65602	1	0	-1	0	-1	0	-1	0
108	{0}【主】{1}事件重点	5858	0	30217	10072	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
109	{0}【主】{1}兽人斥候	58572	0	302163	100721	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
110	{0}【主】{1}人类女性	7828	0	28216	9405	4015	10	4025	10	34604	1	35604	1	37604	1	36604	1	-1	0	0	-1	0	-1	0	-1	0
111	{0}【主】{1}限制增强	3914	0	14108	4703	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
112	{0}【主】{1}采集魔药	11741	0	42323	14108	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
113	{0}【主】{1}护法	58705	0	211615	70538	125	3	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
114	{0}【主】{1}魔力恢复	3225	0	14187	4729	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
115	{0}【主】{1}清除前锋	32250	0	141868	47289	-1	-1	-1	-1	34204	1	35204	1	37204	1	36204	1	-1	0	0	-1	0	-1	0	-1	0
116	{0}【主】{1}潜伏女贼	6450	0	28374	9458	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
117	{0}【主】{1}兽人军队	3225	0	14187	4729	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
118	{0}【主】{1}变装潜入	29025	0	127681	42560	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
119	{0}【主】{1}纸条	0	0	0	0	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
120	{0}【主】{1}故人	16125	0	70934	23645	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
121	{0}【主】{1}寻找银木	5256	0	24138	8046	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
122	{0}【主】{1}搜索小队	26278	0	120686	40229	-1	-1	-1	-1	34304	1	35304	1	37304	1	36304	1	-1	0	0	-1	0	-1	0	-1	0
123	{0}【主】{1}攻击信号	519	0	59	20	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
124	{0}【主】{1}安慰	17679	0	84624	28208	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
125	{0}【主】{1}阴谋	3536	0	16925	5642	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
126	{0}【主】{1}又见贵妇	3300	0	2400	800	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
127	{0}【主】{1}部落内情	6469	0	31609	10536	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
128	{0}【主】{1}理智失控	16172	0	79021	26340	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
129	{0}【主】{1}速速离去	6469	0	31609	10536	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
130	{0}【主】{1}水中遗迹	16172	0	79021	26340	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
131	{0}【主】{1}遗迹僵尸	38608	0	196158	65386	56537	20	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
132	{0}【主】{1}回归重点	23500	0	123979	41326	4015	10	4025	10	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
133	{0}【主】{1}僵尸外游	47000	0	247958	82653	23	3	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
134	{0}【主】{1}接应	10691	0	58489	19496	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
135	{0}【主】{1}异变加剧	5346	0	29245	9748	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
136	{0}【主】{1}残暴兽人	53455	0	292445	97482	24	5	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
137	{0}【主】{1}兽人大营	1050	0	192	64	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
138	{0}【主】{1}可疑人物	12250	0	79328	26443	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
139	{0}【主】{1}自辩	30625	0	198320	66107	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
140	{0}【主】{1}无可奈何	12250	0	79328	26443	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
141	{0}【主】{1}旁若无物	57955	0	381939	127313	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
142	{0}【主】{1}了然于心	19319	0	127313	42438	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
143	{0}【主】{1}争取时间	34895	0	208057	69352	4016	10	4026	10	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
144	{0}【主】{1}可疑机械	3490	0	20806	6935	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
145	{0}【主】{1}少女被挟	8250	0	6000	2000	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
146	{0}【主】{1}宽宏大量	31406	0	187251	62417	-1	-1	-1	-1	38605	1	39605	1	41605	1	40605	1	65203	1	0	-1	0	-1	0	-1	0
147	{0}【主】{1}第六贤者	7728	0	50926	16975	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	65303	1	0	-1	0	-1	0	-1	0
148	{0}【主】{1}报告事情	6125	0	39664	13221	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	65603	1	0	-1	0	-1	0	-1	0
149	{0}【主】{1}机械守卫	61250	0	396640	132213	-1	-1	-1	-1	34704	1	35704	1	37704	1	36704	1	-1	0	0	-1	0	-1	0	-1	0
150	{0}【主】{1}机械蜘蛛	38637	0	254626	84875	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
151	{0}【主】{1}探查要塞	0	0	0	0	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
152	{0}【主】{1}另一贤者	3864	0	25463	8488	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
153	{0}【主】{1}战场求生	0	0	0	0	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
154	{0}【主】{1}雪地生物	17550	0	4088	1363	-1	-1	-1	-1	30402	1	31402	1	33402	1	32402	1	-1	0	0	-1	0	-1	0	-1	0
155	{0}【主】{1}状况不明	1755	0	409	136	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
156	{0}【主】{1}巨魔宝物	42300	0	223162	74387	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
157	{0}【主】{1}翘学少女	2363	0	552	184	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
158	{0}【主】{1}贵妇	1182	0	276	92	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
159	{0}【主】{1}清理僵尸	11813	0	2758	919	23	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
160	{0}【主】{1}珍贵资料	3544	0	828	276	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
161	{0}【主】{1}学者下落	1182	0	276	92	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
162	{0}【主】{1}僵尸围城	17719	0	4137	1379	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
163	{0}【主】{1}大门紧闭	4060	0	1900	633	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
164	{0}【主】{1}机械古堡	25650	0	28080	9360	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
