Id	Desc	BelleCount	BelleID	AdditionValue_1	AdditionValue_2	AdditionValue_3	AdditionValue_4	AdditionValue_5
307		18	3	260	148	148	163	232
308		18	4	372	148	148	163	232
309		18	5	2233	148	148	163	232
310		18	6	1787	119	119	130	186
311		18	7	372	148	148	163	232
312		18	8	2233	148	148	163	232
313		18	9	156	89	89	97	139
314		18	10	130	74	74	81	116
315		18	11	223	89	89	97	139
316		18	12	186	74	74	81	116
317		18	13	1340	89	89	97	139
318		18	14	1116	74	74	81	116
319		18	15	334	134	134	146	209
320		18	16	234	134	134	146	209
321		18	17	2010	134	134	146	209
322		18	18	2010	134	134	146	209
323		19	0	220	126	126	137	197
324		19	1	315	126	126	137	197
325		19	2	276	157	157	172	246
326		19	3	276	157	157	172	246
327		19	4	394	157	157	172	246
328		19	5	2365	157	157	172	246
329		19	6	1892	126	126	137	197
330		19	7	394	157	157	172	246
331		19	8	2365	157	157	172	246
332		19	9	165	94	94	103	147
333		19	10	137	79	79	86	123
334		19	11	236	94	94	103	147
335		19	12	197	79	79	86	123
336		19	13	1419	94	94	103	147
337		19	14	1182	79	79	86	123
338		19	15	354	142	142	154	221
339		19	16	248	142	142	154	221
340		19	17	2128	142	142	154	221
341		19	18	2128	142	142	154	221
