Id	Description	CharModelID	Name	Sex	NpcType	Level	AttackType	AttackDisType	SkillstrategyIndex	MaxHP	MaxMP	MaxXP	PDefense	PAttack	MDefense	MAttack	Hit	Dodge	Critical	DeCritical	Strike	Ductical	CritiAdd	CritiMis	AttackTime	MoveSpeed	Camp	PathRadius	AlertRadius	IsRanbdMove	RandMoveDis	CorpseTime	ReviveTime	DialogID	DialogRadius	DropItemId	Exp	IsAttackFly	BornEffctID	DieEffectID	RampType	EnhanceID	BelongType	IsImmuneJT	CombatNPC	MissionNpcFlag	HpCount	ShowBornEffect
7	暮色雨林—NPC	513	斯卡伊德	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	7	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
8	暮色雨林—NPC	8	杰西卡	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	8	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
9	暮色雨林—NPC	9	莉莉丝	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	9	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
10	暮色雨林—NPC	10	派特太太	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	10	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
11	暮色雨林—NPC	11	瑟克萨斯	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	11	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
12	黄昏边境—NPC	12	莉莉丝	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	12	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
13	黄昏边境—NPC	13	贝因	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	13	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
14	黄昏边境—NPC	14	瑟克萨斯	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	14	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
15	暮色雨林—野怪	15	丛林野猪	1	0	7	0	0	0	274	0	0	22	26	22	26	9792	0	182	0	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	1	1	1	-1	-1	-1	-1	2	0	1	0	1	0
16	暮色雨林—野怪	16	顶角豹	1	0	3	0	0	0	140	0	0	15	22	15	22	9744	0	174	0	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	1	1	1	-1	-1	-1	-1	2	0	1	0	1	0
17	暮色雨林—野怪	18	雨林兽人	1	0	9	0	0	0	318	0	0	25	31	25	31	9816	0	186	0	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	1	2	1	-1	-1	-1	-1	2	0	1	0	1	0
18	遗忘废墟—野怪	19	沙漠蚊	1	0	13	0	0	0	806	0	0	53	66	53	66	9880	0	194	0	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	0	1	0	1	0
19	遗忘废墟—野怪	20	沙漠狐	1	0	17	0	0	0	977	0	0	67	99	67	99	9923	0	201	0	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	2	4	1	-1	-1	-1	-1	2	0	1	0	1	0
20	遗忘废墟—野怪	21	骷髅小兵	1	0	19	0	0	0	1051	0	0	72	108	72	108	9945	0	205	0	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	2	4	1	-1	-1	-1	-1	2	0	1	0	1	0
21	遗忘废墟-野怪-废弃	24	顶角兽	1	0	9	0	0	0	318	0	0	25	31	25	31	9816	0	186	0	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	1	2	1	-1	-1	-1	-1	2	0	1	0	1	0
22	遗忘废墟-剧情副本	19	沙漠蚊	1	0	12	0	0	0	1281	0	0	38	32	38	32	4104	4	120	0	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	0	1	0	1	0
23	遗忘废墟-剧情副本-boss	26	巨石怪	1	2	12	0	0	75	6405	0	0	200	164	200	164	8208	18	168	1	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	1	1	0	1	0
24	遗忘废墟-野怪-废弃	27	黄昏半兽人	1	0	12	0	0	0	770	0	0	51	62	51	62	9869	0	192	0	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	0	1	0	1	0
25	遗忘废墟-野怪-废弃	28	黄昏兽人	1	0	12	0	0	0	770	0	0	51	62	51	62	9869	0	192	0	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	0	1	0	1	0
26	暮色雨林-剧情副本-boss	29	女王蜂	1	2	15	0	0	75	7923	0	0	305	203	305	203	9717	22	203	1	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	1	1	0	1	0
27	遗忘废墟-野怪-废弃	30	黄昏半兽人战士	1	0	12	0	0	0	770	0	0	51	62	51	62	9869	0	192	0	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	0	1	0	1	0
28	看名字就知道是啥	31	金猪	1	2	1	0	0	0	99999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200	375	2	12	5	1	2	3000	14400000	-1	2	-1	1	1	-1	-1	-1	-1	2	0	1	0	3	0
29	遗忘废墟-剧情副本-boss	32	赤炼影魔	1	2	18	0	0	76	9343	0	0	354	238	354	238	11236	26	241	2	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	2	4	1	-1	-1	-1	-1	2	1	1	0	2	0
30	遗忘废墟-剧情副本-boss	33	狂暴瑟克萨斯	1	2	19	0	0	74	9841	0	0	372	249	372	249	11745	27	254	2	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	2	4	1	-1	-1	-1	-1	2	1	1	0	2	0
31	黄昏边境—NPC	34	特斯基	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	15	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
32	黄昏边境—NPC	35	阿里奥奈尔	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	16	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
33	黄昏边境—NPC	36	黑伊尔	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	17	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
34	遗忘废墟—野怪	37	失控机器人	1	0	22	0	0	0	1409	0	0	105	133	105	133	10008	0	211	0	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	3	5	1	-1	-1	-1	-1	2	0	1	0	1	0
35	主城—NPC	38	黑伊尔	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	18	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
36	主城—NPC	39	霍姆斯	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	19	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
37	主城—NPC	40	杰西卡	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	20	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
38	无量山—野怪	41	皮亚索拉	0	0	1	0	0	0	90	0	0	7	20	7	20	9720	0	170	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	21	2	1	1	1	-1	-1	-1	-1	2	0	0	0	1	0
39	无量山—野外boss	42	莉莉丝	0	0	1	0	0	0	360	0	0	11	78	11	78	9720	60	170	10	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	22	2	1	1	1	-1	-1	-1	-1	2	0	0	0	1	0
40	万劫谷—NPC	43	卡娜	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	23	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
41	万劫谷—NPC	44	佛里德	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	24	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
42	野外boss	45	琳	0	0	1	0	0	0	360	0	0	11	78	11	78	9720	60	170	10	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	25	2	1	1	1	-1	-1	-1	-1	2	0	0	0	1	0
43	黄昏湖畔-野怪	46	石锤兽	1	0	34	0	0	0	3076	0	0	217	327	217	327	10342	0	259	0	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	4	8	1	-1	-1	-1	-1	2	0	1	0	1	0
44	黄昏湖畔-野怪	47	狗头人	1	0	37	0	0	0	3400	0	0	242	363	242	363	10488	0	283	0	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	4	9	1	-1	-1	-1	-1	2	0	1	0	1	0
45	npc	48	杰西卡	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	26	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
46	暮色雨林-剧情副本1	49	枯树精	1	0	12	0	0	0	1281	0	0	38	32	38	32	4104	4	120	0	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	0	1	0	1	0
47	暮色雨林-剧情副本1	50	大枯树精	1	1	12	0	0	0	1281	0	0	38	32	38	32	4104	4	120	0	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	1	1	0	1	0
48	黄昏边境-剧情副本NPC	12	莉莉丝	0	0	12	0	0	0	5124	978	0	504	615	504	615	8208	708	958	208	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	-1	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
49	主城-NPC	12	莉莉丝	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	27	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
50	暮色雨林-剧情副本1	49	枯树精	1	0	12	0	0	0	1281	0	0	38	32	38	32	4104	4	120	0	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	0	1	0	1	0
51	暮色雨林-剧情副本1	49	枯树精	1	0	12	0	0	0	1281	0	0	38	32	38	32	4104	4	120	0	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	0	1	0	1	0
52	黄昏之湖-npc	51	佩特伦	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	28	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
53	黄昏之湖-npc	52	土著祭祀	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	29	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
54	黄昏之湖-npc	12	莉莉丝	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	30	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
55	黄昏之湖-npc	45	琳	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	31	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
56	黄昏之湖-npc	53	银木	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	32	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
57	黄昏之湖野怪	54	鸟兽	1	0	40	0	0	0	5666	0	0	466	666	466	666	10723	0	310	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	5	10	1	-1	-1	-1	-1	2	0	1	0	1	0
58	黄昏之湖野怪	55	酒翁土人	1	0	41	0	0	0	6237	0	0	440	629	440	629	10815	0	325	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	5	10	1	-1	-1	-1	-1	2	0	1	0	1	0
59	黄昏之湖野怪	56	半兽人	1	0	42	0	0	0	6395	0	0	452	646	452	646	10906	0	340	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	5	10	1	-1	-1	-1	-1	2	0	1	0	1	0
60	黄昏要塞-npc	51	佩特伦	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	33	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
61	黄昏要塞-npc	52	土著祭祀	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	34	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
62	黄昏要塞-npc	44	佛里德	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	35	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
63	黄昏要塞-npc	45	琳	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	36	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
64	黄昏要塞-npc	41	皮亚索拉	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	37	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
65	黄昏要塞-npc	57	阿尔得巴兰	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	38	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
66	黄昏要塞-npc	12	莉莉丝	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	39	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
67	黄昏要塞野怪	58	黄昏食人魔	1	0	48	0	0	0	9005	0	0	642	989	642	989	11455	0	432	0	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	5	13	1	-1	-1	-1	-1	2	0	1	0	1	0
68	黄昏要塞野怪	59	僵尸囚犯	1	0	45	0	0	0	8291	0	0	549	840	549	840	11182	0	386	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	5	11	1	-1	-1	-1	-1	2	0	1	0	1	0
69	黄昏要塞野怪	60	残暴食人魔	1	0	45	0	0	0	8291	0	0	549	840	549	840	11182	0	386	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	5	11	1	-1	-1	-1	-1	2	0	1	0	1	0
70	黄昏要塞野怪	61	双斧巨魔	1	0	47	0	0	0	8885	0	0	633	975	633	975	11364	0	417	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	5	12	1	-1	-1	-1	-1	2	0	1	0	1	0
71	黄昏要塞野怪	62	改装型X05	1	0	47	0	0	0	36529	0	0	975	4009	975	4009	11680	188	428	136	0	0	0	0	1200	375	2	12	5	0	2	3000	2000	-1	2	5	12	1	-1	-1	-1	-1	2	0	1	0	1	0
72	黄昏要塞野怪	63	机械蜘蛛	1	0	46	0	0	0	8813	0	0	587	896	587	896	11273	0	401	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	5	11	1	-1	-1	-1	-1	2	0	1	0	1	0
73	黄昏边境副本4小怪-废弃	64	基础型X02	1	0	20	0	0	0	3401	0	0	127	101	127	101	6790	8	211	1	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	3	5	1	-1	-1	-1	-1	2	0	1	0	1	0
74	黄昏边境副本4boss-废弃	65	基础型X03	1	0	22	0	0	0	13788	0	0	470	372	470	372	13277	32	293	2	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	3	5	1	-1	-1	-1	-1	2	0	1	0	1	0
75	黄昏要塞副本1僵尸囚犯	66	僵尸囚犯	1	0	48	0	0	0	74719	0	0	3078	1997	3078	1997	18176	45	1028	7	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	5	13	1	-1	-1	-1	-1	2	0	1	0	1	0
76	黄昏要塞副本1boss	67	木乃伊	1	2	48	1	0	86	298608	0	0	7584	4922	7584	4922	29606	148	1172	22	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	6	13	1	-1	-1	-1	-1	2	1	1	0	2	0
77	黄昏要塞副本2黄昏食人魔	68	黄昏食人魔	1	0	50	1	0	0	102690	0	0	4224	3063	4224	3063	19228	51	1146	8	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	5	15	1	-1	-1	-1	-1	2	0	1	0	1	0
78	黄昏要塞副本2牛头守卫	69	要塞守卫	1	0	50	1	0	0	102690	0	0	4224	3063	4224	3063	19228	51	1146	8	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	5	15	1	-1	-1	-1	-1	2	0	1	0	1	0
79	黄昏要塞副本2牛头首领-小boss	70	守卫长	1	1	50	0	0	0	205381	0	0	6962	5049	6962	5049	28843	102	1146	15	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	5	15	1	-1	-1	-1	-1	2	1	1	0	1	0
80	黄昏要塞副本2要塞首领-boss	71	要塞领主	1	2	50	0	0	0	371906	0	0	9709	7040	9709	7040	31222	166	1302	25	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	6	15	1	-1	-1	-1	-1	2	1	1	0	2	0
81	黄昏要塞副本3巨魔-小怪	72	巨魔	1	0	52	0	0	0	121427	0	0	4576	3314	4576	3314	20238	56	1253	9	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	5	17	1	-1	-1	-1	-1	2	0	1	0	1	0
82	黄昏要塞副本3眼魔-boss	73	眼魔	1	2	52	1	0	0	438415	0	0	10410	7539	10410	7539	32766	182	1420	28	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	6	17	1	-1	-1	-1	-1	2	1	1	0	2	0
83	黄昏要塞副本3小女孩	74	小女孩	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	0	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
84	黄昏要塞副本3小男孩	5	小男孩	0	0	1	0	0	0	600	150	0	70	196	70	196	8100	600	850	100	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	0	2	-1	0	1	-1	-1	-1	-1	2	0	0	0	1	0
85	黄昏边境剧情副本用	74	瑟克萨斯女儿	0	0	23	0	0	0	11011	2137	0	1077	1366	1077	1366	8307	807	1057	307	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	0	2	3	0	1	-1	-1	-1	-1	2	0	0	0	1	0
86	遗忘废墟-剧情副本	19	沙漠蚊	1	0	15	0	0	0	1864	0	0	71	47	71	47	5106	6	153	0	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	0	1	0	1	0
87	遗忘废墟-剧情副本	19	沙漠蚊	1	0	15	0	0	0	1864	0	0	71	47	71	47	5106	6	153	0	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	0	1	0	1	0
88	遗忘废墟-剧情副本	19	沙漠蚊	1	0	15	0	0	0	1864	0	0	71	47	71	47	5106	6	153	0	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	0	1	0	1	0
89	遗忘废墟-剧情副本	19	沙漠蚊	1	0	15	0	0	0	1864	0	0	71	47	71	47	5106	6	153	0	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	0	1	0	1	0
90	遗忘废墟-剧情副本	19	沙漠蚊	1	0	15	0	0	0	1864	0	0	71	47	71	47	5106	6	153	0	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	0	1	0	1	0
91	遗忘废墟-剧情副本	19	沙漠蚊	1	0	15	0	0	0	1864	0	0	71	47	71	47	5106	6	153	0	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	0	1	0	1	0
92	遗忘废墟-剧情副本	19	沙漠蚊	1	0	15	0	0	0	1864	0	0	71	47	71	47	5106	6	153	0	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	0	1	0	1	0
93	遗忘废墟-剧情副本	19	沙漠蚊	1	0	15	0	0	0	1864	0	0	71	47	71	47	5106	6	153	0	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	0	1	0	1	0
94	遗忘废墟-剧情副本	19	沙漠蚊	1	0	15	0	0	0	1864	0	0	71	47	71	47	5106	6	153	0	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	0	1	0	1	0
95	遗忘废墟-剧情副本	19	沙漠蚊	1	0	15	0	0	0	1864	0	0	71	47	71	47	5106	6	153	0	0	0	0	0	1200	375	3	12	5	0	0	3000	2000	-1	2	2	3	1	-1	-1	-1	-1	2	0	1	0	1	0
96	机械研究所副本-单人-简单-改装型X02小怪	108	刺杀进化者	1	0	1	0	0	0	100	0	0	1	10	1	10	8000	500	750	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	1	1	1	-1	-1	-1	52	2	0	1	0	1	0
97	机械研究所副本-单人-困难-改装型X02小怪	108	刺杀进化者	1	0	1	0	0	0	100	0	0	1	10	1	10	8000	500	750	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	1	1	1	-1	-1	-1	53	2	0	1	0	1	0
98	机械研究所副本-单人-挑战-改装型X02小怪	108	刺杀进化者	1	0	1	0	0	0	100	0	0	1	10	1	10	8000	500	750	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	1	1	1	-1	-1	-1	30	2	0	1	0	1	0
99	机械研究所副本-队伍-简单-改装型X02小怪	108	刺杀进化者	1	0	1	0	0	0	100	0	0	1	10	1	10	8000	500	750	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	2	1	1	-1	-1	-1	31	2	0	1	0	1	0
100	机械研究所副本-队伍-困难-改装型X02小怪	108	刺杀进化者	1	0	1	0	0	0	100	0	0	1	10	1	10	8000	500	750	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	2	1	1	-1	-1	-1	32	2	0	1	0	1	0
