Id	Desc	SceneID	DataID	PosX	PosZ	FaceDirection	GroupID	MutexID	IsHideAndSeekNpc
45	小哈雷	5	205	46.56	86.32	-1.57	-1	-1	0
46	皮亚索拉	27	38	67.72	81.55	-1.57	-1	-1	0
47	莉莉丝	27	39	66.34	19.91	1.57	-1	-1	0
48	弗里德	27	41	80.95	48.72	0	-1	-1	0
49	琳	27	42	53.31	33.86	-1.57	-1	-1	0
50	石锤兽	27	43	87.12	32.73	1.57	-1	-1	0
51	石锤兽	27	43	89.72	29.88	1.57	-1	-1	0
52	石锤兽	27	43	89.38	22.3	1.57	-1	-1	0
53	石锤兽	27	43	81.67	23.27	1.57	-1	-1	0
54	石锤兽	27	43	85	28.42	1.57	-1	-1	0
55	石锤兽	27	43	88.4	33.9	1.57	-1	-1	0
56	石锤兽	27	43	91.77	33.76	1.57	-1	-1	0
57	石锤兽	27	43	88.1	30.8	1.57	-1	-1	0
58	石锤兽	27	43	91.07	31.41	1.57	-1	-1	0
59	石锤兽	27	43	90.38	27.78	1.57	-1	-1	0
60	石锤兽	27	43	90.14	24.58	1.57	-1	-1	0
61	石锤兽	27	43	88	27.68	1.57	-1	-1	0
62	石锤兽	27	43	87.43	23.28	1.57	-1	-1	0
63	石锤兽	27	43	86.46	25.74	1.57	-1	-1	0
64	石锤兽	27	43	84.24	24.36	1.57	-1	-1	0
65	狗头人	27	44	29.75	22.69	0	-1	-1	0
66	狗头人	27	44	32.38	20.14	0	-1	-1	0
67	狗头人	27	44	36.2	18.94	0	-1	-1	0
68	狗头人	27	44	36.24	24.22	0	-1	-1	0
69	狗头人	27	44	34.18	22.12	0	-1	-1	0
70	狗头人	27	44	32.81	25.28	0	-1	-1	0
71	狗头人	27	44	38.85	20.87	0	-1	-1	0
72	狗头人	27	44	28.44	27.13	0	-1	-1	0
73	狗头人	27	44	28.95	24.32	0	-1	-1	0
74	狗头人	27	44	38.51	22.48	0	-1	-1	0
75	狗头人	27	44	32.18	18.05	0	-1	-1	0
76	狗头人	27	44	30.8	18.94	0	-1	-1	0
77	狗头人	27	44	34.63	18.43	0	-1	-1	0
78	狗头人	27	44	38.3	19.2	0	-1	-1	0
79	狗头人	27	44	30.95	25.34	0	-1	-1	0
80	狗头人	27	44	34.3	23.68	0	-1	-1	0
81	狗头人	27	44	36.78	20.96	0	-1	-1	0
82	狗头人	27	44	32.02	22.85	0	-1	-1	0
83	狗头人	27	44	34.1	20.63	0	-1	-1	0
84	狗头人	27	44	30.78	21.19	0	-1	-1	0
85	佩特伦	36	52	70.35	25.1	-1.57	-1	-1	0
86	蜥蜴人	36	53	54.76	17.93	1.57	-1	-1	0
87	莉莉丝	36	54	18.47	14.82	1.57	-1	-1	0
88	琳	36	55	24.81	57.35	3.14	-1	-1	0
89	银木	36	56	13.33	83.75	0	-1	-1	0
90	鸟兽	36	57	38.48	22.73	-1.57	-1	-1	0
91	鸟兽	36	57	51.06	25.78	-1.57	-1	-1	0
92	鸟兽	36	57	38.13	24.15	-1.57	-1	-1	0
93	鸟兽	36	57	39.1	27.42	-1.57	-1	-1	0
94	鸟兽	36	57	39.98	26.11	-1.57	-1	-1	0
95	鸟兽	36	57	40.27	24.75	-1.57	-1	-1	0
96	鸟兽	36	57	40.37	23.25	-1.57	-1	-1	0
97	鸟兽	36	57	41.9	21.56	-1.57	-1	-1	0
98	鸟兽	36	57	41.74	27	-1.57	-1	-1	0
99	鸟兽	36	57	43.06	25.43	-1.57	-1	-1	0
100	鸟兽	36	57	45.44	22.22	-1.57	-1	-1	0
101	鸟兽	36	57	45.01	27.31	-1.57	-1	-1	0
102	鸟兽	36	57	45.97	26.19	-1.57	-1	-1	0
103	鸟兽	36	57	44.03	20.87	-1.57	-1	-1	0
104	鸟兽	36	57	46.56	25.17	-1.57	-1	-1	0
105	鸟兽	36	57	49.58	24.65	-1.57	-1	-1	0
106	鸟兽	36	57	48.9	25.93	-1.57	-1	-1	0
107	鸟兽	36	57	46.73	23.81	-1.57	-1	-1	0
108	酒翁土人	36	58	19.91	38.68	-1.57	-1	-1	0
109	酒翁土人	36	58	16.78	38.92	-1.57	-1	-1	0
110	酒翁土人	36	58	18.63	34.13	-1.57	-1	-1	0
111	酒翁土人	36	58	18.15	30.85	-1.57	-1	-1	0
112	酒翁土人	36	58	11.82	20.45	-1.57	-1	-1	0
113	酒翁土人	36	58	12.44	22.82	-1.57	-1	-1	0
114	酒翁土人	36	58	9.41	22.53	-1.57	-1	-1	0
115	酒翁土人	36	58	13.77	25.13	-1.57	-1	-1	0
116	酒翁土人	36	58	10.46	25.07	-1.57	-1	-1	0
117	酒翁土人	36	58	7.79	25.09	-1.57	-1	-1	0
118	酒翁土人	36	58	18.18	39.94	-1.57	-1	-1	0
119	酒翁土人	36	58	15.93	35.17	-1.57	-1	-1	0
120	酒翁土人	36	58	17.45	37	-1.57	-1	-1	0
121	酒翁土人	36	58	14.59	36.78	-1.57	-1	-1	0
122	酒翁土人	36	58	13.21	34.11	-1.57	-1	-1	0
123	酒翁土人	36	58	15.41	30.97	-1.57	-1	-1	0
124	酒翁土人	36	58	12.82	30.87	-1.57	-1	-1	0
125	酒翁土人	36	58	16	27.86	-1.57	-1	-1	0
126	酒翁土人	36	58	13.63	27.65	-1.57	-1	-1	0
127	酒翁土人	36	58	10	27.94	-1.57	-1	-1	0
128	半兽人	36	59	36.83	74.57	3.14	-1	-1	0
129	半兽人	36	59	37.3	71.89	3.14	-1	-1	0
130	半兽人	36	59	33.95	70.54	3.14	-1	-1	0
131	半兽人	36	59	32.46	72.72	3.14	-1	-1	0
132	半兽人	36	59	32.44	74.76	3.14	-1	-1	0
133	半兽人	36	59	32.38	76.43	3.14	-1	-1	0
134	半兽人	36	59	32.07	78.22	3.14	-1	-1	0
135	半兽人	36	59	32.3	79.9	3.14	-1	-1	0
136	半兽人	36	59	28.13	80.17	3.14	-1	-1	0
137	半兽人	36	59	28.92	78.37	3.14	-1	-1	0
138	半兽人	36	59	28.55	76.16	3.14	-1	-1	0
139	半兽人	36	59	28.85	74.24	3.14	-1	-1	0
140	半兽人	36	59	29.9	72.08	3.14	-1	-1	0
141	半兽人	36	59	30.86	70	3.14	-1	-1	0
142	半兽人	36	59	27	70.63	3.14	-1	-1	0
143	半兽人	36	59	25.79	73.03	3.14	-1	-1	0
144	半兽人	36	59	24.88	74.78	3.14	-1	-1	0
145	半兽人	36	59	25.14	76.35	3.14	-1	-1	0
146	半兽人	36	59	25.29	78.27	3.14	-1	-1	0
147	佩特伦	12	60	8.03	9.91	1.57	-1	-1	0
148	蜥蜴人	12	61	29.83	29.33	3.14	-1	-1	0
149	佛里德	12	62	13.18	45.7	-1.57	-1	-1	0
150	琳	12	63	44.12	71.63	-1.57	-1	-1	0
151	皮亚索拉	12	64	85.16	78.63	1.57	-1	-1	0
152	阿尔得巴兰	12	65	54.78873	35.49168	3.14	-1	-1	0
153	莉莉丝	12	66	67.5	68.13	1.57	-1	-1	0
154	僵尸囚犯	12	68	22.34	74	-1.57	-1	-1	0
155	僵尸囚犯	12	68	21.39	74.92	-1.57	-1	-1	0
156	僵尸囚犯	12	68	20.85	73.34	-1.57	-1	-1	0
157	僵尸囚犯	12	68	20.09	71.61	-1.57	-1	-1	0
158	僵尸囚犯	12	68	18.42	72.12	-1.57	-1	-1	0
159	僵尸囚犯	12	68	16.25	72.2	-1.57	-1	-1	0
160	僵尸囚犯	12	68	19.25	70.1	-1.57	-1	-1	0
161	僵尸囚犯	12	68	17.69	70.65	-1.57	-1	-1	0
162	僵尸囚犯	12	68	15.54	70.82	-1.57	-1	-1	0
163	僵尸囚犯	12	68	18.84	68.52	-1.57	-1	-1	0
164	僵尸囚犯	12	68	17.15	68.94	-1.57	-1	-1	0
165	僵尸囚犯	12	68	15.39	69.46	-1.57	-1	-1	0
166	僵尸囚犯	12	68	16.33	67.7	-1.57	-1	-1	0
167	僵尸囚犯	12	68	18.37	67.25	-1.57	-1	-1	0
168	僵尸囚犯	12	68	15.47	66.54	-1.57	-1	-1	0
169	僵尸囚犯	12	68	17.28	65.46	-1.57	-1	-1	0
170	僵尸囚犯	12	68	17.35	63.62	-1.57	-1	-1	0
171	僵尸囚犯	12	68	21.71	72.21	-1.57	-1	-1	0
172	僵尸囚犯	12	68	20.9	70.67	-1.57	-1	-1	0
173	僵尸囚犯	12	68	18.05	66.43	-1.57	-1	-1	0
174	残暴食人魔	12	69	42.93	84.78	-1.57	-1	-1	0
175	残暴食人魔	12	69	43.4	87.47	-1.57	-1	-1	0
176	残暴食人魔	12	69	46.16	84.62	-1.57	-1	-1	0
177	残暴食人魔	12	69	45.67	86.56	-1.57	-1	-1	0
178	残暴食人魔	12	69	48.77	87.12	-1.57	-1	-1	0
179	残暴食人魔	12	69	49.29	84.92	-1.57	-1	-1	0
180	残暴食人魔	12	69	49.2	82.33	-1.57	-1	-1	0
181	残暴食人魔	12	69	46.35	82.62	-1.57	-1	-1	0
182	残暴食人魔	12	69	57.85	80.45	-1.57	-1	-1	0
183	残暴食人魔	12	69	58.07	78.37	-1.57	-1	-1	0
184	残暴食人魔	12	69	58.15	82.16	-1.57	-1	-1	0
185	残暴食人魔	12	69	58.14	83.9	-1.57	-1	-1	0
186	残暴食人魔	12	69	54.48	77.43	-1.57	-1	-1	0
187	残暴食人魔	12	69	54.96	80.91	-1.57	-1	-1	0
188	残暴食人魔	12	69	55.58	82.57	-1.57	-1	-1	0
189	残暴食人魔	12	69	55.68	84.43	-1.57	-1	-1	0
190	残暴食人魔	12	69	52.29	85.51	-1.57	-1	-1	0
191	残暴食人魔	12	69	52	83	-1.57	-1	-1	0
192	残暴食人魔	12	69	52.24	80.24	-1.57	-1	-1	0
193	双斧巨魔	12	70	71.02	20.41	1.57	-1	-1	0
194	双斧巨魔	12	70	70.66	22.38	1.57	-1	-1	0
195	双斧巨魔	12	70	69.3	23.99	1.57	-1	-1	0
196	双斧巨魔	12	70	69.25	15.44	1.57	-1	-1	0
197	双斧巨魔	12	70	67.59	14.33	1.57	-1	-1	0
198	双斧巨魔	12	70	69.82	17.03	1.57	-1	-1	0
199	双斧巨魔	12	70	68.23	16.82	1.57	-1	-1	0
200	双斧巨魔	12	70	65.98	15.18	1.57	-1	-1	0
201	双斧巨魔	12	70	69.29	18.97	1.57	-1	-1	0
202	双斧巨魔	12	70	68.38	21.06	1.57	-1	-1	0
203	双斧巨魔	12	70	67.53	22.63	1.57	-1	-1	0
204	双斧巨魔	12	70	67.48	24.7	1.57	-1	-1	0
205	双斧巨魔	12	70	65.8	17.31	1.57	-1	-1	0
206	双斧巨魔	12	70	67.26	18.71	1.57	-1	-1	0
207	双斧巨魔	12	70	65.3	19.35	1.57	-1	-1	0
208	双斧巨魔	12	70	66.65	20.48	1.57	-1	-1	0
209	双斧巨魔	12	70	65.9	22.47	1.57	-1	-1	0
210	双斧巨魔	12	70	63.79	21.76	1.57	-1	-1	0
211	双斧巨魔	12	70	65.09	24.12	1.57	-1	-1	0
212	双斧巨魔	12	70	63.18	23.68	1.57	-1	-1	0
213	改装型X02	12	71	67.08	55.97	-1.57	-1	-1	0
214	机械蜘蛛	12	72	91.38	25.66	-1.57	-1	-1	0
215	机械蜘蛛	12	72	89.57	24.03	-1.57	-1	-1	0
216	机械蜘蛛	12	72	89.53	26.56	-1.57	-1	-1	0
217	机械蜘蛛	12	72	87.35	25.4	-1.57	-1	-1	0
218	机械蜘蛛	12	72	84.4	27.33	-1.57	-1	-1	0
219	机械蜘蛛	12	72	88.33	28.08	-1.57	-1	-1	0
220	机械蜘蛛	12	72	86.6	27.12	-1.57	-1	-1	0
221	机械蜘蛛	12	72	88.91	30.09	-1.57	-1	-1	0
222	机械蜘蛛	12	72	86.73	29.9	-1.57	-1	-1	0
223	机械蜘蛛	12	72	84.47	29.47	-1.57	-1	-1	0
224	机械蜘蛛	12	72	88.01	32.48	-1.57	-1	-1	0
225	机械蜘蛛	12	72	85.85	31.54	-1.57	-1	-1	0
226	机械蜘蛛	12	72	83.86	31.61	-1.57	-1	-1	0
227	机械蜘蛛	12	72	85.71	33.94	-1.57	-1	-1	0
228	机械蜘蛛	12	72	87.96	34.5	-1.57	-1	-1	0
229	机械蜘蛛	12	72	85.82	35.32	-1.57	-1	-1	0
230	机械蜘蛛	12	72	83.84	33.8	-1.57	-1	-1	0
231	瑟克萨斯	23	14	6.84	13.35	0.01	-1	-1	0
232	梅里娅	23	1155	61.46	88.3	-0.51	-1	-1	0
233	贝蕾格莉	23	1154	7.88	71.87	0	-1	-1	0
234	飞车	23	1156	8.1	75.5	0	-1	-1	-1
235	蚊子	23	18	21.59	72.4	1.57	-1	-1	0
236	蚊子	23	18	31.63	77.01	1.57	-1	-1	0
237	蚊子	23	18	20.88	76.36	1.57	-1	-1	0
238	蚊子	23	18	35.59	69.81	1.57	-1	-1	0
239	蚊子	23	18	35.67	75.63	1.57	-1	-1	0
240	嗜血半兽人	23	19	8.82	49.22	1.57	-1	-1	0
241	嗜血半兽人	23	19	12.99	56.73	1.57	-1	-1	0
242	嗜血半兽人	23	19	12.1	48.06	1.57	-1	-1	0
243	嗜血半兽人	23	19	9.7	57.58	1.57	-1	-1	0
244	嗜血半兽人	23	19	15.35	48.18	1.57	-1	-1	0
245	嗜血半兽人	23	19	18.79	47.68	1.57	-1	-1	0
246	嗜血土著	23	20	35.01	14.37	1.57	-1	-1	0
247	嗜血土著	23	20	26.96	18.72	1.57	-1	-1	0
248	嗜血土著	23	20	23.23	10.85	1.57	-1	-1	0
249	嗜血土著	23	20	23.73	18.71	1.57	-1	-1	0
250	嗜血土著	23	20	23.5	14.86	1.57	-1	-1	0
251	嗜血土著	23	20	30.53	10.27	1.57	-1	-1	0
252	蚊子	23	18	39.52	72.2	1.57	-1	-1	0
253	蚊子	23	18	33.03	81.64	1.57	-1	-1	0
254	蚊子	23	18	26.65	76.23	1.57	-1	-1	0
255	蚊子	23	18	28.49	81.99	1.57	-1	-1	0
256	蚊子	23	18	24.56	80.19	1.57	-1	-1	0
257	嗜血半兽人	23	19	9.65	52.75	1.57	-1	-1	0
258	嗜血半兽人	23	19	16.55	57.05	1.57	-1	-1	0
259	嗜血半兽人	23	19	12.89	52.3	1.57	-1	-1	0
260	嗜血半兽人	23	19	20.4	56.38	1.57	-1	-1	0
261	嗜血半兽人	23	19	19.89	51.77	1.57	-1	-1	0
262	嗜血半兽人	23	19	16.47	52.17	1.57	-1	-1	0
263	嗜血土著	23	20	35.03	18.55	1.57	-1	-1	0
264	嗜血土著	23	20	35.1	10.28	1.57	-1	-1	0
265	嗜血土著	23	20	31.25	18.44	1.57	-1	-1	0
266	嗜血土著	23	20	27.09	14.8	1.57	-1	-1	0
267	嗜血土著	23	20	31.19	14.87	1.57	-1	-1	0
268	嗜血土著	23	20	26.77	10.59	1.57	-1	-1	0
269	贝因	23	13	48.85	10.28	0.64	-1	-1	0
270	失控机器人	23	34	80.42	29.48	-1.05	-1	-1	0
271	失控机器人	23	34	83	20.85	0	-1	-1	0
272	失控机器人	23	34	87.31	24.27	-4.54	-1	-1	0
273	失控机器人	23	34	78.73	20.72	0	-1	-1	0
274	失控机器人	23	34	82.7	24.8	-4.54	-1	-1	0
275	失控机器人	23	34	84.28	28.98	-1.57	-1	-1	0
276	失控机器人	23	34	88.83	28.02	1.57	-1	-1	0
277	失控机器人	23	34	78.85	25.41	-1.57	-1	-1	0
278	失控机器人	23	34	87.4	20.2	-0.52	-1	-1	0
279	特斯基	23	31	85.7	8.2	-0.92	-1	-1	0
280	阿里奥奈尔	23	32	79.56	43.24	-0.33	-1	-1	0
281	莉莉丝	23	12	31.1	44.9	-3.14	-1	-1	0
282	黑伊尔	38	33	5.23	46.87	0	-1	-1	0
283	阿里奥奈尔	38	157	89	76	3.14	-1	-1	0
284	艾莉娜	38	158	34	85	-1.57	-1	-1	0
285	猫又	38	156	73.55	60.26	0	-1	-1	0
286	猫又	38	156	71.22	60.91	0	-1	-1	0
287	猫又	38	156	78	65.9	0	-1	-1	0
288	猫又	38	156	76.3	64.25	0	-1	-1	0
289	猫又	38	156	74.47	64.85	0	-1	-1	0
290	猫又	38	156	72.58	64.56	0	-1	-1	0
291	猫又	38	156	70.67	64.99	0	-1	-1	0
292	猫又	38	156	70.84	67.67	0	-1	-1	0
293	猫又	38	156	73.1	67.67	0	-1	-1	0
294	猫又	38	156	74.57	68.25	0	-1	-1	0
295	僵尸囚犯	38	159	10.44	70.67	0	-1	-1	0
296	僵尸囚犯	38	159	14.36	70.85	0	-1	-1	0
297	僵尸囚犯	38	159	16.94	71.87	0	-1	-1	0
298	僵尸囚犯	38	159	18.66	75	0	-1	-1	0
299	僵尸囚犯	38	159	15.29	74.49	0	-1	-1	0
300	僵尸囚犯	38	159	11.72	73.42	0	-1	-1	0
301	僵尸囚犯	38	159	8.73	73.57	0	-1	-1	0
302	僵尸囚犯	38	159	7.39	75.96	0	-1	-1	0
303	僵尸囚犯	38	159	10.31	76.46	0	-1	-1	0
304	僵尸囚犯	38	159	13.11	77.59	0	-1	-1	0
305	猫又	38	156	28.87	27.17	0	-1	-1	0
306	小七	7	5	10.13	78.78	0	-1	-1	0
307	杰西卡	28	165	24.28	27.09	0	-1	-1	0
308	马修斯	38	166	30	8.4	0	-1	-1	0
309	猫又	38	156	77	68.8	0	-1	-1	0
310	猫又	38	156	75.14	71.1	0	-1	-1	0
311	猫又	38	156	73.65	72.26	0	-1	-1	0
312	猫又	38	156	72	71	0	-1	-1	0
313	猫又	38	156	70	71	0	-1	-1	0
314	猫又	38	156	68.82	71.54	0	-1	-1	0
315	僵尸囚犯	38	159	16.59	77.83	0	-1	-1	0
316	僵尸囚犯	38	159	19.58	78.93	0	-1	-1	0
317	僵尸囚犯	38	159	17.32	80.54	0	-1	-1	0
318	僵尸囚犯	38	159	14.63	79.8	0	-1	-1	0
319	僵尸囚犯	38	159	11.55	79.12	0	-1	-1	0
320	僵尸囚犯	38	159	8.46	78.52	0	-1	-1	0
321	魔王小兵	38	167	63.68	5.21	3.14	-1	-1	0
322	魔王小兵	38	167	63.83	7.17	3.14	-1	-1	0
323	魔王小兵	38	167	60.76	6.82	3.14	-1	-1	0
324	魔王小兵	38	167	63.36	11.49	3.14	-1	-1	0
325	魔王小兵	38	167	60.8	12.51	3.14	-1	-1	0
326	魔王小兵	38	167	60.35	4.24	3.14	-1	-1	0
327	魔王小兵	38	167	64.02	3.22	3.14	-1	-1	0
328	魔王小兵	38	167	61.4	9.74	3.14	-1	-1	0
329	魔王小兵	38	167	57.69	2.92	3.14	-1	-1	0
330	魔王小兵	38	167	57.41	5.55	3.14	-1	-1	0
331	魔王小兵	38	167	57.93	8.1	3.14	-1	-1	0
332	魔王小兵	38	167	58.25	11.17	3.14	-1	-1	0
333	魔王小兵	38	167	54.86	3.86	3.14	-1	-1	0
334	魔王小兵	38	167	55.12	6.66	3.14	-1	-1	0
335	魔王小兵	38	167	55.32	9.19	3.14	-1	-1	0
336	莉莉丝	33	171	73.3	51.82	-0.785	-1	-1	0
337	黑伊尔	33	35	80.43	65.89	-0.785	-1	-1	0
338	霍姆斯	33	36	112.75	95.95	-2.355	-1	-1	0
339	杰西卡	33	37	106.1	84.6	-2.355	-1	-1	0
340	菲尔沦	33	175	87.08	22.63	0	-1	-1	0
341	艾莉娜	38	172	16.29	23.05	3.14	-1	-1	0
342	雪地猿	38	173	10.72	9.1	0	-1	-1	0
343	雪地猿	38	173	11.57	12.04	0	-1	-1	0
344	雪地猿	38	173	13.75	12.06	0	-1	-1	0
345	雪地猿	38	173	15.88	7.61	0	-1	-1	0
346	雪地猿	38	173	14.5	7.9	0	-1	-1	0
347	雪地猿	38	173	13.04	7.4	0	-1	-1	0
348	雪地猿	38	173	11.88	7.18	0	-1	-1	0
349	雪地猿	38	173	9.63	11.37	0	-1	-1	0
350	雪地猿	38	173	10.21	7.2	0	-1	-1	0
351	雪地猿	38	173	7.91	7.2	0	-1	-1	0
352	雪地猿	38	173	15.55	9.68	0	-1	-1	0
353	雪地猿	38	173	14	9.67	0	-1	-1	0
354	雪地猿	38	173	12.49	9.83	0	-1	-1	0
355	雪地猿	38	173	11.3	9.72	0	-1	-1	0
356	雪地猿	38	173	9.85	8.81	0	-1	-1	0
357	雪地猿	38	173	8.48	8.8	0	-1	-1	0
358	雪地猿	38	173	15.5	11.63	0	-1	-1	0
359	雪地猿	38	173	12.86	11.88	0	-1	-1	0
360	雪地猿	38	173	10.79	11.54	0	-1	-1	0
361	雪地猿	38	173	9.02	10.88	0	-1	-1	0
362	备用机器人	23	174	93.86	59.97	0	-1	-1	0
363	备用机器人	23	174	88.46	55.7	0	-1	-1	0
364	备用机器人	23	174	90.07	58.88	0	-1	-1	0
365	备用机器人	23	174	93.19	58.14	0	-1	-1	0
366	备用机器人	23	174	86.33	57.56	0	-1	-1	0
367	备用机器人	23	174	90	56.67	0	-1	-1	0
368	备用机器人	23	174	92.8	56.17	0	-1	-1	0
369	备用机器人	23	174	88.56	54.18	0	-1	-1	0
370	备用机器人	23	174	91.96	54.35	0	-1	-1	0
371	备用机器人	23	174	90.97	52.74	0	-1	-1	0
372	挖煤工	5	1088	43.8	85.88	-1.57	-1	-1	0
373	仓库南	33	1095	81	43	0	-1	-1	0
374	仓库北	33	1096	34	108	0	-1	-1	0
375	梅里娅	34	206	74.6	22.38	0	-1	-1	0
376	沙漠狼	34	207	87.4	30.9	3.14	-1	-1	0
377	沙漠狼	34	207	80.45	40.17	3.14	-1	-1	0
378	沙漠狼	34	207	90.4	30.3	3.14	-1	-1	0
379	沙漠狼	34	207	80.28	29.87	3.14	-1	-1	0
380	沙漠狼	34	207	87	26.2	3.14	-1	-1	0
381	沙漠狼	34	207	87.2	28.5	3.14	-1	-1	0
382	沙漠狼	34	207	83.2	33	3.14	-1	-1	0
383	沙漠狼	34	207	79.96	32.45	3.14	-1	-1	0
384	沙漠狼	34	207	90.2	27.1	3.14	-1	-1	0
385	沙漠狼	34	207	85.3	34.9	3.14	-1	-1	0
386	沙漠狼	34	207	83.5	36.8	3.14	-1	-1	0
387	沙漠狼	34	207	81.3	37.7	3.14	-1	-1	0
388	沙漠狼	34	207	80.7	34.84	3.14	-1	-1	0
389	沙漠狼	34	207	86.15	32.79	3.14	-1	-1	0
390	菲尔沦	34	208	64.81	29.51	-1.57	-1	-1	0
391	海因达	34	210	49.36	15.46	1.57	-1	-1	0
392	弗里德	34	212	38.96	23.57	-1.57	-1	-1	0
393	佩特伦	34	211	41.43	23.38	-1.57	-1	-1	0
394	半兽人祭司	34	1108	27.33	35.36	0	-1	-1	0
395	琳	34	213	42.61	62.54	1.57	-1	-1	0
396	雷装顶角兽	34	214	32.64	77.77	-1.57	-1	-1	0
397	雷装顶角兽	34	214	34.07	78.37	-1.57	-1	-1	0
398	雷装顶角兽	34	214	32.32	78.14	-1.57	-1	-1	0
399	雷装顶角兽	34	214	36.58	75.57	-1.57	-1	-1	0
400	雷装顶角兽	34	214	34.85	75.91	-1.57	-1	-1	0
401	雷装顶角兽	34	214	33.06	76.24	-1.57	-1	-1	0
402	雷装顶角兽	34	214	36.95	73.15	-1.57	-1	-1	0
403	雷装顶角兽	34	214	35.6	74.12	-1.57	-1	-1	0
404	雷装顶角兽	34	214	33.99	74.58	-1.57	-1	-1	0
405	雷装顶角兽	34	214	37.95	71.46	-1.57	-1	-1	0
406	雷装顶角兽	34	214	32.31	74.73	-1.57	-1	-1	0
407	半兽人战士	34	1107	22.87	15.43	0	-1	-1	0
408	半兽人战士	34	1107	21.96	17.85	0	-1	-1	0
409	半兽人战士	34	1107	28.17	28.04	0	-1	-1	0
410	半兽人战士	34	1107	21.27	24.12	0	-1	-1	0
411	半兽人战士	34	1107	24.62	13.31	0	-1	-1	0
412	半兽人战士	34	1107	26	15.45	0	-1	-1	0
413	半兽人战士	34	1107	24.83	17.69	0	-1	-1	0
414	半兽人战士	34	1107	23.15	20.39	0	-1	-1	0
415	半兽人战士	34	1107	23.08	23.11	0	-1	-1	0
416	半兽人战士	34	1107	20.89	26.49	0	-1	-1	0
417	半兽人战士	34	1107	23.11	25.42	0	-1	-1	0
418	半兽人战士	34	1107	23.37	28.91	0	-1	-1	0
419	半兽人战士	34	1107	25.44	20.01	0	-1	-1	0
420	半兽人战士	34	1107	25.74	22.93	0	-1	-1	0
421	半兽人战士	34	1107	25.3	25.66	0	-1	-1	0
422	半兽人战士	34	1107	25.08	28.21	0	-1	-1	0
