Id	Desc	Name	Icon	ModelId	FakeObjId	FellowType	BabyFellowId	EvolveLevel	ClassId	ElementAttr	BuyUseMoney	CallLevel	AttackType	FirstSkillId	BaseAttackDown_White	BaseAttackUp_White	BaseAttackDown_Green	BaseAttackUp_Green	BaseAttackDown_Blue	BaseAttackUp_Blue	BaseAttackDown_Purple	BaseAttackUp_Purple	BaseAttackDown_Orange	BaseAttackUp_Orange	BaseHitDown_White	BaseHitUp_White	BaseHitDown_Green	BaseHitUp_Green	BaseHitDown_Blue	BaseHitUp_Blue	BaseHitDown_Purple	BaseHitUp_Purple	BaseHitDown_Orange	BaseHitUp_Orange	BaseCriticalDown_White	BaseCriticalUp_White	BaseCriticalDown_Green	BaseCriticalUp_Green	BaseCriticalDown_Blue	BaseCriticalUp_Blue	BaseCriticalDown_Purple	BaseCriticalUp_Purple	BaseCriticalDown_Orange	BaseCriticalUp_Orange	BaseGuardDown_White	BaseGuardUp_White	BaseGuardDown_Green	BaseGuardUp_Green	BaseGuardDown_Blue	BaseGuardUp_Blue	BaseGuardDown_Purple	BaseGuardUp_Purple	BaseGuardDown_Orange	BaseGuardUp_Orange	BaseBlessDown_White	BaseBlessUp_White	BaseBlessDown_Green	BaseBlessUp_Green	BaseBlessDown_Blue	BaseBlessUp_Blue	BaseBlessDown_Purple	BaseBlessUp_Purple	BaseBlessDown_Orange	BaseBlessUp_Orange	LevelAddAttack	LevelAddHit	LevelAddCritical	LevelAddGuard	LevelAddBless	AttachAttackOffset	AttachHitOffset	AttachCriticalOffset	AttachGuardOffset	AttachBlessOffset	AttachAttackRatio	AttachHitRatio	AttachCriticalRatio	AttachGuardRatio	AttachBlessRatio	StarExp_White	StarExp_Green	StarExp_Blue	StarExp_Purple	StarExp_Orange	TallentSkillCount	TallentSkill1	TallentSkill2	TallentSkill3	TallentSkill4	TallentSkill5	Valible
7	宠物狗-6变	变异猎犬	petxiaoliequan	22	11	2	0	6	3	3	0	1	1	50000	-1	-1	-1	-1	378	512	-1	-1	-1	-1	-1	-1	-1	-1	55	75	-1	-1	-1	-1	-1	-1	-1	-1	46	62	-1	-1	-1	-1	-1	-1	-1	-1	92	124	-1	-1	-1	-1	-1	-1	-1	-1	83	112	-1	-1	-1	-1	130	19	16	32	28	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54201	0	0	0	0	0
8	宠物狗-7变	高级变异猎犬	petxiaoliequan	23	12	2	0	7	3	3	0	1	1	50000	-1	-1	-1	-1	-1	-1	531	719	-1	-1	-1	-1	-1	-1	-1	-1	77	105	-1	-1	-1	-1	-1	-1	-1	-1	64	87	-1	-1	-1	-1	-1	-1	-1	-1	129	175	-1	-1	-1	-1	-1	-1	-1	-1	116	157	-1	-1	183	27	22	44	40	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54201	54301	0	0	0	0
9	宠物狗-8变	高级变异猎犬	petxiaoliequan	23	12	2	0	8	3	3	0	1	1	50000	-1	-1	-1	-1	-1	-1	731	989	-1	-1	-1	-1	-1	-1	-1	-1	106	144	-1	-1	-1	-1	-1	-1	-1	-1	89	120	-1	-1	-1	-1	-1	-1	-1	-1	177	240	-1	-1	-1	-1	-1	-1	-1	-1	160	216	-1	-1	252	37	31	61	55	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54201	54301	0	0	0	0
10	宠物狗-9变	高级变异猎犬	petxiaoliequan	23	12	2	0	9	3	3	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	984	1331	-1	-1	-1	-1	-1	-1	-1	-1	143	194	-1	-1	-1	-1	-1	-1	-1	-1	119	162	-1	-1	-1	-1	-1	-1	-1	-1	239	323	-1	-1	-1	-1	-1	-1	-1	-1	215	291	339	49	41	82	74	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54201	54301	0	0	0	0
11	宠物狗-10变	高级变异猎犬	petxiaoliequan	23	12	2	0	10	3	3	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1297	1754	-1	-1	-1	-1	-1	-1	-1	-1	189	256	-1	-1	-1	-1	-1	-1	-1	-1	157	213	-1	-1	-1	-1	-1	-1	-1	-1	315	426	-1	-1	-1	-1	-1	-1	-1	-1	283	383	447	65	54	108	98	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54201	54301	0	0	0	0
12	宠物猿猴-宝宝	猿猴宝宝	petyuanhou	470	73	0	12	0	3	3	0	1	1	50000	58	78	-1	-1	-1	-1	-1	-1	-1	-1	9	13	-1	-1	-1	-1	-1	-1	-1	-1	6	9	-1	-1	-1	-1	-1	-1	-1	-1	16	21	-1	-1	-1	-1	-1	-1	-1	-1	19	26	-1	-1	-1	-1	-1	-1	-1	-1	20	3	2	5	7	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
13	宠物猿猴-成年	成年猿猴	petyuanhou	470	73	1	12	0	3	3	0	1	1	50000	73	98	141	190	286	387	-1	-1	-1	-1	12	16	23	31	47	63	-1	-1	-1	-1	8	11	15	21	31	42	-1	-1	-1	-1	20	27	38	52	78	106	-1	-1	-1	-1	24	32	46	62	94	127	-1	-1	-1	-1	25	4	3	7	8	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
14	宠物野猪-宝宝	野猪宝宝	petconglinyezhu	471	74	0	14	0	3	3	0	1	1	50000	65	88	-1	-1	-1	-1	-1	-1	-1	-1	9	13	-1	-1	-1	-1	-1	-1	-1	-1	8	11	-1	-1	-1	-1	-1	-1	-1	-1	16	21	-1	-1	-1	-1	-1	-1	-1	-1	14	19	-1	-1	-1	-1	-1	-1	-1	-1	22	3	3	5	5	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54401	0	0	0	0	1
15	宠物野猪-成年	成年野猪	petconglinyezhu	471	74	1	14	0	3	3	0	1	1	50000	82	110	158	214	322	435	-1	-1	-1	-1	12	16	23	31	47	63	-1	-1	-1	-1	10	13	19	26	39	53	-1	-1	-1	-1	20	27	38	52	78	106	-1	-1	-1	-1	18	24	35	47	70	95	-1	-1	-1	-1	28	4	3	7	6	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54401	0	0	0	0	1
16	宠物白光虎_宝宝	白光虎宝宝	petbaiguanghu	472	75	0	16	0	4	4	0	1	2	50000	86	117	-1	-1	-1	-1	-1	-1	-1	-1	7	9	-1	-1	-1	-1	-1	-1	-1	-1	10	13	-1	-1	-1	-1	-1	-1	-1	-1	13	17	-1	-1	-1	-1	-1	-1	-1	-1	14	19	-1	-1	-1	-1	-1	-1	-1	-1	30	2	3	4	5	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	0	0	0	0	1
17	宠物白光虎_成年	成年白光虎	petbaiguanghu	472	75	1	16	0	4	4	0	1	2	50000	109	147	211	286	429	580	-1	-1	-1	-1	8	11	16	22	33	45	-1	-1	-1	-1	12	17	24	33	49	66	-1	-1	-1	-1	16	21	31	42	62	85	-1	-1	-1	-1	18	24	35	47	70	95	-1	-1	-1	-1	37	3	4	5	6	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	0	0	0	0	1
18	宠物白光虎_1变	变异白光虎	petbaiguanghu	473	76	2	16	1	4	4	0	1	2	50000	104	141	-1	-1	-1	-1	-1	-1	-1	-1	8	11	-1	-1	-1	-1	-1	-1	-1	-1	12	16	-1	-1	-1	-1	-1	-1	-1	-1	15	21	-1	-1	-1	-1	-1	-1	-1	-1	17	23	-1	-1	-1	-1	-1	-1	-1	-1	36	3	4	5	6	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	0	0	0	0	0
19	宠物白光虎_2变	变异白光虎	petbaiguanghu	473	76	2	16	2	4	4	0	1	2	50000	131	177	-1	-1	-1	-1	-1	-1	-1	-1	10	14	-1	-1	-1	-1	-1	-1	-1	-1	15	20	-1	-1	-1	-1	-1	-1	-1	-1	19	26	-1	-1	-1	-1	-1	-1	-1	-1	21	29	-1	-1	-1	-1	-1	-1	-1	-1	45	3	5	7	7	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	0	0	0	0	0
20	宠物白光虎_3变	变异白光虎	petbaiguanghu	473	76	2	16	3	4	4	0	1	2	50000	-1	-1	176	238	-1	-1	-1	-1	-1	-1	-1	-1	14	18	-1	-1	-1	-1	-1	-1	-1	-1	20	27	-1	-1	-1	-1	-1	-1	-1	-1	26	35	-1	-1	-1	-1	-1	-1	-1	-1	29	39	-1	-1	-1	-1	-1	-1	61	5	7	9	10	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	0	0	0	0	0
21	宠物白光虎_4变	变异白光虎	petbaiguanghu	473	76	2	16	4	4	4	0	1	2	50000	-1	-1	247	334	-1	-1	-1	-1	-1	-1	-1	-1	19	26	-1	-1	-1	-1	-1	-1	-1	-1	28	38	-1	-1	-1	-1	-1	-1	-1	-1	36	49	-1	-1	-1	-1	-1	-1	-1	-1	40	55	-1	-1	-1	-1	-1	-1	85	7	10	12	14	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	0	0	0	0	0
22	宠物白光虎_5变	变异白光虎	petbaiguanghu	473	76	2	16	5	4	4	0	1	2	50000	-1	-1	-1	-1	353	478	-1	-1	-1	-1	-1	-1	-1	-1	27	37	-1	-1	-1	-1	-1	-1	-1	-1	40	54	-1	-1	-1	-1	-1	-1	-1	-1	51	70	-1	-1	-1	-1	-1	-1	-1	-1	58	78	-1	-1	-1	-1	122	9	14	18	20	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	0	0	0	0	0
23	宠物白光虎_6变	变异白光虎	petbaiguanghu	473	76	2	16	6	4	4	0	1	2	50000	-1	-1	-1	-1	504	682	-1	-1	-1	-1	-1	-1	-1	-1	39	53	-1	-1	-1	-1	-1	-1	-1	-1	57	78	-1	-1	-1	-1	-1	-1	-1	-1	73	99	-1	-1	-1	-1	-1	-1	-1	-1	83	112	-1	-1	-1	-1	174	13	20	25	28	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	0	0	0	0	0
24	宠物白光虎_7变	高级变异白光虎	petbaiguanghu	473	76	2	16	7	4	4	0	1	2	50000	-1	-1	-1	-1	-1	-1	708	958	-1	-1	-1	-1	-1	-1	-1	-1	55	74	-1	-1	-1	-1	-1	-1	-1	-1	81	109	-1	-1	-1	-1	-1	-1	-1	-1	103	140	-1	-1	-1	-1	-1	-1	-1	-1	116	157	-1	-1	244	19	28	36	40	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53101	0	0	0	0
25	宠物白光虎_8变	高级变异白光虎	petbaiguanghu	473	76	2	16	8	4	4	0	1	2	50000	-1	-1	-1	-1	-1	-1	975	1319	-1	-1	-1	-1	-1	-1	-1	-1	75	102	-1	-1	-1	-1	-1	-1	-1	-1	111	150	-1	-1	-1	-1	-1	-1	-1	-1	142	192	-1	-1	-1	-1	-1	-1	-1	-1	160	216	-1	-1	336	26	38	49	55	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53101	0	0	0	0
26	宠物白光虎_9变	高级变异白光虎	petbaiguanghu	473	76	2	16	9	4	4	0	1	2	50000	-1	-1	-1	-1	-1	-1	-1	-1	1312	1775	-1	-1	-1	-1	-1	-1	-1	-1	102	137	-1	-1	-1	-1	-1	-1	-1	-1	149	202	-1	-1	-1	-1	-1	-1	-1	-1	191	259	-1	-1	-1	-1	-1	-1	-1	-1	215	291	452	35	51	66	74	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53101	0	0	0	0
27	宠物白光虎_10变	高级变异白光虎	petbaiguanghu	473	76	2	16	10	4	4	0	1	2	50000	-1	-1	-1	-1	-1	-1	-1	-1	1729	2339	-1	-1	-1	-1	-1	-1	-1	-1	134	181	-1	-1	-1	-1	-1	-1	-1	-1	197	266	-1	-1	-1	-1	-1	-1	-1	-1	252	341	-1	-1	-1	-1	-1	-1	-1	-1	283	383	596	46	68	87	98	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53101	0	0	0	0
28	宠物挖煤工_宝宝	挖煤工宝宝	petwameigong	474	77	0	28	0	1	1	0	1	2	50000	58	78	-1	-1	-1	-1	-1	-1	-1	-1	6	9	-1	-1	-1	-1	-1	-1	-1	-1	6	9	-1	-1	-1	-1	-1	-1	-1	-1	20	28	-1	-1	-1	-1	-1	-1	-1	-1	20	28	-1	-1	-1	-1	-1	-1	-1	-1	20	2	2	7	7	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53801	0	0	0	0	1
29	宠物挖煤工_成年	成年挖煤工	petwameigong	474	77	1	28	0	1	1	0	1	2	50000	73	98	141	190	286	387	-1	-1	-1	-1	8	11	15	21	31	42	-1	-1	-1	-1	8	11	15	21	31	42	-1	-1	-1	-1	26	35	50	68	102	137	-1	-1	-1	-1	26	35	50	68	102	137	-1	-1	-1	-1	25	3	3	9	9	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53801	0	0	0	0	1
30	宠物挖煤工_1变	变异挖煤工	petwameigong	475	78	2	28	1	1	1	0	1	2	50000	70	94	-1	-1	-1	-1	-1	-1	-1	-1	8	10	-1	-1	-1	-1	-1	-1	-1	-1	8	10	-1	-1	-1	-1	-1	-1	-1	-1	25	33	-1	-1	-1	-1	-1	-1	-1	-1	25	33	-1	-1	-1	-1	-1	-1	-1	-1	24	3	3	9	9	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53801	0	0	0	0	0
31	宠物挖煤工_2变	变异挖煤工	petwameigong	475	78	2	28	2	1	1	0	1	2	50000	87	118	-1	-1	-1	-1	-1	-1	-1	-1	10	13	-1	-1	-1	-1	-1	-1	-1	-1	10	13	-1	-1	-1	-1	-1	-1	-1	-1	31	42	-1	-1	-1	-1	-1	-1	-1	-1	31	42	-1	-1	-1	-1	-1	-1	-1	-1	30	3	3	11	11	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53801	0	0	0	0	0
32	宠物挖煤工_3变	变异挖煤工	petwameigong	475	78	2	28	3	1	1	0	1	2	50000	-1	-1	117	158	-1	-1	-1	-1	-1	-1	-1	-1	13	17	-1	-1	-1	-1	-1	-1	-1	-1	13	17	-1	-1	-1	-1	-1	-1	-1	-1	42	56	-1	-1	-1	-1	-1	-1	-1	-1	42	56	-1	-1	-1	-1	-1	-1	40	4	4	14	14	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53801	0	0	0	0	0
33	宠物挖煤工_4变	变异挖煤工	petwameigong	475	78	2	28	4	1	1	0	1	2	50000	-1	-1	164	223	-1	-1	-1	-1	-1	-1	-1	-1	18	24	-1	-1	-1	-1	-1	-1	-1	-1	18	24	-1	-1	-1	-1	-1	-1	-1	-1	58	79	-1	-1	-1	-1	-1	-1	-1	-1	58	79	-1	-1	-1	-1	-1	-1	57	6	6	20	20	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53801	0	0	0	0	0
34	宠物挖煤工_5变	变异挖煤工	petwameigong	475	78	2	28	5	1	1	0	1	2	50000	-1	-1	-1	-1	236	319	-1	-1	-1	-1	-1	-1	-1	-1	26	35	-1	-1	-1	-1	-1	-1	-1	-1	26	35	-1	-1	-1	-1	-1	-1	-1	-1	84	113	-1	-1	-1	-1	-1	-1	-1	-1	84	113	-1	-1	-1	-1	81	9	9	29	29	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53801	0	0	0	0	0
35	宠物挖煤工_6变	变异挖煤工	petwameigong	475	78	2	28	6	1	1	0	1	2	50000	-1	-1	-1	-1	336	455	-1	-1	-1	-1	-1	-1	-1	-1	37	50	-1	-1	-1	-1	-1	-1	-1	-1	37	50	-1	-1	-1	-1	-1	-1	-1	-1	119	162	-1	-1	-1	-1	-1	-1	-1	-1	119	162	-1	-1	-1	-1	116	13	13	41	41	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53801	0	0	0	0	0
36	宠物挖煤工_7变	高级变异挖煤工	petwameigong	475	78	2	28	7	1	1	0	1	2	50000	-1	-1	-1	-1	-1	-1	472	639	-1	-1	-1	-1	-1	-1	-1	-1	52	70	-1	-1	-1	-1	-1	-1	-1	-1	52	70	-1	-1	-1	-1	-1	-1	-1	-1	168	227	-1	-1	-1	-1	-1	-1	-1	-1	168	227	-1	-1	163	18	18	58	58	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53801	53901	0	0	0	0
37	宠物挖煤工_8变	高级变异挖煤工	petwameigong	475	78	2	28	8	1	1	0	1	2	50000	-1	-1	-1	-1	-1	-1	650	879	-1	-1	-1	-1	-1	-1	-1	-1	71	96	-1	-1	-1	-1	-1	-1	-1	-1	71	96	-1	-1	-1	-1	-1	-1	-1	-1	231	312	-1	-1	-1	-1	-1	-1	-1	-1	231	312	-1	-1	224	24	24	80	80	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53801	53901	0	0	0	0
38	宠物挖煤工_9变	高级变异挖煤工	petwameigong	475	78	2	28	9	1	1	0	1	2	50000	-1	-1	-1	-1	-1	-1	-1	-1	874	1183	-1	-1	-1	-1	-1	-1	-1	-1	96	129	-1	-1	-1	-1	-1	-1	-1	-1	96	129	-1	-1	-1	-1	-1	-1	-1	-1	311	420	-1	-1	-1	-1	-1	-1	-1	-1	311	420	301	33	33	107	107	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53801	53901	0	0	0	0
39	宠物挖煤工_10变	高级变异挖煤工	petwameigong	475	78	2	28	10	1	1	0	1	2	50000	-1	-1	-1	-1	-1	-1	-1	-1	1152	1559	-1	-1	-1	-1	-1	-1	-1	-1	126	170	-1	-1	-1	-1	-1	-1	-1	-1	126	170	-1	-1	-1	-1	-1	-1	-1	-1	409	554	-1	-1	-1	-1	-1	-1	-1	-1	409	554	397	43	43	141	141	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53801	53901	0	0	0	0
40	宠物机器人_宝宝	机器人宝宝	petjiqiren	476	79	0	40	0	2	2	0	1	1	50000	94	127	-1	-1	-1	-1	-1	-1	-1	-1	7	10	-1	-1	-1	-1	-1	-1	-1	-1	6	8	-1	-1	-1	-1	-1	-1	-1	-1	12	16	-1	-1	-1	-1	-1	-1	-1	-1	20	28	-1	-1	-1	-1	-1	-1	-1	-1	32	2	2	4	7	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53301	0	0	0	0	1
41	宠物狗-成年	成年猎犬	petxiaoliequan	22	11	1	0	0	3	3	0	1	1	50000	82	110	158	214	322	435	-1	-1	-1	-1	12	16	23	31	47	63	-1	-1	-1	-1	10	13	19	26	39	53	-1	-1	-1	-1	20	27	38	52	78	106	-1	-1	-1	-1	18	24	35	47	70	95	-1	-1	-1	-1	28	4	3	7	6	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54201	0	0	0	0	1
42	宠物机器人_1变	变异机器人	petjiqiren	477	80	2	40	1	2	2	0	1	1	50000	113	153	-1	-1	-1	-1	-1	-1	-1	-1	9	12	-1	-1	-1	-1	-1	-1	-1	-1	7	10	-1	-1	-1	-1	-1	-1	-1	-1	14	19	-1	-1	-1	-1	-1	-1	-1	-1	25	33	-1	-1	-1	-1	-1	-1	-1	-1	39	3	2	5	9	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53301	0	0	0	0	0
